Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,1.7420621085178898e10,2.7291338574295175e8,7.127631182287021e7,2.6991952103373617e8,9.722094399540165e7,4.172624770766414e8,2.230257821287791e8,2.5050274356628785e8,2.2085717640867993e8,1.0237484286904629e8,6.0761910288970515e7,1.8256185228119016e8,3.162821535088912e8,2.08782271378196e8,4.9744636297288686e8,6.628820214103034e8,5.348328051263961e8,1.295413424673881e8,6.879450797135398e8,5.88750662948718e8,1.3796156970778635e8,5.742350978149865e7,4.8767515733483404e7,2.709499047651868e8,2.3880774442168117e8,3.853344153227194e8,4.3632709683720195e8,1.4038259474869487e8,6.472050599231184e7,2.255586491962155e7,4.037475187821803e8,2.9492888142469507e7,5.1974751811025925e7,3.6733047704442106e7,1.0907091578945808e8,2.9588161155505996e7,4.6720851905245565e7,7.264849289278698e7,2.8635337104136433e7,1.3932482806248102e8,5.3774528258213736e7,4.4075190275301136e7,1.1593138742358471e8,6.724401417134924e7,3.1262583268567417e7,1.4028035747053018e8,1.1918895541629444e8,7.172427240828977e8,4.263755866885978e7,1.1333829513790226e8,2.6520755231605512e8,1.465479948095527e8,1.7054839693111908e7,2.627670708783195e7,3.8880375364003964e7,4.65036689216951e7,1.5154978255444634e9,5.585641890600955e8,2.3483275775636846e8,1.521619230213417e8,1.648938676424004e8,1.688650639908363e8,3.1997549233216226e8,3.8945713307843655e7,1.0228755106645948e8,6.9476466457812e8,3.708118149774604e8,2.1109101144950455e8,1.3233574258482298e8,2.7030064168806875e8,5.384353167790134e8,1.871284115592462e8,3.176678434888612e8,1.466808868315552e8,3.4023928255049115e8,2.1086996782492697e8,2.1251722245831493e8
cH2Fix_Gen,8.180300106616189e9,1.7687118723611015e8,4.555477496566621e7,8.634574042130043e7,6.234525947432584e7,2.2366226985401616e8,1.302818262551765e8,1.468972536596487e8,1.3179126528400877e8,3.294896446188456e7,4.022083411574852e7,1.1960908511830841e8,1.7642739876258773e8,1.3439304180462897e8,1.966204010713645e8,2.7096621785839003e8,1.5137747751082185e8,7.311977577147526e7,2.9476105184946626e8,2.824325250763154e8,9.571611709578589e7,3.966952071837481e7,3.8480993678728074e7,1.1157506211951648e8,9.262628899009843e7,1.2780478621311635e8,1.8206548655453983e8,8.298556074329251e7,3.1090844342619244e7,1.7777839933064707e7,7.564818694036478e7,2.044354207663113e7,2.487148363243226e7,1.4277395469696635e7,5.017612824495537e7,1.81698065259341e7,2.260903518731491e7,2.6710157621760238e7,2.0341136058324333e7,5.8078959266569495e7,2.978355767752357e7,2.179053590819865e7,5.386789541901404e7,2.0038771964921176e7,2.1510147240957472e7,4.7129406326798916e7,4.676353470846137e7,2.698780004053283e8,2.086205552301088e7,4.592526478673685e7,1.4572079212672883e8,5.8354252104034804e7,1.066595535351918e7,1.766988929247096e7,2.583436603811972e7,2.5384130188327156e7,6.482511334457201e8,1.785462340818451e8,1.1483484033990899e8,8.271205151300797e7,1.1395097528185861e8,1.1836715523846783e8,1.142062052466764e8,2.9195806485989608e7,5.699154424004047e7,3.284307719420807e8,2.2701707490202358e8,1.1668885049343534e8,8.60845622968174e7,1.3433315133625e8,2.3806638624132907e8,1.0992056484295881e8,1.9071618096784827e8,8.11297584720373e7,1.76218068870808e8,1.3916479415796492e8,1.065507591905978e8
cH2Fix_Liq,4.956547666389836e9,883111.6350294866,162079.21541430507,1.2515084512363637e7,3.175517503267477e6,7.203138066843593e7,4.740745939929422,1.2119654533515763e7,2.744493937580913e7,5.111168980614504e6,1.364679854207209e6,1.0368272961249355e7,2.2107397769959923e7,1.6470444436074505e7,1.7515952011027536e8,2.1297665847539842e8,8.07599974337957e7,7.832358977298204e6,2.2737232000385696e8,1.561797623276457e8,3.448041116129442e6,9.462056092179645e6,2.4470239175540246e6,1.371803916734195e8,1.2711342704896271e8,2.3092985697265202e8,2.17863151964076e8,3.785561099441959e7,2.6716095027479496e7,975637.1610102127,3.15651451104716e8,2.1092945144629627e6,1.754941230803159e7,4.7421259619146605,4.3887106579658195e7,5.041469882904479e6,1.7908665269924443e7,6.04292386465727e6,4.7408015083207555,5.942097967328943e7,1.081637954900327e7,1.5945982103252767e7,4.785674918336458e7,1.5758635805744927e7,2.357257262072191e6,8.076910701792596e7,5.857668960577014e7,3.620143806430542e8,1.542053721172862e7,5.532667280602131e7,7.290668149870431e7,880524.8127101026,3.2130937989883833e6,3.874098616721782e6,5.108469444203806e6,1.2872094660289533e7,5.851916483878622e8,1.058029157816667e8,8.481243623546046e7,4.818751754094238e7,1.6613531667938193e7,1.223040224672746e7,3.376128850209775e7,181008.36312145664,2.8863390111580998e7,2.385037941739552e8,5.767681502216242e7,4.799993987158213e7,4.877481889699955e6,8.321838870435e7,2.066796838789219e8,2.4932904016542833e7,5.870897998804366e7,4.641305671881141e7,9.918903590221466e7,2.4235943892227884e7,7.913319131095771e7
cH2Fix_G2P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Fix_Stor,6.099216597069778e8,6.228799380150539e6,633758.1881849908,836442.409837213,1.3771283288817997e6,8.073402222429527e6,2.192066929192881e6,2.093884153067552e6,3.3560740382231064e6,309329.16665256995,3.246105320981534e6,3.834345826628034e6,2.7399861088123242e6,2.988006470677123e6,4.412432050814555e6,8.393254550476806e6,1.4137664633655106e6,1.0092787528656715e6,8.89141433476566e6,7.012338709216913e6,2.274778365619958e6,6.680386001486219e6,7.83933078880918e6,2.219443784407115e7,1.9068017445137598e7,2.6393310041367434e7,3.3445622948145926e7,1.3225686513270754e7,5.020536276321124e6,3.0017015902137808e6,8.913901694187129e6,1.4536916858357813e6,2.188887251157326e6,261992.9875883049,5.405538468540596e6,1.652351528008325e6,3.0270264902551845e6,336105.00623255916,729562.0593659518,4.881510662139394e6,1.0847001866283782e6,2.973348542510841e6,5.897598849283656e6,300695.70614711696,1.011873891087697e6,7.677917683477016e6,6.255625832945431e6,1.5074203658359962e7,2.6814271598445275e6,6.85313479696498e6,1.0627277168514006e7,397483.9033052705,800338.8061884904,2.3678138362405906e6,1.8646633990392312e6,1.1233274962273464e6,3.2597838482681133e7,2.606820846265997e6,6.576908615241331e6,9.065432878474636e6,8.812674542705521e6,1.016617692647912e7,1.3742178316878094e6,2.9159915911483723e6,8.331232097931373e6,3.379658240522787e7,2.4704837060055964e7,1.371536577080477e7,8.266821045118936e6,1.663795666918449e7,2.970070583654986e7,4.75239478690537e6,2.2687746651061203e7,1.497001019421696e7,2.131926199402546e7,1.7228926234218925e7,1.5666137277250033e7
cH2Var,3.6738516524658933e9,8.893028749166155e7,2.4925699453604706e7,1.7022225369023484e8,3.032303868892652e7,1.1349542433175978e8,9.05518842036638e7,8.939195122005583e7,5.826489771063891e7,6.400538025989465e7,1.5930290998033255e7,4.875014837500434e7,1.1500737086753123e8,5.49307786668154e7,1.2125400974043249e8,1.7054589052603808e8,3.0128156371841305e8,4.7579928965748966e7,1.5692029352545086e8,1.4312603683553994e8,3.6522633130251065e7,1.611546969457967e6,167.34839212099993,13.128179638652735,10.93748245295766,206462.0955835566,2.952835370440127e6,6.315736497712011e6,1.8930303458919658e6,800686.2353328541,3.533979042912398e6,5.486359865539632e6,7.364968619404747e6,2.2193654505031206e7,9.60214249630391e6,4.724533218659093e6,3.176124957751037e6,3.955930640013691e7,7.564634245644641e6,1.6943378460482687e7,1.208989084505852e7,3.3653237213388816e6,8.309143971922449e6,3.1145910694536023e7,6.383304874450054e6,4.703926442328305e6,7.593105269117494e6,7.027613937615512e7,3.6735387742757583e6,5.23322274817911e6,3.5952801522107966e7,8.691573398950253e7,2.375451734415858e6,2.3649053423986193e6,6.07287648264121e6,7.1241165768510625e6,2.4945720522820008e8,2.716082183503178e8,2.8608572565757662e7,1.219692108891674e7,2.5516686149898086e7,2.810132957916187e7,1.706337807517003e8,6.652906867584219e6,8.101384616906612e6,9.403351605685626e7,6.141308799321834e7,3.2686855313682314e7,3.310687735318669e7,3.6111144978284255e7,6.398854082221263e7,4.7522547912839204e7,4.5554935881908014e7,4.1680614464895036e6,4.3512915783443086e7,3.0240303540515285e7,1.1167134679509379e7
cH2Var_G2P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
