Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,745202.9,208868.12,68128.875,254095.83,951049.6,758791.25,749071.44,488238.25,25617.188,133489.94,408508.2,963719.2,460299.6,1.0160637e6,1.4291114e6,120583.37,398702.2,1.314934e6,1.1993431e6,306046.12,13504.167,1.4023175,0.11000928,0.09165205,1730.0759,24743.666,52923.53,15862.894,6709.454,29613.436,45973.664,61715.71,8882.682,80462.4,39589.84,26614.75,15833.0205,63388.832,141979.23,101308.805,28200.166,69627.55,12465.687,53489.73,39417.16,63627.41,588888.0,30782.895,43852.47,301271.16,34786.715,19905.406,19817.031,50888.457,59697.457,2.090359e6,108707.06,239729.25,102205.68,213820.38,235478.73,68293.586,55748.895,67886.6,787966.06,514618.94,273903.75,277423.38,302598.03,536200.25,398221.34,381733.5,34926.812,364622.12,253402.55,93576.45,2.1548836e7
t1,5.260946605728065e-7,5.259183024838931e-7,9.365585472708614e-7,5.260375996279578e-7,5.267758121028872e-7,5.282222995641341e-7,5.251907156350782e-7,5.242593129690886e-7,6.597127688084914e-7,5.218442209534605e-7,5.253046089284892e-7,5.264642677537964e-7,5.241590471319922e-7,5.240226290254797e-7,5.275914607120905e-7,7.446203264068991e-6,5.252490527179494e-7,5.254838685509e-7,5.245299223087444e-7,5.240044913342437e-7,5.208740184359609e-7,5.204550813668259e-7,5.188863519739404e-7,5.201546553691696e-7,5.215662397216783e-7,5.222469201054162e-7,5.221350435131569e-7,5.20516924533801e-7,5.227932846305193e-7,5.188642577256187e-7,5.247380536732561e-7,5.266498760468152e-7,1.3029848805583265e-6,5.23404663675245e-7,5.24327156992011e-7,5.211782991159161e-7,6.625138384044445e-7,5.248251525210294e-7,5.258421241970703e-7,5.256364245439708e-7,5.238356825650417e-7,5.22050413461789e-7,6.54614423157061e-7,5.246205306515532e-7,5.249709734963657e-7,5.227995877606863e-7,5.236307625101641e-7,5.223221177769376e-7,5.243912878076162e-7,5.200221074987471e-7,6.515860540680817e-7,5.18946162725192e-7,5.189386297759887e-7,5.174712486577232e-7,5.182763681350503e-7,5.188095949647376e-7,6.501905853748388e-7,5.17999158712181e-7,5.194038796353545e-7,5.209861828316438e-7,5.201319154720398e-7,6.511383591138392e-7,4.7200564767794817e-7,37.17381416506028,1.7919771351066542e-5,8.657331169916612e-5,70.54570795094537,127.14217449702542,144.25122212288127,276.2793498745048,5.289440026043352e-7,217.15568585729807,21.789075263558864,202.54034731019766,3.372993285247524e-5,70.97948160702954,1167.8570392038232
t2,5.261119004582498e-7,5.259497729966929e-7,9.435519348305375e-7,5.260443105090504e-7,5.26793010727425e-7,5.282402638318503e-7,5.25502271916975e-7,5.243151792240876e-7,6.599172192271694e-7,5.219102198829034e-7,5.253115932057089e-7,5.264718892184665e-7,5.242095681221166e-7,5.240788163924196e-7,5.276092013818709e-7,8.017872845499008e-6,5.253957529225341e-7,5.254916563397482e-7,5.245811870715372e-7,5.240544821095169e-7,5.208739204371985e-7,5.2045477336823e-7,5.18884569101336e-7,5.201524295586761e-7,5.215661924884909e-7,5.22246903843258e-7,5.221347788351392e-7,5.205165735477886e-7,5.22793125711821e-7,5.188644384995367e-7,5.247384924131794e-7,5.26104357615361e-7,1.302981368699982e-6,5.234029242990445e-7,5.239803099225538e-7,5.211776938575482e-7,6.627494131239182e-7,5.248296578241791e-7,5.253045264491589e-7,5.2564103906019e-7,5.238349080582778e-7,5.220477895058037e-7,6.546045244270121e-7,5.246255397002328e-7,5.249709499961701e-7,5.227987126806333e-7,5.232804356774452e-7,5.223210260465759e-7,5.243912843424937e-7,5.201756679816837e-7,6.515045656100288e-7,5.190599456601225e-7,5.189407425265446e-7,5.176246487437496e-7,5.183921650526713e-7,5.18811782424342e-7,6.501121813584155e-7,5.181097292340666e-7,5.194039128020128e-7,5.209850440350571e-7,5.201323008998828e-7,6.510192445853018e-7,4.72006938755443e-7,37.173814171716046,1.7910648762846674e-5,4.4610115055500495e-5,2.4279447228687228,127.1421745036181,144.25122191508922,276.27934997347785,5.278610757882719e-7,217.15568587026135,21.7890752688449,202.5403473101345,3.369782875414371e-5,70.97948162676354,1099.7392344911925
t3,5.261126329330855e-7,5.259504056215755e-7,9.435543551619709e-7,5.260451469321317e-7,5.26793738519604e-7,5.282410981329461e-7,5.255026566143551e-7,5.243157473094405e-7,6.59915699554727e-7,5.219108051625642e-7,5.253124577263426e-7,5.264727223223841e-7,5.242102166530405e-7,5.240792856748899e-7,5.276098332412787e-7,8.017493940317851e-6,5.253964511041385e-7,5.254923270800606e-7,5.245817127665867e-7,5.24055116117858e-7,5.208739053658324e-7,5.204547520611966e-7,5.188842554999131e-7,5.201520000106594e-7,5.215663244068551e-7,5.222470293094877e-7,5.221350924089959e-7,5.200005530468543e-7,5.227844268078597e-7,5.188647224042586e-7,5.241702791208739e-7,5.261041605464243e-7,1.302998536758525e-6,5.235313341342923e-7,5.239688312238742e-7,5.217885051017652e-7,6.627534373569055e-7,5.248296497893771e-7,5.252916737784612e-7,5.256412793841586e-7,5.238349763103208e-7,5.228388359383042e-7,6.545713036168718e-7,5.246259160501382e-7,5.249708181617788e-7,5.227900660127514e-7,5.232803299385583e-7,5.223133717526424e-7,5.243912507419511e-7,5.209447531745619e-7,6.5114333060422e-7,5.198883166235768e-7,5.196881242727748e-7,5.184337041176949e-7,5.192129634096979e-7,5.193993248167524e-7,6.500070229060705e-7,5.189284986439949e-7,5.201611271543691e-7,5.210641953443823e-7,5.209000497203612e-7,6.50792111814393e-7,4.7200776889675924e-7,37.17381417191982,1.7909070550236247e-5,4.459576696100899e-5,1.5506684715583043,127.14217450566021,144.25122185849773,276.2793499787307,5.278747188534632e-7,217.15568587438287,21.789075256631396,202.5403473099397,3.369353211628799e-5,70.97948162619416,1098.8619581680343
t4,5.261035759375401e-7,5.259513789651951e-7,9.435553092858255e-7,5.260462164277788e-7,5.267845558497826e-7,5.282317871062133e-7,5.255147690660045e-7,5.246898049113143e-7,6.599164173522601e-7,5.225340866419752e-7,5.253052715344566e-7,5.264652142553375e-7,5.242111483666764e-7,5.24083096869001e-7,5.276004488898243e-7,1.6739316105514985,5.254022329456292e-7,5.254846820838406e-7,5.245823334889714e-7,5.24056019733619e-7,5.208741446483211e-7,5.204549364359314e-7,5.188843830710604e-7,5.201521511225814e-7,5.215666457057066e-7,5.222473346177415e-7,5.221351655844499e-7,5.205168391602181e-7,5.227931141556801e-7,5.188649596973822e-7,5.241790826482264e-7,5.261052912929537e-7,1.302876170802719e-6,5.235328298242453e-7,5.239780873729347e-7,5.217910094389932e-7,6.627168719032584e-7,5.248301639272219e-7,5.253024054601661e-7,5.256428306923355e-7,5.238353659253559e-7,5.228426588850198e-7,6.545403471587672e-7,5.246276455952326e-7,5.249706902759158e-7,5.227991028797263e-7,5.232818506106506e-7,5.223222682111924e-7,5.243911621647361e-7,5.20946642253188e-7,6.511467813507559e-7,5.198898181509775e-7,5.197416295079288e-7,5.184362016661341e-7,5.19215925220334e-7,5.194901590598702e-7,6.500086292911798e-7,5.18931625198368e-7,5.202428537057663e-7,5.211475877951123e-7,5.209836713177709e-7,6.507939254583297e-7,4.7200825783308986e-7,37.1738141680271,1.7911592413070854e-5,4.4619947496031416e-5,2.423160426463149,127.14217450623302,144.25122193043885,276.27934994389307,5.278750724331019e-7,217.15568587483648,21.7890752280198,202.54034730987718,3.369932409985193e-5,70.97948162396126,1101.408373753598
t5,5.261044680070462e-7,5.259456300704015e-7,9.42109802066733e-7,5.26047561223965e-7,5.267851628569681e-7,5.282328505479087e-7,5.254759381401641e-7,5.243100229215412e-7,6.595898285222451e-7,5.219057667376054e-7,5.253052287877063e-7,5.264654381534907e-7,5.242016594083646e-7,5.240759660150952e-7,5.276008872433683e-7,7.940827672375498e-6,5.253893310790707e-7,5.254844449778016e-7,5.24571595663003e-7,5.240466819754562e-7,5.208741698799299e-7,5.204548527045192e-7,5.188840355663671e-7,5.201517338239961e-7,5.215667791692333e-7,5.222475345311592e-7,5.221352782689121e-7,5.20517032933326e-7,5.227845820096226e-7,5.188651376551092e-7,5.248693999729351e-7,5.26106728404452e-7,1.3028870776657326e-6,5.235332707526959e-7,5.239701935425016e-7,5.217919778578365e-7,6.627150348304636e-7,5.248315235676533e-7,5.252946373764235e-7,5.256445839709059e-7,5.238354853625433e-7,5.228435888364162e-7,6.545417945097518e-7,5.246295595173338e-7,5.249706736797464e-7,5.227908864169681e-7,5.232829181692695e-7,5.223143637597574e-7,5.243910181164016e-7,5.209471968105101e-7,6.511492495378256e-7,5.198909883235996e-7,5.197428040406635e-7,5.184376943874599e-7,5.192178258726203e-7,5.194977382761806e-7,6.500110599811696e-7,5.18932480212476e-7,5.202435913971704e-7,5.211498928868005e-7,5.209846101160292e-7,6.507944627611239e-7,4.720084769466477e-7,37.17381415877942,1.9275773551230877e-5,0.00011068048243520598,70.48892465487462,127.14217570536884,144.25122222573478,276.2793535852672,5.278761928504847e-7,217.1556858734501,21.789075168085144,202.54034730913793,3.3736625978383424e-5,70.97948205020407,1167.8002872628701
t6,5.260815387583761e-7,5.259116556269876e-7,9.386816547692323e-7,5.260262704238157e-7,5.267631827234816e-7,5.282079457501819e-7,5.251583883395793e-7,5.242578277280149e-7,6.578308682094141e-7,5.218566846272307e-7,5.252849585894948e-7,5.264417800522018e-7,5.241491025938143e-7,5.240272622525719e-7,5.275769887879193e-7,7.40363692511655e-6,5.252607884883461e-7,5.254601755508548e-7,5.245161780380213e-7,5.239944094287799e-7,5.208741171343392e-7,5.204547934224851e-7,5.188821095778528e-7,5.201495162145068e-7,5.215669177617472e-7,5.222476311567898e-7,5.221357197733166e-7,5.205176025273509e-7,5.227925563991458e-7,5.18865064268847e-7,5.248718422045861e-7,5.269568355832723e-7,1.3014160093692698e-6,5.235347840693643e-7,5.243291531117886e-7,5.217932340596767e-7,6.623190125933173e-7,5.25047167883589e-7,5.258441480196725e-7,5.256280957388984e-7,5.238364428396152e-7,5.228452094707462e-7,6.541751609902803e-7,5.249135418098383e-7,5.249711890797111e-7,5.228000558539809e-7,5.240112023214226e-7,5.223231022454801e-7,5.24391377840723e-7,5.209477223150477e-7,6.509066147916124e-7,5.198919118709044e-7,5.197437741785819e-7,5.184387057921712e-7,5.192192676272867e-7,5.198063226961455e-7,6.500045808802297e-7,5.189339052777134e-7,5.202441714343975e-7,5.219723194184927e-7,5.209853588911841e-7,6.507892614117876e-7,4.71820137463627e-7,37.17381413702542,3.740363245028638e-5,150.0597452899095,139.86197555144958,127.14217536123785,144.25122888178444,276.2793600683992,5.278685527005264e-7,217.15568587929974,21.78907501614819,202.54034730465284,0.00023428025441620443,70.97948376907989,1387.2332052400645
t7,5.271566263596498e-7,5.26022764998771e-7,9.321140647324407e-7,5.270921913393132e-7,5.278523869668022e-7,5.293140373717907e-7,5.250865946231031e-7,5.241906116319874e-7,6.571181915876205e-7,5.219647271639398e-7,5.263379880090262e-7,5.275181252394561e-7,5.249732270161068e-7,5.239482094949146e-7,5.286829768146215e-7,5.192984150268086e-6,5.248860647060237e-7,5.265270582691563e-7,5.253463843853307e-7,5.243959763544156e-7,5.208721978770188e-7,5.204532158917677e-7,5.188849048047566e-7,5.201533743479471e-7,5.21565605965226e-7,5.222464005876346e-7,5.221342954991582e-7,5.205160290677457e-7,5.227896097090746e-7,5.188635732156385e-7,5.248709716913325e-7,5.271727633368167e-7,1.2997974530542031e-6,5.235335516520047e-7,5.243277444191133e-7,5.217924284745492e-7,6.61879113385693e-7,5.258685936147633e-7,5.25843264177143e-7,5.26686243364301e-7,5.238346320848613e-7,5.228443804467438e-7,6.547046949231335e-7,5.25653017580663e-7,5.249697180488301e-7,5.227985564989339e-7,5.243075867799496e-7,5.223215948105143e-7,5.243897653979539e-7,5.209467345489831e-7,6.510022560165903e-7,5.198901333110889e-7,5.197426844333411e-7,5.184372592351661e-7,5.192181537705883e-7,5.197734749745501e-7,6.510564398486422e-7,5.18933102048281e-7,5.202431897343804e-7,5.219716793891782e-7,5.209844447563765e-7,6.509448903508664e-7,4.7181696710868963e-7,37.17381405490452,3.775868747164537e-5,300.119242333178,139.86197570754504,127.14216049573218,144.25122890945073,276.27936008469015,5.288091638870388e-7,217.1556859809942,21.7890728395522,202.5403433984385,27.124099132160755,70.97948377578705,1564.4165445644785
t8,5.271577019122907e-7,5.261987302338442e-7,9.311016227100284e-7,5.270951572053482e-7,5.278532901540937e-7,5.293191064046204e-7,5.258125083636635e-7,5.249119592478015e-7,6.570552436564294e-7,5.227880334377891e-7,5.263391982389921e-7,5.275233317803183e-7,5.251378814296951e-7,5.244229124487377e-7,5.286840003293411e-7,4.968601553639567e-6,5.253660543744569e-7,5.26528562487381e-7,5.255130323668807e-7,5.249749302616926e-7,5.208714684914442e-7,5.204524189976133e-7,5.188826090582027e-7,5.201508296831833e-7,5.215654654748812e-7,5.222462006279958e-7,5.221340106806448e-7,5.205155715794647e-7,5.227882608683518e-7,5.188633480068486e-7,5.248710750349535e-7,5.271733338256409e-7,1.2984418645010924e-6,5.235334836754913e-7,5.243274953643991e-7,5.217926296751422e-7,6.614462086282338e-7,5.258694568005206e-7,5.258433305396312e-7,5.266876127269819e-7,5.238341005344874e-7,5.228445521636885e-7,6.566417744183095e-7,5.256541460284478e-7,5.249694891374525e-7,5.227981309205315e-7,5.243076954332025e-7,5.223212630316676e-7,5.243893392063977e-7,5.209468528120464e-7,6.528587646488349e-7,5.198905410046447e-7,5.197430707783966e-7,5.18437104159549e-7,5.192181095677682e-7,5.197794941212307e-7,6.529011435361893e-7,5.189332625957601e-7,5.20243360900304e-7,5.219719613701284e-7,5.209845908711932e-7,6.527771409447401e-7,4.718171409656089e-7,37.17381359660533,3.742858848511659e-5,150.0597190603908,139.86197518578336,127.14217543664574,144.25122894906187,276.2793603423229,5.289742086167801e-7,217.1556863903662,10.895073105913838,202.54034732765385,25.050618160230407,70.97948383349733,1401.3895586951387
t9,5.271557502537895e-7,5.26200601710898e-7,9.309569233386426e-7,5.270314829202925e-7,5.277902805461039e-7,5.292318009022554e-7,5.261364623329666e-7,5.252315955236587e-7,6.570536490698701e-7,5.227893379583361e-7,5.263390019044287e-7,5.275180164431259e-7,5.251370056123096e-7,5.244232604813358e-7,5.286003444053642e-7,4.891702262456237e-6,5.253668090786307e-7,5.265270086992969e-7,5.255120752704258e-7,5.249749878981399e-7,5.208701192281927e-7,5.204511343726828e-7,5.188814127259643e-7,5.201498035247247e-7,5.215655794801012e-7,5.222456291974521e-7,5.221333377808229e-7,5.205144433464318e-7,5.227858904079135e-7,5.188634868341802e-7,5.248696642133946e-7,5.271726609300924e-7,1.2997214207710323e-6,5.235328812687078e-7,5.241536695713906e-7,5.217922721775096e-7,6.617967843159351e-7,5.25868809481467e-7,5.258428780045749e-7,5.266264397540202e-7,5.238324684879556e-7,5.228443955803075e-7,6.550032462324552e-7,5.256537652240037e-7,5.249692142761538e-7,5.227971835083647e-7,5.243080499262411e-7,5.223199553576041e-7,5.243885533335138e-7,5.209468718272167e-7,6.508268707440569e-7,5.198902330364374e-7,5.197430477601058e-7,5.184358257518322e-7,5.19216599441687e-7,5.197865989557866e-7,6.499903649561681e-7,5.189329846282334e-7,5.202434960427842e-7,5.219721350777537e-7,5.209846572887148e-7,6.50758239981841e-7,4.7181664807226373e-7,37.17377397902451,1.7907130773552086e-5,7.900028822765539e-5,139.86124850495116,127.14217583077358,144.2512220577289,276.27935023471804,5.289729929262558e-7,217.1556725798936,0.0005552379014677867,202.5403444517659,3.372577115193821e-5,70.97948171188246,1215.383995015981
