Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,8.8559961127744e-6,1.0652874026258337e-6,1163.1599922092912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,1.3474789304105941e-5,1.100672431375791e-7,359.03998663527796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,5.287979192314343e-6,0.0,148.1999947120208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248119313704,0.0,0.0004917618365851695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,3.5408518535529024e-6,0.0,2721.999996459148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,69.99604135365979,0.0,0.00395864634021581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,1.0411589460941525e-7,7.292005527240725e-8,590.6185499688041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,6.12047256113367e-8,0.0,177.68802993879524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,6.665813825998095e-8,8417.332734552238,10458.258040985578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,3350.973392256926,2.7313197323170917e-7,0.026608016205909024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.58445300313485,1.953969773381497e-7,0.02554719226213753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,3.90056674009863e-6,0.0,18.09999609943326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6995153579312,0.0,0.000484642068698804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.04106211046591,0.0,0.0002532058060236708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.79717750482075,0.0,0.0028224951792513164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,6.735959450580149e-8,5.3648452146635e-7,855.7914004691249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,6.938344640983483e-9,0.0,4.781999993061655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.1840639999997,8.208466708184758e-8,3.677386585681328e-7,859.1840642856537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.7950283596217,1.5904643934534466e-6,0.004973230842697518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.5709455916368,1.113892258923375e-7,0.009054519752527135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,4.251842492042234e-6,0.0,45.91999574815751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.2435609697554,2229.2430677778366,0.0,0.000493191918859992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,0.00012636100907540652,0.00012636100907540652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,141.99654056089014,0.0,0.003459439109843032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,4.547524279240018e-8,6.755978934725527e-7,2510.3313006301223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,3.0465056221793935e-7,0.0,9.89999969534944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.5580369999996,8.68320084057764e-8,2.9536207257947506e-7,1417.5580372085296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 CCGT,4,38.6,4.032673217447353e-6,3.5399949065064625e-6,38.5999995073217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 OCGT,4,72.68,7.032930331947218e-6,5.537870897249965e-6,72.67999850494057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 onwind,4,233.7185,2.2786314059971972e-7,7.694934335555134e-7,233.7185005416303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 ror,4,628.4368000000001,1.016235602596465e-8,0.0,628.4367999898377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 solar,4,1196.0652229999994,6.664242924938568e-8,7830.218142172825,9026.283365106183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 OCGT,5,368.5885,5.765368769373569e-7,1.6917859292622093e-7,368.5884995926417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 biomass,5,48.4,4.361883451119214e-6,0.0,48.39999563811655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 coal,5,1001.2235348276073,1001.2230514394003,0.0,0.0004833882070176543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
