Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,-438.25732709362916,0.0
AnnualSum,116485.32788664977,2.863343494846144,992407.5210092409,4935.849274991921,7846.673777677815,34927.89790282436,95935.65884093086,1.0847556910531988,2.0293247868309552e6,0.8810969868937552,83304.53889096693,22167.937440745936,1.8098907998039404,919.6845723128478,281938.8130571512,2.7632111682096445e6,35588.38566988306,152026.54033972332,6.2868592479969765,1.1485021098064954,0.5123041337606093,32349.14744699209,255851.3669244592,80667.0387152325,115460.2516146673,6760.785063197005,108415.24521379313,0.3779112902523592,0.0,48112.14957560252,68278.96273504458,0.0,1.7309723868441528e6,0.0,0.0,0.146386763090459,371778.5035179783,0.0,0.0,0.0,0.0,0.234437240614229,49994.1695918236,75978.83772039904,0.0,0.0,16409.21103137174,0.0,54521.465348224425,0.0,354420.67714659224,0.0,1.9294422772056687,0.09606234211261779,1.0118956907982635,340735.275821138,194531.659584999,0.8168656698007895,212329.55548950858,305303.05342857674,69044.62132119053,13943.047978435285,0.18850561327311435,176960.70338787074,702631.225038994,326143.00510874775,460703.4024002703,47344.298994491255,174826.03435171497,1.053463870877391e6,283900.0808226541,696130.3523853938,281285.2236734874,444357.29735653976,670190.2216772881,6325.066457409209,1.6451158366608683e7
t1,1.377585357022737e-5,1.7524263394917473e-5,1.4531893268424031e-5,6.471622370093227e-6,1.0511969502685054e-5,6.477796854494455e-6,1.770841093390011e-5,1.4062228981515398e-5,1.0927183557307521e-5,1.0160657787371719e-5,1.0225154444491151e-5,1.020607210169566e-5,1.0122063491398312e-5,1.7720996848164147e-5,1.3843251300140647e-5,1.4539082687298163e-5,1.3798222147002273e-5,1.332403672946976e-5,1.7633852366417697e-5,1.0182071898300871e-5,7.0748961370354234e-6,1.409110282875587e-5,1.459701909295002e-5,1.3857908860962336e-5,9.909374753313672e-6,6.809318168093744e-6,1.0098089966129121e-5,1.0608674833641366e-5,0.0,1.0731911255560313e-5,6.998653522894966e-6,0.0,4.124372389642861e-6,0.0,0.0,3.6435844498777057e-6,4.507161232767676e-6,0.0,0.0,0.0,0.0,7.4190778881656475e-6,4.128714785487516e-6,7.097590739376467e-6,0.0,0.0,6.873444665150943e-6,0.0,7.101884868027645e-6,0.0,7.745403704458107e-6,0.0,6.440209717044404e-6,3.1089909920486465e-6,3.332444698301296e-6,6.379354705636942e-6,7.737930661298466e-6,3.330639401209592e-6,1.0118867514377237e-5,3.287563760097536e-6,1.0004793857925456e-5,7.828559148357339e-6,6.79406452320962e-6,1.0171588653360038e-5,1.762361201154863,26.63098077266241,1.7623528458894864,9.996515491932158e-6,1.4518081395059955e-5,38.0862021082279,1.6644414921446236,9.970852538361844e-6,1.4755336759360496e-5,1.4876415498573437e-5,5.09122321971146,9.085446262323509e-6,74.99812454231471
t2,1.377279774730036e-5,1.751277527350215e-5,1.453942331643037e-5,6.471718434144164e-6,1.0509855371485787e-5,6.475730049283668e-6,1.7695353970232946e-5,1.4059875100677386e-5,1.0935440464376384e-5,1.0156520898204173e-5,1.0224842920542914e-5,1.0205591325396509e-5,1.0124264684893925e-5,1.770786184884637e-5,1.3839808556643882e-5,1.4536030910658088e-5,1.3785743674257266e-5,1.3323327987869092e-5,1.7635766058517486e-5,1.0184544994953734e-5,7.074835140104649e-6,1.409110355168505e-5,1.45968517574872e-5,1.3859296008228161e-5,9.909653549377978e-6,6.809289065267458e-6,1.0099075835205851e-5,1.0608055274013003e-5,0.0,1.073073101729096e-5,7.000953347927442e-6,0.0,4.125711724295836e-6,0.0,0.0,3.6440383050594923e-6,4.506790413332732e-6,0.0,0.0,0.0,0.0,7.419266529769922e-6,4.1298061781282e-6,7.09772416525621e-6,0.0,0.0,6.873042281572621e-6,0.0,7.100945312370194e-6,0.0,7.763508265272977e-6,0.0,6.459454740569652e-6,3.117416862518167e-6,3.346777539792181e-6,6.396496488913841e-6,7.756772254477048e-6,3.344109140054263e-6,1.0137623371805436e-5,3.298285195629507e-6,1.0025679645337432e-5,7.848536051220138e-6,6.801786839434457e-6,1.0094930685476997e-5,1.7623611830730976,26.630980736747695,1.76235280913392,9.939817165786356e-6,1.4482356589788365e-5,38.08620205122138,1.6644414906397031,9.907218883184024e-6,1.4685318960624183e-5,1.4791606847687643e-5,5.0912231978636,9.085237501218523e-6,74.99812412605546
t3,1.3774053990742159e-5,1.751341189851056e-5,1.454598991422042e-5,6.472670509585996e-6,1.0510418647490673e-5,6.476799282062719e-6,1.7695392165308876e-5,1.4051712826707471e-5,1.0941944225325919e-5,1.0142250647170032e-5,1.022600435554155e-5,1.0206703012188377e-5,1.0128360079111797e-5,1.7708071651118524e-5,1.3841231910467182e-5,1.4512811597273312e-5,1.3785711615691274e-5,1.3324644579347051e-5,1.7640082649015467e-5,1.0188375504079836e-5,7.07344360977909e-6,1.4091904730172967e-5,1.4597711106699705e-5,1.3860996130083795e-5,9.9112605742318e-6,6.808987279449887e-6,1.0102019324106149e-5,1.0607079105592467e-5,0.0,1.0732581939465398e-5,7.002654916448277e-6,0.0,4.126457318046356e-6,0.0,0.0,3.646247355869785e-6,4.506845211912666e-6,0.0,0.0,0.0,0.0,7.420619246128222e-6,4.13052842981928e-6,7.098172151241029e-6,0.0,0.0,6.874625319262931e-6,0.0,7.0984365822686175e-6,0.0,7.771214800833906e-6,0.0,6.469487178635401e-6,3.1220900286517948e-6,3.3529171131132096e-6,6.404750136391195e-6,7.764530697437529e-6,3.350215571169218e-6,1.014682307339399e-5,3.3019276193013807e-6,1.0035387841398938e-5,7.857111550400579e-6,6.804686719905302e-6,1.0072498043026138e-5,1.762361179274799,26.63098072456559,1.762352795612057,9.924133619046199e-6,1.446918314366411e-5,38.08620203716737,1.664441489107433,9.889776278672223e-6,1.4663219349367134e-5,1.476771572286299e-5,5.0912231903045555,9.085925489826015e-6,74.99812404683716
t4,1.3777912332385329e-5,1.751607196439804e-5,1.4551039428059662e-5,6.4738635838609595e-6,1.0512492662275938e-5,6.479746618900288e-6,1.7697049651252246e-5,1.400125039433057e-5,1.0946814912381285e-5,1.00636411903285e-5,1.0228732691240066e-5,1.0209485563363375e-5,1.0132022607811096e-5,1.7710210103952643e-5,1.3845376122730004e-5,1.436411175784729e-5,1.3787411286279133e-5,1.3328016376055365e-5,1.76440131922887e-5,1.0191748330862388e-5,7.074324814792184e-6,1.4092626906222955e-5,1.4598424807412617e-5,1.3862202324073909e-5,9.913068960082144e-6,6.811973613371745e-6,1.0104568578491755e-5,1.0609586650210972e-5,0.0,1.073449377548467e-5,7.005723252449107e-6,0.0,4.127367508888769e-6,0.0,0.0,3.646932740164392e-6,4.5069792786471745e-6,0.0,0.0,0.0,0.0,7.421046455969639e-6,4.131314658151397e-6,7.098794616130264e-6,0.0,0.0,6.876275505252228e-6,0.0,7.098476341731602e-6,0.0,7.773580784458536e-6,0.0,6.475022171740529e-6,3.123694579001401e-6,3.3551514202308076e-6,6.40917859359573e-6,7.766762693533743e-6,3.352385712955048e-6,1.015125634846197e-5,3.3035235463180586e-6,1.0040000610559208e-5,7.85995261339624e-6,6.800969232064745e-6,1.0089304696580869e-5,1.7623611841665994,26.630980727220674,1.762352796755577,9.939784429280518e-6,1.4470621685459538e-5,38.08620205419607,1.664441489853836,9.90656639648353e-6,1.4675479274957155e-5,1.4786580124420118e-5,5.091223190744365,9.086626778271378e-6,74.99812398457037
t5,1.377980586535811e-5,1.752304588216702e-5,1.456300722573292e-5,6.475291203560667e-6,1.0513270201601757e-5,6.481281455509811e-6,1.7704528474776566e-5,1.4070787242105176e-5,1.0956040343903047e-5,1.0170851221223924e-5,1.0230765747158892e-5,1.021132202052409e-5,1.0138300133069766e-5,1.771763069131084e-5,1.384697988914287e-5,1.4547427439600114e-5,1.3794108997703479e-5,1.3330156218487517e-5,1.765175816185522e-5,1.0198276054057446e-5,7.075165629448625e-6,1.4093267575516611e-5,1.4599287485494388e-5,1.3863426097041537e-5,9.915039537950925e-6,6.813338651038884e-6,1.0106127469713878e-5,1.0610837814032076e-5,0.0,1.0735625102068239e-5,7.009417314671452e-6,0.0,4.128342109503648e-6,0.0,0.0,3.647187085210857e-6,4.507176296704702e-6,0.0,0.0,0.0,0.0,7.4212420185185594e-6,4.132255680618214e-6,7.099833967989774e-6,0.0,0.0,6.87739348125787e-6,0.0,7.098839020851007e-6,0.0,7.774091484797824e-6,0.0,6.478862755143312e-6,3.123438538756916e-6,3.355772413872753e-6,6.412024381337376e-6,7.767284087993573e-6,3.3530088936676507e-6,1.0154102093697633e-5,3.3040612527539338e-6,1.004298446460111e-5,7.861033392212443e-6,6.787348873875152e-6,1.0156098552111547e-5,1.7623612025834534,26.630980749788858,1.7623528120878504,9.99826693271815e-6,1.4486793536199294e-5,38.08620211544757,1.6644414901563893,9.968402804122829e-6,1.4731756763197903e-5,1.486407961094333e-5,5.0912231980178575,9.090293067994265e-6,74.9981249162227
t6,1.3786259560697762e-5,1.7540346142958244e-5,1.458382944861439e-5,6.479656737550301e-6,1.0517119545061072e-5,6.485976887680546e-6,1.7723246165620277e-5,1.4091140957244786e-5,1.0974672880181389e-5,1.0194768206526277e-5,1.0235991999166204e-5,1.0216246164143663e-5,1.0150962152519176e-5,1.773601066432021e-5,1.3852989202254467e-5,1.4586089258874937e-5,1.3811029788180244e-5,1.3336149958790705e-5,1.766941019205128e-5,1.0211715405216034e-5,7.076116052969043e-6,1.4094680430834543e-5,1.4598712880937719e-5,1.3863771946386834e-5,9.914964839386719e-6,6.811079622626279e-6,1.0103213794585523e-5,1.0608986678949282e-5,0.0,1.0732373780579225e-5,7.005341599651636e-6,0.0,4.131007483391103e-6,0.0,0.0,3.6443222926355707e-6,4.508326726034858e-6,0.0,0.0,0.0,0.0,7.420609759958575e-6,4.134571343040545e-6,7.102963371295945e-6,0.0,0.0,6.875260308472003e-6,0.0,7.100223089674417e-6,0.0,7.772967702869623e-6,0.0,6.480092314646138e-6,3.1220016515385483e-6,3.3550512748346687e-6,6.412205532630519e-6,7.766182659385564e-6,3.3521996409017913e-6,1.0154622949657568e-5,3.3039501230188474e-6,1.0041693941979418e-5,7.86121866193394e-6,6.728876555961004e-6,1.0336509479337288e-5,1.7623612469500134,26.630980806262514,1.762352864593619,1.0134250369910574e-5,1.4543962239347095e-5,38.08620226434049,1.6644414912438623,1.0118981438311146e-5,1.487460027844597e-5,1.5091666263870682e-5,5.091223226571339,9.100633625985821e-6,74.99812636176587
t7,1.3791276161786497e-5,1.7560277767128317e-5,1.4607701220650734e-5,6.483337086557421e-6,1.0519989029420779e-5,6.4898854598223235e-6,1.7746196630658064e-5,1.4110105868451235e-5,1.0994177392400594e-5,1.0214214780328984e-5,1.024124752964083e-5,1.0220327933752162e-5,1.0165126031803571e-5,1.7760719717240272e-5,1.3858212299876152e-5,1.4617456518297168e-5,1.3834565283570412e-5,1.3341013590801957e-5,1.7689291274080426e-5,1.0226087267888611e-5,7.076653665508491e-6,1.4098045547961966e-5,1.4602513037732001e-5,1.3868589988088554e-5,9.92018317220949e-6,6.812402352972411e-6,1.0108100260196135e-5,1.0609937648163248e-5,0.0,1.0736972520779248e-5,7.009987378435402e-6,0.0,4.134190154454528e-6,0.0,0.0,3.6456655504961918e-6,4.509734741267261e-6,0.0,0.0,0.0,0.0,7.422050893187107e-6,4.13770808969227e-6,7.1052290083692305e-6,0.0,0.0,6.878028045907989e-6,0.0,7.102702160350423e-6,0.0,7.775385018654055e-6,0.0,6.482461470581549e-6,3.1208591213477815e-6,3.3566010154116374e-6,6.4158596971431e-6,7.770034844942975e-6,3.353975951283412e-6,1.0158025992404592e-5,3.305288156946725e-6,1.00458769227269e-5,7.864280210699717e-6,6.721607641769094e-6,1.0695454073789699e-5,1.7623612582712787,26.63098086037186,1.762352906152865,1.05055574222483e-5,1.4589626505109404e-5,38.086202756925246,1.6644414945365595,1.0483839860077696e-5,1.5234609644564159e-5,1.560475551187392e-5,5.091223239795635,9.116983800189057e-6,74.9981293670394
t8,1.3791803004476134e-5,1.756535303514551e-5,1.461420282908651e-5,6.483876059304669e-6,1.052070452579306e-5,6.49079768992003e-6,1.7753058568843014e-5,1.4115848091719053e-5,1.0998718975827235e-5,1.02199577764729e-5,1.024196941019412e-5,1.0221243424949291e-5,1.016782950846766e-5,1.7766914123553876e-5,1.3859859054566334e-5,1.4626442024397321e-5,1.3840681778593965e-5,1.3341541902737627e-5,1.7692733785685456e-5,1.0229538524800314e-5,7.075862515321655e-6,1.4097050179935256e-5,1.460234190558329e-5,1.386805559940428e-5,9.921066350026603e-6,6.814152026679276e-6,1.010878073426651e-5,1.0611048424401469e-5,0.0,1.0738752485453567e-5,7.012582905333954e-6,0.0,4.134989919512093e-6,0.0,0.0,3.646661293102855e-6,4.510585816584161e-6,0.0,0.0,0.0,0.0,7.423266780919021e-6,4.1385075123535325e-6,7.104691599766342e-6,0.0,0.0,6.879576227870625e-6,0.0,7.1024844097734544e-6,0.0,7.776351953741124e-6,0.0,6.48174444459344e-6,3.11912879964926e-6,3.356593099334627e-6,6.416770028442829e-6,7.772712067424596e-6,3.3539889488046696e-6,1.0158480323056165e-5,3.305253901441081e-6,1.0046477805515702e-5,7.865297129035311e-6,6.718142500868201e-6,1.0005556864335856e-5,1.7623612362631282,26.63098078475959,1.762352840974721,1.0043977926134375e-5,1.4523585055816842e-5,38.08620216921751,1.6644414973561146,9.961908307586915e-6,1.4534043556296338e-5,1.4694022285827413e-5,5.091223221892743,9.102723275651067e-6,74.99812532075286
