Line,New_Trans_Capacity,Cost_Trans_Capacity
1,1.3294985e-9,1.217923e-8
2,7.589069e-8,5.0675783e-7
3,1.7478699e-7,1.3544293e-6
4,1.6723869e-9,9.366704e-9
5,0.61518854,5.162997
6,6.6132017e-10,5.4290243e-9
7,2.2097707,17.530956
8,8.4638113e-10,6.48616e-9
9,0.18068188,0.9553908
10,1.5463383,9.511864
11,0.9099011,7.113646
12,13.320425,102.44497
13,20.0,86.93285
14,1.0862758,11.5218315
15,3.4800816,27.839863
16,2.4287827e-8,3.9374834e-7
17,3.1983844e-9,3.3268435e-8
18,4.2181586e-8,2.4036427e-7
19,7.134511,62.239044
20,5.4050652e-8,9.2908977e-7
21,1.3032155e-9,1.283872e-8
22,2.3014039e-10,2.6180296e-9
23,3.3096997e-10,2.596189e-9
24,14.15544,149.8329
25,3.111885e-9,2.1151711e-8
26,16.154455,140.27908
27,3.2077236,33.61461
28,5.155024,36.348324
29,10.508221,93.826935
30,2.9640477,34.35961
31,5.70574,42.04475
32,1.7523863,16.394657
33,20.0,144.98322
34,4.530458e-10,4.7473434e-9
35,8.7090896e-8,7.876973e-7
36,3.4754193,33.12812
37,7.0857803e-10,2.8879847e-9
38,6.995547e-10,4.0840034e-9
39,4.446506e-10,4.090701e-9
40,0.6480007,7.9128513
41,3.2589405e-8,4.1602374e-7
42,3.8699477e-10,5.8578205e-9
43,13.653187,190.82602
44,20.0,250.12186
45,3.531276e-9,5.944776e-8
46,1.01033395e-8,1.5769416e-7
47,11.954571,140.04161
48,4.205622e-8,6.9230697e-7
49,1.3643724e-8,2.4001747e-7
50,6.5843105,119.2744
51,1.16775825e-8,2.731887e-7
52,4.538853e-9,9.5859036e-8
53,1.6502549e-8,2.5734758e-7
54,1.8826092e-9,3.2159583e-8
55,15.724118,189.29422
56,2.6538005e-10,4.755203e-9
57,3.6883513e-8,4.9796586e-7
58,13.741497,177.60551
59,0.18577388,2.3371775
60,9.386507e-10,9.028874e-9
61,2.8496741e-8,3.3455308e-7
62,0.027498623,0.33464605
63,1.0496359e-9,1.6609922e-8
64,6.721378e-9,1.2601296e-7
65,1.0833296e-9,7.1150557e-9
66,2.3574517e-8,4.0388204e-7
67,9.205804e-7,1.0620278e-5
68,10.712422,88.34363
69,4.559221e-10,5.7898006e-9
70,20.0,165.29845
71,19.999996,208.71432
72,1.5139431e-8,1.4243204e-7
73,13.754769,194.34189
74,5.662227e-10,9.082664e-9
75,11.646773,155.01378
76,1.3592849,11.801227
77,3.9162838,43.887287
78,15.25336,153.15291
79,4.0333915,48.96573
80,4.4507614e-10,5.9236966e-9
81,16.158062,128.22908
82,6.259191,81.6774
83,2.334252,26.985893
84,4.304845e-8,3.7209654e-7
85,9.395328,154.01976
86,12.154426,184.81459
87,7.6568224e-10,1.152618e-8
88,4.48193,33.32539
89,12.873563,130.19838
90,5.8516974,36.176254
91,8.351514,94.88127
92,15.968117,92.3137
93,20.0,231.08405
94,1.8109182,18.716276
95,1.905025e-9,1.6561549e-8
96,15.662437,113.46784
97,9.629376,81.6737
98,7.761202e-10,6.256947e-9
99,2.2370774e-8,2.480547e-7
100,4.6158805,56.166668
101,1.8742149,25.281094
102,10.179212,59.49347
103,5.114122,29.797346
104,5.6729975,36.674595
105,8.185614,69.92649
106,20.0,132.74768
107,6.185645,67.46021
108,1.791995e-9,6.728738e-9
109,20.0,107.768074
110,15.070968,235.51811
111,4.2615064e-10,2.5910407e-9
112,20.0,275.28275
113,13.171778,103.849365
114,2.2670406e-8,3.811739e-7
115,0.63506365,7.0401325
116,0.33298752,4.555948
117,11.067576,131.40259
118,20.0,133.9075
119,0.98392266,7.7888374
120,3.6804035e-10,2.940061e-9
121,4.2743583,61.480564
122,4.209644e-10,4.892043e-9
123,0.92837757,14.254205
124,2.923186e-9,2.6383534e-8
125,6.69113e-8,5.6891156e-7
126,8.836099e-9,6.2544544e-8
127,2.9402096,30.671621
128,0.20056662,1.8635805
129,2.3724904,28.031847
130,7.8829346,106.351395
131,2.1719577,157.70805
132,2.1912244e-8,2.9591893e-6
133,2.0848878e-10,5.0690248e-9
134,20.0,642.2917
135,1.8249324e-9,6.120666e-8
136,1.7626225,55.218178
137,2.2953931e-7,1.8442506e-5
138,1.9456488e-6,0.00012999574
139,4.1143525e-7,1.6750113e-5
140,5.8079803e-7,1.7505894e-5
141,10.972973,671.05396
142,5.405967e-7,2.4838604e-5
143,3.1136167e-6,0.00020239044
144,6.7215666e-7,1.9605335e-5
145,0.7376206,31.991722
146,3.6666071,457.8031
147,4.104698,34.27674
