Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,1.4090042e8,1.16229224e8,2.2169325e8,1.7342358e8,1.4622766e8,6.8189336e7,1.1166312e8,2.5185024e8,6.1176524e7,1.1794883e8,1.2442002e8,1.0811401e9,7.481871e8,1.9593907e8,6.2540614e8,2.5206013e8,5.063781e7,1.9310302e8,7.136412e8,1.917566e8,3.154452e8,1.4637632e8,1.2200854e8,1.4882016e9,3.4816704e7,1.4878505e9,3.5462944e8,4.4626406e8,7.6314355e8,3.5671514e8,6.25712e8,3.3006486e8,1.2755648e9,1.603536e8,4.426931e8,5.1306886e8,2.489741e8,3.4098468e7,1.4266157e8,1.02714376e8,1.7492312e8,6.86874e8,1.9277536e9,2.462449e9,1.8012222e8,6.0914157e8,1.3946299e9,9.579678e7,6.729651e8,3.7893875e8,6.5851924e7,5.6624614e8,5.3412816e8,3.1497165e8,1.01142765e9,1.4060842e8,3.3333936e8,1.0172797e9,4.3054704e8,2.1978826e8,2.299207e8,1.9659616e8,2.1975259e8,4.539164e8,4.5998886e8,1.0880744e8,4.872936e7,7.5157286e8,1.2284259e8,1.07168544e9,1.8210516e9,6.4778e7,1.2902237e9,2.2724637e8,1.004483e9,1.1336961e8,2.1495171e8,9.139555e8,1.0811368e9,1.3756192e8,1.5038328e9,7.338973e8,4.974618e8,8.091229e8,1.02061203e9,1.1132699e9,3.2883133e8,6.6172915e8,9.571456e8,4.480821e8,9.1498976e8,9.583982e8,1.9475231e9,3.227338e8,1.0504972e8,3.909133e8,6.002056e8,1.4506178e8,5.2074464e7,4.7362237e8,4.9462387e8,4.7655824e8,3.142463e8,3.543747e8,1.6601416e8,1.0039424e9,1.33279976e8,4.3145808e8,1.0120501e9,7.568818e8,5.6808056e7,1.5609198e9,1.1377477e9,2.764187e8,9.522651e7,2.2540326e8,1.3948133e9,1.4893317e9,4.321973e8,7.648402e7,7.749429e8,2.9773896e7,1.3347445e8,3.619375e7,1.9485248e8,4.8794616e7,1.8196693e8,1.4284555e8,4.536225e8,6.2841766e8,3.1085264e8,7.857592e7,1.0132804e8,1.6135587e9,1.4453397e8,1.1521371e8,32.846584,265.173,39.53606,37.05153,2.0222303e9,72.38364,432.7875,47.61188,4.517218e7,6.9008134e8,6.1974266e8,7.296679e10
t1,0.028459507356572662,79073.04264714486,36355.891619667374,67184.97838379438,0.028804926229577074,25676.829952383232,47878.71772500387,33064.28030835313,0.02977606441582864,39017.78487925392,0.05127928341921591,1797.1280369298127,11967.058770141206,0.4187011612707399,30711.528190021105,50706.8462863445,10904.742422447263,7318.905199156581,96573.31387887645,71784.67842801561,138661.08451528216,90381.3564469035,0.03398128146113655,204286.72144708375,0.027699684594408098,266041.31383223296,44225.42919912097,75951.70618361614,146651.51521715446,0.029757278776611773,18410.81147152557,109356.84935915457,1526.608998035861,60148.31392309844,5801.418569371735,103214.24224837327,69205.94321488687,16413.76290995005,25225.839389184675,44567.29838776029,59892.08547891653,51564.97901890137,0.029294772773481866,35014.3852912231,0.032079410043979545,55295.47289974744,183948.1961850238,25886.531071233625,93842.09741842386,35419.52997099849,6789.341109059012,0.03299963697909852,47368.41169616751,3.388415959255072,132175.91685410388,0.09440399848602682,0.06080299861569259,0.02741334633678801,16512.995673564477,0.028999541611668532,0.02681732868801324,13779.236621758888,0.03815713478712671,87959.16895611034,94760.48979298843,26792.70379466151,10798.579315190742,154921.89983770438,46376.620467437635,44794.52236212524,0.06408709164382892,14793.442380284612,55371.19464770838,0.02922325441454325,0.03488744364001188,0.027630585630500838,8620.556764034656,24993.187316877327,0.07301116477688074,0.05127700394012338,74551.12900039331,106098.7783137545,0.17363643489525607,110739.69203887264,42710.19827498113,43421.95100887852,0.08211206773826683,33649.77175609131,75810.62166340978,83135.30212771673,237489.29570798087,131374.140425501,283929.4057764978,0.03862720718750238,0.03260687050459218,53543.48247891618,0.07714134996178386,0.030815530501271324,0.07062588301615327,0.07925674142517601,14026.193547707366,15086.929790352417,64131.1056470271,57261.329708580444,4646.192713440737,95748.4256544761,0.030406936066104458,14316.473080869378,183799.14308492705,56429.63299552746,0.032469745300056814,124878.80871727563,192815.80281813897,50602.167527968784,0.004695383820610356,32692.756585085193,236471.03244035348,267021.07450875273,76365.21229149074,0.22835949194860589,148304.58805180897,0.004587884057080415,0.01803254154335981,581.4271408899123,31050.744241640266,8620.15193570484,0.005720844191005518,21853.367158377998,79491.43147063095,6257.367158582651,9869.46437641802,0.006804909350259091,10099.48689590416,194626.1908943234,13832.186552930138,11074.003950502556,0.003935439709933626,0.025217877072616073,0.006171954135066429,0.004450732802576955,241136.48483666376,0.012836625751483035,0.04283464844757205,0.007948331428516354,3050.523735096739,138689.33067579186,65600.8682064272,7.104646861186464e6
t2,0.04783412097742809,78758.40780142626,36355.85622686684,66383.29638717661,0.05108079539101945,25677.082454282547,47878.721420453425,42022.36238310233,0.029649828579332793,44651.50995261164,2493.8962309956287,0.02557867006008563,10765.737868871607,0.026670165573148056,29377.068111644377,50706.8493561745,10904.709116354921,6888.805316335545,97067.7078457576,71784.85835246352,138661.08814021383,94155.85752521644,0.0365004256757194,210781.01130689753,3326.88797404626,266041.3098681079,44225.426148705614,75940.82083740894,160733.06868273526,17933.971031108864,15801.964816032292,109356.8568486643,3955.957770303918,60147.78356630643,4934.088328172189,103214.24668841902,68843.43152702507,15475.542614418911,37828.79844557901,48604.450125048956,59892.09090992745,49662.78882474066,0.030105547840071425,48886.445930971866,0.03308005280473568,64332.6218482961,203682.658724348,25886.529230713782,87688.84959509454,33586.92666041037,21360.85333592836,0.0337628696513292,48654.60258882206,1563.5951647742957,153145.82077959148,0.09575393700293268,0.06095465448513919,0.027594674507091497,525.808614109279,0.0799542658002354,0.035921898055579014,0.03852363214186117,0.273600985695077,87959.16110316741,89372.02246217705,26792.703022333837,0.03724020343462953,154921.89096744492,38485.64517692198,24497.58116774743,0.03360941868217673,0.029891975792136507,18919.961075483363,0.03381201677856123,0.12693998141260499,0.027831156965388217,10440.417151746655,26898.697609496525,0.03499272933322392,0.02999673356368874,67005.02294050012,55782.10530716859,0.17363002377463163,81754.21455419074,87588.89729872208,78142.79683320795,0.04312030591781041,51038.55089228633,92757.90196943416,83135.29912922104,237488.86529286596,150053.54107295602,285866.14377619984,0.03892675780779076,0.03250755900865711,33645.751769900104,20348.908763300642,0.030071470388550785,0.07155788199826688,0.05168710558661133,0.12195308757602402,10472.785082868697,52090.49717980933,59286.872927821154,4584.913240906958,84865.18687553873,0.030317059831304376,2461.8035765915274,164782.41185961312,44878.52271113254,0.03231279995121096,113219.21903469462,172602.20302324483,48411.0051270133,0.004649141787344516,31413.729599843817,237147.14176476907,267021.07450896676,76365.21215769563,0.222195391453329,147513.72424884696,0.004583946097509483,0.016948852884464325,302.86618937252626,31050.743891614806,9645.278101669886,0.005512055866819051,21853.367148890153,78115.96012022396,6394.651981845935,9157.336825518089,0.006876254154941232,10357.906640146788,160038.5129570582,9908.829118123416,8549.20408671988,0.003937510580301044,0.023051935066640394,0.006582230699709548,0.004460757868672547,155438.13246919453,0.014077531215558964,0.03661003135475584,0.008714691650306887,2863.3108738680357,160271.4383805103,73021.90686418652,6.957533116346552e6
t3,0.0473220226843269,79370.64712688062,36355.85601966525,67053.7193617831,0.049276502185119454,25677.08212999234,47878.72140519632,44414.26870025964,0.02969314645512311,44651.5095739387,3007.8083960043086,0.025440391327550424,10792.654782228003,0.026623952630470092,29854.962818746524,50706.84933560358,10904.709139510673,6999.183358556383,97385.92203942369,71784.85844339388,138661.08812531523,92526.87534430684,0.03643702073827004,212954.62716033024,4952.245515378977,266041.3100447499,44225.42627878375,76085.01319033133,160733.0687675683,33086.91398087437,17281.25774611825,109356.8568232451,2585.73959913662,60147.797903081104,5341.157037487557,103214.2466716716,68722.49796741421,15233.104537462063,38651.048544056954,48604.44991428023,59892.0908890864,48371.252489598584,0.08372563772073102,53108.69610750026,8433.781993688654,54883.693639794285,216129.25561031865,25886.44210576443,109392.14651137675,48728.239966129724,12532.578732115264,0.08013916143783006,52697.79215519213,0.03633614751383162,165911.95055902476,0.03293126816558089,0.03103906696099666,0.027586653907253678,0.0359123438870795,0.028396310715135983,0.02694856528373689,781.5680169557598,0.03598703347641489,87959.17098968287,76132.77702849271,26792.702653854954,0.09369536336123527,139286.11595883535,7582.370812406263,0.08852151786221442,0.0330311634376675,0.03157308058139513,0.042798428140070746,0.03653593660880173,6727.441226808296,0.027842367809611468,9814.177547988484,49494.10105792037,0.03359412092001079,0.029123187206219585,70295.6595900196,28696.32163459144,0.15974713240612376,83121.03677887499,88167.86266356453,74579.24744163419,0.04193964545573638,50427.03960256758,96329.73986227771,82603.21567706452,228746.9381982511,163952.3388648789,310085.19128771,0.039096110868795886,0.030324780052012605,0.11485691632142571,54920.740815376674,0.029564229793861977,0.05394553861388846,0.04407917455802554,0.03291430353839407,10092.43198030255,33199.46579025405,49069.30562608449,4815.859454889569,61969.46053417176,0.029958495062174875,7972.460329250627,128746.02891038322,23535.595683373238,0.03198490787376494,110184.32136332236,126364.56063100568,47462.77826905065,0.004623989001943862,30917.462080664056,237887.33713243136,267021.07450912,76365.21215299288,0.22240355729064246,147626.98804629032,0.0045814532668121905,0.016911308069722297,246.11551631551637,31050.743853778687,9300.690690502384,0.005577988583161248,21853.367147107478,79446.1355363814,10006.417094816494,4358.922358404282,0.006894948322115507,10516.077546887509,124652.6796629823,20545.212171137435,15378.384733186087,0.003934632143500764,0.020511332113069648,0.006580416807451825,0.004460014000877467,26939.48392185606,0.014065893413594596,0.02859493120231288,0.008710193821419758,2912.9629131544725,160271.43891545213,77209.2188691056,6.675627356449061e6
t4,0.028608979255850885,78661.92253292876,36355.867884106716,67159.8085808426,14368.713250622375,25677.136215107905,47878.72174652057,37796.02353398047,0.02961795444828954,44651.58909711555,236.97005201460635,4000.6979951217677,13298.099530062276,0.05458038025572171,31913.629689029018,50706.84993508567,10904.720540224449,7603.815165404643,109171.3130644872,71784.91259638811,138661.08853210296,95087.03365836243,0.03633927944855194,230236.63737593716,7125.84964075904,266041.3109611532,44225.4267757837,73332.6625739154,160733.1049320462,55739.66512829903,19264.66380838027,109356.85737849295,0.07559616051790662,60148.0118485719,6451.822143673369,103214.2470841152,70333.69471121141,18365.368475372314,38485.11003734156,48604.55519246604,59892.091409589884,48205.32109712135,0.03703047091786684,46436.459334962194,0.04902097975420136,62060.10241258712,249838.00135027803,25886.50838746465,84138.53333031143,42998.71935158537,23193.30817331731,0.0417881462458699,45492.15509926393,0.058471368052996964,200409.84535407956,0.042370287214634456,0.0348482963211584,0.027588511647379618,0.035417874197820144,0.028281885658806,0.02704142221581726,371.2635158836412,0.03334473872788395,87953.10794294492,76633.86015487676,26792.70240383394,0.09324043025991562,139599.93686329707,18242.919913423913,0.11813587766028387,0.03264855048716253,0.031439603454416924,0.03575982346191389,0.036594943428839906,3068.274555616179,0.027830194759123413,9872.139825685135,35084.24367997692,0.032856967023781596,0.029191493875033375,63510.044343582915,0.20288150446494332,34414.74143726828,31196.544549796614,23595.224986224384,170490.27507636408,0.04284527417799432,25376.26235815634,129326.28122770987,65021.86020043504,172432.2321484874,162652.7841825697,310085.19001961796,0.03891137148679937,0.0321141927746243,5292.060829517391,31788.615409338203,0.029497794208802875,0.07147135647000491,0.0499727800596443,0.03448505294478343,10759.680608204717,25031.675240840646,41269.71376083691,5228.536288290125,68813.21151916654,0.029925233027723864,20380.94542427376,108281.11603275687,62517.23199372133,0.03197960697105298,110227.11631158578,95693.22022265162,48311.51452175503,0.004563855825166977,31383.937377669703,237599.39194145595,267021.07450882415,76365.21216569694,0.22372453044297527,151905.2251797346,0.004591374631491142,0.016559397250700016,280.31412917158286,31050.74403235176,8385.403957697092,0.005893592412473197,21853.367150493144,84304.51966100608,15548.48865932077,3245.3683268308046,0.006867686898004173,11541.92211484607,83118.51166060261,27323.996543613433,20626.21499775121,0.003931077217135143,0.020566702517256695,0.006714928525931889,0.004458273740410763,61419.163419307406,0.01990341315081952,0.02873098754446747,0.008912373230251607,2847.013436720462,160271.43961938194,66951.69842911989,6.668488478974852e6
t5,0.02858113001787234,70941.06850371987,36355.85826978094,62296.793617699324,10913.42571573837,25677.098773531496,47878.7213360711,23236.04559729478,2591.8473663066484,44651.56861859546,0.03516695499623236,19870.93509081504,22844.087793765815,0.03148214487649135,36338.877538393004,50706.849438323006,10904.71168537044,8932.730403852172,95704.2257867602,71784.85911263668,138661.08819910348,106742.8244032551,0.034371049957456705,214643.15960813337,7125.743771081712,266041.31163155695,44225.42734743716,67845.0528758698,160733.0582425385,79575.85475796016,17652.55872585693,109356.85671502272,0.029612983791734347,60147.81287430917,9216.586450293651,103214.2465952018,72607.22217835265,23644.498603051718,30767.057499267557,48604.487774281726,59892.090791037284,51163.81308083325,0.03745187113463914,50281.937192789206,0.05136463911184675,66679.81409209754,260647.8066626532,25886.508725294698,89217.30989873603,55806.50280618247,28623.716299413954,0.04300282515565581,44321.69768581606,0.05645105309180727,208603.61096818367,0.041564041244638264,0.0341655033664751,0.027668699348928735,803.8562627359362,0.25183215012821614,0.03808351773887364,0.03528676079167943,2.1360541150566266,48591.35885706233,92957.26900679171,26792.700423307673,0.09491499891336862,141111.31852085146,15500.491666670836,0.12266028042702172,0.032484551684080626,0.03142764522988002,0.036147326524403764,0.03691232819181386,10085.708778946379,0.027839539749518975,12044.440912971886,26957.04745023682,0.03287430046301878,0.029203835952818072,80836.68296514334,0.17741096313625287,19962.42832796157,27244.278780522713,1.3852157264750613,232001.83995322624,0.04478555075840346,33003.28712999642,127787.65561886382,51936.89410537886,154813.5343545063,166297.27789123094,310085.19081823406,0.0378564757492395,0.03197369284979472,25361.910437609433,7174.613220377586,0.029643582769227995,0.07065585325668618,0.05090773181625635,0.03690206019647783,11304.48388926796,25870.453428088244,33743.30081666661,6168.391094247807,78589.53543711141,0.029977273967108538,25437.686290205125,97966.12727435028,108673.95721521649,0.03203474351701828,110228.24055794267,90221.0428203673,51733.798871442035,0.004537375596217495,33426.839892830285,236952.2656836551,267021.0745092088,75490.00239605815,0.01256509990893646,155910.27077019738,0.004928572470524454,5459.035442335007,556.9494146299887,31050.743950682787,5315.123808144375,0.006072283898136875,21853.3671634566,91485.02173774391,19446.182076994653,7393.069367359951,0.00662534295512729,11935.987429730314,67495.87304599104,36677.779104239205,29273.13256467537,0.00392875387235217,0.020623342187768783,0.006598269141949382,0.004453583726103895,94075.82329004742,0.014106119937697637,0.028836396277429996,0.008670079874026921,2846.5179337057725,160271.4226036558,59482.79117803293,6.808270843558295e6
t6,0.027900723665000755,54144.40419357829,36355.86097877432,51784.00160798556,3229.6371090796765,25677.100961416465,47878.71927109543,31704.537130150784,0.02262496481288654,44651.5584352346,22521.937671891912,50272.34651433358,41214.806410692814,0.030572577051135977,42220.85116771957,50706.84755900682,10904.714161630212,11933.461819217167,82875.37502876962,71784.86228761006,138661.0866951921,106742.9548338161,2837.782390152993,203246.93648656766,7125.7523806219615,266041.31532419036,44225.43007520316,69892.81932247835,160733.0287729813,77662.01030406375,14063.427343365182,109356.85271861558,0.027876470061047535,60147.87985048989,15149.353423771263,103214.24408254852,76465.2908032396,32524.856816541225,31074.23548452911,48604.49157444391,59892.08772152437,57484.52303778814,0.029828608279631505,50742.37173373208,0.03200561287919844,53063.20383786592,263915.0733928759,25886.528199389355,100000.00507424695,66040.83776238681,0.17979322050888097,0.03304198656252572,52968.515074803974,0.2068267411795161,208076.50262921827,0.0734422307659532,0.06191825303487971,0.027424106000863806,2243.371056765348,0.2452343314532676,0.03074357285967344,0.03497414465728731,0.08813787334632645,33524.45980606454,106269.15631087424,0.05383977113903835,10000.336212623031,145096.4229539782,0.1352182997111063,4386.056691218823,15605.408435794225,0.028861482384383318,0.045058505093281014,0.036772501370822774,18454.94393411553,0.02760536012316207,11771.50184247923,26833.199197897527,0.03055636373287559,0.02884674659263879,82953.80731391437,0.06346293142675169,0.027900975400973263,48122.98513614281,0.027290385503912693,258826.14242988167,0.04558675877225777,55232.03348292117,132907.07642030495,47899.14910532884,179129.19729519892,169737.9203075285,310085.2039622417,0.03686770016314823,0.03193164274928551,32714.41483800579,0.04405005789822839,0.0339807242161336,0.07018450044086703,0.20107900187581385,0.38420830453277527,12450.421185385787,24008.23002445386,26361.24969365784,6753.034530835012,95428.46772457931,0.029914961582455893,0.03201647681557433,85454.81116846319,136622.60525906485,0.03198830043925047,116058.59809992136,77669.37579348403,52589.65901738553,5540.365807998183,38553.45745633046,236940.3140056942,267021.0745094263,68550.73352289703,5035.628921104505,155910.38573134292,0.0051534457519942815,24962.48204880107,126.80263680756192,31050.75361293383,8518.323844041175,14742.893897447118,21853.3677876086,92314.31303630151,31824.169476102157,9857.370135462954,0.00582483988194437,11941.089995675959,92522.43040005054,37985.81006165063,30568.211420520627,0.003925170030305475,0.022170980030931663,0.006294939423278143,0.0044449235676521,110270.65641598082,0.013215324379436975,0.0337019535622937,0.007981488562039818,2854.183369481558,40817.244141202646,64941.36930810396,6.915595792508542e6
t7,0.02750692685419435,27990.06608010843,14670.150066383243,44652.92848189908,0.028564211344063797,25677.029040406916,47878.675416573926,36222.220634081,0.02614592734197402,27629.93354976895,6574.052436500862,43865.11357017961,38300.19977491689,0.030096810301324817,19722.19587705591,50706.83339353941,10904.714903314318,14516.213997767407,88251.65380332567,71784.86603226773,138661.0693700382,105917.20069286336,0.03387953843522141,205153.3980279546,0.031616283601718635,266041.32015316706,44225.43404140378,65597.58367721796,160733.0753636688,77496.32253201197,0.031101922397475973,63946.10514569653,0.05337679016610008,60147.89342819193,19424.123542448266,103214.192785748,56762.163155835115,6194.077801732224,29511.173620445545,48604.28146315574,59892.0419556852,71200.29491707981,0.7755630348812139,61639.45800892735,10714.794123690011,63932.27297785845,229034.6521857958,25886.351155641918,106360.627310031,86102.11676976051,0.11473263571515405,0.07928922466431741,63729.014920934045,0.033120883295336856,177314.3722859949,0.031118661390965374,0.030136807372966888,0.02688762761202722,5697.667056107442,0.22338493403788287,0.03917381841392599,0.03219992505137299,3.7019320950211556,60823.334646218944,103149.60540681107,0.051455603456555955,0.23212297588972486,146109.93156896095,0.12983235653915598,891.2755380053159,8726.111399506492,0.028622957507316846,0.0788965668745965,0.03608780020064842,29574.94952040377,0.027126041882361195,4468.991645555179,26944.822761072734,0.029929521982545077,0.028552555902354077,67405.05750949835,0.18877127750143347,0.027889496959437488,60793.2046483282,0.028857702037318387,259021.28823910953,0.041316394007338914,50402.04667964505,109727.61066871905,34464.11084160523,180386.25510154502,159952.32549664014,310085.18650195457,0.03635426795953618,0.03137976864374041,37780.767340943974,0.03905369595132846,0.03714774674902772,0.0685928369244265,52899.803943807914,65048.09272036559,70224.77697558876,47453.62109317921,26910.145580605662,4913.549939204059,137038.97563908892,0.02943136089428065,0.03400671428165004,64745.45522435346,86132.64447682726,0.03153143106480352,260304.76336544825,66437.09578313305,52589.66003767197,12265.484466972266,43734.77999547495,259599.3234576556,267021.0745099079,76365.2171300712,16089.156087468808,155910.41621067267,8379.304674192741,42765.540296541156,17.650792744159016,31050.761922297934,14209.069807983979,31179.55862332701,21853.369302302697,92314.31411428213,45069.60079414525,10725.387413136623,29653.806930623992,10690.311390807472,106519.23856468128,37985.810074628294,30568.21143360082,0.003921391468406043,0.022001782310116652,0.005770205179128142,0.004432530152942975,125367.50348255913,0.01144710281048116,0.03328496226875063,0.006999525555343164,2819.9713257013223,0.04139969222830367,103546.25923179569,7.14359322389887e6
t8,0.02745737647996991,39129.00121216811,0.07029259142418681,56624.73129617781,0.026997966267109735,14442.16874718645,41398.126429049604,20705.581304191393,0.030367069900557583,25279.632355403093,0.039696896333787826,23510.485071808234,26727.72239956143,0.029828779768250234,16504.775392649866,50706.821775310964,10904.71486673409,12953.25633512251,85588.92335382452,71784.86660137467,138661.0371740955,106742.85551168123,0.04222385622658599,185379.85284600517,0.02497917307709749,244222.2153988224,44225.32690991243,75007.49902289634,160733.0642644442,79251.13814423041,0.02673690093696687,35553.123297848,0.17198313597663276,60147.880934059074,18796.697516354052,103214.17107200008,43082.73190830321,0.028818439563025284,28087.584133157037,0.12141572213160849,59891.92916892735,78651.09746560594,8630.111599393718,81200.29058640747,26890.346499632076,73790.41862205794,210987.94244269613,25886.292537576475,107887.69043945601,85342.525988344,0.09989252093928778,0.0797645472538207,74861.27427401036,0.03268542498500084,152493.1384592283,0.03079499719632538,0.02980868398128959,0.026609237366210278,576.2869798781994,0.23651716868990535,0.0302729425501968,0.041090283343675094,0.09040606488971777,6499.298066871025,101726.62433092979,26792.684841144845,5750.490716658759,136440.70396247,6715.909413644512,0.10123300239303205,0.02879435033632885,0.03074396110112318,0.04127829475048708,0.03578922560982298,27487.688117987163,0.026893723155320206,1975.3718275104695,20640.63664484819,0.02928349691773934,0.028245843276111824,49777.356301333675,0.1752677915354253,0.11920833520554026,32109.782990683627,0.14622868797821562,259094.45507083682,0.05800632298227555,43105.44090566102,89237.49873447353,28087.52651887673,173471.80929780554,156855.017955297,310085.2044679634,0.0360377648075299,0.03093548735116019,43435.38948996238,0.03810972287019926,0.03698836924808051,0.06692465164508254,103284.55280818447,112175.87470992874,117830.07981282748,62648.01599821779,37689.75386524685,5392.343681565357,170168.0684748142,0.02897330135048822,0.028500594832387476,57705.29181952427,39180.60206900129,0.03111551704968987,369384.2533130671,74422.97298603403,0.0045392316441063615,14546.86185277713,25036.081342141384,200569.04849874284,267021.074509132,76365.21397181798,1328.2914605859087,97512.17581332523,0.004554769093889545,605.1940270498773,4150.399250778725,31050.743945417256,14780.012499993552,0.004329697312021102,21853.36726129919,27959.566199548863,14843.653696508642,10160.472133966892,0.007165211590203583,10148.747682797126,108936.15041213692,37985.81008758358,30568.211446535846,0.0039174187917612345,0.021883530630673602,0.005698712267735909,0.0044047865687182495,151224.35883203713,0.011161572712414303,0.033046420535847935,0.006979749827557765,2773.2645479737985,0.035738999519747676,74598.16833538249,6.699645497956813e6
t9,0.028103031624085346,0.14246214535280305,0.06771652245481559,26397.109932187348,0.03278034606014673,0.03993708592281573,11401.964928093663,23172.522387837358,4587.000340391815,20560.00560707229,0.026295425642375764,34989.566242337954,27409.395654350374,0.028742834647001222,0.5193308774202344,50706.810877571625,10904.707428048763,11848.141633268231,72898.74259723004,71784.8666062377,138660.98110260072,106742.96211988229,7089.308024856941,141691.43061290524,0.029413365455112358,227518.45468313998,44225.323861303856,81314.82423966475,160733.0349861658,63637.49125042584,0.028562298784982884,5504.796425571797,23674.354554271325,51488.72921834383,13478.647424098368,103214.1702232212,32741.43462264282,0.029044033365584025,32034.66526771038,0.041486535207747366,59891.92800104615,68545.56908130365,0.031933596484236736,85705.38768491181,0.03383435463936703,63218.68091440047,160545.6445151606,25886.529403394787,149807.95640232536,149166.5018900585,14715.757345982476,0.033657720884430774,36810.28606771491,36166.59005851715,106024.19038276757,0.08861304197887085,0.05912046302898522,0.02776738555970572,45555.071931341714,0.1994280366317332,34183.73400794264,0.15870820426869434,0.029046122692659385,23470.25486632006,106269.24548898844,0.08039670894571721,12094.517098411497,140488.4842442314,4979.126769651379,0.10259424328564407,0.12904502792610734,0.03088861957044163,0.029843142029882027,0.03768805193513727,72881.51770777855,0.028075473480170587,18901.984098459012,15255.074417964694,0.03382168806711363,0.028425001292329777,37339.58435984772,0.02759384696861325,0.02922977618397895,15710.617876412296,0.02957845000499098,259094.6478582042,13118.865714649051,18002.93368327196,34469.24885026669,13375.603348061095,178870.57270590845,156477.0206330832,310085.23792948754,0.036813916455902124,0.029300192662203947,50150.24220258929,0.02842793585486313,2775.2814350208287,0.030619784066438307,129183.39383091388,117641.86533271358,134434.04101990617,69535.35654323528,55785.08878998256,5391.083325880647,213368.35931165895,0.029899133470669526,11699.014354751434,75114.7562594487,70272.95036601,0.036577972387927274,432062.8829043056,115883.40391902189,0.004554322457498378,4553.31189822918,32920.8094746613,144051.2109798076,267021.07450904045,76365.21232251631,169.59094822946776,47044.51535593633,0.004570133648083609,3695.586711291398,4163.73176573319,31050.743973752935,14780.012534361722,767.9741362418665,21853.36721185247,0.004633162453480195,47261.225408168815,1112.791364503447,0.0070477701914122655,9385.549210098518,125309.26743647875,37985.81006720012,30568.211426005233,0.0039193523143944186,0.02281662993856594,0.00565990811141395,0.004399048377012425,172147.42148654652,0.011019120281998085,0.03588063612607129,0.006975694916087359,2801.4895941525047,0.043801064572333605,4914.68326059915,6.63074372893938e6
