Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.014596399,0.009266602,68599.766,0.014669749,0.027287269,0.043631766,0.011229197,0.0072424635,685041.94,0.007274417,0.010025915,0.022877913,0.006912768,0.011288736,0.08020232,674898.44,0.017197846,0.011397243,0.007296674,0.0065075546,6307.176,30096.592,96733.97,99938.695,70203.875,126686.51,0.089958295,16261.36,36510.96,17908.08,0.012862462,0.017720845,891755.1,0.02772477,0.04417349,0.01133991,302840.78,0.0063945833,0.015320195,0.008436698,0.15325153,0.009589631,65291.207,0.0060419943,0.1319212,0.08892093,0.0053356215,0.07055242,0.13944086,0.008379417,237547.23,0.006345376,0.014055091,0.0065851295,0.008612695,0.008965923,184803.2,0.006261523,0.011501489,0.007623731,0.009210329,93001.586,0.012363302,226750.98,0.0403964,0.09693454,0.33120275,274950.66,79025.81,42154.42,0.026601348,522619.7,265392.06,286246.06,0.0864464,239157.14,5.6407245e6
t1,1.934266353393317e-7,1.7518849614709155e-7,2.020455147805273,1.9981584659089314e-7,2.0985261040644562e-7,1.8559370944413978e-7,1.7842960400377193e-7,1.7189275038752703e-7,98.97126228790744,1.6794879644635957e-7,1.877667018271554e-7,1.8466692229808138e-7,1.706908740978785e-7,1.758116827851913e-7,1.8748860287255315e-7,30.427706054242293,1.8090751320721716e-7,1.786965066504497e-7,1.7238457404074775e-7,1.6829526804968664e-7,5.887912622751538e-7,5.667644721280538e-7,7.120738690303174e-7,6.191896565447332e-7,4.5660007763527954e-7,6.927284788940261e-7,5.364784856722843e-7,5.977980568273096e-7,6.457072375961178e-7,6.431234120496511e-7,1.8822259674059624e-7,1.9693945362352492e-7,135.80346961716089,1.928755836320506e-7,1.9812530022528097e-7,1.8556799370102706e-7,54.7295288896564,1.7978165073973996e-7,1.9156470743252152e-7,1.9042745587600208e-7,2.0294054731631828e-7,1.790137707119757e-7,12.932986923358227,1.796230110956089e-7,2.046362381405609e-7,2.097241804518441e-7,1.758833110917612e-7,2.1491542157844654e-7,2.0026392017157597e-7,1.697821933172179e-7,2.0896648231854242,1.6750745506591912e-7,1.7376318489783803e-7,1.5902853596367282e-7,1.6713684940975855e-7,1.7318937858542963e-7,21.173002479767142,1.6655953150861236e-7,1.7185268803846737e-7,1.6587691567336428e-7,1.6952350166967155e-7,12.466886905678065,1.7134010129900456e-7,2.6302960960395493e-7,2.1564429745159875e-7,2.3083384792366022e-7,2.447598590793891e-7,2.4686442278417556e-7,2.4229956982413507e-7,2.435377208555645e-7,2.099898824076387e-7,2.491335580052942e-7,2.4741027502366966e-7,2.566110957578322e-7,2.3037724121795092e-7,2.495460941263125e-7,370.61498035297615
t2,1.9348533585360173e-7,1.7523706741889705e-7,2.020451377985891,1.998749272885874e-7,2.0991520779721578e-7,1.8564763117795168e-7,1.7848033422744456e-7,1.7198579701566317e-7,98.02561344945093,1.6799897918001837e-7,1.8782186378939972e-7,1.8472453247199577e-7,1.7074445649199646e-7,1.7587251139829446e-7,1.8754117034079892e-7,50.966527427527396,1.8096543444533286e-7,1.7875258423718075e-7,1.7243987872467023e-7,1.6834025166728162e-7,5.890054111321479e-7,5.669598499208309e-7,7.123066767746864e-7,6.191532594659295e-7,4.567518772714841e-7,6.929986661868084e-7,5.366817894180853e-7,5.980176738656248e-7,6.458881631880799e-7,6.434422518033907e-7,1.882845673164753e-7,1.96998585856356e-7,130.48084658423446,1.9294023580004839e-7,1.9819045251853483e-7,1.8562008314718195e-7,54.729528792408274,1.7983811150521548e-7,1.91627744255145e-7,1.9048409545749737e-7,2.0299896449184525e-7,1.790691362695106e-7,5.30513194468755,1.796769430304736e-7,2.04598326226091e-7,2.0978569648653777e-7,1.7593543260909774e-7,2.1495816632652787e-7,2.0026274682506322e-7,1.6983128116570928e-7,1.7537857811691635,1.6751376829772854e-7,1.7374215153203885e-7,1.5901275728958242e-7,1.6710742283172006e-7,1.7324866895951964e-7,20.057029275037433,1.6660388728489978e-7,1.718501540785569e-7,1.6587164842761933e-7,1.69526190823351e-7,12.131231869809744,1.7137432724303377e-7,2.629404259544092e-7,2.1570888723657787e-7,2.3097671930298014e-7,2.410738318024047e-7,2.468901105477841e-7,2.384943714265134e-7,2.4366555204916367e-7,2.1004793720405795e-7,2.4696868754526147e-7,2.456267896824223e-7,2.5669278656753124e-7,2.3049009458430987e-7,2.454714568651176e-7,375.4701637153436
t3,1.9355642734192783e-7,1.7530449711975253e-7,2.020463971148036,1.9995070044057446e-7,2.0999037911554973e-7,1.8571347902934806e-7,1.7855268479501368e-7,1.7200974621047238e-7,108.0660952180497,1.6871660760022503e-7,1.8789091021097348e-7,1.847922058357199e-7,1.708066012976907e-7,1.7594247050337793e-7,1.8760712973033223e-7,30.427710731169288,1.8103446598802608e-7,1.788186434803568e-7,1.7250265550091664e-7,1.6840245561361484e-7,5.892484615472328e-7,5.671744189895261e-7,7.125210504899677e-7,6.191643733684044e-7,4.5692052162887016e-7,6.933016908758135e-7,5.369011052065263e-7,5.982599631078288e-7,6.460906853104416e-7,6.434642031263607e-7,1.8835726407843372e-7,1.9706638229172353e-7,130.48086247677855,1.9306720151576906e-7,1.9826492537032784e-7,1.8567794877218173e-7,54.72952881071641,1.799058925603741e-7,1.9169902376094317e-7,1.9055405960518419e-7,2.0306257971603994e-7,1.7914973306509003e-7,12.915669165184495,1.797441118251491e-7,2.045107435196219e-7,2.0984211145664675e-7,1.759997457752922e-7,2.149928440808051e-7,2.0021625562837054e-7,1.6989493293066447e-7,1.753795466999451,1.6757643484887668e-7,1.7380997537007773e-7,1.590523836534574e-7,1.6713179602969244e-7,1.7331602987602648e-7,20.264400187072887,1.6666046022045675e-7,1.7192570328965e-7,1.6594388392439368e-7,1.696060348384294e-7,12.131270743882347,1.7142495062176895e-7,2.630879539475423e-7,2.1578970396267114e-7,2.3106754740790935e-7,2.4111053646805257e-7,2.4695126323064485e-7,2.384780098955415e-7,2.4374590669430737e-7,2.1012467441001516e-7,2.4701283669333845e-7,2.4538170238086786e-7,2.5677358975048547e-7,2.305734183194054e-7,2.4556432415993395e-7,372.7898139897545
t4,1.9363004623208968e-7,1.7537489905131513e-7,2.0204612374495903,2.0002856139869557e-7,2.1006869498612524e-7,1.8578353195086358e-7,1.786185476483644e-7,1.7207370005513785e-7,108.06605003834021,1.6877493721242396e-7,1.879617867675685e-7,1.8486183246983486e-7,1.7087019471573647e-7,1.7601525687166094e-7,1.8767505682633714e-7,30.42771113849312,1.8110768873958755e-7,1.7888677579872373e-7,1.7256667259025053e-7,1.6846712176498802e-7,5.894904493851411e-7,5.673785028852868e-7,7.127710521939239e-7,6.193611310002276e-7,4.5708496318884887e-7,6.935711089555142e-7,5.371160985381024e-7,5.985029488362096e-7,6.463228240910478e-7,6.434228083045334e-7,1.8843127211011257e-7,1.971550942471963e-7,130.48084676294656,1.9314471548351685e-7,1.9834084160994723e-7,1.8574416568276868e-7,54.729529294673476,1.7998368176693212e-7,1.9178975322105924e-7,1.906258377795984e-7,2.0315346710951812e-7,1.7921803651741136e-7,5.28780778461326,1.7981299738653947e-7,2.045474688470148e-7,2.0994504474051325e-7,1.760704099957834e-7,2.1511131424996358e-7,2.0023230499551193e-7,1.6996147881027334e-7,1.7537869747602506,1.6762257551467692e-7,1.7386621636846523e-7,1.59098755173793e-7,1.6717060688644442e-7,1.7338424162005727e-7,20.057034168889974,1.6671774490030073e-7,1.7198086480262838e-7,1.659941771952302e-7,1.6965490166034498e-7,12.131234326960257,1.7147966930081935e-7,2.632149545046894e-7,2.158817466734146e-7,2.3116183886469534e-7,2.412121708663212e-7,2.4703960590766416e-7,2.3859632146826943e-7,2.4383333709160864e-7,2.1020899189930136e-7,2.4709945965024234e-7,2.43219176984382e-7,2.543577301617684e-7,2.3066483816480543e-7,2.456643616341683e-7,364.9544789473061
t5,1.9370129286201569e-7,1.7544943520090133e-7,2.0204610063076283,2.0011021024278924e-7,2.1014430483090875e-7,1.8585186780297798e-7,1.7868183787882832e-7,1.7213571465019776e-7,108.06605121903607,1.688371079728762e-7,1.8803035017280994e-7,1.849294388564056e-7,1.7093223627827115e-7,1.7608562449221166e-7,1.877419819966379e-7,30.427711966685766,1.8117790181871602e-7,1.7895202640179158e-7,1.7262995162920904e-7,1.6853797734977383e-7,5.897218056784296e-7,5.67554501823781e-7,7.130666303695305e-7,6.197207411207122e-7,4.572319294047991e-7,6.937652794435025e-7,5.373105188027931e-7,5.987340509751728e-7,6.465728485697449e-7,6.431233818450786e-7,1.88502338455441e-7,1.9721312257983167e-7,130.48084662970655,1.932213103480667e-7,1.9841357746845773e-7,1.8581537949188386e-7,54.72952883959051,1.800408577237954e-7,1.918411073166221e-7,1.9069400153757415e-7,2.0321282845265961e-7,1.7928322141230937e-7,0.00014481869559300288,1.798782857702982e-7,2.046808525098674e-7,2.100208090889392e-7,1.7612588963527362e-7,2.1521663178981587e-7,2.002954128002702e-7,1.7002779341464392e-7,1.7538030256489867,1.6771591887907627e-7,1.739421189216263e-7,1.5914426247878499e-7,1.6721281769567224e-7,1.7345128744761836e-7,21.17305814978284,1.667727654112523e-7,1.720498377547443e-7,1.660777357443595e-7,1.6971841152191562e-7,12.195969691759135,1.7153262297439296e-7,2.632676066299332e-7,2.1597816794956483e-7,2.3119284395279074e-7,2.450519876875742e-7,2.471747860056888e-7,2.424845809518804e-7,2.4393102018382514e-7,2.102949815557116e-7,2.471991875666379e-7,2.433212385475242e-7,2.547629491282754e-7,2.307147920931144e-7,2.498528489330763e-7,360.8475925852722
t6,1.9376349632725548e-7,1.7633426752551294e-7,2.0204800001695946,2.0017454747224914e-7,2.102113789098228e-7,1.8592381390587434e-7,1.7873578407890218e-7,1.721516743776281e-7,92.04748941616764,1.6889218529631368e-7,1.8808140882102972e-7,1.8519119039549417e-7,1.7098559881772787e-7,1.7614426290125406e-7,1.8779636394902208e-7,30.427694810935368,1.8123982735771732e-7,1.7900857638885658e-7,1.7269508176473022e-7,1.692025112685595e-7,5.89917844398241e-7,5.676895427822345e-7,7.132864193911485e-7,6.202350047435776e-7,4.573434329208182e-7,6.938973107806884e-7,5.374499592675462e-7,5.989351675911464e-7,6.467514777950959e-7,6.429705576413181e-7,1.883676617419791e-7,1.9685432905114197e-7,169.9723249755319,1.9268732279721803e-7,1.9805320847496403e-7,1.8588460698024023e-7,54.72952106653014,1.7984263605104544e-7,1.9145451321624364e-7,1.9075543463195847e-7,2.0286058637914223e-7,1.7916304641504525e-7,2.103480906604283,1.799362589638789e-7,2.0502553210862422e-7,2.0963089759708292e-7,1.7614885479233092e-7,2.1473703030741976e-7,2.0061769875634814e-7,1.7009407298313048e-7,1.7537604974326046,1.676529783988128e-7,1.7390159338529255e-7,1.59179098218846e-7,1.6724761528899824e-7,1.73512714679984e-7,6.489783332533261,1.6681779882176504e-7,1.7195713779659674e-7,1.691227800550049e-7,1.6955239150977854e-7,1.9863650794856893,1.7157612983951544e-7,2.636933299612976e-7,2.1604928879964555e-7,2.3084187511229396e-7,2.448446441135669e-7,2.5150278687143506e-7,2.7766143798130057e-7,2.4354329656608044e-7,2.0998551492292127e-7,2.5171052507270345e-7,2.4781567250601084e-7,2.570754743659748e-7,2.3041022094931934e-7,2.499696956137556e-7,361.53091737813685
t7,1.935209360247584e-7,1.7622186267192279e-7,7.576805618381804,1.999181512703461e-7,2.0994769231936722e-7,1.8811634332966114e-7,1.7850183012372508e-7,1.7191378761984424e-7,38.16380136529737,1.6874048651991748e-7,1.878442795524808e-7,1.850290153080443e-7,1.7077702313605567e-7,1.7593546520904605e-7,1.90228164629359e-7,6.831570222491397e-5,1.8103994205835704e-7,1.7879118888815195e-7,1.7342007384843767e-7,1.6923451702200792e-7,5.890496554670281e-7,5.667342294394901e-7,7.12297485457253e-7,6.193756258786964e-7,4.5662472773484176e-7,6.928066386843541e-7,5.304003402062164e-7,5.980849589993409e-7,6.658999826188613e-7,6.418157286040346e-7,1.880803714126242e-7,1.9653078324209298e-7,169.9723249780218,1.9234433126868007e-7,1.977253886191843e-7,1.8564757463357322e-7,54.72951941819196,1.7956335905609283e-7,1.911232199491359e-7,1.905478833134462e-7,2.0050419302691783e-7,1.789014632806759e-7,9.73127737334205,1.797125270823988e-7,2.047644222424933e-7,2.0711805044026055e-7,1.7592697534194535e-7,2.1166725378518033e-7,2.003594836797403e-7,1.7004998039222048e-7,28.79533482960861,1.6759175144564265e-7,1.7690750463434812e-7,1.5897793496132478e-7,1.6702352538953618e-7,1.7338100440490417e-7,5.283849919607305,1.6658868515067806e-7,1.7463237739953916e-7,1.7042592710172598e-7,1.7188086610342822e-7,5.763530682428839e-5,1.7134754847564337e-7,2.6687487391591616e-7,2.157638885944477e-7,2.304242492964158e-7,2.443980069202855e-7,2.511346371557943e-7,2.8434007747331384e-7,2.4309894946050783e-7,2.0965345404148647e-7,2.513284271391695e-7,2.4745700192244196e-7,2.5673495275029063e-7,2.300316650891727e-7,2.4962456138624783e-7,314.25305675591926
t8,1.9425034882049927e-7,1.763093520774855e-7,11.112563983080198,2.004541477666239e-7,2.1004686412910498e-7,1.892219626577848e-7,1.7856281418665173e-7,1.7195524754740029e-7,4.999807454318896,1.6879688072847469e-7,1.8791293693481108e-7,1.859868410784462e-7,1.70835060536383e-7,1.7608474309615547e-7,2.0874311470132395e-7,2.6044381224006654e-5,1.8112986612301385e-7,1.788506585502681e-7,1.736750469337113e-7,1.6930997625934854e-7,5.892257623950069e-7,5.667786146372709e-7,7.124704507701678e-7,6.19549121466394e-7,4.566792766994837e-7,6.929307711120996e-7,5.297774294346867e-7,5.982799120248618e-7,6.659715551379771e-7,6.418687629052605e-7,1.8814119272302208e-7,1.965858770592809e-7,169.9723244615311,1.9241009895544136e-7,1.977818918563418e-7,1.8569843940849403e-7,54.72951939727125,1.796186865134281e-7,1.911795866013944e-7,1.91258679540902e-7,2.0046794899494776e-7,1.7895325894444614e-7,2.1034071319529906,1.804463609653509e-7,2.048436784443587e-7,2.0705914806528714e-7,1.7597731213379064e-7,2.115836807802439e-7,2.0043151455436603e-7,1.7035225437706358e-7,53.76816015502129,1.70264325627124e-7,1.7928109626306115e-7,1.5901481928022558e-7,1.670637289578436e-7,1.7356006706236318e-7,11.574796625821403,1.6641137186197796e-7,1.7601090373144693e-7,1.7048305818608631e-7,1.7197978343953367e-7,1.8486365247020229,1.7014526519456355e-7,2.633261226833331e-7,2.1584879172488675e-7,2.3050513140279605e-7,2.444385917042787e-7,2.511763709698153e-7,2.8439932133059384e-7,2.4315278825658084e-7,2.0972893790696706e-7,2.5138288877459407e-7,2.474994485969836e-7,2.5679816505753316e-7,2.301114374166489e-7,2.496696821266679e-7,310.10925910877944
t9,1.943323925646674e-7,1.7638391363788866e-7,11.112564426286609,2.0054310717225896e-7,2.1012493115653108e-7,1.8945669466926239e-7,1.7862878694152045e-7,1.7201586425928026e-7,5.006593079730318,1.688521630456857e-7,1.8798323358280162e-7,1.8608432373126424e-7,1.7089737021998795e-7,1.761743411727345e-7,2.087799498385499e-7,2.619705080607804e-5,1.8119855034125305e-7,1.7892060985038204e-7,1.7375484357283123e-7,1.6937569860551589e-7,5.894016226181907e-7,5.667585099316838e-7,7.126301444591962e-7,6.197287959917909e-7,4.566555623550743e-7,6.930173588215561e-7,5.304741910389587e-7,5.984746998430498e-7,6.659360509089834e-7,6.417667861342456e-7,1.884079003390059e-7,1.9710448718395002e-7,169.97232451702442,1.9299427965348978e-7,1.9825095907237772e-7,1.8567526198632764e-7,54.72952649855985,1.7994837745903392e-7,1.9172490545356375e-7,1.9133029571495814e-7,2.0096265198527643e-7,1.7909145221434362e-7,2.1034073559646145,1.8051924292790483e-7,2.0486764874295512e-7,2.0719716510617104e-7,1.7605733671792924e-7,2.1173175340892555e-7,2.004634227128046e-7,1.7042624754242493e-7,53.76815455743523,1.7040643165028842e-7,1.793716208890104e-7,1.590646833257471e-7,1.6711862992634015e-7,1.7363844081233164e-7,11.574792856573747,1.6593682406876273e-7,1.7609650020000796e-7,1.7055677141467326e-7,1.720511241832578e-7,1.848631343592675,1.699526397307044e-7,2.6299197200007116e-7,2.1593734912796932e-7,2.2409562640363197e-7,2.35175414604505e-7,2.3171111964907937e-7,2.3552904952016988e-7,2.2584676446403577e-7,2.1023590498277808e-7,2.464256294842181e-7,2.431834774779761e-7,2.524866328441013e-7,2.3062708979101135e-7,2.457624292801701e-7,310.1160380515243
