Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,5.5132491553982505e-9,3.9190990579307284e-5,3.9185477330151884e-5
OCGT-H2_1.0,1.0,0,6.522249246202499e-9,2.2396735490273638e-5,2.2390213241027437e-5
CCGT-H2_2.0,2.0,0,5.512272794086783e-9,4.229943141041613e-5,4.229391913762204e-5
OCGT-H2_2.0,2.0,0,6.52122849999826e-9,2.2974108464137083e-5,2.2967587235637086e-5
CCGT-H2_3.0,3.0,0,5.547421549570487e-9,9.139012209505781e-5,9.138457467350823e-5
OCGT-H2_3.0,3.0,0,6.576504747063867e-9,2.8199830831288122e-5,2.8193254326541058e-5
CCGT-H2_4.0,4.0,0,5.510410868998311e-9,3.741554710432775e-5,3.741003669345875e-5
OCGT-H2_4.0,4.0,0,6.512343423445304e-9,2.192721280061826e-5,2.1920700457194817e-5
CCGT-H2_5.0,5.0,0,5.509356683889728e-9,3.4004876447349214e-5,3.3999367090665324e-5
OCGT-H2_5.0,5.0,0,6.510730475620495e-9,2.16685839284508e-5,2.1662073197975178e-5
CCGT-H2_6.0,6.0,0,5.511432972791845e-9,3.44830496670785e-5,3.447753823410571e-5
OCGT-H2_6.0,6.0,0,6.517969350548491e-9,2.1816240287163772e-5,2.1809722317813222e-5
CCGT-H2_7.0,7.0,0,5.511486553143152e-9,4.661104022562265e-5,4.660552873906951e-5
OCGT-H2_7.0,7.0,0,6.520152000035471e-9,2.3075452333699924e-5,2.306893218169989e-5
CCGT-H2_8.0,8.0,0,5.513277002312667e-9,5.517662546038664e-5,5.5171112183384324e-5
OCGT-H2_8.0,8.0,0,6.5228659766350364e-9,2.4845897407055903e-5,2.4839374541079267e-5
CCGT-H2_9.0,9.0,0,5.551692878864242e-9,9.175530865959016e-5,9.17497569667113e-5
OCGT-H2_9.0,9.0,0,6.573094541082e-9,2.954652987507395e-5,2.953995678053287e-5
CCGT-H2_10.0,10.0,0,5.512473763798574e-9,5.810589038838205e-5,5.810037791461825e-5
OCGT-H2_10.0,10.0,0,6.52052777627571e-9,2.4961252569550727e-5,2.495473204177445e-5
CCGT-H2_11.0,11.0,0,5.511456424629334e-9,4.889828233256668e-5,4.889277087614205e-5
OCGT-H2_11.0,11.0,0,6.518144613148603e-9,2.328279543099382e-5,2.327627728638067e-5
CCGT-H2_12.0,12.0,0,5.510920164728234e-9,3.846730253355299e-5,3.846179161338826e-5
OCGT-H2_12.0,12.0,0,6.517680690803497e-9,2.2138438490508247e-5,2.2131920809817442e-5
CCGT-H2_13.0,13.0,0,5.5139503739841685e-9,6.022228366668176e-5,6.0216769716307775e-5
OCGT-H2_13.0,13.0,0,6.524209550419964e-9,2.5267439232158075e-5,2.5260915022607653e-5
CCGT-H2_14.0,14.0,0,5.511195851767469e-9,4.3373481545043776e-5,4.336797034919201e-5
OCGT-H2_14.0,14.0,0,6.5203900290570435e-9,2.290431308727825e-5,2.289779269724919e-5
CCGT-H2_15.0,15.0,0,5.511383350634068e-9,3.2080822985345635e-5,3.2075311601995e-5
OCGT-H2_15.0,15.0,0,6.518573729102034e-9,2.1426181279175984e-5,2.141966270544688e-5
CCGT-H2_16.0,16.0,0,5.552136316601939e-9,9.169204293309054e-5,9.168649079677394e-5
OCGT-H2_16.0,16.0,0,6.573183185622387e-9,2.8862711926210505e-5,2.885613874302488e-5
CCGT-H2_17.0,17.0,0,5.510625833105054e-9,3.4411691153199756e-5,3.440618052736665e-5
OCGT-H2_17.0,17.0,0,6.519887844866571e-9,2.193170451588646e-5,2.1925184628041592e-5
CCGT-H2_18.0,18.0,0,5.512246552967935e-9,4.589661068100577e-5,4.589109843445281e-5
OCGT-H2_18.0,18.0,0,6.520643291142968e-9,2.3190256205915773e-5,2.318373556262463e-5
