Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Electrolyzer_1.0,1.0,0,4.3603726223602845e-10,4.869840056725742,4.869840056289705,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_1.0,1.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.5931608134275288e-5,2.5931608134275288e-5,0,0.0,5.725623047971339e-6,5.725623047971339e-6
Liquid_storage_tank_1.0,1.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_1.0,1.0,0,6.20934084146492e-11,1.7975960781073583e-7,1.7969751440232118e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_1.0,1.0,0,1.5723115465369064e-10,1.45854577958773e-6,1.4583885484330764e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_2.0,2.0,0,4.3603841998852227e-10,8.663427159934692,8.663427159498653,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_2.0,2.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.8139685003872286e-5,2.8139685003872286e-5,0,0.0,6.2034414296326565e-6,6.2034414296326565e-6
Liquid_storage_tank_2.0,2.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_2.0,2.0,0,6.209668223074717e-11,1.8065567593621518e-7,1.8059357925398443e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_2.0,2.0,0,1.5724391586514589e-10,8.858277186440271e-7,8.85670474728162e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_3.0,3.0,0,4.36130254169544e-10,17.265978423984155,17.265978423548024,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_3.0,3.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,0.00010374028965460617,0.00010374028965460617,0,0.0,1.224379284142652e-5,1.224379284142652e-5
Liquid_storage_tank_3.0,3.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_3.0,3.0,0,6.208008969677994e-11,1.803995666203534e-7,1.803374865306566e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_3.0,3.0,0,1.5735350118521753e-10,5.63879443236694e-7,5.637220897355088e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_4.0,4.0,0,4.3607808440027793e-10,8.460821707583334e-6,8.460385629498934e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_4.0,4.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.5843502887833538e-5,2.5843502887833538e-5,0,0.0,5.747629158774495e-6,5.747629158774495e-6
Liquid_storage_tank_4.0,4.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_4.0,4.0,0,6.209287499310775e-11,1.804593769246432e-7,1.8039728404965008e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_4.0,4.0,0,1.5722008348888344e-10,1.4633328342764717e-6,1.4631756141929828e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_5.0,5.0,0,4.360200113277065e-10,0.013011524022808533,0.013011523586788521,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_5.0,5.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.6714136955621423e-5,2.6714136955621423e-5,0,0.0,5.785363348648263e-6,5.785363348648263e-6
Liquid_storage_tank_5.0,5.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_5.0,5.0,0,6.209529947562767e-11,1.8021085895602297e-7,1.8014876365654733e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_5.0,5.0,0,1.5720867605312178e-10,2.7971794093335305e-6,2.7970222006574773e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_6.0,6.0,0,4.360368472557426e-10,0.0005364175879583929,0.0005364171519215456,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_6.0,6.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.826189098285581e-5,2.826189098285581e-5,0,0.0,6.429067549299958e-6,6.429067549299958e-6
Liquid_storage_tank_6.0,6.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_6.0,6.0,0,6.210652604652025e-11,1.7998740071067518e-7,1.7992529418462867e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_6.0,6.0,0,1.5720354573263282e-10,4.145645266809437e-6,4.145488063263704e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_7.0,7.0,0,4.360340014421541e-10,0.000286091779310496,0.00028609134327649456,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_7.0,7.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.584815685701821e-5,2.584815685701821e-5,0,0.0,5.837663698746117e-6,5.837663698746117e-6
Liquid_storage_tank_7.0,7.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_7.0,7.0,0,6.210190883633802e-11,1.805356642803932e-7,1.8047356237155686e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_7.0,7.0,0,1.5723256764418985e-10,1.0839119999316868e-6,1.0837547673640427e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_8.0,8.0,0,4.3605212044028197e-10,6.729165638735508e-5,6.729122033523464e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_8.0,8.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.595771241351192e-5,2.595771241351192e-5,0,0.0,6.047505136041057e-6,6.047505136041057e-6
Liquid_storage_tank_8.0,8.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_8.0,8.0,0,6.209649600699488e-11,1.806907351539479e-7,1.806286386579409e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_8.0,8.0,0,1.572641664705239e-10,7.068280495357828e-7,7.066707853693122e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_9.0,9.0,0,4.360704405864974e-10,10.020099438719065,10.020099438282994,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_9.0,9.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,3.724101452344035e-5,3.724101452344035e-5,0,0.0,7.871671330132672e-6,7.871671330132672e-6
Liquid_storage_tank_9.0,9.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_9.0,9.0,0,6.208591419083501e-11,1.810520403552136e-7,1.8098995444102277e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_9.0,9.0,0,1.5734234398261024e-10,5.48877921056105e-7,5.487205787121224e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_10.0,10.0,0,4.36060781842634e-10,38.138036007447305,38.138036007011245,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_10.0,10.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.78762653136642e-5,2.78762653136642e-5,0,0.0,6.460351603496707e-6,6.460351603496707e-6
Liquid_storage_tank_10.0,10.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_10.0,10.0,0,6.208843905619807e-11,1.8167812326860721e-7,1.8161603482955103e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_10.0,10.0,0,1.5726036943439996e-10,7.422792407395403e-7,7.421219803701059e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_11.0,11.0,0,4.360546125250177e-10,1.1922824849432762e-5,1.1922388794820237e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_11.0,11.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.5958840039728477e-5,2.5958840039728477e-5,0,0.0,5.860771410532457e-6,5.860771410532457e-6
Liquid_storage_tank_11.0,11.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_11.0,11.0,0,6.208796918065574e-11,1.806118403981903e-7,1.8054975242900965e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_11.0,11.0,0,1.5723975627214793e-10,9.819104938343411e-7,9.81753254078069e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_12.0,12.0,0,4.3602358370074923e-10,31.424335266911225,31.4243352664752,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_12.0,12.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.8247149516518865e-5,2.8247149516518865e-5,0,0.0,6.341116896409171e-6,6.341116896409171e-6
Liquid_storage_tank_12.0,12.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_12.0,12.0,0,6.210112148358759e-11,1.7988960577904654e-7,1.7982750465756294e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_12.0,12.0,0,1.572115516513326e-10,2.28947841972662e-6,2.2893212081749687e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_13.0,13.0,0,4.36049075890024e-10,45.73745041512366,45.737450414687615,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_13.0,13.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,3.0978068409343064e-5,3.0978068409343064e-5,0,0.0,7.135812684152928e-6,7.135812684152928e-6
Liquid_storage_tank_13.0,13.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_13.0,13.0,0,6.209337522814348e-11,1.8053321860656897e-7,1.8047112523134082e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_13.0,13.0,0,1.5727017619159921e-10,6.704340019460436e-7,6.702767317698521e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_14.0,14.0,0,4.360398718614652e-10,0.7929363842361118,0.7929363838000719,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_14.0,14.0,0,0.0,1.1686854516958615e6,1.1686854516958615e6,0,0.0,2.6110596458189787e-5,2.6110596458189787e-5,0,0.0,5.959205895864393e-6,5.959205895864393e-6
Liquid_storage_tank_14.0,14.0,0,0.0,1.1686854516958613e6,1.1686854516958613e6,0,0.0,6.58387770665921e-6,6.58387770665921e-6,0,0.0,2.3253530348715295e-6,2.3253530348715295e-6
Liquifier_w_terminal_14.0,14.0,0,6.210619282481231e-11,1.8064979870308573e-7,1.8058769251026093e-7,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_14.0,14.0,0,1.5723218917860678e-10,1.077855522749517e-6,1.0776982905603384e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
