Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,6.948163e-6,3.4396845e-7,4.91425
2,0.0,3.975236,0.19679385,2.049416e6
3,0.0,32.50915,1.609364,1.9449486e7
4,0.0,1.553997e-5,7.693055e-7,6.719786
5,0.0,7.404425e-6,3.665557e-7,4.797779
6,0.0,1.4943248e-5,7.3976474e-7,9.471314
7,0.0,6.9217112e-6,3.4265898e-7,4.2396216
8,0.0,10.588609,0.5241886,6.2649245e6
9,0.0,7.856075e-6,3.8891463e-7,3.2072096
10,0.0,9.050788e-6,4.480588e-7,4.2983594
11,0.0,0.00018696705,9.255795e-6,112.85438
12,0.0,40.633293,2.0115492,2.412736e7
13,0.0,54.59928,2.7029347,1.832298e7
14,0.0,5.3101685e-6,2.6287964e-7,4.3485556
15,0.0,0.95248145,0.04715255,588287.25
16,0.0,29.556948,1.4632152,3.699516e7
17,0.0,7.727127e-6,3.8253106e-7,6.2054753
18,0.0,6.748309e-6,3.3407468e-7,2.9689114
19,0.0,117.49215,5.816443,7.9133944e7
20,0.0,4.537198e-6,2.2461377e-7,6.0214314
21,0.0,0.0010256686,5.077567e-5,780.1314
22,0.0,3.6015417e-6,1.7829414e-7,3.163191
23,0.0,16.170815,0.8005353,9.79343e6
24,0.0,145.40251,7.198144,1.18825864e8
25,0.0,7.760641e-6,3.8419012e-7,4.0726285
26,0.0,110.63174,5.4768186,7.417125e7
27,0.0,32.137447,1.5909628,2.6001462e7
28,0.0,32.251682,1.5966179,1.7557446e7
29,0.0,28.789885,1.4252418,1.9846938e7
30,0.0,39.003048,1.9308441,3.490735e7
31,0.0,1.5731546e-5,7.787894e-7,8.95007
32,0.0,2.3088973,0.114301845,1.6677554e6
33,0.0,55.598125,2.7523823,3.1117386e7
34,0.0,1.6305135e-5,8.0718496e-7,13.191319
35,0.0,38.407806,1.9013766,2.682016e7
36,0.0,81.20116,4.0198593,5.975951e7
37,0.0,8.964348e-6,4.437796e-7,2.8208578
38,0.0,6.408894e-6,3.17272e-7,2.8887024
39,0.0,1.6307433e-5,8.072987e-7,11.582966
40,0.0,9.751142e-6,4.827298e-7,9.1932335
41,0.0,2.568153e-5,1.2713629e-6,25.311495
42,0.0,3.0110567,0.14906222,3.5188855e6
43,0.0,12.299697,0.6088959,1.3272516e7
44,0.0,24.587193,1.2171878,2.374028e7
45,0.0,0.80064046,0.039635666,1.0406306e6
46,0.0,0.57841986,0.028634645,697026.1
47,0.0,9.342072e-6,4.6247885e-7,8.449317
48,0.0,5.704404e-6,2.8239623e-7,7.249933
49,0.0,1.4702311e-5,7.278372e-7,19.968746
50,0.0,6.244811,0.30914906,8.733966e6
51,0.0,3.619946e-6,1.7920524e-7,6.5383344
52,0.0,9.606716e-6,4.7558e-7,15.664522
53,0.0,7.762192e-6,3.8426694e-7,9.345633
54,0.0,6.5935596e-6,3.2641384e-7,8.696118
55,0.0,4.381378,0.21689992,4.0722748e6
56,0.0,2.2921128,0.113470934,3.1709692e6
57,0.0,7.852266e-6,3.8872608e-7,8.184979
58,0.0,4.9956612e-5,2.4730996e-6,49.850628
59,0.0,7.029812e-5,3.480105e-6,68.28197
60,0.0,8.286771,0.41023618,6.154179e6
61,0.0,4.6313004,0.2292723,4.197861e6
62,0.0,3.697271e-5,1.8303322e-6,34.738518
63,0.0,8.046873,0.39836007,9.831309e6
64,0.0,178.22531,8.823035,2.5797731e8
65,0.0,1.229867,0.0608845,623635.8
66,0.0,7.76941e-6,3.846243e-7,10.276733
67,0.0,3.9925716,0.19765206,3.5561665e6
68,0.0,171.94917,8.512335,1.0948205e8
69,0.0,198.70374,9.836818,1.948203e8
70,0.0,20.565613,1.0180997,1.3123077e7
71,0.0,120.42416,5.9615917,9.702669e7
72,0.0,0.00015374749,7.611262e-6,111.67641
73,0.0,50.047928,2.4776204,5.4595204e7
74,0.0,6.822551,0.33775005,8.449442e6
75,0.0,9.462736,0.46845227,9.723814e6
76,0.0,1.21182375e-5,5.9991277e-7,8.122906
77,0.0,4.807595,0.23799974,4.1595625e6
78,0.0,3.7124996,0.18378711,2.877938e6
79,0.0,62.044674,3.0715187,5.815427e7
80,0.0,5.5661017e-6,2.7554958e-7,5.71959
81,0.0,35.311256,1.748082,2.1635438e7
82,0.0,15.49089,0.7668757,1.5606851e7
83,0.0,4.263291e-6,2.11054e-7,3.805303
84,0.0,4.057266,0.20085476,2.7076148e6
85,0.0,4.4154003e-6,2.1858418e-7,5.588431
86,0.0,4.844191,0.23981144,5.686936e6
87,0.0,4.2042346,0.20813042,4.8862875e6
88,0.0,60.434822,2.991823,3.4693864e7
89,0.0,1.8287433,0.09053185,1.4279561e6
90,0.0,0.67694336,0.03351205,323109.2
91,0.0,3.7022113e-5,1.8327778e-6,32.473694
92,0.0,0.7179225,0.03554072,320438.94
93,0.0,0.8304015,0.041108985,740769.94
94,0.0,5.6477556e-6,2.795919e-7,4.5066285
95,0.0,1.235943,0.061185293,829571.75
96,0.0,38.359043,1.8989625,2.1455392e7
97,0.0,11.5317335,0.5708779,7.5515125e6
98,0.0,0.94044465,0.046556666,585358.56
99,0.0,0.00017438235,8.632789e-6,149.28778
100,0.0,87.29575,4.321572,8.201107e7
101,0.0,3.6765992e-5,1.8200986e-6,38.289352
102,0.0,0.63780767,0.031574637,287806.2
103,0.0,2.1194031,0.104920946,953400.4
104,0.0,4.216009,0.20871332,2.104309e6
105,0.0,3.518777,0.17419687,2.3207988e6
106,0.0,16.943533,0.83878875,8.682728e6
107,0.0,1.1006358,0.05448692,926747.8
108,0.0,3.1662142,0.15674327,917893.7
109,0.0,0.0734218,0.0036347425,30545.02
110,0.0,13.348701,0.6608268,1.610562e7
111,0.0,1.2793923e-5,6.333625e-7,6.0057893
112,0.0,23.036953,1.1404432,2.4481006e7
113,0.0,10.467952,0.5182154,6.3720095e6
114,0.0,1.5609623e-5,7.727536e-7,20.263361
115,0.0,0.6637615,0.032859482,568108.0
116,0.0,6.302613,0.31201056,6.657737e6
117,0.0,52.592033,2.603566,4.8208828e7
118,0.0,151.32466,7.49132,7.822397e7
119,0.0,57.54976,2.8489978,3.5173084e7
120,0.0,1.7008339e-5,8.4199695e-7,10.490063
121,0.0,23.973759,1.1868197,2.6623078e7
122,0.0,4.2455526e-6,2.1017587e-7,3.8092053
123,0.0,7.048619,0.34894153,8.3555995e6
124,0.0,7.585247e-6,3.7550728e-7,5.2856884
125,0.0,19.230827,0.9520212,1.2624046e7
126,0.0,2.1018136,0.104050174,1.1486251e6
127,0.0,9.27415e-6,4.5911634e-7,7.4694366
128,0.0,13.27904,0.65737826,9.526019e6
129,0.0,8.977376,0.44442457,8.189397e6
130,0.0,0.6795884,0.03364299,707874.8
131,0.0,1.2029396,0.059551466,1.663026e6
132,0.0,4.4366875e-6,2.19638e-7,7.72058
133,0.0,4.381378,0.21689992,4.0722748e6
134,0.0,13.125957,0.6497998,9.983986e6
135,0.0,2.9619493,0.14663115,2.6399515e6
136,0.0,2.9619489,0.14663114,2.6399512e6
137,0.0,25.487715,1.2617681,4.421814e7
138,0.0,17.862726,0.8842934,2.46513e7
139,0.0,38.542572,1.9080482,5.6482116e7
140,0.0,32.137463,1.5909635,2.6001474e7
141,0.0,6.320524e-6,3.128972e-7,13.503273
142,0.0,6.3555315e-5,3.1463028e-6,148.70192
143,0.0,17.862726,0.8842933,2.4651298e7
144,0.0,9.904562,0.49032483,1.1337855e7
145,0.0,13.125971,0.64980054,9.983996e6
146,0.0,2.0043173e-5,9.922363e-7,51.412525
147,0.0,0.8574896,0.04244998,1.8298056e6
