Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,8.793445950731384e-8,6.786390918780073e-7,1163.1600005907046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,4.292939262693741e-7,1.6713718533098856e-7,359.0399997378433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,9.195678106853736e-7,0.0,148.19999908043218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248544122059,0.0,6.695348098162412e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,4.85186472635247e-7,0.0,2721.999999514813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,69.9961527257888,0.0,0.003847274211196683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,2.9258441825534733e-8,1.522270410882515e-7,590.6185501229686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,9.583556550225512e-8,0.0,177.6880299041644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,1.2992914220109361e-8,1.0175485244645299e-6,2040.925307504555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,2.882506926257247e-6,1.1409550363478287e-8,3350.9999971289026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.59932387541343,2.2646327145117448e-8,0.010676147232907551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,8.709829137612116e-7,0.0,18.09999912901709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6999401050987,0.0,5.989490126090402e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.04126871048486,0.0,4.6605787069886606e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.798182190664484,0.0,0.0018178093355164515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,1.711973498366126e-8,7.231597345131411e-7,855.79140070604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,1.7329006423421826e-9,0.0,4.781999998267099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.1840639999997,1.5332407036281308e-8,1.0924840943540358e-7,859.1840640939157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.7896362419687,2.794834475047665e-7,0.01036403751475401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
