Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,-310.2126235013458,0.0
AnnualSum,335332.6740992677,770985.5810599487,724679.9526206849,10960.95709435088,9193.18139082093,122899.62660314549,339515.7544628765,51017.754958488564,2.457540968297863e6,48658.09910660764,221818.52953411223,65151.98150023734,635051.2168085823,281369.0748876943,956591.8627173288,2.3028630221092487e6,127513.6183457377,438318.4236896761,638595.967614225,29855.90214710539,8642.605957792317,276935.50361907296,1.2970685273418387e6,252917.00926340316,349510.67450393125,1.164558595822718e6,326649.4609488099,0.1115233769909474,0.0,177729.1934561071,199649.30756525116,0.0,982307.6815505219,0.0,0.0,0.14927225008675718,700057.7126954038,0.0,0.0,0.0,0.0,7176.409787545091,145993.74326110544,201922.78594828316,0.0,0.0,146864.55813477488,0.0,282440.34614189377,0.0,1.3512763406368888e6,0.0,71669.12058606997,0.07023217756826222,93160.68187006935,898326.3285405647,361044.6316506739,87615.84177634743,468445.750951563,821681.4243214853,250204.92147593843,20976.798719835107,5268.751750525561,341007.48615854525,1.5557701765615237e6,414151.6849200215,1.0376595604072125e6,151226.4145060486,446665.7766642987,2.155577831543521e6,650295.2632252014,1.809118496882215e6,722136.7340414417,2.7791285493403253,1.55765338569923e6,0.08099789469546669,3.235927485908993e7
t1,4.413816800560359e-6,5.703106613356026e-6,4.7725304111812345e-6,2.0469867989391734e-6,3.517163996515088e-6,2.031359984915057e-6,5.765079646523463e-6,4.730981752747579e-6,3.6264644331978876e-6,3.279489458422835e-6,3.4339085873833635e-6,3.292328297681122e-6,3.3559556503502274e-6,5.850507213230453e-6,4.589982113903913e-6,4.687972174340496e-6,4.3734374472954785e-6,4.3864960752812206e-6,5.871630848867837e-6,3.375573842077496e-6,3.038783914043287e-6,5.9001993957654276e-6,6.0873580415906e-6,5.538924134613297e-6,3.7538636571236337e-6,2.6744106218918936e-6,3.9761425867551706e-6,4.271203936049106e-6,0.0,4.341342873873106e-6,2.3055966837081195e-6,0.0,1.3813173007773788e-6,0.0,0.0,1.1896339231113439e-6,1.7638250777552372e-6,0.0,0.0,0.0,0.0,2.674035077545547e-6,1.3292458977540815e-6,2.4391256875246206e-6,0.0,0.0,2.277398512965104e-6,0.0,2.5260635947316286e-6,0.0,2.5712079887037914e-6,0.0,2.0031108029320708e-6,8.913257899522499e-7,8.98383465363738e-7,1.997669518118437e-6,2.485250757671913e-6,9.038757260518914e-7,3.2393831825326457e-6,1.036231626863123e-6,3.137970588809942e-6,2.673973633540357e-6,2.1879750266382168e-6,2.2055946421735896e-6,1.7623475442771597,26.63096691049016,1.7623452914617554,2.2192506531049094e-6,3.6270213275310153e-6,38.08619697297413,1.6644372962704157,2.1970018686046162e-6,3.5803217023838173e-6,3.462626636217804e-6,5.091215872670279,2.6418844611381095e-6,74.99769442144637
t2,4.408677379375234e-6,5.699402159468925e-6,4.7670551915194856e-6,2.0427128532907003e-6,3.515074677100387e-6,2.0270512652822404e-6,5.582996128787191e-6,4.600130713777681e-6,3.621662572388802e-6,3.164163323182776e-6,3.430694379292019e-6,3.287571765372598e-6,3.3527725419157867e-6,5.671979189464083e-6,4.584837763663867e-6,4.499101230777322e-6,4.212771940178321e-6,4.382559768370594e-6,5.8678897787560135e-6,3.372393674616771e-6,2.988194888925574e-6,5.833919946127211e-6,6.033586864359921e-6,5.4708988234066665e-6,3.6904772537233903e-6,2.6248298940068183e-6,3.90905688129492e-6,4.216301210475033e-6,0.0,4.289998520424031e-6,2.304569108731611e-6,0.0,1.3779400454694776e-6,0.0,0.0,1.1895916958197132e-6,1.760310092099869e-6,0.0,0.0,0.0,0.0,2.6738178476881297e-6,1.3253000043259462e-6,2.4367165506953315e-6,0.0,0.0,2.2763648257819348e-6,0.0,2.524553444201994e-6,0.0,2.5682506413369925e-6,0.0,2.0007160003401707e-6,8.852998767666361e-7,8.834262667697141e-7,1.995447122722711e-6,2.482659922303736e-6,8.886025081527595e-7,3.236779789995103e-6,1.0346763592954058e-6,3.135964340394157e-6,2.671030418596058e-6,2.1805104471216733e-6,2.2025828062227836e-6,1.7623475284715608,26.630966902900344,1.762345285678089,2.217813905737651e-6,3.619337481333739e-6,38.08619696887755,1.6644372944015198,2.1939330743761773e-6,3.577836711336204e-6,3.459022740913045e-6,5.091215868257784,2.6399896595887184e-6,74.9976927403931
t3,4.4070210747712255e-6,5.697514219652475e-6,4.764536678231057e-6,2.0415682779314822e-6,3.5142712354574875e-6,2.026238545252576e-6,5.786433000155865e-6,4.7528115789884975e-6,3.6186426039764926e-6,3.2986370993126175e-6,3.4290312999751393e-6,3.2863744900784467e-6,3.351395094655706e-6,5.8726961272825835e-6,4.583610675906812e-6,4.711161722644267e-6,4.395837913591345e-6,4.380614045589078e-6,5.865935895357057e-6,3.370395657852143e-6,2.9678308756125544e-6,5.807451905763353e-6,6.0122699603591465e-6,5.444694985666756e-6,3.6661413469292754e-6,2.6056539312249653e-6,3.8834124750444095e-6,4.194742316597331e-6,0.0,4.2708931943154754e-6,2.3053192096286305e-6,0.0,1.376170025585531e-6,0.0,0.0,1.1883268491860965e-6,1.7595018213487559e-6,0.0,0.0,0.0,0.0,2.6720064320311742e-6,1.3232743490227366e-6,2.4355879775867557e-6,0.0,0.0,2.27686210248938e-6,0.0,2.5226024439077867e-6,0.0,2.565953784939631e-6,0.0,1.9990607712614314e-6,8.833823008994013e-7,8.788961829815263e-7,1.9936768185515265e-6,2.4801096725569954e-6,8.841446002782457e-7,3.234854437724049e-6,1.0336800852875656e-6,3.1337053561643927e-6,2.6687333319861685e-6,2.178521212845047e-6,2.201933278096312e-6,1.762347528753203,26.63096690314891,1.7623452862577371,2.2183299423124065e-6,3.6192997044281557e-6,38.08619696928841,1.6644372954971856,2.194320709532442e-6,3.577138376926161e-6,3.458274368243335e-6,5.091215868515564,2.6398581746679075e-6,74.99769356280355
t4,4.41407373861382e-6,5.701709793945188e-6,4.769225922182768e-6,2.0469040774661744e-6,3.5181649532248193e-6,2.032528564200438e-6,5.808318581804677e-6,4.7705091400280715e-6,3.6233975523139904e-6,3.3133550465559375e-6,3.4328872847221733e-6,3.292343838268832e-6,3.3549154195110764e-6,5.892248916761854e-6,4.591313846497651e-6,4.73676733810161e-6,4.414394319276085e-6,4.384895456866948e-6,5.8703113495201705e-6,3.3737537934758044e-6,2.9610688329587624e-6,5.798743050087536e-6,6.004764252867357e-6,5.436687524626038e-6,3.6590011143619012e-6,2.599938041270579e-6,3.875934203357435e-6,4.187703327143809e-6,0.0,4.266379122169661e-6,2.3081861033437203e-6,0.0,1.380522302918423e-6,0.0,0.0,1.188486659297132e-6,1.760917018902714e-6,0.0,0.0,0.0,0.0,2.672057852747398e-6,1.327031474482701e-6,2.438130320301733e-6,0.0,0.0,2.278308720005219e-6,0.0,2.5234318403340356e-6,0.0,2.5687962172126345e-6,0.0,2.00230941478791e-6,8.827547824723509e-7,8.773962809870641e-7,1.997009176470352e-6,2.481779818343866e-6,8.832195048978056e-7,3.238212207635636e-6,1.0359754666775891e-6,3.1375741467704885e-6,2.6714682170630476e-6,2.1783538169430284e-6,2.2006632478843017e-6,1.7623475347213908,26.63096690723158,1.7623452902214065,2.2209304141144983e-6,3.623539453931583e-6,38.086196972077964,1.6644372997552788,2.1963061082926073e-6,3.575516551142168e-6,3.4558569950067604e-6,5.091215871301907,2.640030338177799e-6,74.99769375231239
t5,4.423417710038905e-6,5.709208865563764e-6,4.780564634979615e-6,2.0547076154085195e-6,3.5222037290034104e-6,2.0429891818146e-6,5.821755030567782e-6,4.7821838716268435e-6,3.632574922156849e-6,3.3237233891633788e-6,3.4407422121521743e-6,3.300598679692825e-6,3.3614169280256707e-6,5.905355254845818e-6,4.600994090862166e-6,4.752412913030371e-6,4.427513281150961e-6,4.393417958520138e-6,5.8780640745474395e-6,3.3801838399686006e-6,2.9635002844850478e-6,5.80185096366508e-6,6.006404622106164e-6,5.440761520694428e-6,3.6635193150540835e-6,2.6032275183589294e-6,3.880371672820603e-6,4.190314390218109e-6,0.0,4.272805429262286e-6,2.3164703939035015e-6,0.0,1.3896586059333514e-6,0.0,0.0,1.1897350720749929e-6,1.7669093811750572e-6,0.0,0.0,0.0,0.0,2.6735721573667977e-6,1.3353470771460458e-6,2.4435082867066705e-6,0.0,0.0,2.287698555232954e-6,0.0,2.529920423944741e-6,0.0,2.574859910320685e-6,0.0,2.009651404274546e-6,8.825395653904862e-7,8.767695152963743e-7,2.0044768970154003e-6,2.4842117686393165e-6,8.84866684914527e-7,3.245798711345844e-6,1.0408421381318653e-6,3.1459643315247826e-6,2.677403227980755e-6,2.179764226118115e-6,2.2032501638924634e-6,1.7623475583745503,26.63096692219085,1.7623453020499162,2.2275747881456283e-6,3.637692622371844e-6,38.08619697976285,1.664437310441658,2.200891231845096e-6,3.5781345296585697e-6,3.4583265876954073e-6,5.091215879927896,2.6433903492886434e-6,74.99769419876023
t6,4.459768015420094e-6,5.743826973074412e-6,4.821867751825066e-6,2.081241862469618e-6,3.542045174040814e-6,2.0739357653296472e-6,5.861825804009059e-6,4.813352509367242e-6,3.666780304194488e-6,3.3516565908243527e-6,3.4698918103524984e-6,3.3306177545503835e-6,3.387594265418745e-6,5.946503593789221e-6,4.641215558574624e-6,4.796064385546495e-6,4.466036773917865e-6,4.428100778989699e-6,5.9132395197034425e-6,3.406374557411129e-6,2.9772336116608523e-6,5.821705041577246e-6,6.021359784892525e-6,5.461372595802827e-6,3.6827920664682876e-6,2.617617077053837e-6,3.900810434590193e-6,4.20497351344672e-6,0.0,4.297950122959333e-6,2.3569863869231634e-6,0.0,1.420427167161236e-6,0.0,0.0,1.2056314350119749e-6,1.7906800175966925e-6,0.0,0.0,0.0,0.0,2.6947250784428605e-6,1.3634906772105045e-6,2.4631930532884034e-6,0.0,0.0,2.326373095170905e-6,0.0,2.558833844951022e-6,0.0,2.6031845553095134e-6,0.0,2.0352032171835255e-6,8.824796094853691e-7,8.764815469226091e-7,2.030381534948187e-6,2.5129255856543356e-6,8.91428424179521e-7,3.2727240800120746e-6,1.0571268584136632e-6,3.180442778406516e-6,2.7057895263792686e-6,2.1843535208359984e-6,2.2151750172864927e-6,1.7623476043795117,26.630966963973258,1.7623453299428977,2.2544834239003726e-6,3.6778748873419743e-6,38.086197017523254,1.6644373522590357,2.219722144414121e-6,3.5917927945501635e-6,3.473759686352988e-6,5.091215903231805,2.657238683153625e-6,74.99769586197239
t7,4.482878523582628e-6,5.759827642627246e-6,4.8416369651588836e-6,2.0991123125320033e-6,3.553717810163394e-6,2.0926174504501316e-6,5.882823434749193e-6,4.8270125720040225e-6,3.6826601702771204e-6,3.364853321811681e-6,3.4884581896570155e-6,3.3492666657135473e-6,3.399402597541259e-6,5.967426293313026e-6,4.665154192764909e-6,4.816855473194894e-6,4.485569077079098e-6,4.449880210059696e-6,5.929670501958966e-6,3.4180138895779924e-6,3.0515211877620953e-6,5.927705348871828e-6,6.140044522079067e-6,5.599084832096099e-6,3.801883665641873e-6,2.7185711100006896e-6,4.031541849748013e-6,4.315055059882446e-6,0.0,4.43662851335424e-6,2.36399790023358e-6,0.0,1.4404693980478705e-6,0.0,0.0,1.2087242996747705e-6,1.7929378286698765e-6,0.0,0.0,0.0,0.0,2.6987093740545824e-6,1.3819195748629617e-6,2.476165733305558e-6,0.0,0.0,2.3334873269929722e-6,0.0,2.5630057839687073e-6,0.0,2.61963844765701e-6,0.0,2.050408444681877e-6,8.824214815813722e-7,8.762281845986231e-7,2.0462313579599646e-6,2.5276067477670745e-6,9.132362523720683e-7,3.2889483043874535e-6,1.067587199725223e-6,3.2006197255259446e-6,2.722050442487761e-6,2.1976642560589913e-6,2.2108562544567183e-6,1.76234761191629,26.63096697016312,1.7623453333135077,2.2525512869624356e-6,3.681764532564065e-6,38.08619701949902,1.6644373571869615,2.2168815573609286e-6,3.5885421892904655e-6,3.461764146912249e-6,5.091215907104466,2.660909401262365e-6,74.99769750338417
t8,4.5217574982965575e-6,5.762649635496791e-6,4.848142040733445e-6,2.126875346246984e-6,3.5761990180814907e-6,2.1210000533187823e-6,5.888333315546086e-6,4.831902578895892e-6,3.6859204035275526e-6,3.3673412179727863e-6,3.5178764256440412e-6,3.3788873168962334e-6,3.4017626848027424e-6,5.972986516559754e-6,4.7059800455494515e-6,4.822096847483766e-6,4.490812526709203e-6,4.48627886419623e-6,5.9326796754089535e-6,3.4201027296467577e-6,3.0326769073031103e-6,5.911154946322759e-6,6.128621971864154e-6,5.585446407611906e-6,3.789208575589716e-6,2.7112713268341823e-6,4.0188691589631306e-6,4.29677390037624e-6,0.0,4.412724109171002e-6,2.3560156376816174e-6,0.0,1.4750711637437449e-6,0.0,0.0,1.208062027114618e-6,1.7868603606519492e-6,0.0,0.0,0.0,0.0,2.697745253152969e-6,1.4140446833509216e-6,2.4963735184446663e-6,0.0,0.0,2.3262721419563816e-6,0.0,2.5546924142617993e-6,0.0,2.6475134672365842e-6,0.0,2.0770351792544284e-6,8.823715458001437e-7,8.76079580869669e-7,2.0739235573585613e-6,2.554821839401898e-6,9.986452860575008e-7,3.31834966569294e-6,1.0851518632624123e-6,3.239702783483912e-6,2.7496633624410284e-6,2.262596360807604e-6,2.182147772368371e-6,1.7623475969615183,26.630966952437397,1.7623453193114669,2.2240332568127346e-6,3.6649231565721707e-6,38.0861969928317,1.6644373439092803,2.1905425157338577e-6,3.561434059315551e-6,3.4184848574346655e-6,5.091215898561212,2.6586787683388955e-6,74.99769783158071
