Line,New_Trans_Capacity,Cost_Trans_Capacity
1,1.7792098e-10,1.6298932e-9
2,6.524233e-10,4.356537e-9
3,2.0486511e-10,1.5875053e-9
4,1.3093088e-10,7.333176e-10
5,0.021644257,0.18165039
6,1.4203186e-9,1.1659926e-8
7,1.0935055,8.675197
8,3.6512602e-11,2.798108e-10
9,2.0506825e-10,1.0843385e-9
10,0.04918511,0.30254832
11,0.12441706,0.972698
12,5.339832,41.067673
13,10.0,43.466427
14,9.058063e-11,9.607641e-10
15,1.4189994e-10,1.1351673e-9
16,9.358944e-11,1.5172492e-9
17,6.691895e-11,6.9606665e-10
18,7.3045653e-10,4.1623767e-9
19,4.4159136,38.522923
20,1.3514015e-9,2.322957e-8
21,2.1733802e-10,2.141121e-9
22,4.729689e-10,5.380396e-9
23,1.4417697e-9,1.1309505e-8
24,10.0,105.84828
25,9.0240015e-10,6.1336802e-9
26,10.0,86.83616
27,10.0,104.792725
28,8.126447,57.29997
29,8.925411,79.694176
30,4.2747364,49.55328
31,2.1501352e-10,1.5844026e-9
32,3.075408e-10,2.8772342e-9
33,10.0,72.49161
34,1.639465e-9,1.7179508e-8
35,1.6833604e-10,1.5225224e-9
36,6.3238516,60.279728
37,1.2516517e-10,5.1014154e-10
38,2.61444e-10,1.5263114e-9
39,3.1192788e-9,2.8696775e-8
40,0.6574567,8.02832
41,2.1527193,27.480782
42,2.3357705e-10,3.5355836e-9
43,4.2875214,59.92525
44,10.0,125.06093
45,3.9872458e-10,6.7123844e-9
46,1.146715e-9,1.7898065e-8
47,1.7345416e-8,2.0319256e-7
48,1.5737657e-9,2.5906488e-8
49,4.1231485e-9,7.2533545e-8
50,1.1663543e-8,2.112844e-7
51,1.1220095e-9,2.6248609e-8
52,8.737623e-10,1.8453562e-8
53,6.02402e-11,9.394107e-10
54,1.22197275e-8,2.0874292e-7
55,6.541453,78.74904
56,1.3932511e-10,2.496492e-9
57,9.336898e-9,1.2605786e-7
58,6.0680265,78.427765
59,1.4777768e-9,1.8591562e-8
60,7.696927e-9,7.403667e-8
61,0.5504603,6.4624295
62,9.447671e-9,1.14973965e-7
63,7.51134e-10,1.1886291e-8
64,5.323509e-10,9.980559e-9
65,7.020393e-10,4.6108295e-9
66,0.059058886,1.0118054
67,0.12858072,1.4833716
68,10.0,82.4684
69,3.5029837e-10,4.448474e-9
70,9.029337,74.62676
71,7.8076544,81.47848
72,1.5020517e-9,1.413133e-8
73,8.323505,117.603264
74,1.936013e-10,3.1055196e-9
75,4.1379585,55.074535
76,0.4176437,3.6259568
77,3.6600387,41.015713
78,10.0,100.40602
79,1.8655734e-10,2.2648226e-9
80,4.3821646e-10,5.832399e-9
81,6.2029624,49.226208
82,3.4257002,44.702625
83,1.4578445e-10,1.6853894e-9
84,4.312435e-9,3.727526e-8
85,3.24573,53.208
86,1.3362523,20.318438
87,0.50806934,7.6482105
88,1.0405201e-8,7.736787e-8
89,1.5695521,15.873859
90,1.1096714,6.860189
91,7.403141,84.106834
92,5.9371557,34.32345
93,10.0,115.54203
94,6.956897e-10,7.1901205e-9
95,1.6961339e-10,1.4745531e-9
96,3.645201,26.407965
97,9.373488,79.50333
98,3.7681507e-9,3.0378178e-8
99,2.565649e-10,2.8448786e-9
100,10.0,121.68138
101,5.352867,72.20428
102,1.270482,7.425465
103,4.78211e-10,2.7862888e-9
104,2.532377,16.371222
105,8.383906,71.62043
106,10.0,66.37384
107,6.2727695,68.41038
108,1.0275385e-9,3.858291e-9
109,10.0,53.884037
110,10.0,156.27272
111,3.1838705e-9,1.9358268e-8
112,10.0,137.64137
113,10.0,78.84233
114,4.8376464e-10,8.133883e-9
115,3.0144653,33.417496
116,2.8942013,39.598568
117,4.1568584,49.353348
118,10.0,66.95375
119,5.085182e-10,4.025485e-9
120,7.7274337e-10,6.172999e-9
121,0.8359808,12.024394
122,1.2049025e-9,1.4002217e-8
123,0.44116187,6.7735496
124,2.778356e-9,2.5076357e-8
125,0.2268191,1.9285235
126,3.0980774e-10,2.1929119e-9
127,0.20865983,2.1766937
128,1.8267723e-9,1.6973598e-8
129,1.6887814,19.953573
130,7.650322,103.213135
131,0.2803277,20.35488
132,1.5649608e-10,2.1134372e-8
133,9.800242e-10,2.38275e-8
134,10.0,321.14584
135,6.6668837e-10,2.2360153e-8
136,1.5917897e-11,4.986645e-10
137,3.897969e-8,3.131852e-6
138,1.581628e-7,1.0567422e-5
139,5.925329e-8,2.4122853e-6
140,9.351705e-8,2.8187073e-6
141,6.8187494,417.00174
142,9.0815874e-8,4.1726844e-6
143,1.9304791e-7,1.2548447e-5
144,9.6988785e-8,2.82895e-6
145,9.060945,392.98688
146,3.1161628,389.07605
147,3.1723278,26.49088
