Time,Weight
1,7.0
2,7.0
3,7.0
4,7.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,7.0
11,7.0
12,7.0
13,7.0
14,7.0
15,7.0
16,7.0
17,7.0
18,7.0
19,7.0
20,7.0
21,7.0
22,7.0
23,7.0
24,7.0
25,10.0
26,10.0
27,10.0
28,10.0
29,10.0
30,10.0
31,10.0
32,10.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,5.0
50,5.0
51,5.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,5.0
69,5.0
70,5.0
71,5.0
72,5.0
73,3.0
74,3.0
75,3.0
76,3.0
77,3.0
78,3.0
79,3.0
80,3.0
81,3.0
82,3.0
83,3.0
84,3.0
85,3.0
86,3.0
87,3.0
88,3.0
89,3.0
90,3.0
91,3.0
92,3.0
93,3.0
94,3.0
95,3.0
96,3.0
97,7.0
98,7.0
99,7.0
100,7.0
101,7.0
102,7.0
103,7.0
104,7.0
105,7.0
106,7.0
107,7.0
108,7.0
109,7.0
110,7.0
111,7.0
112,7.0
113,7.0
114,7.0
115,7.0
116,7.0
117,7.0
118,7.0
119,7.0
120,7.0
121,2.0
122,2.0
123,2.0
124,2.0
125,2.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,2.0
151,2.0
152,2.0
153,2.0
154,2.0
155,2.0
156,2.0
157,2.0
158,2.0
159,2.0
160,2.0
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,2.0
168,2.0
169,13.0
170,13.0
171,13.0
172,13.0
173,13.0
