Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,1.3385453e8,1.7682965e8,1.9666008e8,2.21596e8,1.2647017e8,5.5409212e7,6.912837e7,2.1008885e8,4.3232324e7,9.155231e7,7.327999e7,5.1970528e8,4.3524506e8,1.0516475e8,3.1908614e8,2.886969e8,5.156602e7,1.2094178e8,5.208667e8,1.9248163e8,2.3732955e8,1.0135065e8,6.8442744e7,1.1287992e9,3.175931e7,1.2239579e9,9.142561e8,4.447246e8,5.438399e8,3.667453e8,2.4131987e8,2.0165806e8,7.011338e8,1.6167493e8,4.3075875e8,8.1357754e8,3.0888088e7,3.1131138e7,1.3381809e8,1.0504337e8,2.5264866e8,7.1409043e8,1.3424762e9,1.8273667e9,2.0599638e8,6.648555e8,4.8338966e8,8.504556e7,4.1705862e8,3.4849188e7,4.9012056e7,5.941367e8,5.0582112e8,3.8952736e8,4.2862032e8,1.8729614e8,3.235091e8,5.9679296e8,3.4281648e8,2.769897e8,2.7295984e8,2.1053242e8,1.9922691e8,4.9562163e8,4.1555968e8,1.1613617e8,7.689164e7,7.347846e8,1.2344249e8,6.060427e8,7.965432e8,5.2602852e7,8.502815e8,2.5483626e8,5.0209523e8,1.09530264e8,2.7631165e8,8.475436e8,8.513178e8,9.998743e7,9.648976e8,5.288138e8,3.4343715e8,7.7589357e8,4.871031e8,2.0757082e8,4.8857376e8,4.2848982e8,2.9143475e8,1.7559894e8,9.931256e8,6.0215245e8,1.1075017e9,1.483494e8,4.1578056e7,3.1605523e8,4.4654938e8,2.4868197e8,2.8195074e7,1.2320489e9,9.2533594e8,3.6269568e8,7.7188184e7,2.8175037e8,2.9796458e8,9.0198496e8,3.2806384e8,3.9579363e8,6.150112e8,1.124897e9,3.8432812e7,1.0498579e9,1.03238e9,1.6552285e8,1.1089115e8,3.090253e8,8.948225e8,1.0062413e9,3.2958262e8,4.1234012e7,4.8374138e8,4.9293464e7,1.092193e8,6.6276204e7,1.9661936e8,5.0049396e7,5.8615176e7,1.2135942e8,2.857871e8,4.4529126e8,9.147862e7,8.495856e7,1.03205736e8,8.048706e8,7.761927e7,9.483674e6,5.7162046,20.680922,6.0564823,6.154242,1.0945023e9,13.125409,25.468012,7.4373026,5.982015e8,6.747934e8,3.772496e8,5.540597e10
t1,52583.22620637552,25768.550259855678,0.004752303836026578,67185.00075743526,24936.34157375197,25677.134424176413,16770.661738780876,0.0052211284681377155,1397.2423309216513,32535.233575909737,17672.14471182778,3199.316324160318,1050.7182283723441,8731.783899674921,0.0028060775349434807,50706.85064560988,7778.142976279829,0.0031511814605118347,77623.30394150932,71784.90328482108,138661.08868152308,106743.02975998793,1214.1713090541946,172367.7016873747,7125.847180112861,185411.96439866247,137871.8798886622,0.007589039364702494,112755.55060718585,24163.256133974268,0.005021181479387011,80061.62931056829,44096.99618087447,39710.46419025407,0.004325712656716625,96799.12455341365,18726.5515594185,0.004438765047668531,32611.73757291612,48756.47207745019,80334.09604799599,0.0016020615989765716,35251.75309414143,9501.277689010863,0.0016243700031350781,106833.21411465888,108824.7061551849,25886.565960097505,0.005568471762171257,9495.58450515491,22875.58201236885,0.0013873212122743359,75437.23016560923,47975.299887522466,122434.04117030674,12751.015014575158,0.0030183125312853013,130172.3845940349,0.0029092200770002505,78077.52190355188,56408.85126113236,0.002351840615079357,57790.418870018235,87959.83539881713,70103.83600121996,28124.01103592797,0.0024970064800709972,130138.37044847324,46376.70821658421,94273.82789400795,0.004320980202326369,14794.631398262778,165113.61158868426,58580.48495582568,121065.7224575339,0.00579058921660407,77362.58371882938,16017.448130421237,3622.5128998278087,41628.91569554377,61345.010275567955,90085.75951238166,78479.7176653056,86219.84211888521,95783.05788628067,20089.119279803566,0.0025099098862392806,39419.08274266673,69977.72237605424,44565.25298807171,223313.83788879673,83670.05675630292,152397.58085333856,39727.82794216782,15952.295802458253,80062.92650765374,0.0034498937994914226,74088.59469506587,21616.140922931667,236210.26111340735,179377.17331552412,73454.87631922484,9071.583478033466,31741.0408290635,103432.51408407351,158635.2021397885,132526.09839007616,58442.82946299181,74801.59064268258,254480.94551185382,4128.853075505505,250973.36886751305,95590.85636277062,8276.796587276403,36544.65415072786,35214.83885507503,151650.18359641577,178932.5139414977,63803.93534641761,3578.160870055391,90842.76309726344,14538.512805538337,29398.21971765045,722.6848337067195,33588.04975925383,0.0020182977704303407,165.04432775452185,19401.515192581006,58841.852934232775,0.0022485411502040226,15804.221301254725,0.003405390725929271,31677.119951066816,153287.56290310694,518.3132539034149,311.24922268050585,0.001031455048685755,0.003415132791896308,0.0007954658572801612,0.0007233595030028985,248244.74052546383,0.0021389202415274143,0.004231985709663173,0.00096500914191567,115236.61240585241,0.004436125254953016,68055.81840022175,7.965986545786508e6
t2,52583.22632303564,22557.266388149106,0.0031989580532908544,63732.09701515023,26489.04634198814,25677.137266091882,26450.490641212582,0.005297814897386076,909.1914690218096,32535.234580730445,17672.14440534757,4661.137632637887,0.0034172479947532594,14199.387059549794,0.0028111667515157016,50706.85486591886,6393.9982526459,0.0031181475623190437,77968.88212758605,71784.84735725237,138661.09220648953,106742.9724344105,3734.762930182333,170687.23198218292,7125.850497331784,193077.3894953283,137871.8803341914,0.008025780881057536,114563.51917610309,26032.149856834414,16789.74528379143,87787.00976295283,66134.80868348382,38071.39358886955,0.003249014277548474,99139.74762517556,21385.865842913303,0.004484981087641158,35418.03926625122,48756.47377361577,81192.17206861298,0.001587050405434006,46429.05616024302,8952.69857252777,0.0016268642844140437,110425.43436112463,108720.67371157944,25886.56596968441,0.006030479703538453,9495.584510669178,20717.31839216941,0.001388339091437284,75700.20172257467,53610.00867649002,122434.0411691236,3681.3466225153734,0.002970030524248685,130172.38459318668,0.002740004959849496,79372.57559356473,59673.3585492163,0.002355101565086307,57790.41888642106,87959.8360549399,73801.43302247017,28124.011036873413,0.002313287120267393,135559.07865073803,46376.70820716184,64360.289833549585,36694.71797290739,14794.631391320201,161321.47760184272,58580.484902792465,121065.72246173733,0.005865066637361599,77362.5837600703,9982.532234913468,4720.555201428427,41628.91568406465,56469.433343441975,88904.90840666741,78479.71766541431,86865.29087563232,95783.0578885845,13755.709901889588,0.002448935765411538,36321.412023650424,66951.64360357699,44565.25296825793,223313.83788195925,85546.24648312201,157538.7822882503,38476.999501457685,0.013878726269646589,79611.85287492159,0.0030094365816029775,60183.72235394524,21616.13451936093,236210.26028145495,179377.17271973196,76053.18336434608,9047.867256883974,18938.616140237413,102900.68615899862,158635.202149054,132526.0984047722,42977.18467406142,49881.01302117523,254480.94551345435,2254.519052485279,250973.36886946304,72200.75500742997,8400.85266203926,43568.530604560874,44732.45760569529,151650.18617338472,178879.36421820914,66117.75561860781,3518.3993926346975,90842.76506202345,20129.998916179917,32923.517210162696,1807.8984310825024,33588.04976088988,0.019041060612542078,0.0023734998979848985,19401.51436707961,60519.838037893365,0.0023324486168676203,15800.722763043565,0.003191363923684668,31677.119951305496,133697.8714956183,4381.603509204411,993.4407480098231,0.0010317393422318466,0.0033988947446942307,0.0013771293783910385,0.0007254946990861756,248244.74050217023,0.0034492448949988257,0.0042153592456617775,0.000963230303355313,96654.5802118758,0.01808521909112696,88374.64882806894,7.959634563307479e6
t3,52583.22623680526,24560.287292960606,0.0032237426073674193,65872.07714988751,11933.530825073685,25677.134209316922,0.04906669783488738,11414.972019698609,0.003247310397194842,32535.233230132846,17229.677227463235,4841.047834076238,0.003531575542808272,12057.616804924362,0.002829420835943124,50706.84944256425,6863.764456463334,0.003129455476236321,77145.12273404104,71784.8866126947,138661.08707768205,98048.94931716997,0.00435201882541396,172367.70052589965,7125.842980944564,195728.5104568055,137871.89106725325,35838.02471777614,98584.34799783542,6999.529205857583,4236.6662935520935,87787.00966987856,53283.12867522788,38894.164411315425,0.0033391678825363726,108121.59897866663,21798.477907030603,7634.884771581905,26851.55238616004,48756.471269007154,96047.519905157,0.001584331194819722,50123.433027165935,8741.689826227528,0.0016272695968177864,112136.33496415302,108724.9742485397,25886.565971440603,0.006279254627839536,9495.584513806494,22638.864719452125,0.001390243597140963,75134.57469265786,55630.572646620596,122434.04116917224,2297.5385573611934,0.0029595846110260244,130172.38458933485,4031.3577053366794,81160.24085872971,63188.98436761379,0.0023626504733273213,57790.41878456572,87959.83733200979,83296.3402334785,28124.011045845502,3573.5117144400806,146838.27344882285,46376.70821289141,75465.15419470971,21573.95894352547,14794.631395930428,161933.55889115212,58580.48629876528,121065.72284347154,0.006019471021409009,77362.58374191585,11798.942529158858,0.0024936183089865295,41628.915691374124,58405.02691827664,99083.32987143505,78479.7176713457,95242.10524637521,95783.05789872247,7195.1307987579075,0.004588282082649813,34968.790515473214,63807.32726811564,44565.2534910784,223313.83788811913,86875.76914273236,158070.89752805006,37182.77155768403,6574.954305297375,80062.92562338155,0.003137740174822606,68382.27682431958,21616.141018172893,236210.26105592604,179377.17327020035,78934.58806407268,8561.286085766664,16085.99972498692,102512.8633137126,158635.202149069,132526.09840359632,46751.08806257702,51620.33737717835,254480.9455124558,322.08787663888216,250973.36886842392,66256.40745419465,3697.7122861841794,54152.07016620974,54085.00942191301,151650.18617083438,178564.6029058139,66117.75559903268,2969.9765890258095,90842.76507660214,20760.52459173984,32923.51729634059,2116.4714672156633,33588.04976718508,0.01941065532063684,0.0023255086646854967,19401.51410904218,60993.136148984595,0.0023401550112973515,15811.707301586375,0.00318869369049105,31677.119950678298,140026.47181737336,4731.209704435682,1024.4645230558172,0.0010340762015526347,0.0034081550291977097,0.0007917694159914488,0.0007317754377896913,248244.7404866669,0.002046251124342775,0.004224867006217037,0.0009604598070831712,102508.08118375188,0.017034148587574707,94280.81932416499,8.012828070182897e6
t4,52583.22497943479,24755.546370155782,0.006081159065558388,67185.00498146607,16182.130007615815,25677.13419646215,0.049653792741209415,5901.442864651328,0.006686353003016373,32535.23340288941,17672.144254159004,0.014737967846000621,3033.3355631777245,7511.609807544315,0.002796480997328832,50706.85152360765,8358.85866897607,0.0030494977947696385,76476.28514567125,71784.90330149229,138661.08956299993,106743.02979149856,625.1703826078171,172367.70171608462,7125.842835199459,195728.51043930845,137871.8910260106,51081.28273073807,112803.78860993439,27848.89328789136,19435.761010535647,87787.00982090547,66850.7205352671,41187.52612888891,2430.984204191252,135204.62100615015,22908.767376756878,25555.314975703615,31098.55710039218,48756.47183905629,96047.52018538483,0.0015858991321702296,51016.1419610434,8621.08525911597,0.0016279011351599737,112618.59212349539,108787.13373545642,25886.565973398923,0.006349950542223216,9495.58451475362,23753.8651935599,0.0013962573389470789,74870.3251550805,55750.79728616791,122434.04117022689,2089.447285342151,0.0029567872818766967,130172.38459192905,8136.072915679776,82522.3387663582,63582.8469607629,0.0024345625202422754,57790.42345256359,87959.83693268665,80323.64912188092,28124.011037989374,9753.86272526186,147192.08787918865,46376.708204846356,65997.67940278503,33408.53274269098,14794.631389874552,166518.5637640792,58580.48587599231,121065.72270391895,0.002457276203288049,77362.56912207682,15278.646171605798,0.003251864765150286,41628.91568105704,55391.20785036306,93170.94711294517,78479.71766558923,91719.34667060188,95783.05789199784,7217.000548657426,0.004702561667660789,40237.79970534742,63845.554098434935,44565.25349867587,223313.83788116946,90460.7013968985,158070.89910924807,37200.99372551041,10854.6737675039,80062.9254856138,0.003508751100572893,73770.0348852807,21616.141127720202,236210.2612682702,179377.17346752525,79974.81940256742,9217.652824149818,16441.951716773674,102177.92569082529,158635.2021492513,132526.09840354248,41131.0513873075,40143.89051302262,254480.94551334792,267.24862999729874,250973.36886909045,43731.16706756548,0.0034495651844455456,58147.65130830017,55828.31992117014,151650.1861821989,178739.46898233946,66117.75559889384,3308.481221098727,90842.76504210368,20353.240802717723,32923.51728280453,1923.665847509445,33588.04977190416,0.019894548442230164,0.0023615094122332596,19401.514264231333,60689.02410349637,0.0023147669287240063,15828.617281662162,0.0031984505379860613,31677.1199516147,133992.1320312355,5236.409341280426,1065.6526153915017,0.0010341186574650948,0.003392006556649924,0.0007997674546840549,0.0007269872103453713,248244.7404712803,0.0021803300308043633,0.004208332124729477,0.0009741150686136963,96932.9243143591,3685.524626463007,91041.88664612023,8.132645363478208e6
t5,52583.22494296075,22281.606808125336,0.006135732825224727,67185.00505059866,9584.208372981086,25677.134141295373,21706.039138331802,12060.636845812773,0.003188461902946926,32535.233554839793,17233.267616345212,0.012600939144874498,3666.8694416882972,16697.41309686037,0.0030047405112129297,50706.85238830823,10904.76365834647,431.6337317872507,75404.68930060005,71784.90328711069,138661.08967203493,106743.02980852066,220.10290705652343,172367.70171719516,7125.842558067234,195728.51043984934,137871.8910074925,64399.36555668837,109623.1753030028,22484.362096838624,22615.62797552068,87787.01146626589,68495.75853349514,46559.73991105297,22558.692269448722,138936.48459476454,24514.56212440657,31280.922435029468,24704.491075678932,48756.471833056945,96047.52376060339,0.0015829170877426201,49258.67899633809,8039.381111841218,0.0016298571048556545,111123.7374250226,108463.46540733874,25886.56597958944,0.0062511905902407645,9495.584510068853,21843.514545641152,0.0014041918344017907,75343.70855285363,54434.28635032484,122434.04117171105,2712.5150043828344,0.002949835220263959,130172.38459429466,2331.629995527341,79964.57250544443,59602.47356846895,0.00235389625374282,57790.418768425494,87959.83573741332,68864.2814095991,28124.011042093625,14046.136294548854,138992.02487317254,46376.70820988151,70200.17292107077,29630.20548563961,14794.631393394018,164809.98208450899,58580.48634490053,121065.72286569061,0.0060348983520582345,77362.58395262358,17430.544832999007,0.0024382670460420253,41628.91568718877,53095.93169391697,79904.8101819817,78479.71766715031,81275.24341784835,95783.05789608501,15526.45191023431,1827.7483767471153,43128.075941507544,67867.53261174445,44565.25364460785,223313.83788511922,93276.98167583728,158070.89911847157,38866.753603097415,15024.170292324705,80062.94486833457,3220.7876017355497,75646.93134894685,21616.141137618328,236210.263194079,179377.17514361927,81088.0552928284,9559.897156310755,20192.07620844991,101847.01025081579,158635.2021452484,132526.09839558986,42753.33977781008,39806.25318720153,254480.94551362016,8.596534859741487,250973.3688682003,40733.25764700511,0.0038440060289334746,60578.50958793593,57813.187362689285,151650.18370748064,178932.513933279,63874.20271665568,3169.4650419408504,90842.75164269484,14657.657602688942,28725.6685953605,747.0109515241179,33588.049786412106,0.01965146546875087,0.0023343918903316,19401.514967710304,58856.924784759634,0.0024706060122767102,15861.056457158546,0.004201685720789237,31677.119951710716,137343.38790835644,3175.931797554686,944.2241948180045,0.0010342010042580635,0.0033986674089723024,0.000802207615928415,0.0007224060956938673,248244.74046831502,0.002190713473552224,0.004215113429062826,0.0009798507693400663,100013.5428074729,0.019522571081621143,70416.98921594456,8.145948598658283e6
t6,26806.05556278043,36897.0114921337,0.00525789757214514,67185.00527704212,0.0037924109451767988,25677.13297610823,11827.57307136662,0.04642599716265956,0.002848439557222389,32535.23304251231,14309.989232191894,0.002892617540274302,0.002660966965857961,2436.977851199407,58.2751630980654,50706.85288428306,10904.76747340637,3504.3930708085695,77382.01196294537,71784.89025042059,138661.0889651233,95214.4353178166,0.003914754457046668,172367.70057803785,2195.640252496737,195728.51126042908,137871.89154637873,65557.66609585185,107507.69881058538,28517.153670996668,6475.644043472889,87787.01087489836,49742.80297325821,60148.35991869214,16474.233284056456,129359.8577210005,28620.854946887186,33973.45003677864,24814.616007568537,48756.470934735335,96047.52240712578,0.0015962851116340744,34167.907891368006,7455.9945281743785,0.0016214169957306764,106107.27212971181,108437.29828878718,25886.565983441702,0.0055360485368087095,9495.584394533851,23619.727507446532,0.0014167617376599777,75282.22100376185,46353.27252513332,122434.04110724639,14642.39220963595,0.002966895834335614,130172.3845645532,0.0024625768537679294,78858.1185954783,58695.124736274265,0.0020568942805047,57790.42085248885,87959.84230201355,41345.10839010377,28124.0110877538,11492.36850400062,101177.30004340844,46376.70824420599,44285.82319849129,4632.655415806608,14794.63141848118,170162.4144709109,58580.485399748344,121065.72271183539,0.004700030687156457,77362.58391319509,14342.331299121923,14973.700401269096,41628.91573045326,41814.63017443522,39721.323345163924,78479.71769833444,56157.19828465503,95783.0579393331,29318.81763656295,5879.226528954842,39673.0759977431,74391.97092191027,44565.253714160965,223313.83791643707,93443.81813896199,158070.898166554,41559.91634398614,2520.570793942708,80062.94472649827,0.002947505710341458,66139.37250690153,21616.142461980275,236210.26163504517,179377.17382127268,80677.57351662108,8140.730331908152,20046.954825734832,101961.61542192646,158635.2021448353,132526.09839518016,27065.000975485298,19392.608355127024,254480.94552285914,0.003242795576343993,250973.3688781564,21022.774482134006,0.002141151578618301,15290.026601068806,2212.1328695086254,111393.87829329194,156166.95639508567,56943.13519563269,0.0030594567370348063,24180.39059184959,0.002287967137580847,13103.321474215787,2531.6751580529967,32032.805935046847,0.005232629699265096,8063.511813872784,19401.525839649574,0.0027993531382899573,64338.434175075236,16027.350814567448,0.004501267326863615,31677.119893849464,121904.63369677968,2951.367921241809,928.524575738211,0.001000268118169353,0.0034565385070928155,0.0008036216736819835,0.000714315771987574,248244.74059373394,0.002094534092241972,0.004274387005371937,0.0009610629972328588,86186.60713363078,0.01368425298529333,62181.24480011001,7.494323316531227e6
t7,22613.271985737952,34803.23556158679,0.005906607616854471,67185.00538050168,0.002948929345146856,25677.133891183326,36227.45493408009,25623.08406142033,0.0027673301999371815,32535.23116976059,15668.045335258692,0.002819943478053393,0.0026602880191537582,24646.43874518576,7032.029369698453,50706.85224812421,10904.767548911845,6254.524753565287,77968.89177979298,71784.8903605748,138661.08062335476,96039.10845089093,0.0032038118774943168,172367.6864388206,38.607837869466714,195728.5115026265,137871.891692932,74139.58547756256,108829.14329816925,12389.115678925118,11964.058646700656,87787.01209752008,51367.84966065446,60148.36017590823,42026.33821800375,138936.55257740896,24392.543200752665,18401.525415280426,16183.51811267538,48756.46827844872,96047.52557948088,0.0013798418903776713,22649.14895159255,3834.7677385833686,0.0014107009985023782,95287.40838796293,107140.30760861558,25886.566199803343,0.004626974638581431,6235.075194323898,2335.519944228922,0.001230912709267007,82180.91147120841,44835.423017978566,122434.03790560266,22258.489179495922,0.0026728741477986167,130172.38390407144,0.0022016115401118437,70908.81060859853,37167.57818102799,0.0020325758778680695,57790.42005111412,87959.8424137905,25620.30106320238,28124.01107433403,14046.138072227202,85682.80808483055,46376.70823690531,49148.85853309448,0.0034166809979781984,14794.631412147139,178163.3652064181,58580.48801712354,121065.72379621673,0.005521824949284405,77362.58855347447,9490.42257417215,34268.162744034395,41628.9157203861,29306.92686590367,20212.11580082367,78479.71768700576,29696.59398017542,95783.05792442053,40070.41995427336,10360.593914844747,42542.91104084985,79024.93453087345,44565.25372063888,223313.83790954764,91060.55045759272,158070.89951738843,42355.535446849666,18705.040060443516,80062.9457408771,0.0029713028215724753,75646.90619773045,21616.14312352872,236210.2619391408,179377.17413809456,84210.5659742448,6346.955621011955,17410.344386193843,102978.60891473724,158635.20216296634,132526.09843344399,27027.748259048196,31914.798125231362,254480.94552509827,8183.213514337229,250973.36888034918,11986.838013710998,0.0021155371890168,11943.080832044378,0.0018684676313620143,111389.98575681905,159867.05333629207,57964.24895033062,0.003051222431373495,25478.118317643755,0.0022733336710601777,2113.2464244750763,4921.018781618533,31650.798229784625,0.004487786891608504,11642.296516710558,19401.52563367653,0.002635920831079693,57564.40500257307,16027.387207883901,0.0044339543631463,31677.116321863672,126721.90469973403,7071.7379717805015,1150.9601158555336,0.001046442147753791,0.0034462861673138366,0.0007879224380090278,0.0007077892775349245,248244.74057667496,0.0020128967872896342,0.004263878319335706,0.0009564823146722923,90397.61608930297,0.005148089652005623,42199.60325265471,7.48570059272325e6
t8,13958.074031799186,39953.48000110773,0.00526686622870434,67185.00565183039,2373.6513398478496,22567.97834442159,36227.53240442678,6836.689981685065,9518.230198880266,32535.230007824972,0.002934980785720876,0.0025816436189204425,0.002376334955732466,29796.788596125272,12308.778664015956,50706.8544333189,10904.767753752843,7687.040954899422,77968.89103721511,71784.89067708526,138661.09186973624,97680.34402670564,0.00336479908202924,172367.6769924549,0.002534684869871604,195728.51156135893,137871.89174651762,65323.86636202351,105746.12001237574,0.008355826760288065,18518.196055345485,87787.0206084297,55368.50563837073,60148.360627528375,28970.61272575117,138936.6124705963,26498.986666413224,22398.076295281986,8829.365482042627,48756.27135516097,96047.54105098454,8063.5231068952035,0.0012195784506000616,373.03804334957994,0.0012357661976453607,83818.27690251636,106265.07257951917,25886.566217073003,0.004464816521754799,2449.713152841586,0.0027542089242918524,0.001179164819106695,83769.21567524096,24164.343463627327,122434.03760558729,44415.35488888272,1966.2874615737876,130172.3838882448,0.0022008597248837055,71322.32194149593,38475.2900356758,0.002029721189593427,57790.420124705146,87959.84343552875,18969.546728595513,28124.010942434616,14046.13807373302,76601.48113320665,46376.70810622577,43296.05433144646,5410.841757433768,14794.631308408912,180715.4177813043,58580.4880193814,121065.7237938494,0.005611988488335261,77362.58855710678,9379.046942668781,38744.251683503746,41628.9155420141,26829.952878017626,6445.11252767712,78479.71758821755,22349.94744865072,95783.05778831616,41155.922413237044,14398.248224975057,43199.94885187076,79024.9345306709,44565.253713690065,223313.83779058463,90008.83672355519,158070.89964879362,41045.64341523098,24209.884372280558,80062.94593485139,289.9706888662514,75646.9321224378,21616.144604186844,236210.26372776908,179377.1757131573,87434.6785127136,6100.040883570252,14819.184115597609,104287.79236103242,158635.2042700267,132526.10232786927,13475.597374644132,24823.020291400517,254480.94541623612,15619.361787838732,250973.3687897313,3837.003704598898,0.002696731208559964,0.00286578457210944,24720.523657539532,90740.34066931125,149227.95528677243,58363.515903973115,88.81065424766824,9131.872562911676,0.0022778262577705308,0.0020994687511226517,4943.867579882784,33588.04620247292,0.0019212299754889984,20190.481509918314,19401.526308100387,5984.379761107616,98697.78433407746,16027.38670586454,0.004493723808606383,31677.11607210064,123502.62302338443,9502.218390483791,1201.4596440638804,0.0010502351882842272,0.003251763037633846,0.001030479204396406,0.0007061417707111288,248244.74026864942,0.002832287631664491,0.004062984231544561,0.0014750893941561849,87563.33484778227,136210.94095235725,10044.52148427099,7.490524924085939e6
t9,22410.520776711925,32225.47637773285,0.005329716624761569,67185.0057419758,1820.8597171382944,19520.071251068064,36227.5324145073,6321.931829111205,8545.26989962254,32535.230303440145,0.002910489194941832,0.002652075232612545,0.002361904817419719,24667.17487147207,5263.804649400634,50706.85443733103,10904.767769266964,7373.58882842835,77968.89100076088,71784.89104635871,138661.09187308766,99749.50443573792,0.0034700189571195976,172367.67806196096,0.0025220806895760147,195728.51172331706,137871.8919431467,67932.75720348973,101021.15058843902,0.007293214053285034,20773.286706669147,87787.02062089996,57340.511409171515,60148.3606524916,23473.878080781666,138936.61248214962,27633.626458505994,24859.497932501534,14.881740055309098,48756.28161902421,96047.54105830446,0.0012790065143589305,36210.51568883166,7551.7624705960725,0.0027950764237570074,73148.19776982555,118045.74524157315,25886.566147529884,20689.41806314396,1219.827215797983,0.0026938086244032607,0.0011998339586769583,58806.95526444321,83787.1688600349,122434.03774773257,0.004157158222341946,11131.264295772442,130172.38398652623,0.002291609715003277,82240.13626569098,63582.82814605959,19286.71435386771,38944.859795755045,0.002565156920265969,359.04175420443784,28124.00002782864,14046.131803052414,9907.75870514431,40661.83931155064,6007.023316078056,47735.206861023085,14794.56418401396,182847.5240350131,58580.48802843482,121065.72380247302,0.005192441789978537,77362.58856064384,15015.424515102673,35991.64709734254,0.0061179277754100335,678.6516428868488,0.002405852980204723,78479.7153253256,0.002798580251706004,31623.124319708797,6711.733076911139,28810.011711834064,14448.095831307477,79024.93453556416,44565.253590264096,223313.83367733378,91976.99069492765,158070.89911457186,40693.4638922761,0.004016345680506712,80062.94533233719,0.0022856425664757114,45697.48263926822,17040.272355935303,236210.25854386308,175749.4782776773,80496.13237680253,5311.202356991563,12205.722374226172,105411.87402271695,158635.20427490104,132526.10233613368,11189.50662146565,0.004786079291223014,254480.94502660047,9972.474663327224,250973.36848265055,592.7081622628398,8273.686941180824,0.0022229029684701462,34119.01191561182,0.005662064946000896,74148.35263562629,17980.550611417053,17315.892927065914,0.0024132218616580584,0.0023334456467986203,0.0023502427137451773,6171.775612654621,9131.776608090468,14779.840691549545,0.0025119894654009513,0.002156938066072551,0.012498027416705828,114171.90511823248,15356.555949876727,19022.400464142567,31677.116102132695,80479.16594872148,5673.0313134799,1113.4198917916126,0.0010613773912522629,0.0015825861366614653,0.0010334682177035993,0.000712189361932846,248244.7335787415,0.002845909525477347,0.0018485718618381883,0.0014851833342152065,56297.097308020275,136210.94080208224,28035.031054999676,6.813358083396776e6
