Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,1.7792097999999998e-07,1.6298932e-09,4362.853663,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,6.524233e-07,4.356537e-09,15060.90012,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,2.0486511e-07,1.5875053e-09,3566.015485,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,1.3093088e-07,7.333176e-10,9117.540976,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,21.644257,0.18165039,2377.343656,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,1.4203186000000001e-06,1.1659926e-08,2377.343656,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,1093.5055,8.675197,2377.343656,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,3.6512602e-08,2.798108e-10,4754.687313,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,2.0506825e-07,1.0843385e-09,2377.343656,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,49.185109999999995,0.30254832,3971.020013,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,124.41705999999999,0.972698,1593.676357,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,5339.832,41.067673,4754.687313,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,10000.0,43.466427,3964.434574,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,9.058063e-08,9.607641e-10,2377.343656,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,1.4189994e-07,1.1351673e-09,5551.525491,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,9.358944e-08,1.5172492e-09,2377.343656,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,6.691895e-08,6.9606665e-10,796.8381785,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,7.3045653e-07,4.1623767e-09,4362.853663,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,4415.9136,38.522923,2377.343656,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
20,1.3514015e-06,2.322957e-08,3174.181835,DE1 14,11.75030038,51.22456746,DE1 17,12.62697015,53.77264365
21,2.1733802e-07,2.141121e-09,10698.04645,DE1 14,11.75030038,51.22456746,DE1 19,10.72308407,49.88281742
22,4.729689e-07,5.380396e-09,7132.030969,DE1 14,11.75030038,51.22456746,DE1 3,13.55352574,52.53973418
23,1.4417696999999999e-06,1.1309505e-08,6348.36367,DE1 14,11.75030038,51.22456746,DE1 6,13.6417236,51.1474873
24,10000.0,105.84828,2377.343656,DE1 15,10.35871363,52.2258987,DE1 5,9.656115621,53.77222271
25,9.024001499999999e-07,6.1336802e-09,796.8381785,DE1 15,10.35871363,52.2258987,DE1 9,8.718996773,52.01133541
26,10000.0,86.83616,7132.030969,DE1 16,7.383087925,52.70033778,DE1 2,7.69004145,51.39881774
27,10000.0,104.792725,0.0,DE1 16,7.383087925,52.70033778,DE1 8,6.782045751,51.15711695
28,8126.447000000001,57.29997,4754.687313,DE1 16,7.383087925,52.70033778,DE1 9,8.718996773,52.01133541
29,8925.411,79.694176,3174.181835,DE1 17,12.62697015,53.77264365,DE1 3,13.55352574,52.53973418
30,4274.7364,49.55328,2377.343656,DE1 17,12.62697015,53.77264365,DE1 5,9.656115621,53.77222271
31,2.1501352e-07,1.5844026e-09,4754.687313,DE1 18,6.961294781,49.74481059,DE1 7,8.614807726,50.07909121
32,3.075408e-07,2.8772342e-09,7132.030969,DE1 18,6.961294781,49.74481059,DE1 8,6.782045751,51.15711695
33,10000.0,72.49161,2775.762746,DE1 18,6.961294781,49.74481059,FR1 4,5.960518626,48.861879
34,1.639465e-06,1.7179508e-08,4362.853663,DE1 19,10.72308407,49.88281742,DE1 4,11.39973609,48.35883243
35,1.6833604e-07,1.5225224e-09,5551.525491,DE1 19,10.72308407,49.88281742,DE1 7,8.614807726,50.07909121
36,6323.8516,60.279728,4754.687313,DE1 2,7.69004145,51.39881774,DE1 7,8.614807726,50.07909121
37,1.2516517e-07,5.1014154e-10,20220.59196,DE1 2,7.69004145,51.39881774,DE1 8,6.782045751,51.15711695
38,2.61444e-07,1.5263114e-09,4754.687313,DE1 2,7.69004145,51.39881774,DE1 9,8.718996773,52.01133541
39,3.1192788e-06,2.8696775e-08,7132.030969,DE1 3,13.55352574,52.53973418,DE1 6,13.6417236,51.1474873
40,657.4567,8.02832,2377.343656,DE1 5,9.656115621,53.77222271,DE1 9,8.718996773,52.01133541
41,2152.7192999999997,27.480782,3566.015485,DE1 7,8.614807726,50.07909121,DE1 9,8.718996773,52.01133541
42,2.3357705000000002e-07,3.5355836e-09,7132.030969,ES1 0,-5.521155106,41.91726953,ES1 5,-3.650686811,40.1106101
43,4287.5214000000005,59.92525,9920.964594,ES1 0,-5.521155106,41.91726953,ES1 6,-2.896801354,42.76489618
44,10000.0,125.06093,13486.98008,ES1 0,-5.521155106,41.91726953,ES1 7,-7.87453434,42.66362337
45,3.9872457999999995e-07,6.7123844e-09,2377.343656,ES1 0,-5.521155106,41.91726953,ES1 8,-6.151081793,39.41281179
46,1.146715e-06,1.7898065e-08,10306.2128,ES1 1,-0.498247314,40.7899949,ES1 3,-1.068553391,38.46729399
47,1.7345416000000002e-05,2.0319256e-07,11103.05098,ES1 1,-0.498247314,40.7899949,ES1 4,1.532231515,41.6937861
48,1.5737657e-06,2.5906488e-08,1195.257268,ES1 1,-0.498247314,40.7899949,ES1 5,-3.650686811,40.1106101
49,4.1231485e-06,7.2533545e-08,8725.707326,ES1 1,-0.498247314,40.7899949,ES1 6,-2.896801354,42.76489618
50,1.1663542999999999e-05,2.112844e-07,398.4190892,ES1 1,-0.498247314,40.7899949,FR1 8,-0.428850811,43.53302298
51,1.1220095e-06,2.6248609e-08,1587.090917,ES1 2,-5.238705483,37.16218302,ES1 3,-1.068553391,38.46729399
52,8.737623e-07,1.8453562e-08,8327.288237,ES1 2,-5.238705483,37.16218302,ES1 5,-3.650686811,40.1106101
53,6.02402e-08,9.394107e-10,7530.450059,ES1 2,-5.238705483,37.16218302,ES1 8,-6.151081793,39.41281179
54,1.2219727500000001e-05,2.0874292e-07,5153.106402,ES1 3,-1.068553391,38.46729399,ES1 5,-3.650686811,40.1106101
55,6541.4529999999995,78.74904,1188.671828,ES1 4,1.532231515,41.6937861,FR1 6,1.729674829,43.51121311
56,1.3932511000000001e-07,2.496492e-09,3566.015485,ES1 5,-3.650686811,40.1106101,ES1 6,-2.896801354,42.76489618
57,9.336898e-06,1.2605786e-07,10704.63189,ES1 5,-3.650686811,40.1106101,ES1 8,-6.151081793,39.41281179
58,6068.0265,78.427765,1587.090917,ES1 6,-2.896801354,42.76489618,FR1 8,-0.428850811,43.53302298
59,1.4777768e-06,1.8591562e-08,3964.434574,FR1 0,2.285930386,46.41651176,FR1 11,-0.147786872,45.53878517
60,7.696927e-06,7.403667e-08,6746.782759,FR1 0,2.285930386,46.41651176,FR1 12,2.837637634,45.01155887
61,550.4603,6.4624295,3566.015485,FR1 0,2.285930386,46.41651176,FR1 15,3.785280059,47.87312765
62,9.447671e-06,1.14973965e-07,2377.343656,FR1 0,2.285930386,46.41651176,FR1 16,4.896736931,46.04814359
63,7.51134e-07,1.1886291e-08,2775.762746,FR1 0,2.285930386,46.41651176,FR1 7,2.412112342,48.81161936
64,5.323509e-07,9.980559e-09,3566.015485,FR1 1,6.107274788,45.52201024,FR1 15,3.785280059,47.87312765
65,7.020393e-07,4.6108295e-09,12298.30825,FR1 1,6.107274788,45.52201024,FR1 16,4.896736931,46.04814359
66,59.058886,1.0118054,1188.671828,FR1 1,6.107274788,45.52201024,FR1 17,7.098681163,48.02632462
67,128.58072,1.4833716,796.8381785,FR1 1,6.107274788,45.52201024,FR1 5,6.28574034,43.77942318
68,10000.0,82.4684,3566.015485,FR1 1,6.107274788,45.52201024,IT1 5,7.804870669,45.15309588
69,3.5029837e-07,4.448474e-09,2775.762746,FR1 10,3.998921317,49.79126179,FR1 15,3.785280059,47.87312765
70,9029.337,74.62676,2775.762746,FR1 10,3.998921317,49.79126179,FR1 3,2.424028616,50.53222179
71,7807.654399999999,81.47848,2775.762746,FR1 10,3.998921317,49.79126179,FR1 4,5.960518626,48.861879
72,1.5020517e-06,1.413133e-08,1195.257268,FR1 10,3.998921317,49.79126179,FR1 7,2.412112342,48.81161936
73,8323.505000000001,117.603264,3572.600924,FR1 11,-0.147786872,45.53878517,FR1 2,-1.259489523,47.53739283
74,1.9360130000000002e-07,3.1055196e-09,2775.762746,FR1 11,-0.147786872,45.53878517,FR1 6,1.729674829,43.51121311
75,4137.9585,55.074535,2775.762746,FR1 11,-0.147786872,45.53878517,FR1 8,-0.428850811,43.53302298
76,417.6437,3.6259568,2390.514535,FR1 12,2.837637634,45.01155887,FR1 18,3.784670783,43.88377687
77,3660.0387,41.015713,1587.090917,FR1 12,2.837637634,45.01155887,FR1 6,1.729674829,43.51121311
