Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,4.669292537982492e-8,1.2281390947113904e-7,1163.1600000761212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,1.4988968197324735e-7,2.492590899262158e-7,359.0400000993695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,3.5352875384378753e-7,0.0,148.19999964647124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248541664998,0.0,6.941054220277465e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,3.280431692951289e-7,0.0,2721.9999996719566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,1.1302998829750863e-6,0.0,69.99999886970012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,1.0978848602806716e-8,2.499339800293002e-8,590.6185500140147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,2.5983980715278024e-8,0.0,177.688029974016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,5.3106569385675965e-9,1.3799835685602824e-7,2040.9253066326864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,8.006131662749114e-6,2.8866993630481697e-7,3350.999992282538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,2.2312962060495404e-7,1.0654713606442072e-8,175.6099997875251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,9.910572022708307e-8,0.0,18.099999900894282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6999423398565,0.0,5.766014354868787e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.04129388344468,0.0,2.1432827249090458e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,5.268561508933002e-7,0.0,24.799999473143846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,6.341860081012291e-9,6.777194924997035e-9,855.7914000004354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
