Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,-228.67984297787964,0.0
AnnualSum,409603.19373453065,864728.4377535922,770338.2328509099,10846.709797724663,11498.291282032593,152244.10443582566,392772.1954794911,38999.727682273246,2.8074878288865476e6,42070.463769305235,208211.63180631385,97023.64304546111,516959.35240259883,340106.6227729159,1.4767756986458777e6,3.3100972587851337e6,204839.91343207698,675069.3255356656,649496.2665829541,28610.92721275814,0.2126170143683977,169746.6283928643,464541.4173251315,253077.8535659279,330319.11313961516,1.0142168024147162e6,380716.4960542808,495.49403041239543,0.0,184479.69288857735,205667.2948800973,0.0,917479.5276825655,0.0,0.0,2852.1306826420764,212424.7605902609,0.0,0.0,0.0,0.0,16686.469449557946,432875.6387151521,242490.36374877504,0.0,0.0,73185.73604690685,0.0,264696.8702916414,0.0,1.2180467477690838e6,0.0,100441.49954288523,347.8510594188325,208232.15148805844,1.1900594858287086e6,1.106261101658977e6,51119.76980969152,500963.4974624411,715515.0385341329,347072.5928882714,244217.9882443857,4345.132794988156,658697.7462745005,1.6449544045610297e6,397160.51013694063,1.2472511953231525e6,222172.26927280982,516433.805773794,3.0482517833331493e6,693025.3808041135,2.6719935220919317e6,762240.7437192741,535909.8353919239,1.7401874046396015e6,1366.2133005705136,3.8000000000113964e7
t1,5.394006942182873e-6,6.285012535123703e-6,5.62473368916193e-6,2.977658293638916e-6,4.2058526430570545e-6,2.9427138017298707e-6,6.810246297724513e-6,5.951706749482737e-6,4.653525281332504e-6,4.248607152642921e-6,4.505749295010615e-6,4.168443329023683e-6,4.327923788695517e-6,7.166515355116751e-6,5.805998730642959e-6,5.672789240563066e-6,5.156538277929309e-6,5.085365358056208e-6,7.069480784693493e-6,4.28093691829321e-6,3.23782382568437e-6,6.405228919525829e-6,6.2105202699455046e-6,5.8312521749681476e-6,3.701235216125223e-6,2.4121377035279605e-6,4.232463833284799e-6,4.065327487131769e-6,0.0,4.501486752779222e-6,2.6064076178293153e-6,0.0,1.8511133994674402e-6,0.0,0.0,1.1729584268241518e-6,1.998465376840287e-6,0.0,0.0,0.0,0.0,2.896743299821801e-6,1.8478738624123392e-6,3.043094619389494e-6,0.0,0.0,2.794537543210696e-6,0.0,3.1417683444044287e-6,0.0,3.181397639406502e-6,0.0,2.788041147061249e-6,1.3723256682634128e-6,1.3926302136996401e-6,2.7688631467446315e-6,2.828867232357277e-6,1.3523464128698746e-6,3.996630561901322e-6,1.389990497619807e-6,3.7064310529355917e-6,3.1819547926175955e-6,2.8074468087393085e-6,155.85479651646423,1.7623559437185432,26.630978051454576,1.7623565158842602,4.1611101712721496e-5,1.5504964232236058e-5,38.08622535152912,1.6644380137357788,0.00014611613589077282,98.75044818283342,188.44152330257032,5.091223700520287,3.707960785799656e-6,518.0447475700414
t2,5.361220655882388e-6,6.242340535525758e-6,5.5671531009226175e-6,2.9495669929123724e-6,4.200972089609134e-6,2.9132583088500934e-6,6.759051427499598e-6,5.9039177240997126e-6,4.597281361044175e-6,4.204301947272795e-6,4.477690147707664e-6,4.136945491710318e-6,4.279197322557085e-6,7.118201345759971e-6,5.776566484723898e-6,5.614919669383637e-6,5.1137783820685095e-6,5.052161249097603e-6,7.0231149540505064e-6,4.235627301551057e-6,3.16204469311312e-6,6.3394487812324195e-6,6.1812636667521895e-6,5.769505127231563e-6,3.637848200833351e-6,2.3718447127431895e-6,4.171736902773234e-6,4.023922364135691e-6,0.0,4.335312624755976e-6,2.5639784569799605e-6,0.0,1.823442157586635e-6,0.0,0.0,1.1738876742166796e-6,1.963310046070572e-6,0.0,0.0,0.0,0.0,2.8972675464378004e-6,1.8200218883181362e-6,3.022184601299759e-6,0.0,0.0,2.7544870870522966e-6,0.0,3.101134106186633e-6,0.0,3.176973333153195e-6,0.0,2.75730524034903e-6,1.3694839481803805e-6,1.3896206278942247e-6,2.733580461605941e-6,2.823263181181427e-6,1.3486689181989736e-6,3.965728631645617e-6,1.363343815141672e-6,3.674148950440229e-6,3.1781188556851866e-6,2.806548637340736e-6,79.42438625164283,1.7623552645823315,26.63097710238534,1.7623555154831818,3.777455291739699e-5,1.45380862096006e-5,38.08622252150431,1.6644379395261768,0.0001416516369786966,98.75043008088402,118.24048384924072,5.091222987816264,3.702998060793839e-6,371.4132624070311
t3,5.347658287221973e-6,6.232687770619279e-6,5.551221688931891e-6,2.9376667525125823e-6,4.197524965584005e-6,2.903050633088102e-6,6.744161824245881e-6,5.88908248050264e-6,4.581452955289098e-6,4.190743680373514e-6,4.467365485571535e-6,4.124949241878448e-6,4.2637610948418324e-6,7.1047805583610725e-6,5.765870129939092e-6,5.5981154967991105e-6,5.102831599304544e-6,5.038903411225962e-6,7.01102674747403e-6,4.220995976679739e-6,3.1727056627182362e-6,6.316582716847442e-6,6.141466854690283e-6,5.746206577806356e-6,3.6198649796596277e-6,2.3547024577856286e-6,4.147996509998141e-6,4.007413373548419e-6,0.0,4.294356667659824e-6,2.5502178284554505e-6,0.0,1.8141051257481776e-6,0.0,0.0,1.1739683575071857e-6,1.9524940470713854e-6,0.0,0.0,0.0,0.0,2.8968526878778808e-6,1.810463742797668e-6,3.014477646191377e-6,0.0,0.0,2.7409280199512353e-6,0.0,3.0886483900137837e-6,0.0,3.175388010882276e-6,0.0,2.749780517644743e-6,1.3680929358931981e-6,1.3883773889155046e-6,2.721748206026616e-6,2.8210884716487618e-6,1.3470208510189895e-6,3.957060026223989e-6,1.3542589530126665e-6,3.664581651105039e-6,3.1767991334750296e-6,2.8063304879346986e-6,79.4243805911385,1.7623549094876978,26.630976625693314,1.7623550212743637,3.494545975443365e-5,1.4091224549133427e-5,38.08622033791404,1.664437915593583,0.00013857863458166167,98.75042561378316,62.813850538902194,5.091222618117261,3.7018173886285156e-6,315.98660813686945
t4,5.346304330136851e-6,6.2326929003519555e-6,5.547465443693245e-6,2.93760965755076e-6,4.19895933031848e-6,2.904403581502135e-6,6.7411260756058526e-6,5.885158452298558e-6,4.5778293385485995e-6,4.187481053680349e-6,4.468965196445661e-6,4.125207629417035e-6,4.259123956991359e-6,7.102619236382335e-6,5.767971827325344e-6,5.594079409760435e-6,5.101461167724663e-6,5.038701121268285e-6,7.008758370122811e-6,4.216748226315456e-6,3.162041218699263e-6,6.312554638602375e-6,6.1381302171925725e-6,5.744177595476222e-6,3.621937052534053e-6,2.3530138148838853e-6,4.144949704464975e-6,4.006000342805663e-6,0.0,4.285006066200444e-6,2.5484104852645896e-6,0.0,1.814344582529604e-6,0.0,0.0,1.174807503406141e-6,1.9497996475158715e-6,0.0,0.0,0.0,0.0,2.8975391225309135e-6,1.8100108545303201e-6,3.0144122675017463e-6,0.0,0.0,2.7393991683277542e-6,0.0,3.0851910462529033e-6,0.0,3.175173428441795e-6,0.0,2.746202472354379e-6,1.3671280035121759e-6,1.3874703352377282e-6,2.7188859343795973e-6,2.820229285625015e-6,1.3462778355145311e-6,3.954150270186067e-6,1.3516556104015561e-6,3.6616407099674776e-6,3.1765701207448865e-6,2.8066535606057597e-6,79.4243850532616,1.762354737007183,26.630976384127262,1.7623547749702044,3.5217244294337796e-5,1.3909176289495617e-5,38.08622050987401,1.6644379080427765,0.00013956938903133748,98.75042883126298,72.30798054646867,5.091222429769175,3.7027825155119875e-6,325.4807461298052
t5,5.349280690051111e-6,6.235056060669157e-6,5.547685883214255e-6,2.9348185688638896e-6,4.201540216882223e-6,2.9084128391458265e-6,6.741757836299905e-6,5.884892449022287e-6,4.578108724787797e-6,4.18727862921895e-6,4.4725141488516535e-6,4.1275436781277115e-6,4.258186449889091e-6,7.103834830675361e-6,5.773373187022764e-6,5.5943128801914295e-6,5.103385881098575e-6,5.04188596870885e-6,7.009893617043764e-6,4.216932490024421e-6,3.1645443516088477e-6,6.316088460000843e-6,6.144464076795221e-6,5.754750613845642e-6,3.6365376366055455e-6,2.355975777960326e-6,4.149524463289938e-6,4.00847966510713e-6,0.0,4.285489653251615e-6,2.550236459646007e-6,0.0,1.8173057214399587e-6,0.0,0.0,1.1763988849298186e-6,1.9499192110694263e-6,0.0,0.0,0.0,0.0,2.8991554995034257e-6,1.812519428058302e-6,3.0165959679196588e-6,0.0,0.0,2.741869321631036e-6,0.0,3.0849464399754087e-6,0.0,3.175439378956823e-6,0.0,2.7458206112124045e-6,1.3671369626232194e-6,1.3858463514222902e-6,2.7178844599873053e-6,2.820193134854521e-6,1.3456792858434502e-6,3.954017204901698e-6,1.3514200102110586e-6,3.6609977164906933e-6,3.1768209831257173e-6,2.806649960862374e-6,158.39700406376704,1.762354728698213,26.630976340763876,1.7623547410770406,3.668968095749019e-5,1.3969805408246392e-5,38.08622136486172,1.6644379070899114,0.0001426587680067075,98.75044910399757,188.44152330359285,5.09122240139459,3.715261832770484e-6,520.5869336321617
t6,5.342021614962606e-6,6.215134900633956e-6,5.5369533498140975e-6,2.927928753339149e-6,4.195853117191831e-6,2.903005784371579e-6,6.729130397681644e-6,5.874823826285997e-6,4.567972282721266e-6,4.1776979569721e-6,4.463305093236949e-6,4.118257633188428e-6,4.2534573925528555e-6,7.086798810861884e-6,5.766463881146948e-6,5.584852486852564e-6,5.088523058311587e-6,5.033867276292359e-6,6.995284458910422e-6,4.2095066195756144e-6,3.1754016744197294e-6,6.3181648367017006e-6,6.14767020077044e-6,5.754408506495865e-6,3.6494921397322896e-6,2.3582300029570578e-6,4.153305719005832e-6,4.007336844192196e-6,0.0,4.286439289183523e-6,2.54500789523e-6,0.0,1.817632295816935e-6,0.0,0.0,1.1736551551847258e-6,1.9500812240996757e-6,0.0,0.0,0.0,0.0,2.8962485616134934e-6,1.814824066125504e-6,3.0108626597368556e-6,0.0,0.0,2.739373157689221e-6,0.0,3.081944897175604e-6,0.0,3.1727617683035814e-6,0.0,2.7298194281752095e-6,1.3720457269933014e-6,1.3857181532380777e-6,2.712009424366721e-6,2.8205452018061275e-6,1.3443819579154881e-6,3.944218991444523e-6,1.3471835972488417e-6,3.65727481240265e-6,3.1741142458029022e-6,2.803047879073262e-6,238.27312200873376,1.7623569849352339,26.63098051649966,1.7623602883391256,7.65051538468309e-5,1.9014752717717157e-5,38.0862431006778,1.664437905925996,0.00039248854196348605,296.25125189034844,188.4415266740383,5.091225291994096,3.86327897776111e-6,797.9641889472589
t7,5.35290687003472e-6,6.223200949852922e-6,5.542267027780762e-6,2.938490292390507e-6,4.202923278734173e-6,2.91465388851606e-6,6.735586864585155e-6,5.8798665556934194e-6,4.573352368769539e-6,4.182470771916709e-6,4.475352332114326e-6,4.127842417973335e-6,4.256593110124495e-6,7.094485400076668e-6,5.781040358909327e-6,5.589960598251883e-6,5.09501725464084e-6,5.044350103172116e-6,7.001769208168561e-6,4.213894591123659e-6,3.1552984158882974e-6,6.333217506581711e-6,6.178589897224754e-6,5.772861737886411e-6,3.6670831881033393e-6,2.369716513516357e-6,4.175919145905094e-6,4.018376468923029e-6,0.0,4.298487017913276e-6,2.5549341259060253e-6,0.0,1.8236775078742448e-6,0.0,0.0,1.1763598291327546e-6,1.9544586874319405e-6,0.0,0.0,0.0,0.0,2.90095316521392e-6,1.8204671605082935e-6,3.01763267838856e-6,0.0,0.0,2.7502242119103387e-6,0.0,3.0913691288188233e-6,0.0,3.1751449996265704e-6,0.0,2.7316059117991427e-6,1.3709548327554256e-6,1.386926893304673e-6,2.7155160683893314e-6,2.8212659810519495e-6,1.3450665093899503e-6,3.946987480015183e-6,1.349914258025346e-6,3.6601345859577837e-6,3.1762546706319676e-6,2.8016552264520587e-6,238.27312100106215,1.7623567238736404,26.63098017297477,1.7623599663672431,7.524108480915054e-5,2.1988541797434134e-5,38.08624208872947,1.6644379149611046,0.0003901305368912771,296.25125063017754,188.44152606405135,5.091225131800027,3.869822365639337e-6,797.9641836910613
t8,5.356003903075896e-6,6.232236908546439e-6,5.5483717578976195e-6,2.940984168772695e-6,4.204807079461379e-6,2.9161935895106233e-6,6.741983760523422e-6,5.885108210517863e-6,4.579524371066239e-6,4.187550355817307e-6,4.479487868420547e-6,4.130497564885516e-6,4.260914633322758e-6,7.101846198161034e-6,5.7851938668569675e-6,5.5948962325420895e-6,5.100715481585165e-6,5.047366181222555e-6,7.007943833038967e-6,4.218448821862002e-6,3.1907805303436433e-6,6.3514063406838914e-6,6.1652059808153894e-6,5.789586152404294e-6,3.681756787234495e-6,2.3768802341896877e-6,4.200624582343821e-6,4.02731766312948e-6,0.0,4.312967904485944e-6,2.5670322532154002e-6,0.0,1.8243424209160555e-6,0.0,0.0,1.1800401538795793e-6,1.9660830254782863e-6,0.0,0.0,0.0,0.0,2.9094065619956064e-6,1.82234174602207e-6,3.0193280347202845e-6,0.0,0.0,2.7672316947465646e-6,0.0,3.1000669099533956e-6,0.0,3.1785302441688303e-6,0.0,2.7326802770380877e-6,1.3704194107741222e-6,1.3901094724170723e-6,2.7205343482870155e-6,2.82334349395169e-6,1.3467748210372335e-6,3.950881756621927e-6,1.3531524678797442e-6,3.666029093977711e-6,3.1793355411978985e-6,2.7997800317825525e-6,185.323575034003,1.762355471193878,26.630978276171746,1.7623573716076764,5.5314748489977456e-5,1.8129404030652785e-5,38.08623050524159,1.6644379211013942,0.00031819359010015313,230.4176746034369,159.90113467654012,5.091223816278551,3.80924519158529e-6,650.6405562066074
