Line,New_Trans_Capacity,Cost_Trans_Capacity
1,7.7521517e-10,7.1015682e-9
2,1.7230277e-9,1.1505467e-8
3,5.6919724e-10,4.410725e-9
4,1.7185178e-10,9.625073e-10
5,0.6968866,5.848652
6,1.8460108e-9,1.5154592e-8
7,2.5421492e-9,2.016784e-8
8,2.829744e-10,2.168547e-9
9,0.74076223,3.9169252
10,1.172853e-9,7.2144744e-9
11,3.3749128e-9,2.6385214e-8
12,6.6478963,51.127758
13,10.0,43.466427
14,6.328334e-10,6.7122916e-9
15,1.0564704e-9,8.451522e-9
16,9.287843e-11,1.5057224e-9
17,1.1164388e-9,1.16127925e-8
18,1.370622e-9,7.810246e-9
19,5.160447,45.017982
20,2.0197033e-10,3.471717e-9
21,8.945538e-10,8.81276e-9
22,6.1223376e-10,6.964645e-9
23,6.392359e-10,5.014283e-9
24,10.0,105.84828
25,9.99305e-10,6.7923493e-9
26,10.0,86.83616
27,10.0,104.792725
28,7.807938,55.054153
29,1.5358937,13.713853
30,5.050244,58.54306
31,3.684362e-10,2.7149514e-9
32,3.3252684e-10,3.1109941e-9
33,10.0,72.49161
34,5.567603e-10,5.8341394e-9
35,6.7019573e-10,6.0616134e-9
36,7.364332,70.19771
37,7.1828554e-10,2.9275502e-9
38,9.72211e-10,5.6757727e-9
39,1.3470596e-9,1.2392693e-8
40,5.3608223e-10,6.546195e-9
41,1.5633341,19.956919
42,1.1899278e-9,1.8011571e-8
43,3.6487796,50.99777
44,10.0,125.06093
45,8.0757495e-10,1.3595233e-8
46,2.379903e-9,3.7145814e-8
47,2.9934027,35.066162
48,2.5960034e-10,4.2734016e-9
49,2.1068565e-9,3.7063366e-8
50,2.9269779,53.022034
51,3.599928e-10,8.421774e-9
52,6.8906575e-10,1.4552835e-8
53,9.929078e-10,1.5483815e-8
54,7.0408385e-10,1.20274795e-8
55,7.983817,96.11289
56,3.5091555e-10,6.2878676e-9
57,1.3032313e-9,1.7594981e-8
58,10.0,129.24757
59,3.5057943e-10,4.4105573e-9
60,1.3441559e-9,1.2929425e-8
61,1.9008825,22.31645
62,9.600899e-10,1.1683868e-8
63,8.925394e-10,1.4123955e-8
64,3.3891936e-10,6.3540884e-9
65,6.7769146e-10,4.4509187e-9
66,5.2121436e-9,8.9295206e-8
67,0.6245385,7.2049894
68,10.0,82.4684
69,2.6339025e-10,3.344819e-9
70,6.19097,51.167885
71,6.677985,69.689575
72,8.427095e-10,7.928226e-9
73,6.117869,86.439705
74,6.40781e-10,1.0278639e-8
75,6.5643563,87.3689
76,0.14348045,1.2456884
77,4.8361635,54.195793
78,10.0,100.40602
79,1.5428656,18.730526
80,3.120621e-10,4.15336e-9
81,1.8353087,14.564862
82,1.8935902,24.709826
83,7.8319146e-10,9.054344e-9
84,1.8078911e-9,1.5626812e-8
85,6.9002767,113.11782
86,6.5414267,99.46592
87,3.9534202,59.512722
88,3.955953e-10,2.9414489e-9
89,4.5492744,46.00965
90,1.6950781e-10,1.047928e-9
91,4.998873,56.79203
92,5.6695814,32.776566
93,10.0,115.54203
94,1.81987e-10,1.8808795e-9
95,1.4512741e-10,1.2616815e-9
96,1.4191649,10.281259
97,3.3973422,28.815315
98,6.7103195e-10,5.4097433e-9
99,6.9842154e-10,7.744335e-9
100,3.3253639,40.463486
101,0.23994781,3.2366316
102,2.367689e-10,1.3838208e-9
103,1.3249822e-9,7.719987e-9
104,3.630195,23.468355
105,2.1778185e-10,1.860425e-9
106,6.8865786,45.70887
107,1.8426793e-11,2.009613e-10
108,2.0309858e-9,7.626122e-9
109,0.85291374,4.595844
110,3.3450685,52.274296
111,1.7950077e-9,1.0913835e-8
112,10.0,137.64137
113,7.6110992,60.007683
114,7.5508995e-11,1.2695872e-9
115,2.1370175,23.69036
116,1.2308056,16.83993
117,3.9028049,46.337032
118,10.0,66.95375
119,5.604848e-10,4.436858e-9
120,5.095676e-10,4.0706407e-9
121,0.61289144,8.815571
122,5.0056087e-10,5.8170366e-9
123,0.31924164,4.9016
124,2.19875e-11,1.9845059e-10
125,0.008572412,0.07288671
126,0.77993214,5.5205927
127,5.922531e-10,6.1782544e-9
128,2.9969567e-9,2.784646e-8
129,0.95317936,11.262165
130,1.315012,17.741282
131,0.28526413,20.713318
132,1.1101712e-10,1.499256e-8
133,4.8105625e-10,1.1696005e-8
134,10.0,321.14584
135,1.2663202e-10,4.247129e-9
136,2.7277058e-10,8.545162e-9
137,2.1100176e-8,1.6953094e-6
138,8.636147e-8,5.7701177e-6
139,2.5716625e-8,1.0469602e-6
140,4.852252e-8,1.4625224e-6
141,5.241002,320.51434
142,3.4111853e-8,1.5673251e-6
143,1.0653617e-7,6.9250345e-6
144,4.4607987e-8,1.3011171e-6
145,4.5200977,196.04347
146,2.9057426,362.80356
147,4.5318832,37.843998
