Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
t1,10.507128577895411,2.8958715485766753,2.681281725701869,10.707644252415028,10.59984411581292,10.567136403108334,2.9280246103361267,2.7496435274866355,2.700000023853512,2.7229461584631833,10.400550573386411,10.4235059394112,2.731024162937051,2.8845272226408856,10.568206824191108,2.6817318807623813,2.9196536858386124,10.300204348894551,2.745708120461134,2.7251641213982576,10.956895686491274,10.706735194435089,11.434513764441952,10.928879147651637,10.873032224100674,11.177294491336228,10.957442229676332,10.778084160993142,11.20229416069994,12.267843550669571,10.762359934918267,10.996763189831631,10.362113247298533,10.585683386558639,10.899428338769036,10.254356159306672,10.431117160815809,10.661154563296078,10.902149263574294,10.6695207398452,10.77563654581875,10.390717365884884,10.250046465465674,10.500220634786922,11.164950267305032,10.811469194041688,10.540599756574078,10.772685909577204,10.688346137682167,2.3456764397548535,2.3189994609586284,2.3737964209567797,2.2999999943730365,2.2999998132944124,2.3000000493511563,2.36050848905499,2.355669111302412,2.3077288558862215,2.3196460709129645,2.348875934228538,2.3438331909115053,2.336900307477779,2.300000051728294,124.18982247186312,102.85411792044765,105.5322243217809,106.64723459136309,119.81683569548572,105.38830968349757,118.70619454043641,12.102268864330183,121.4726494540978,123.64810385410476,126.44566062281493,103.93094452470464,109.44080843970661
t2,11.285769567321308,2.895871529191026,2.6812816938244772,11.501144647754641,11.3853558789957,11.265009982118631,2.928024574839071,2.719339252936774,2.700000005460774,2.722945276387233,11.171293639160057,11.11189515094092,2.7310240141522093,2.884527187240756,11.266152372894362,2.681731011070923,2.9196536491508835,10.980450479761483,2.745707969244735,2.725164098100292,11.958499892658528,11.68547146776381,12.300790009600831,11.927922292541188,11.866970229978222,12.19904604296148,11.959096542235095,11.76334264517451,12.05097749809945,11.96404413432388,11.629461308589551,11.815654469480734,11.130007833219086,11.55335406259402,11.777573403444217,11.191739156286227,11.204125350703968,11.451210027790086,11.713995002617693,11.464043428173273,11.643808165180882,11.340565570410721,11.009636232758655,11.2783498545785,11.917384944726015,11.799779667319868,11.321721388115312,11.757451066990969,11.738901672886234,2.3378204426587987,2.31123283044438,2.3658462875847825,2.299999946510951,2.2999997533828416,2.3000000430376653,2.35260279425108,2.3477796886557973,2.300000008540853,2.3118772452545704,2.3410091888005424,2.335983356669419,2.329073730871859,2.300000052779071,121.97422920245681,102.85411785530661,105.5322237367417,106.64723390683785,117.67925811959518,105.38830900411388,116.5884311235049,12.102268661793348,119.30553155088685,121.44217502219865,124.18982235216026,103.93094398180546,109.44080783224098
t3,11.111574413352026,2.8958715101822357,2.681281644513977,11.323625197091612,11.209623615539002,11.091135135928852,2.928024547271366,2.7009023258235194,2.7000000030362994,2.7005448936264016,11.00085661682596,10.940383674630487,2.731024000420118,2.8845271594041244,11.092259956388894,2.6596696805488103,2.9196536209530084,10.810967843508978,2.745707954809546,2.7251640938285657,11.859690992716743,11.588918488456486,12.199152852370394,11.82936602700288,11.768917589955088,12.098249590758941,11.860269616201178,11.666146261528421,11.951404454332904,11.865189017950597,11.452034845575636,11.737863464451326,10.960201219101066,11.457880084972295,11.597887257581165,11.063707631939703,11.033187966700961,11.27650299721657,11.636873290237432,11.388567326335357,11.73112505845926,11.210831498179147,10.84166608592358,11.10627951153128,11.917384877667363,11.702269294297588,11.148989919362158,11.660290486502067,11.826931720346016,2.3258099788085693,2.3000000254550637,2.354348075703078,2.29999994155258,2.299999636314134,2.3000000370197826,2.3371182881657973,2.3363692822216247,2.3000000005702397,2.3000000548462642,2.3256009882580164,2.323982319664022,2.3177542218897083,2.300000042272049,117.94279949501082,102.8541178351195,105.53222368661262,106.64723369514716,113.78978356848403,105.38830878951165,112.73501001303427,12.102268438687746,115.36230625114914,117.42833047628798,120.08516399825841,103.93094394356332,109.44080777993516
t4,11.28576839975896,2.895871475837017,2.6807406904133804,11.501143424637261,11.385354701182173,11.35021799403267,2.9280245039750707,2.700902295344541,2.7000000026444217,2.700000036765791,11.17129241959742,11.195944681765715,2.7310240281273392,2.884527115867299,11.351368686941031,2.659133069633086,2.919653576745335,11.063505773219939,2.7457079837053167,2.7251640933058328,12.049471066953524,11.774365605733987,12.394365005055134,12.018660811980295,11.957245071352743,12.29184709234638,12.00544833536898,11.852829212780936,12.142652110610575,12.05505700809507,11.629460233561728,11.786296677895393,11.130006705692372,11.598133250319455,11.777572321401275,11.235116817194372,11.204124237068116,11.451208902611997,11.684889798989738,11.435559267989031,11.733540261886473,11.384520061497877,11.009635117730324,11.278348624013521,11.91968444932655,11.84551394435592,11.321720275704735,11.80302130898226,11.829366600538398,2.3264583464117847,2.300000017966413,2.3543480598391695,2.299999934051501,2.2999994600062252,2.3000000313653657,2.3371182409835987,2.336369266549029,2.2999999995752165,2.3006412317489318,2.3256009408010074,2.324630181846016,2.3177542117372614,2.3000000398424603,121.9742274505391,102.85411782880448,105.53222368328223,106.64723371129719,117.67925640991146,105.38830880480306,116.5884294142921,12.102268878630538,119.30552982314579,121.4421732627557,124.18982057071898,103.93094393901747,109.44080777661635
t5,11.498081758873273,2.8958713820839583,2.680740594211423,11.682029200844257,11.599541525975457,11.651949593884751,2.9280244008196443,2.7009023561359435,2.7000000031805005,2.699999940658372,11.381452161101972,11.40657256457963,2.73113188991798,2.884527013245288,11.564920564386814,2.6591329729597355,2.919653473813146,11.271642091410712,2.745816427245383,2.7251640941766744,12.289705361096146,12.009114625853634,12.641475087496747,12.258280418287963,12.195640213851183,12.536913302270728,12.244803091519872,12.089142994605824,12.384743718740348,12.295401733521885,11.777384798287112,11.971667164074358,11.351907747894296,11.82936728656255,11.927380829544525,11.459113380101984,11.427502954640877,11.666634367850898,11.868665402996232,11.615413496740695,11.906605813817734,11.611495302868722,11.229136288656731,11.49052235187249,11.917384925901066,12.06609760727229,11.534709741711785,12.038340240391356,11.810153808611084,2.3258100995514717,2.300000014171541,2.354348048635777,2.299999926939586,2.2999991239239512,2.30000002660668,2.3371182334747465,2.3363692557002493,2.299999998751019,2.3000001766949896,2.3256009334613785,2.3239824422090325,2.317754205616737,2.3000000582753946,124.1898224104805,102.85411786486816,105.53222407076606,106.64723431965541,119.8168356376685,105.3883094060089,118.70619448755305,12.102269045063489,121.47264939454753,123.64810379287357,126.44566056064984,103.93094428362294,109.44080817966008
t6,11.575065339222112,2.8958714921925277,2.680740703859183,11.715419502701456,11.677204415222505,11.729964860669373,2.9280245198974355,2.7010982251927267,2.700000004773533,2.7000000345897313,11.457655656980185,11.482944297448213,2.7461763494511517,2.884527131180812,11.642352930476036,2.6591330712377412,2.919653593503215,11.347110402482603,2.7609417790947446,2.725164098448323,12.427537596422837,12.110518255148579,12.677645280428097,12.361787977874501,12.298618813875985,12.642773615120174,12.348198274869903,12.224725871434835,12.420179343446366,12.399222810437287,11.85623906868114,12.051822344956225,11.46909333735461,11.929254525935171,12.007239388795428,11.555874202893037,11.54546892484086,11.744747251927715,11.948130947677862,11.693183407685146,11.945346132900927,11.709542837027186,11.34505451142937,11.56745611339719,11.93904482829296,12.105356911513203,11.611939338189313,12.139992050493523,11.848580192149633,2.33377565777098,2.3112327899482357,2.3658462452238345,2.2999999339036097,2.29999938328391,2.3000000290927782,2.3485323295667184,2.347779647262154,2.3000000018495945,2.3078773399343717,2.3369587822160884,2.3319417417761095,2.3290736888098507,2.300000222801305,129.94845001683805,118.76918903350251,121.86168989843608,123.14923064673849,125.66229432035311,121.69550691428178,125.14466485474694,12.183298636503489,127.1052829192317,129.3816121772621,132.3088903773699,120.0126370861267,126.37506643028799
t7,12.065151695005557,2.895871533789733,2.681281631604869,12.211448393164739,12.171615327150755,12.392963217289784,2.9280245784134764,2.7496438013980677,2.7000000132081805,2.7005448531311225,11.976505030323596,12.00293880856419,2.7461763815763898,2.8845271900646945,12.300399287415969,2.6596696462783602,2.9196536536905193,11.8609538180062,2.760941812884783,2.7251641123399506,13.01902898431799,12.906902065177068,13.586537035199038,13.174695200217487,13.002989360686106,13.280907758919954,12.971462438333354,12.806564389099854,13.310612727439825,13.214592025124926,12.452741714242094,12.658165007631046,11.958700787641147,12.531372794250947,12.61133906573264,12.102859519868648,12.069473162830073,12.335640556778625,12.549256753612756,12.281482406582542,12.62948391932979,12.263801899117876,11.829366834668816,12.091277699968076,12.622821587693075,12.79865888889949,12.196150908907544,12.752747190213633,12.527175958221353,2.3456764836047643,2.323018601746037,2.3779105331979213,2.30000000885325,2.299999807874055,2.3000000468061454,2.3605084993548693,2.3597518085403397,2.3117284679688384,2.3196460933288408,2.3488759335309197,2.3438332114116327,2.3409504742294636,2.3471080477966146,129.94845068121583,118.769189224187,121.86169015438158,123.14923097627432,125.66229465714235,124.62031908629302,125.14466561500187,12.816176265326849,127.10528368499985,129.3816129624629,132.30889041660598,120.01263733268684,126.37506667285022
t8,12.13200381426015,2.8958715447264822,2.6812818216325383,12.2791111414781,12.239057353395951,12.461631773018178,2.9280246028754786,2.7496441352273666,2.7000001637760964,2.700545053592164,12.008944072081286,12.03544949706577,2.74617655125556,2.8845272147565675,12.368554945111983,2.659669842766404,2.9196536785557874,11.89307991481607,2.7609419841078235,2.725164271088341,14.350505466809267,14.39605343353133,14.679545160096417,14.69474356690807,14.175873793338129,14.639167000369905,14.298074219340815,14.11631178362672,14.381423326271591,14.73924942959411,13.57599313475588,13.717420004193347,11.958701046168128,13.661716930087131,13.748896153656926,13.11564476910931,13.079464590970241,13.367906214650759,13.59939814259746,12.349533246726772,13.768677737786417,13.29005504605938,11.829367085670597,12.124027604961654,13.76141446768628,13.95311247851696,13.216743856743653,14.056990620879164,13.657141498103064,2.3714457034781486,2.344475305590962,2.3865965011968204,2.325267467226499,2.299999999578173,2.3000000794402107,2.3864407062466033,2.3683717693623882,2.320172966929245,2.34512938203465,2.374680346219112,2.369582218070412,2.362572794384927,2.3556819426357074,129.94845006551483,118.76919045147743,121.86169137241276,123.14923222609676,125.66229595453582,124.62032175264966,125.14466551361261,13.972209964742522,127.10528362000903,129.38161290224184,132.30889038731578,120.01263849421771,126.37506667175289
t9,11.627061615551394,2.8958715172651925,2.7219396533510216,11.768046208560152,11.729659515133473,11.942970196993185,2.928024541526597,2.791338614759789,2.740941833305724,2.7414949819877954,11.541633735618193,11.567107711751554,2.787818425103132,2.884527152292914,11.853767299649446,2.6999999570918782,2.9196536121119716,11.43027824644882,2.802807755168595,2.7664875185335287,12.810406049547508,12.771882384367446,13.104133176403508,13.03687412446916,12.576543489343837,13.068088351053502,12.763601680825058,12.60134608540466,12.838005845188418,13.076353950360769,12.044341682731318,12.127685051433135,11.663223063738425,12.245363836399717,12.197737698878928,11.862089420580723,11.829367236237989,11.85973113079393,12.023340958837412,11.76678861194094,12.2152875056506,12.019830063308842,11.537084717787842,11.652238964752481,12.075025321313886,12.378914228111409,11.79616606563865,12.548391213024686,11.983530469907485,2.404355862073152,2.377011497630254,2.399873919874281,2.369226601814715,2.3000000121309574,2.3000001531272694,2.4315563137657903,2.38154764715161,2.3201729875185335,2.389464004951192,2.419573622258273,2.4143791205980887,2.362572828059727,2.3556819887329876,112.53535723645908,12.368463166240545,12.506409844088534,12.638547469426943,17.843406297130816,12.489354822206428,12.745341133716684,12.259988921704247,110.07317477406941,112.04447592500472,114.57949857578133,12.497954150133099,12.059754185106707
t10,11.575065309065028,2.895871577239233,2.8206569664824843,11.715419464931228,11.677204390269482,11.889561191311593,2.9280245991453686,2.8647618680755915,2.8403482848943593,2.7414950361635326,11.425719810951918,11.482917558112169,2.8889249711488794,2.8845272091357432,11.80075720120495,2.70000001013655,2.919653669391415,11.347083964914365,2.904457923601111,2.8668204361860843,12.427537682542606,12.15798303915855,12.034052187567946,12.410237539894029,11.972033399014771,12.373145713259037,12.442672377146067,12.224725961449774,12.155298560715947,12.447819200818904,11.823192275627612,11.736371343457696,11.517951078046291,12.020523370047464,11.76172722694282,11.644286401342374,11.612165091954562,11.712011145104965,11.635394154378517,11.648613384976324,11.628141701019201,11.799130711297122,11.393383856667212,11.535214199954472,11.494305892762418,11.783903488544023,11.579573543621304,12.232873199379375,11.407211273376067,2.683018615129191,2.652504992084873,2.6780173254398445,2.643817828821035,2.566567924518932,2.595575623868372,2.7133714834451523,2.6575669799772625,2.589078932950839,2.6664007283004207,2.700000007916404,2.6942034826534704,2.6363928772524208,2.6287034073492994,109.00620853277722,11.773631509705222,11.591146294702618,11.713613617228937,17.84340624412824,11.57533941430977,11.51361244605189,11.67037409464569,108.66172634773464,110.60774985716115,110.9862448593384,11.717713364653747,11.177178485496459
