Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.028933184,0.022317516,72770.625,0.02337616,0.03954862,0.054130625,0.020209031,0.015069775,782479.7,0.015096959,0.018763945,0.042114694,0.014320607,0.029161634,0.058288634,798335.4,0.042495698,0.023866275,0.015550908,0.014006322,0.46883965,0.14101115,212685.84,331069.06,0.11301393,380915.2,0.07612134,0.4992972,41599.73,141926.05,0.01728955,0.02494815,1.1598974e6,0.023209166,0.029318042,0.016950801,513246.25,0.014326788,0.019937512,0.018396942,0.035410173,0.01407632,180454.84,0.014979755,0.049001202,0.040871643,0.013359247,0.03846291,0.039105248,0.016565992,267344.06,0.015778352,0.02884874,0.019496273,0.022230035,0.01615465,248990.7,0.017511247,0.022621524,0.0133818,0.014376395,131179.31,0.027090902,236328.92,0.062218416,0.2501401,0.82608837,324942.6,83173.14,130138.36,0.03669179,638778.94,444233.44,298808.06,0.210993,297593.56,7.7168945e6
t1,8.902829163758079e-7,8.593181573703371e-7,3.9136478686532876,8.980071474653568e-7,9.133485527971081e-7,9.213126681831216e-7,8.82789636328181e-7,8.520715113064894e-7,75.93002115998054,8.304997652926438e-7,8.718675235921806e-7,9.036722648534452e-7,8.462451643796809e-7,8.644430211210812e-7,9.268715408099589e-7,48.28076165135695,8.983942082315805e-7,8.769026656455878e-7,8.478460456750026e-7,8.315333691062234e-7,8.324743904610811e-7,8.16422276803706e-7,8.043381850727052e-7,8.061499194493094e-7,8.41991227325704e-7,8.401219158925652e-7,8.392406253820925e-7,8.254513738366449e-7,8.355144436369319e-7,8.406689967078181e-7,8.498425009580987e-7,8.885167119108678e-7,147.0070797622359,8.309080557238223e-7,8.496760965492724e-7,8.170240651882157e-7,8.76633530572501e-6,8.457801570550845e-7,8.560283046271672e-7,8.781378610265318e-7,8.51164996189725e-7,8.126071446704222e-7,7.053533201661372e-6,8.537757350251703e-7,8.902326122758669e-7,8.404896277630555e-7,8.331189358548111e-7,8.29531447008769e-7,8.522197504226489e-7,8.032201588421943e-7,3.294603550488526e-6,8.066417833008483e-7,8.139271271382218e-7,7.714672802489117e-7,7.848063424534135e-7,8.14091250382404e-7,3.5310102898177617e-6,7.85245857003473e-7,8.048832556264993e-7,7.909870295717384e-7,8.020033312089051e-7,2.83702288052494e-6,7.859861255768935e-7,74.3715899351586,3.3174559422050063e-5,0.0001139687628002523,0.0003261887564404326,107.9283016352709,29.301701240852637,50.50425923757682,9.144305393367009e-7,215.82329638116408,123.85457428334611,114.6606449315042,9.755959150606133e-5,88.54773436423505,1080.124255280034
t2,8.904464324705465e-7,8.594933568432203e-7,4.1046336398839,8.987794439992607e-7,9.134031238572105e-7,9.214368453717445e-7,8.82936369989406e-7,8.541002872425066e-7,92.96859733613081,8.307042807982881e-7,8.720145500133626e-7,9.037597606100688e-7,8.463950863801222e-7,8.645999298974147e-7,9.269408807352292e-7,79.45852388495085,8.985376816010545e-7,8.770590030264847e-7,8.479987791532317e-7,8.317260483178923e-7,8.327074696474354e-7,8.169453156504136e-7,7.983209936580375e-7,8.066122049205893e-7,8.427654971080804e-7,8.40417370947963e-7,8.394947827109519e-7,8.244460902815182e-7,8.359220207571481e-7,8.40781932670896e-7,8.500054200321652e-7,8.886387213529547e-7,151.09752986436436,8.310730287548844e-7,8.503486757363083e-7,8.175501267946849e-7,1.101294645901065e-5,8.459416355322419e-7,8.562172370612157e-7,8.787739953938806e-7,8.519910877791271e-7,8.131811004208572e-7,7.923887240401557e-6,8.545292968972959e-7,8.903425221627464e-7,8.406658901649802e-7,8.33310590221839e-7,8.302597703104933e-7,8.567076750301779e-7,8.034217395495722e-7,3.359127422212866e-6,8.067715343739869e-7,8.141692832142117e-7,7.71559433792443e-7,7.849088668074876e-7,8.142437739493845e-7,3.5735097294309985e-6,7.854325385859149e-7,8.051701158339906e-7,7.912834079396037e-7,8.022142679407614e-7,2.862982962848809e-6,7.861822064690003e-7,74.37158993512348,3.317638590726577e-5,0.00011396876117153596,0.00032618875802097237,107.92830163541203,29.301701240841442,50.504259237595285,9.144798533285069e-7,215.82329638100006,123.85457428319971,114.66064493151578,9.75595897943507e-5,88.54773436413522,1132.6220328282213
t3,8.906250585952909e-7,8.597036814135063e-7,4.10473899969533,8.991337957086851e-7,9.137524581715253e-7,9.215634860776978e-7,8.831011002384479e-7,8.544893066488759e-7,92.96862195086479,8.309604905815629e-7,8.721960906675217e-7,9.038628131164929e-7,8.46580041750719e-7,8.648012041394131e-7,9.270270200462135e-7,79.59742182967477,8.987268426245418e-7,8.772337504766201e-7,8.4818085229618e-7,8.319454832787613e-7,8.329532888483697e-7,8.174021160907082e-7,7.988761841311441e-7,8.070663540174204e-7,8.432544913205001e-7,8.406936519496784e-7,8.397596389451443e-7,8.247677696173891e-7,8.363603895285609e-7,8.409333388477077e-7,8.501953227134222e-7,8.887863514600156e-7,180.04078112323128,8.312649797011717e-7,8.507672161508232e-7,8.179466920459613e-7,1.2758917310816154e-5,8.461324872926683e-7,8.563968947995101e-7,8.791447284631476e-7,8.524753235026192e-7,8.13607764188542e-7,8.847755307981644e-6,8.548978666319126e-7,8.904638975252134e-7,8.408483660405522e-7,8.335391963825365e-7,8.307351185427719e-7,8.571798401740769e-7,8.036458604530582e-7,3.471437074272293e-6,8.069628683733062e-7,8.145522031641848e-7,7.718320076954224e-7,7.851814216951054e-7,8.144380441214482e-7,3.6315828232122077e-6,7.857194383677388e-7,8.055695021583498e-7,7.917021756944912e-7,8.024562701959061e-7,3.024001508772527e-6,7.866964248635636e-7,74.37158993516977,3.317406739892787e-5,0.00011396875986104995,0.00032618875873911504,107.92830163542205,29.30170124082733,50.504259237661216,9.145510413286167e-7,215.8232963805264,123.85457428308663,114.66064493171353,9.755958587674896e-5,88.54773436405947,1161.7043150204386
t4,8.908115895716631e-7,8.599301345550889e-7,3.9591117685249126,8.98398997124001e-7,9.135904110347812e-7,9.216587077823182e-7,8.832762598071386e-7,8.539152764545562e-7,78.60891455866526,8.312076488663214e-7,8.723847236139833e-7,9.039715959611564e-7,8.467760394165608e-7,8.650161515444487e-7,9.27119761379232e-7,48.280778217183894,8.989288627842535e-7,8.77411035947504e-7,8.483728547082886e-7,8.321720488510486e-7,8.332078642040093e-7,8.173948312877029e-7,7.989240973547126e-7,8.070593906306304e-7,8.428631704533332e-7,8.409728647199921e-7,8.400293377473278e-7,8.248523170394764e-7,8.364593428024951e-7,8.411384949600836e-7,8.503950279374072e-7,8.889464755964753e-7,113.00872561202502,8.314638576448067e-7,8.503663913084656e-7,8.175477203512246e-7,8.841904286559412e-6,8.463316822469537e-7,8.565652954527154e-7,8.786889010682884e-7,8.520427852805564e-7,8.132134240747411e-7,6.215534586042746e-6,8.544263610157451e-7,8.905916908616287e-7,8.410318752972733e-7,8.337680574674322e-7,8.304273378337035e-7,8.560018431988586e-7,8.038704174645214e-7,3.117289113163267e-6,8.071765742170981e-7,8.139985402597967e-7,7.717910720667698e-7,7.854840955591433e-7,8.146426084961448e-7,3.3732083049887303e-6,7.8388398238932e-7,8.052715450288577e-7,7.913999730045953e-7,8.027103495399008e-7,2.7439342895492876e-6,7.866091218153677e-7,74.3715899351378,3.3178771117270115e-5,0.00011396876059733458,0.00032618875830275277,107.92830163533789,29.301701240846526,50.50425923761971,9.146327228574875e-7,215.82329638026675,123.8545742830176,114.66064493162331,9.755958688434015e-5,88.54773436387939,1048.850273832999
t5,8.909868175728974e-7,8.607432297516425e-7,3.5645638538009385,8.978931058612897e-7,9.136772197378126e-7,9.217577797252946e-7,8.83457975827488e-7,8.521154037283249e-7,65.38466965926774,8.314668645363e-7,8.72568164915839e-7,9.040805983327879e-7,8.469775965488978e-7,8.652321242665679e-7,9.271842697752844e-7,48.28074682110108,8.99132244872101e-7,8.775884044761158e-7,8.485729457326457e-7,8.324115874118369e-7,8.334599865811017e-7,8.172872135130558e-7,8.054914257351775e-7,8.132150842544913e-7,8.425501969808171e-7,8.412479282201751e-7,8.402701219258709e-7,8.315788726342069e-7,8.364211209716653e-7,8.413848063506206e-7,8.505927130098027e-7,8.891051824717373e-7,0.0001702609467038744,8.316535737480408e-7,8.499980549252055e-7,8.171233336651972e-7,6.965829260713533e-6,8.46528557806039e-7,8.567172861751355e-7,8.783493097450912e-7,8.516911203563818e-7,8.128913316726735e-7,5.122883503030996e-6,8.540543443598284e-7,8.885036174677504e-7,8.412117530965362e-7,8.3399163279315e-7,8.301167687076904e-7,8.424203029325265e-7,8.040722269700492e-7,2.8648174883838935e-6,8.07359611371726e-7,8.138700666580692e-7,7.719151839120602e-7,7.858882032730496e-7,8.148230680320671e-7,3.144891776987535e-6,7.840312973877562e-7,8.050511131866892e-7,7.911029351169953e-7,8.029490126880429e-7,2.6107709942798746e-6,7.865753346611875e-7,74.37158993507289,3.3179136995357904e-5,0.00011396876063227605,0.00032618857214581655,107.92830163518622,29.30170124337341,50.50425923743052,9.147149085727208e-7,215.82329638101888,123.85457428298844,114.6606449313253,9.755958263505274e-5,88.54773436443143,922.222890697244
t6,8.911340114046452e-7,8.61447781491024e-7,2.650620824143061,8.970911492827301e-7,9.137529849731603e-7,9.218374686451693e-7,8.836259854749175e-7,8.522405158296059e-7,0.01738389808437012,8.316382604679595e-7,8.727186318514275e-7,9.041772391972435e-7,8.471473541688108e-7,8.654059446343416e-7,9.22754797527404e-7,46.79752121891561,8.992917538969776e-7,8.777410799515154e-7,8.487398556595001e-7,8.32610910469759e-7,8.337032209851909e-7,8.242337285038968e-7,8.056554705747126e-7,8.13800511923748e-7,8.421202162548882e-7,8.490042453621685e-7,8.404456768673979e-7,8.318839708675007e-7,8.437181152466414e-7,8.485590302240927e-7,8.507673700065808e-7,8.892440097686e-7,1.0323891931145374e-5,8.318139143964127e-7,8.495230508364393e-7,8.095154553557352e-7,5.252887695187779e-6,8.466898090318339e-7,8.568310658615242e-7,8.776745864572173e-7,8.508138276514315e-7,8.122987290323026e-7,4.1970012078390705e-6,8.533776313164119e-7,8.774879423241554e-7,8.41371433005815e-7,8.341652125932036e-7,8.294155496861623e-7,8.508234240342981e-7,8.041519976700123e-7,2.5549903230646475e-6,8.073446639317601e-7,8.15563029474812e-7,7.736727729969214e-7,7.866327899660312e-7,8.14944877778498e-7,2.6028002269430124e-6,7.842129716673851e-7,8.043344512461189e-7,7.904570635352546e-7,8.031119864375895e-7,2.429639212575739e-6,7.8636589936349e-7,74.37158993509695,3.2875961647618435e-5,0.00011396643902105922,0.00032618622031745575,107.92830163532136,29.301701259502064,50.50425923754851,9.147754913865809e-7,215.82329638082277,123.85457428312449,114.66064493125305,9.755759488976347e-5,88.54773436890082,854.4582724240005
t7,8.904945168480009e-7,8.607591122675724e-7,2.650403004196121,8.962910746157168e-7,9.134236712574091e-7,9.215402983739655e-7,8.830311570918082e-7,8.51504733036796e-7,1.2456226858567622e-5,8.306964157551274e-7,8.720742751628841e-7,9.038134381350024e-7,8.464535587058527e-7,8.647103987786436e-7,9.223649465002178e-7,46.79725312897138,8.986799855826711e-7,8.770937317307542e-7,8.480360933026655e-7,8.317827061529371e-7,8.328561343659348e-7,8.232778208806882e-7,8.047871707184445e-7,8.128591931510539e-7,8.447378702985725e-7,8.4808449168184e-7,8.364702952396539e-7,8.31151247435691e-7,8.42848411151746e-7,8.479175952554945e-7,8.500616000905156e-7,8.887019892858143e-7,8.752914805135984e-6,8.310912377298329e-7,8.488153303599858e-7,8.182191712884967e-7,4.9718683639626744e-6,8.456548591357997e-7,8.561644917235921e-7,8.768478448747839e-7,8.553920666639961e-7,8.115644277461321e-7,4.029764127163397e-6,8.523412171958391e-7,8.767723121706852e-7,8.406865531160437e-7,8.332288827942849e-7,8.284934176925836e-7,8.562064257885794e-7,8.026017002231932e-7,2.4977083852321997e-6,8.066381777040502e-7,8.194299700354565e-7,7.787917101824011e-7,7.893419861107008e-7,8.137015370634883e-7,2.4502186470409954e-6,7.837949114897712e-7,8.076419157088815e-7,7.906074293602553e-7,8.037792938564954e-7,2.397196235381207e-6,7.904925723241621e-7,74.37158993505518,3.2476784074852474e-5,0.000113964162108252,0.0003261833660725278,107.92830163528599,29.30170124069261,50.504259223960275,9.145503178762581e-7,215.82329637529844,123.8545742642412,114.66064493163267,9.755565485711952e-5,88.54773436866624,854.4404123532182
t8,8.906562720490612e-7,8.609342386277544e-7,1.9147029615716724,8.962888117793682e-7,9.134948729862202e-7,9.217247410739392e-7,8.832523682331706e-7,8.516556594313794e-7,1.1484902367240046e-5,8.308905775909202e-7,8.722184055728202e-7,9.039027784719379e-7,8.466008863697612e-7,8.648632756824961e-7,9.224101478119539e-7,0.00026077515941616086,8.988338590328618e-7,8.772423286859027e-7,8.481848299311104e-7,8.319842911911184e-7,8.331239349386509e-7,8.235245486482565e-7,8.050501904674941e-7,8.130856280348706e-7,8.491166427010369e-7,8.483556506501354e-7,8.398558731658499e-7,8.313911376834256e-7,8.431021856178283e-7,8.481143104215034e-7,8.502347555269389e-7,8.888135441816782e-7,8.555880661547764e-6,8.312638831127106e-7,8.489756979893646e-7,8.204412404250283e-7,4.93249344101428e-6,8.457612568875028e-7,8.564535750353873e-7,8.769184419526638e-7,8.611571698266179e-7,8.137690211873966e-7,4.006421595515948e-6,8.524875048831534e-7,8.843328714475395e-7,8.408575066210244e-7,8.333960573481334e-7,8.286767339930037e-7,8.6316701358555e-7,8.04164028822603e-7,2.591953139457306e-6,8.067618633755018e-7,8.209799713080021e-7,7.803375930560991e-7,7.9090917340196e-7,8.140734319580827e-7,2.432368628974318e-6,7.842209731376858e-7,8.093126134430648e-7,7.927923838273204e-7,8.054843254134508e-7,2.3945289300899357e-6,7.920835476875439e-7,74.37158993509462,3.249256445221066e-5,0.00011396422061266005,0.00032618406167117655,107.9283016353725,29.30170124067672,50.50425922438507,9.146529793805878e-7,215.8232963748721,123.85457428346803,114.66064493136693,9.75556603377954e-5,88.54773436863242,806.9077188879928
t9,8.908285525695316e-7,8.61126626575751e-7,2.0408649135475505,8.963968441311822e-7,9.135879496053685e-7,9.218498928254305e-7,8.834156155090456e-7,8.518400943191259e-7,1.1491703989132992e-5,8.311292437185602e-7,8.723949231242418e-7,9.040048582423208e-7,8.467797147776124e-7,8.650554286822948e-7,9.225074010251427e-7,0.0002623944534641811,8.990125555033165e-7,8.774142926662271e-7,8.483669116696149e-7,8.321964858943674e-7,8.334184652491245e-7,8.237927745968783e-7,8.053685395245623e-7,8.133913264971301e-7,8.447671436205008e-7,8.4860794916771e-7,8.373560524535806e-7,8.316855347132076e-7,8.43347856754715e-7,8.48333888629916e-7,8.504496214320966e-7,8.889893535079523e-7,8.55792939689301e-6,8.314709675898384e-7,8.491855529399032e-7,8.207012204404517e-7,4.932665900741198e-6,8.459661632985589e-7,8.566750890983284e-7,8.770822506076332e-7,8.506701755629667e-7,8.140522231389856e-7,4.006774793539242e-6,8.526984725647342e-7,8.770994015339197e-7,8.410622396694784e-7,8.336477491885511e-7,8.289249436130252e-7,8.514424766414369e-7,8.044359202928535e-7,2.5906321648089648e-6,8.071282912565624e-7,8.213341827890973e-7,7.807728371261961e-7,7.90201933068334e-7,8.14129816472261e-7,2.432942048999505e-6,7.845824615301633e-7,8.096167981148336e-7,7.930345036013811e-7,8.057378139200723e-7,2.394530702024748e-6,7.925191856262199e-7,74.37158991800217,3.315656507200954e-5,0.00011396904307598557,0.00032618886050497754,107.928301632918,29.30170126069944,50.5042592184989,9.147152269452269e-7,215.8232963629051,123.85457426646293,114.66064491515336,9.755945856851394e-5,88.54773435068127,807.0338830507322
