Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,2.2828994631699163e-8,0.0001666966556454994,0.0001666738266508677
OCGT-H2_1.0,1.0,0,2.671064222242713e-8,6.860749860554462e-5,6.858078796332219e-5
CCGT-H2_2.0,2.0,0,2.282468500863541e-8,0.00016980124029957906,0.00016977841561457041
OCGT-H2_2.0,2.0,0,2.6697792948939314e-8,7.120424405775486e-5,7.117754626480592e-5
CCGT-H2_3.0,3.0,0,2.286649846312269e-8,23.861263325911384,23.861263303044886
OCGT-H2_3.0,3.0,0,2.6888857253093436e-8,8.49132819636093e-5,8.488639310635621e-5
CCGT-H2_4.0,4.0,0,2.2815009598381074e-8,0.00017762646947459712,0.00017760365446499874
OCGT-H2_4.0,4.0,0,2.6661717065801672e-8,7.04942844124504e-5,7.04676226953846e-5
CCGT-H2_5.0,5.0,0,2.282089447735274e-8,0.0001309489867959499,0.00013092616590147253
OCGT-H2_5.0,5.0,0,2.6674691693289826e-8,6.857606283121795e-5,6.854938813952465e-5
CCGT-H2_6.0,6.0,0,2.281131051261901e-8,0.00014058157055331464,0.00014055875924280203
OCGT-H2_6.0,6.0,0,2.667309664306933e-8,6.758431523328274e-5,6.755764213663967e-5
CCGT-H2_7.0,7.0,0,2.2815605700800783e-8,0.00023889306563290642,0.0002388702500272056
OCGT-H2_7.0,7.0,0,2.668118988413467e-8,7.202111602565577e-5,7.199443483577163e-5
CCGT-H2_8.0,8.0,0,2.2828566435491024e-8,0.00046306755159007413,0.00046304472302363865
OCGT-H2_8.0,8.0,0,2.670644208671645e-8,7.752301435931053e-5,7.749630791722381e-5
CCGT-H2_9.0,9.0,0,2.2853710800720532e-8,83.16830233930439,83.16830231645068
OCGT-H2_9.0,9.0,0,2.6864171138062793e-8,8.663590336330221e-5,8.660903919216415e-5
CCGT-H2_10.0,10.0,0,2.2829203048531432e-8,0.0005554789227594074,0.0005554560935563588
OCGT-H2_10.0,10.0,0,2.671179181788787e-8,7.78337997725378e-5,7.780708798071991e-5
CCGT-H2_11.0,11.0,0,2.2816204237796297e-8,0.0002673521048452679,0.0002673292886410301
OCGT-H2_11.0,11.0,0,2.6676741461885347e-8,7.39191267827555e-5,7.389245004129361e-5
CCGT-H2_12.0,12.0,0,2.2807836998218957e-8,0.00015723863986687775,0.00015721583202987953
OCGT-H2_12.0,12.0,0,2.6658275792976854e-8,6.88619655984674e-5,6.883530732267442e-5
CCGT-H2_13.0,13.0,0,2.283453859908067e-8,0.0005914865702606575,0.0005914637357220584
OCGT-H2_13.0,13.0,0,2.672530672730429e-8,8.138123771760841e-5,8.135451241088111e-5
CCGT-H2_14.0,14.0,0,2.2817628862303453e-8,0.0002801377512596389,0.00028011493363077657
OCGT-H2_14.0,14.0,0,2.6692119377448697e-8,7.205673316054072e-5,7.203004104116327e-5
CCGT-H2_15.0,15.0,0,2.2817367484430527e-8,0.00011138669901803275,0.00011136388165054833
OCGT-H2_15.0,15.0,0,2.668022965827403e-8,6.725821380446271e-5,6.723153357480444e-5
CCGT-H2_16.0,16.0,0,2.2857762318978128e-8,170.3177146960881,170.31771467323034
OCGT-H2_16.0,16.0,0,2.6864273527446688e-8,8.685328213479287e-5,8.682641786126542e-5
CCGT-H2_17.0,17.0,0,2.281846224464277e-8,0.00015187868219185098,0.00015185586372960634
