Pipelines,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
t1,0.00034939609188339025,2.545940416979876,40.41561064670132,0.0002392853986915524,0.00013370847258791925,4.770246456120104e-5,4.4556327014984954e-5,6.7385185469666435,0.7557646653556782,1.7169045372418825,0.26747691925445816,107.04504530978042,52.90809509483083,0.0002240922133067167,23.2268727223791,65.32747158938572,5.8322137872687234e-5,2.8323248285574795e-5,204.53502748349882,3.569801200109915e-5,0.0003350246570199211,3.451187357110912e-5,22.67472274437131,193.3389112195845,5.697806863867131e-5,165.2181609192673,77.61742079837019,25.202043700309844,65.89940446348268,69.96149919895807,6.189393612516848,2.2106089088214045,74.1096123583325,0.0004499636934668314,41.245160026612155,168.91451889318517,3.9910264600255635e-5,3.488623237866412e-5,0.10821019282798157,5.5975388328509565e-5,0.0003998694119358142,60.97009439199958,26.72864799535716,120.78381820619788,2.059403513501666,0.19956666860900094,3.05039537877901,8.912857639976039,3.86353127027437,44.44656552210897,3.311969988950694e-5,3.670636292575842e-5,3.804493782018983e-5,6.250469602260455e-5,30.558640453113473,24.05009861894002,3.013726078901478e-5,5.8452534532686514e-5,0.9231722594428435,20.623690151232896,11.050838208760908,6.170786578821278e-5,27.7398630411137,709.5120211650327,9.904737627209516e-5,7.908125373269491e-5,19.218919331465678,368.74233667219636,419.6211214759122,125.46090184802532,223.38913908339492,8.742077134367854,207.43415081917428,67.30235211328339,45.59250848517447,0.00014353958685565571,17.111669574594284,17.810803453938618,263.22952409025606,5.329040039534085e-5,111.25663342427131,52.66699096908759,9.167984745364488e-5,2.6084883996672272,4.7738257452457786e-5,13.101163969767203,22.550196014346948,160.29054016219925,0.91360629126196,0.022177559408661042,10.874939383410517,3.0114246418416726,4.757238470888315,4.7807523240356545e-5,3.6152811813754724,101.81075223003462,30.87065957138922,3.184112251421843e-5,1.1311708088123615,281.35577126434646,4.003409711077115e-5,0.22307284154613913,4.50119604078525,8.748556434639285,11.564668021388913,11.356930405945976,3.333713305954493,25.283277377160537,0.8720048345270756,31.432017892540202,4.774532688273518e-5,57.521706225447986,16.71636812666446,0.00025221333611346474,0.6922216806815972,6.327906982377529,111.09316714903588,190.56934001096167,77.65145611945675,0.19893042571918781,74.07733989359177,2.696996845097853e-5,11.341832684622906,4.870542254867819e-5,30.04693309427317,0.16232995015765242,9.808427749394912e-5,36.81308100162915,11.379671624762462,7.009672621463251e-5,67.61601709266014,4.669185098468686e-5,30.558653374497943,120.58672084305432,4.8091169946317684,4.809116997668915,129.70009376638495,56.17033024006357,108.34115426488819,77.61742091918028,4.518480959184074,0.00047121114015125147,56.1703305741329,11.05850362952926,120.58672277952029,9.414406200775352,5.856349987528741
t2,0.00034923202888467514,3.0964284240367865,40.459544812780635,0.00029388069600249224,0.0001497160221165607,4.7297518456658374e-5,4.654780119506302e-5,15.401780646383722,0.7557744139905149,1.7169976299073433,0.5391912916323794,111.53877563919701,52.45953251771181,0.0002517832478787434,30.197687382052667,65.3275290341016,6.062537288713457e-5,2.8022812688953707e-5,236.83900225419538,3.625466248742233e-5,0.00035054846995655285,3.520500402527827e-5,21.20467851508095,193.3389577671432,5.429780230736535e-5,207.47945256024997,87.3473167656553,44.35468562379564,67.76927872407279,118.390416005267,6.189380922222466,4.044769791480626,77.71732338025232,0.00044620436137907257,43.53720460750435,188.97965100537195,4.0016607921632194e-5,3.5347627650034674e-5,0.1082255324145502,6.20927276140114e-5,0.0004257175641148674,71.25029212606121,26.728644857674496,120.87681115752368,2.0594244589012103,0.19961396729846406,3.0505105600312485,9.834755188479237,3.8635410690125376,44.44662596651313,3.542117120833558e-5,3.817743723540215e-5,4.131812623840668e-5,6.5760036277461e-5,30.373211939974865,21.345609642450533,3.2233504224361335e-5,5.759155705702881e-5,0.9231924526565533,23.28607480772001,11.050835710120618,6.278606426619219e-5,27.377741566544632,804.8115626109628,0.00010301888794041153,8.009449047253586e-5,19.398004186062874,386.3535512096177,544.3272576992478,132.50182379429245,223.38916025677742,8.742021220951655,207.43416567885018,67.30230904943723,43.103444731648594,0.00014914971775039873,17.11166128167495,17.227170096381236,266.3730813704064,5.2037071710066694e-5,115.22824400993493,52.66693477028451,9.133946210321295e-5,2.455822863474369,4.795307142696588e-5,12.162525026982026,23.266573943208986,160.19211296152096,2.062909147614046,0.022146070550175423,10.87498287981818,2.3681478356627443,4.757221129127479,4.767425218026812e-5,3.615200677591381,95.28068954898878,33.95047321253044,3.0789792150607465e-5,1.131153165856824,302.88972504377523,3.9479042562790036e-5,0.22344095769473227,4.115746324718062,8.694580491530838,9.744735616713347,11.356957640809581,3.3335723490747675,25.283321712133002,1.1935716970467845,31.431321305528133,4.728796540892729e-5,57.78288119812123,17.184903253637053,0.00022079814517690416,0.6102625816255549,5.586694702602513,111.09316710574804,190.569339982423,77.65145607457906,0.19892581925369804,65.05242351064315,2.631426130918898e-5,8.83000884645351,5.132151027152448e-5,28.839634220126456,0.16230029706039062,9.314503072548526e-5,34.46140888543386,9.138622874980584,6.0456124009144606e-5,67.61604310345525,4.426546436753237e-5,30.373224290616495,108.62231347313217,4.8091480149206385,4.809148017957848,129.70007772395576,57.808742468213765,108.34115319838854,87.34731689741237,4.518065110633417,0.0004961275602116256,57.80874280858973,11.058528329100907,108.62231509608118,11.151325220389474,5.856345515730218
t3,0.00034926196469445465,3.096842098253119,40.50346590343042,0.00036507388520096775,0.00016829521043514278,4.710337707729876e-5,4.954698640345555e-5,24.065092043139202,0.7558315163252973,1.9809574259854514,0.8110717227728126,111.06617806452307,52.0109716035361,0.00028409970312682467,42.68491940371464,65.32758702048626,6.382345279685404e-5,2.8099128841368648e-5,258.3780276143591,3.6964572129553925e-5,0.0003755295810275854,3.621139554765435e-5,30.49956989460015,193.33900195238752,5.194442896963705e-5,249.74074139748902,97.07718391593768,63.50713685697019,69.63915378685572,166.81937527238154,6.189369625388017,5.904384166037865,81.23897871452964,0.00044548890214304865,45.8292374105726,209.04476980702793,4.1791791991255984e-5,3.681588615882396e-5,0.10824161406463602,7.01440941045272e-5,0.0004529960038098772,74.11634410092503,26.728643030323926,120.96976573220986,2.0594488072017803,0.1996562278014723,3.0505984874333145,10.61792357555443,3.8635510130908526,44.44667703607917,3.761310774473323e-5,3.961831734985985e-5,4.439151412559767e-5,6.90577358389601e-5,30.18776212074909,26.193959770319523,3.446220358280931e-5,5.669131752882066e-5,0.9232145283510956,25.95017512406529,11.050834760268765,6.460201360739675e-5,27.013914066927907,899.0162289561503,0.00010831316299541897,8.133191363679377e-5,15.174369313834767,403.9647721206892,669.0294502394761,194.50577403632863,223.38918465025202,8.741982584263633,207.43418223500763,67.30226684972321,40.61438567399768,0.00015105729195082697,17.111655892672463,16.64353248033345,269.49275616760957,5.1244446882508496e-5,119.19984932963813,52.666879851687725,9.12113766367955e-5,2.3071149362466246,4.828204595184633e-5,11.223378732460448,24.02735950049005,160.1543391272997,3.2122789390478386,0.022105041187049767,10.875026923878249,1.6809779577980448,4.757203776044606,4.745269031549224e-5,3.6151141966311062,88.75062578299473,37.03005345400077,3.073146621048158e-5,1.1311184105586976,324.4079592014946,3.88857149092371e-5,0.22343230194698474,3.7302943902681305,8.45581013941949,9.23437586202249,11.356983010621759,3.3334450492786223,25.28336006911573,1.530856426068243,31.430659474379755,4.24087444257558e-5,57.60336035059673,17.65339001058234,0.00018908796336345634,0.5269834728220898,4.837530814799419,111.093167064951,190.5693399531969,77.65145602965701,0.1989212301075482,56.02750701734198,2.5691632359301616e-5,6.318179261673769,5.400209561867615e-5,27.630249154692404,0.16227062340002515,8.719112671419412e-5,32.1216246948638,6.932406093611175,5.084294383159486e-5,67.61607057794463,4.178588619224407e-5,30.18777384542437,96.47092239711681,4.809176961428548,4.809176964465843,129.70006242980173,59.45912405068483,108.3411542065106,97.07718406362906,4.517873833486922,0.0005217387791259012,59.45912439975623,11.058554134661637,96.47092364218956,12.888248325797129,5.856341043934997
t4,0.00034897546395630107,3.7798151870141576,40.54740215345789,0.0004112558032623795,0.00018396021086541632,4.733638584208018e-5,5.156695690955501e-5,30.442457994078296,0.7558389437663299,1.980976223372935,0.8110271181952289,129.5786694162392,51.56240691724493,0.00029653997832350046,35.50444577583618,65.32763900936939,6.545667233840694e-5,2.6946392715028685e-5,291.2568734750662,3.731069223384996e-5,0.0003800526853587296,3.668773062451473e-5,29.029444776505986,193.33905471032236,4.98055823920996e-5,292.0020342020554,107.96303933818561,57.75866823556779,71.50901945028708,156.06057190024356,6.189353475713321,5.526752074056141,84.91164245603811,0.0004243844947165089,48.121330297657565,229.10993121984697,4.229198133277063e-5,3.7348284486622264e-5,0.10825403577928674,7.390037282137125e-5,0.000475114472358809,84.30915417017587,26.72863933105954,121.06277853010228,2.0594686761050514,0.19970539546535235,3.0507857615307854,11.62727455208864,3.863560768373819,44.44675042044781,3.986384228930785e-5,4.107493630741968e-5,4.7615244307355166e-5,7.23593794723148e-5,30.00247077111634,23.489433819521103,3.690532300003142e-5,5.587014949374378e-5,0.9232303565681399,28.666515853461988,11.05082996181444,6.542512120048596e-5,26.646244026437373,994.3152274193184,0.00011169757153639763,8.204449735921886e-5,10.94756203443727,421.57596933122556,729.1660160900676,194.50566458024622,223.38911840902378,8.741906555215994,207.4341947030536,67.30222263368672,38.12531960768635,0.0001608438135168657,17.111646118176388,16.05991599055355,272.6101264739723,5.090641561823465e-5,123.1714577686359,52.66682311020226,9.104779826411136e-5,2.1610441886842366,4.847276996520896e-5,10.282796537024645,24.79017183333579,159.9395716413299,4.361232437379334,0.022089675751571714,10.875073493977704,1.680825153070285,4.757186416371074,4.7291856216706786e-5,3.6150419181512388,82.2205666243665,42.89513965791,3.080110302599577e-5,1.1310915350192932,345.91515833006366,3.892461785448918e-5,0.22348742624729603,3.3448421079595594,8.455718819194939,10.062707199301286,12.044028004098884,3.333506370632139,25.283423156642282,1.910631283202935,31.430623405119267,4.019511618736671e-5,58.637287328672684,18.6799251765952,0.00015611509223916053,0.44046309947102835,4.064551516596416,111.09316702016412,190.56933992481237,77.65145598602393,0.19891663149933592,47.00259026072613,2.5083157225312813e-5,4.160551941274191,5.679965195003816e-5,26.419019699771216,0.16224081831424564,7.93125366732249e-5,29.68074063627168,4.645503912679216,4.0818069031370336e-5,67.61609607012903,3.9174092283310606e-5,30.00248169736473,84.8401829839284,4.81292549356934,4.812925496606845,129.70004578119156,61.12252151352048,108.34114430928294,107.96303952424586,3.8014173475698456,0.0005444765647121748,61.12252187059053,11.058574900861757,84.84018399099786,14.625149698745131,5.85633656993263
t5,0.0003484760002027196,4.6011233037657755,40.59139133980968,0.0004255529408963225,0.00019072471993329164,4.953287590565316e-5,5.170454487739737e-5,30.442441778840372,0.755811463671683,1.9809716211528958,0.8104802886996516,149.58048263450533,51.113836598078755,0.00029839960807919873,28.323945287870593,65.32768227086879,6.599733250153642e-5,2.442995876687101e-5,325.0414715690949,3.742168595503407e-5,0.00037632326535446374,3.681023911010657e-5,27.559307058643572,194.12221953933323,5.450957034407815e-5,314.5342383002394,118.8986171868868,53.31778249457047,73.37886400738809,145.3868482515901,6.1893345063181755,5.19468465806552,88.54852411668166,0.0003651666172473006,51.78780350103248,249.17515377344222,4.2351579407813e-5,3.745573622487481e-5,0.10826229593965536,7.487262636505849e-5,0.0004910148818414755,103.6103282607684,26.72863251039373,121.7108813588483,2.05948415947655,0.19972687408833184,3.0523131365361857,13.57475897006486,3.863570285501596,44.44686779682953,3.848244310133113e-5,4.0944180352794256e-5,4.800213915681637e-5,7.23247596099713e-5,30.390883353678,20.784958721987554,3.9653421813372305e-5,5.505547812298362e-5,0.9232389637257794,31.86955508266907,11.050822535555385,6.552747376781798e-5,26.27439696301299,1089.6161110147198,0.00011329787176778372,8.23269139980682e-5,11.349531854338771,439.18712282466646,580.9259238383141,194.50557341066252,217.16164381847335,8.741826535442966,207.4342043704704,67.30217712394887,38.602932348999566,0.00017662267359229048,17.11163426925547,15.476350763460646,275.3550917250252,5.059291084683474e-5,127.143041220291,52.66676457369126,9.076095826951702e-5,2.0166673769510597,4.850779779226376e-5,10.496198289199427,26.40741862377934,159.89651745771127,4.361425204445191,0.09082596655962827,10.875112905089273,1.6808359394200973,4.757185184388636,4.724184765613707e-5,3.6149762094544067,77.44988579047937,49.64015132371185,3.112322897815446e-5,1.13105817513268,367.268994836562,3.953958913569882e-5,0.22351144750677387,2.9593918274227615,10.252491719229948,10.890788048858159,12.731007458457023,3.3335278758243496,25.28353182321128,2.443230327350749,31.430559558843303,3.471524858352597e-5,59.67123027893675,19.800579348498612,9.890102874008714e-5,0.350292503296613,3.2440303196530715,111.09316697708427,190.56933989552937,77.65145594209,0.19891258083695837,39.56916283660124,2.4494343104688852e-5,2.3571491343272677,5.848007480715741e-5,25.410378228063706,0.1622106334542503,5.7353464439232845e-5,27.664440073348164,2.1503914573040315,2.9076928347181074e-5,67.61611905883251,3.6125264292722416e-5,30.39089364752311,73.38450424485367,4.816754332748266,4.816754335785653,129.7000280090237,62.80217312478983,108.34111677973793,118.89861744699623,3.8014165133234905,0.0005633654756382871,62.80217348890898,11.058590166537973,73.38450505470865,16.360646824879982,5.856332095582992
t6,0.00034786251925197806,4.041344297527171,42.695415968952624,0.00038880065560258916,0.00018112249455285904,4.922954414674234e-5,4.9901884789359104e-5,28.517375712371777,0.7557792276977278,1.9809238853951416,0.8100501910012032,171.09276472148062,50.88814943515273,0.00029236715581545963,28.323957547702395,65.32770138734374,6.489791670978035e-5,2.6365943925599646e-5,359.1353662552854,3.716618382945174e-5,0.00036625668856224257,3.63911080740017e-5,26.399945717116598,194.90549290230632,5.546081442512776e-5,222.78416225092639,127.87511127501003,50.99934640742553,75.24859050508346,134.77978393744837,6.189312399480797,4.896346524987951,92.39895410573725,0.0004488563996355402,55.45431052423658,269.2404521430112,4.1163388828160206e-5,3.6648682226013074e-5,0.10826262327736892,7.233916027623602e-5,0.0004924455594537853,83.810438435947,26.72862351825699,111.12027918786313,2.031830662602522,0.19966033451044787,3.054330149579685,11.018729123399625,3.8635329276084023,44.447270367418156,3.698174341333193e-5,3.920578180609485e-5,4.516144096843793e-5,6.79912779181115e-5,39.1082787785373,20.402991163752283,3.512589255422133e-5,5.439940159405022e-5,0.9232302573183204,28.393788968408344,11.050812022114295,6.44271679964197e-5,25.89430813446248,1045.103139732279,0.00011046707560316506,8.200994014498373e-5,11.749538200417572,456.7978187690856,572.49826582455,194.5012908780453,210.93378895506208,8.741751252992096,207.43421069819732,67.3021300011763,41.998819821848485,0.00020011506469501609,14.867107932552335,20.28576078152748,275.48047191013694,4.95673870086951e-5,131.11427621284142,52.66670394391357,9.011780642092294e-5,1.8762862532334927,4.8279007446471137e-5,12.146838674095642,28.440413019116278,159.85080743719314,4.361466772402486,0.1594423247020997,10.87509343827851,3.143962595491929,4.7572045639462015,4.745021642817261e-5,3.614919425739596,77.44983900225351,55.08239477089264,3.1668720162934816e-5,1.1310204113698663,401.31313621965614,4.1057192499102606e-5,0.22352495954531754,2.7171851331078676,10.252517066323463,12.037273431133048,13.419170136455541,3.3335315069950378,25.28425047557161,2.4389902928574374,31.430090507122213,3.571509564404664e-5,60.70474258172402,22.13260017542492,3.456802417875279e-5,0.26595634449557326,2.347191256551468,111.09316698671734,190.5693398953719,77.65145594798301,0.19891440572590163,35.74411007417347,2.4735595239434734e-5,2.1446104274692024,4.608813008838857e-5,25.409484833543683,0.1621792120370741,2.6137654669877642e-5,26.12103942979977,3.0543817973109545e-6,1.5226918780568458e-5,66.47387319636725,2.988952507015554e-5,39.10829954246557,61.93093458943163,4.820466436059383,4.820466439096602,129.70000916182508,64.50075356842946,108.96486525133746,127.87511159626915,3.801418287504079,0.000570860312658184,64.50075393951789,11.058591934226023,61.93093521422873,16.360634903478783,5.856325547386734
t7,0.00034709126974968234,3.6742791610548386,44.79837633433915,0.00034841195195550707,0.0001679078802413006,4.8388800984269876e-5,4.8002443211207974e-5,26.592236029469756,0.755598836674265,1.9806821469294227,0.809606315388131,192.41143871972648,50.825081553721084,0.00028394848204092444,28.323966336683032,65.32768341819838,6.301912916158232e-5,2.7185777107366996e-5,393.2283469135688,3.676919536942509e-5,0.0003542347948664786,3.57676625134179e-5,25.24062253046363,195.6899055724441,5.464733260699295e-5,131.31879038963876,136.8331325986243,48.68096714909142,77.11731080061703,124.17366568822493,6.189289103413468,4.620730322012333,96.36070877569563,0.00047404009242169953,59.119917712017596,289.6010919561734,3.9804274004668036e-5,3.557730666176769e-5,0.10825617191020197,6.840363574383315e-5,0.00047881040510406903,64.01054557425329,26.72863975442365,88.85107239819469,2.004158805728762,0.1995910505594392,2.1130963565820116,8.462698547357949,3.863521696769901,46.38680712145413,3.552727194575408e-5,3.747770381106385e-5,4.2368224849197256e-5,6.375284242200552e-5,36.2282215487034,20.40296830523924,3.09145182454429e-5,5.814566662027393e-5,0.9232138511942937,24.924609512466215,11.05080259075314,6.32433897136056e-5,25.507645726065487,963.9917240005974,0.00010700623984824462,8.162602575818751e-5,12.147091566023123,474.4041977496812,572.4981842452365,131.77967861564824,204.70134918418603,8.741678367292707,207.4341979126317,67.30208273987904,45.29426178518961,0.00019064194051778067,11.035410912702604,20.28571535475715,231.43702333215657,4.864311283101273e-5,142.96885404859378,52.66666477436948,9.024207916120745e-5,1.8761817057490544,4.806738486935071e-5,10.340458803065006,21.65308920651286,159.84895279018488,3.212149070105867,0.15938810978989565,10.875044600536613,3.1732610341444967,4.757224109436187,4.783256952481272e-5,3.6148889199114493,77.44982042858416,55.08235673594402,3.1828387011618134e-5,1.1310022046699186,349.2643595373326,4.173468564989167e-5,0.22353757850951791,2.675479887297428,10.252457365649805,9.466502941248434,10.232437640327582,3.3335112509566183,25.284236211620534,2.4364189637392033,31.38165993402001,3.960143537277709e-5,60.83771171071943,22.132544441384393,3.1169746918868416e-5,0.16903298300019182,1.3653637397382898,111.09316702984864,190.56933992650133,77.65145599645155,0.19891999632748458,33.93595994294843,2.567954465973327e-5,4.304123945308247,4.9956723214596893e-5,26.307075861029425,0.1621755165548984,2.621061546304573e-5,27.94672143472145,3.726734608550904,2.027001935017391e-5,65.3358843866954,2.6774510686513814e-5,36.228240966910874,56.466075268196796,4.82393898208756,4.823938985125212,129.69999799531706,49.841431546033434,109.58827975230089,136.8331330013162,3.8013873440939143,0.0005598356439033595,49.8414317182548,11.05858155344995,56.46607582655655,14.62392970753028,5.856317894054404
t8,0.0003463968395225664,3.3753692257526686,36.42995663159223,0.0003185805216575367,0.00015700474290803061,4.7697992994652055e-5,4.663661297183646e-5,24.667084826820027,0.6278994359719072,1.6255558971088406,0.6660520305924027,148.85357317261415,46.937645967859694,0.00027589468275888567,28.323974709344174,65.32764571292333,6.134703957785542e-5,2.7745658861815542e-5,325.76568942104336,3.641711413083618e-5,0.00034231640911579794,3.524906109013651e-5,24.58954859267504,221.3998256961891,5.395690561662041e-5,136.90284435028386,127.04344901442809,46.574712592428206,73.72029524803821,121.93490469986664,6.189265721885495,4.388087737420649,69.10625416626465,0.0004943295250862633,64.15387622858067,275.66701640685227,3.89534230967921e-5,3.4882225083197654e-5,0.10824843321870821,6.49538974159255e-5,0.0004633417219454483,44.21054566060022,26.728629183838027,66.57822412710516,1.9764573214734031,0.199513678192822,1.1714778368679044,5.906665976703445,3.8634781725247906,44.41153209924565,3.402227867866717e-5,3.571455477975867e-5,3.9518373780707696e-5,5.9413019457353394e-5,33.34817319182599,18.627896298353395,2.6707432132649085e-5,5.7155794087111914e-5,0.9231963558201961,21.458466348581336,11.050793363651236,6.20856900751516e-5,25.11791770282404,983.3161017918708,0.00010387107203017944,8.13678805693238e-5,17.99331633659503,273.31051206955254,572.4981213509368,131.77848705151274,261.9702593156939,8.74160611384719,207.43416191629933,67.30203537757193,36.19760490005955,9.52925811864251e-5,7.2034351615144105,14.900433465813938,230.79815783762,4.7957141749022745e-5,111.31368123433167,52.666627325319695,9.045803100618733e-5,1.876091923948312,4.781935218426583e-5,6.7401296617705855,15.626675287341149,142.94844276677534,2.06265522505229,0.022016845145115548,10.874992004700834,1.7101155008398783,4.757232989349955,4.814515285063984e-5,3.0767312043874613,66.82982932644023,43.11757936108534,2.9810256726289042e-5,1.1305284499385106,247.56041207509102,3.990495287210465e-5,0.22354002817452714,2.6753640104415157,7.144447956942795,5.710626679206312,10.231173273167247,3.3334762736568617,25.28419305487828,1.2249161006645488,35.30349074036998,4.281472251979446e-5,59.00670015996766,14.806283650239099,1.424490460304409e-5,1.8430661087741585e-5,1.256780268052305e-6,111.09316638943778,190.56933995835735,77.65145604549508,0.1989249694805017,32.12780565567243,2.65666976674464e-5,5.770752109287351,5.331608980037742e-5,26.306696163169782,0.16217160694490695,2.4884708608901517e-5,30.54860077107468,2.2658068638938184e-6,3.955981089470798e-6,64.19795502070234,2.2940050196185394e-5,33.34819131573921,51.000971733926775,4.811415510286729,4.811415513324476,129.69997859235826,46.872598115059255,118.8115751240851,127.04344930067627,3.083506130762298,0.0005431384890589302,46.87259830122628,11.05856845326486,51.000972228317224,12.887013244330307,5.85631026440574
t9,0.0003456866120412843,3.117911166044222,28.696236586228064,0.00029760554917404656,0.0001493836835985316,4.72139027505181e-5,4.569925549619614e-5,22.741931411702687,0.5628168795058863,1.4255472033027479,0.5692856135272194,106.06506995233076,44.16583378961076,0.0002684013299999024,28.323982924351434,65.32760734630753,6.0025068635086244e-5,2.8201452795356165e-5,262.4234287112658,3.6130871195520884e-5,0.00033103540456438625,3.4860099985207385e-5,24.124838224879323,245.28829169675535,5.3580212894445364e-5,124.54404271928816,118.48750245456851,44.414184142107835,67.26488857873342,119.65781722929123,6.189242330644418,4.164854031331668,47.79452714273793,0.0005142954208941518,69.20075453296543,271.27682506464487,3.845863530613518e-5,3.449448356202832e-5,0.10824062281876626,6.213783079751827e-5,0.00044919395949001264,24.410657789851196,26.728639796463764,43.99473375282583,1.9488288044379936,0.1994447686754271,0.23031002269450793,3.3506354600925805,3.863460818173437,44.423223386989854,3.241984518269737e-5,3.390459839331112e-5,3.6582378318483525e-5,5.5040635926480604e-5,29.083681647212064,18.627871090663596,2.2224738637900107e-5,6.0469112696031584e-5,0.9231787155197825,17.994796828334216,11.050784076885794,6.101594811924857e-5,24.72574631007212,992.2377292895711,0.00010112512156620136,8.10845809998952e-5,18.700891579526804,75.98753501195432,572.4980578116042,131.77727090503188,298.22383963276025,8.741533595330273,207.4341259837863,67.30198816104591,41.42092582387394,0.00011906093614314572,3.371778477596484,9.515152020634247,230.15665967167837,4.7358560174945285e-5,95.04308345085317,52.666589580596984,9.062482152689892e-5,1.8760018517732768,4.754898328870925e-5,9.638413854849492,20.652442560704856,125.12503080282215,2.062716828310757,0.09076041543085336,10.874938315571582,3.173247379324882,4.757252456949643,4.859713928445811e-5,2.612753959064183,57.22631989628604,32.242942131643694,2.8380943611283843e-5,1.130055822930128,145.86223057967362,3.831708329695321e-5,0.22354293164204275,2.6752450990217795,4.227413804330618,2.6151463168218245,10.229912855540963,3.333455840790811,25.28415672416036,0.03857493296052843,33.41891908145092,4.560377314820139e-5,57.19205172782053,7.482785819284046,0.00011246301193264553,0.0537768254536728,3.2216056856101942,111.09316634219546,190.56933992873368,77.65145600098694,0.1989197054866713,26.72969740233639,2.594956675801441e-5,6.140456974590117,3.628958214295742e-5,26.293537217762296,0.16220794776573133,5.6455710094441303e-5,27.536804542835537,0.4416575922495348,2.7643830152843412e-5,63.05806187452857,3.183371837606964e-5,29.083696633619542,45.53586861417358,4.7989336991415215,4.798933702178944,129.69996648221303,43.905085385658495,124.0047968936743,118.48750282819462,2.36562498839552,0.0005269521627991853,43.90508558927633,11.058555318196811,45.53586903308783,11.150097094336584,5.856326065252923
t10,0.000344923914395284,2.8847243272063348,30.794795799670712,0.0002824996602939052,0.00014394235947847375,4.685157719060925e-5,4.502906485494302e-5,20.816775991768036,0.5139841535296763,1.2742284071831707,0.4932908419937525,128.0604921820259,44.16498669170894,0.00026133851987262,28.32399023144013,65.32757218476519,5.914936314385584e-5,2.85632236855939e-5,198.6874682348569,3.588377378631715e-5,0.0003202159390012858,3.4553067586201405e-5,23.157613498334563,267.0144636159381,5.3371941296895573e-5,103.73879303825254,109.50432879161596,42.04606263030747,60.75167744394963,117.43564752034062,6.1892189440648595,3.9326294421262826,52.63118632459259,0.0005298805666772513,74.24439481240589,253.42548008975848,3.816050333324488e-5,3.4272100836704146e-5,0.10823272935106121,5.9768247399010194e-5,0.0004359291951925012,43.630444869244634,26.728633243931355,44.31838160451688,1.9488441624363513,0.19951586999522583,1.1719198659180183,5.3789318703675555,3.863470327755291,44.42352615261752,3.309954773682974e-5,3.422164736269498e-5,3.7900229798879307e-5,5.8067438197304016e-5,31.18258713467692,16.305669573037168,2.4733408218366237e-5,5.976062150559885e-5,0.9231700347034815,14.532008478102458,11.050775085177285,6.0231346215451375e-5,24.332987552661265,853.8925252729583,9.915564521282958e-5,8.08121358617845e-5,19.08871866317349,93.59409262692739,572.4979927546242,131.77606762692716,317.30484141125885,8.74146087355367,207.43409022745382,67.30194153800821,44.17521251742914,0.0001388404141675163,10.487292420004898,4.129874033291228,229.5140609506264,4.6761973493197656e-5,67.36248144189919,52.666551908747245,9.076352200975989e-5,1.8759114751298178,4.73378544445283e-5,12.283495875093994,23.69758409092758,34.34955764590885,2.0629038778008395,0.09006500285997304,10.874883177901078,2.6169962068435595,4.757235376335207,4.8851701735903825e-5,2.193979123969757,46.745153493804416,21.695584972104882,2.6429034964473808e-5,1.1295856039250411,48.92835570556312,3.675370897609864e-5,0.22354608300298554,2.6751226518015514,0.0002753942114048598,2.0822563665805833,10.22869141777419,3.333435985588028,25.28412702474031,0.03653217243906355,31.528111026241998,4.84342297363238e-5,55.16759741945072,0.00027632812150593124,0.00021060908638407088,0.4901974117078766,6.441698177587624,111.09316630084761,190.569339899787,77.65145595653625,0.19891472840537872,42.48857496647765,2.5306534089447356e-5,6.5101794144281095,3.933635036952273e-5,25.08324642779952,0.1622598975388173,8.950946487161764e-5,24.69479763350139,5.355302412884032,5.1152420756475005e-5,63.05808243983268,4.1357918333669726e-5,31.182602960386795,40.070766734114564,4.786573893212378,4.786573896249718,129.69994802744645,40.938114109873865,119.0364159634481,109.50432907876802,1.6477428091774726,0.0005111025878274742,40.93811433504619,11.058542070137028,40.07076705353415,9.413181757871543,5.8563460482809075
