Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,0.00028310932,1.4015313e-5,200.23566
2,0.0,2.0605564,0.10200775,1.0623111e6
3,0.0,35.147087,1.7399547,2.1027702e7
4,0.0,0.00032480998,1.60797e-5,140.45416
5,0.0,0.00011481539,5.6839303e-6,74.395905
6,0.0,4.1286487e-5,2.0438854e-6,26.16816
7,0.0,4.038106e-5,1.9990623e-6,24.73383
8,0.0,10.588732,0.52419466,6.264997e6
9,0.0,0.38104358,0.018863544,155559.44
10,0.0,0.858456,0.04249782,407694.06
11,0.0,0.27727282,0.013726378,167363.45
12,0.0,70.24686,3.477567,4.1711388e7
13,0.0,84.27121,4.171842,2.8280588e7
14,0.0,0.00016650814,8.242977e-6,136.35535
15,0.0,25.321121,1.2535208,1.5639247e7
16,0.0,29.556929,1.4632143,3.6995136e7
17,0.0,4.1108153e-5,2.035057e-6,33.012997
18,0.0,3.551218e-5,1.7580288e-6,15.623547
19,0.0,120.152115,5.948125,8.0925496e7
20,0.0,1.581925e-5,7.831312e-7,20.994131
21,0.0,0.0002203181,1.0906837e-5,167.57567
22,0.0,2.2249316e-5,1.1014513e-6,19.541307
23,0.0,17.059343,0.84452194,1.0331545e7
24,0.0,150.12897,7.4321275,1.22688424e8
25,0.0,5.6751203e-5,2.8094655e-6,29.781893
26,0.0,134.01248,6.634281,8.984649e7
27,0.0,37.12343,1.8377935,3.0035472e7
28,0.0,32.252033,1.5966352,1.7557636e7
29,0.0,49.11618,2.431494,3.3859316e7
30,0.0,59.206425,2.931011,5.2989176e7
31,0.0,5.955127,0.29480827,3.3880208e6
32,0.0,2.312887,0.11449935,1.6706371e6
33,0.0,65.14999,3.225247,3.6463412e7
34,0.0,0.00035591127,1.761937e-5,287.94235
35,0.0,40.57162,2.008496,2.833115e7
36,0.0,103.939095,5.1454997,7.649337e7
37,0.0,6.849894e-5,3.3910367e-6,21.554916
38,0.0,4.2291227e-5,2.0936252e-6,19.062067
39,0.0,0.08888077,0.004400038,63130.895
40,0.0,3.2575805e-5,1.6126635e-6,30.711988
41,0.0,0.0002294499,1.1358906e-5,226.14386
42,0.0,19.800163,0.98020613,2.3139554e7
43,0.0,13.797199,0.68302965,1.4888459e7
44,0.0,43.277054,2.1424284,4.1786364e7
45,0.0,0.91162187,0.0451298,1.1848785e6
46,0.0,0.09533275,0.004719443,114880.945
47,0.0,0.94183254,0.046625372,851828.25
48,0.0,2.5560732,0.12653828,3.2486058e6
49,0.0,1.6444193,0.0814069,2.2334578e6
50,0.0,18.265766,0.90424585,2.5546422e7
51,0.0,1.1823725e-5,5.853329e-7,21.355972
52,0.0,1.3598903e-5,6.7321304e-7,22.174105
53,0.0,2.0520005e-5,1.0158418e-6,24.705963
54,0.0,2.9276966e-5,1.4493547e-6,38.612823
55,0.0,17.915731,0.8869174,1.6651788e7
56,0.0,10.440575,0.5168601,1.4443766e7
57,0.0,1.6793363e-5,8.313546e-7,17.504925
58,0.0,3.3084714e-5,1.6378572e-6,33.014526
59,0.0,0.53547174,0.0265085,520114.38
60,0.0,13.203749,0.6536509,9.805777e6
61,0.0,6.794455,0.33635917,6.1585675e6
62,0.0,3.6105735e-5,1.7874125e-6,33.92393
63,0.0,10.800788,0.53469247,1.3195918e7
64,0.0,234.38509,11.603223,3.392674e8
65,0.0,0.00010702659,5.298346e-6,54.270596
66,0.0,3.568854e-5,1.7667594e-6,47.205845
67,0.0,10.333807,0.5115746,9.204278e6
68,0.0,220.2514,10.903535,1.4023664e8
69,0.0,272.93808,13.5117855,2.6760384e8
70,0.0,62.73044,3.1054673,4.002878e7
71,0.0,160.55193,7.9481153,1.29357944e8
72,0.0,6.8291354,0.338076,4.9604275e6
73,0.0,108.70135,5.381255,1.18577784e8
74,0.0,30.68968,1.519291,3.8007876e7
75,0.0,23.064379,1.141801,2.370073e7
76,0.0,0.00013494318,6.6803555e-6,90.45298
77,0.0,9.366069,0.46366677,8.1035845e6
78,0.0,5.3853984,0.26660386,4.1747728e6
79,0.0,124.52021,6.1643667,1.1671238e8
80,0.0,2.5590642e-5,1.2668635e-6,26.296318
81,0.0,66.796036,3.3067343,4.0926364e7
82,0.0,29.010807,1.4361786,2.9227976e7
83,0.0,5.831565e-5,2.8869135e-6,52.05104
84,0.0,1.6657856,0.08246463,1.1116612e6
85,0.0,2.166435e-5,1.0724925e-6,27.419874
86,0.0,5.9136233,0.29275364,6.942418e6
87,0.0,10.970856,0.5431117,1.2750658e7
88,0.0,90.928154,4.501394,5.2199196e7
89,0.0,1.1495687,0.05690934,897629.25
90,0.0,0.06876011,0.0034039658,32819.617
91,0.0,6.935849,0.34335887,6.0837335e6
92,0.0,1.4631585,0.07243359,653069.0
93,0.0,2.968987,0.14697956,2.6485218e6
94,0.0,3.466656e-5,1.7161661e-6,27.66219
95,0.0,1.5715896,0.077801466,1.0548598e6
96,0.0,47.192814,2.336278,2.6396392e7
97,0.0,17.310692,0.85696495,1.1335841e7
98,0.0,2.4813527e-5,1.2283924e-6,15.444619
99,0.0,0.6265783,0.031018727,536410.25
100,0.0,101.704506,5.0348763,9.554755e7
101,0.0,2.1519398e-5,1.0653167e-6,22.41103
102,0.0,0.11149457,0.005519533,50311.137
103,0.0,2.519679,0.124736585,1.133462e6
104,0.0,4.2272997,0.20927227,2.1099445e6
105,0.0,3.7559736,0.18593928,2.4772412e6
106,0.0,9.315275,0.46115223,4.7736205e6
107,0.0,2.2001615,0.10891888,1.8525609e6
108,0.0,52.297817,2.589001,1.5161273e7
109,0.0,1.2119573,0.059997886,504199.84
110,0.0,14.698463,0.7276467,1.773415e7
111,0.0,5.4692668e-5,2.7075578e-6,25.674114
112,0.0,29.78143,1.4743282,3.1648256e7
113,0.0,7.4826913,0.37043026,4.554834e6
114,0.0,0.00010294133,5.0961057e-6,133.63152
115,0.0,0.45400658,0.022475574,388580.5
116,0.0,3.2340016,0.16009909,3.4162232e6
117,0.0,68.27182,3.3797932,6.2581812e7
118,0.0,203.69678,10.083999,1.0529659e8
119,0.0,70.09646,3.4701216,4.2841336e7
120,0.0,0.18086378,0.008953653,111549.55
121,0.0,33.530262,1.6599139,3.723566e7
122,0.0,1.6093156e-5,7.966909e-7,14.439142
123,0.0,4.332653,0.21448776,5.1360295e6
124,0.0,3.915027e-5,1.938132e-6,27.281395
125,0.0,23.029871,1.1400926,1.5117921e7
126,0.0,0.16452603,0.008144854,89912.234
127,0.0,7.5249096e-5,3.7252028e-6,60.605915
128,0.0,22.334942,1.1056902,1.6022475e7
129,0.0,4.9270015,0.24391095,4.4945395e6
130,0.0,3.280824e-5,1.6241702e-6,34.173813
131,0.0,27.948624,1.3835952,3.863809e7
132,0.0,1.6888018e-5,8.360405e-7,29.387985
133,0.0,17.915747,0.8869182,1.6651802e7
134,0.0,37.169857,1.8400918,2.8272476e7
135,0.0,3.0048707,0.14875597,2.6782068e6
136,0.0,3.0048707,0.14875597,2.6782068e6
137,0.0,42.882816,2.1229117,7.439656e7
138,0.0,16.37959,0.81087077,2.260451e7
139,0.0,39.66373,1.963551,5.8125116e7
