Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,4.990108111004427e-7,5.976644836417119e-6,1163.1600054776338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,359.0029624917632,1.5342531633612664e-6,0.037039042490027985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,3.5100097029472066e-6,0.0,148.1999964899903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248360952092,0.0,0.0002501234481755432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,3.1141177637152436e-6,0.0,2721.999996885882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,0.001447858520433642,0.0,69.99855214147956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,6.074362585211364e-8,1.7025310346529397e-6,590.6185516417875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,3.177739337816543e-7,0.0,177.68802968222602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,3.80718893388962e-8,4.027130569732196e-6,2040.9253104890577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,9.064380076369138e-5,1.5181100764448235e-5,3350.9999245373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.60077526323693,1.1145351142003081e-8,0.009224747908459507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,4.608664038098208e-6,0.0,18.099995391335963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6998041639781,0.0,0.00019583602184347626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.041126621389026,0.0,0.0001886948829063484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.636481821465463,0.0,0.16351817853453576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,3.9378296641353865e-8,2.3461017041839354e-6,855.7914023067235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,4.339375433188291e-8,0.0,4.781999956606245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
