Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,-306.67504144819844,0.0
AnnualSum,372838.6335122201,792632.5437427204,851451.7531062714,7464.570888979888,21274.45811824917,109761.13039331361,385340.49348587735,29774.203643015717,2.275422856607969e6,27059.612240381957,162709.02681356663,73407.97761328208,372081.613692817,286463.8906669738,1.1057558725212794e6,2.557420966177291e6,141107.62822251066,507236.0993560792,368712.364633142,17119.74036337813,0.7387175950362068,174950.4932332116,544534.9976837644,219100.89750802272,197511.91561991375,623250.9901456238,170519.98098858446,0.7658775805164361,0.0,121076.45095369335,172326.4836449807,0.0,570682.6735313906,0.0,0.0,8873.30616913118,463856.3212871118,0.0,0.0,0.0,0.0,45086.67958112143,85035.74602937311,165393.24277673764,0.0,0.0,88136.51307002768,0.0,0.9594573096514304,0.0,1.074906696970293e6,0.0,74302.26286473936,0.11642449756266854,91778.42275113062,841280.3453941614,826829.0823159812,138793.66351907965,385821.2927363589,542256.1145109838,123739.13349215128,42225.61003571648,0.16765496722878878,795350.3509983022,1.004428959453124e6,379266.92578397365,1.0882763332304126e6,185792.0511263133,516033.65781507705,2.791935017262609e6,472385.9556095339,2.9759088929843465e6,332972.5637933635,238466.83507039465,1.2407295833742514e6,4250.477264897497,3.0283105104511153e7
t1,1.7522458588427614e-5,2.2868212235388547e-5,1.863995285390923e-5,8.335639169815503e-6,1.3168941866991414e-5,8.326153828407133e-6,2.2921310370214605e-5,1.8742855848400587e-5,1.4361474253942548e-5,1.320006796889134e-5,1.3358074537958603e-5,1.3319087797212331e-5,1.3277670566169425e-5,2.2797850049011997e-5,1.7534491057775875e-5,1.86367173516311e-5,1.791239701005382e-5,1.7399901803082185e-5,2.28900360158522e-5,1.3251793109438349e-5,9.426267693838971e-6,1.8706158176187226e-5,1.909367647725339e-5,1.7537056400512266e-5,1.2609750879031488e-5,8.665675798462388e-6,1.246595681316554e-5,1.3767432316411294e-5,0.0,1.3707885752628693e-5,8.538040757133922e-6,0.0,5.512187817654563e-6,0.0,0.0,4.175776833122438e-6,6.193994475288784e-6,0.0,0.0,0.0,0.0,9.306137636320798e-6,5.427349163697534e-6,9.365829988893482e-6,0.0,0.0,8.384467754821348e-6,0.0,9.323061607403991e-6,0.0,1.0163464418263235e-5,0.0,8.045789540518817e-6,3.856726964371394e-6,4.1264839475275166e-6,7.98018286626147e-6,1.0145328495957565e-5,4.13444999065136e-6,1.294081559377904e-5,4.1808753187105985e-6,1.2286909029572233e-5,1.0277621823573188e-5,8.806327805961293e-6,94.15872920516163,1.7624007647149054,26.63104330126463,1.762421947938108,0.0002891101832023306,8.092130096796673e-5,38.086350535458145,1.6644436032104009,340.014202645092,41.712269783482036,31.76688065499047,5.091264392916584,1.4225608675469575e-5,582.6510087080902
t2,1.747006440216071e-5,2.281593368911768e-5,1.858080066316002e-5,8.300694288659184e-6,1.3135103003440374e-5,8.291230439844028e-6,2.2868209813191274e-5,1.870448682814162e-5,1.431585783435025e-5,1.3166021501063085e-5,1.332054338782595e-5,1.3281345868708362e-5,1.3242121380274275e-5,2.2745707258701268e-5,1.7482846779809872e-5,1.8580839739640628e-5,1.7862374556572755e-5,1.735067777017655e-5,2.2837902106466925e-5,1.321615986390349e-5,9.398732302975233e-6,1.8661936818840953e-5,1.9063298730160146e-5,1.748315476003014e-5,1.2543289081526234e-5,8.626035205831406e-6,1.2413795894689887e-5,1.3728214761343603e-5,0.0,1.3709071483328072e-5,8.516798523641027e-6,0.0,5.497438918035431e-6,0.0,0.0,4.167712960313754e-6,6.1861804785091675e-6,0.0,0.0,0.0,0.0,9.296211033287669e-6,5.429401095949549e-6,9.34310358122755e-6,0.0,0.0,8.363275206894523e-6,0.0,9.308141261514884e-6,0.0,1.0220583145173214e-5,0.0,8.092307053066824e-6,3.869110102402418e-6,4.162717402234962e-6,8.028117346362923e-6,1.0205944095745698e-5,4.171418482837564e-6,1.2988223486913434e-5,4.217223574051313e-6,1.2341726831397041e-5,1.0339160085100592e-5,8.818549636591497e-6,94.15872741540304,1.7623987674085781,26.63103952671726,1.7624185460256656,0.00028523386929171774,7.773705858316991e-5,38.086347019662774,1.6644436039877166,340.0141987052924,41.7122679398467,31.766879429756028,5.091261863392696,1.4204697307528374e-5,582.6509767529126
t3,1.747271897462376e-5,2.2824505617204162e-5,1.8594870511072967e-5,8.310205269208412e-6,1.3131920779804054e-5,8.305081197950322e-6,2.287625798285521e-5,1.8716004442942408e-5,1.4333959846850644e-5,1.317851039796582e-5,1.3331559383173283e-5,1.3293495393843622e-5,1.3254546938751478e-5,2.2753530036432764e-5,1.749275271707639e-5,1.859731011305766e-5,1.787168374600868e-5,1.7359065873250273e-5,2.284616164993759e-5,1.3228350247626508e-5,9.387923087292185e-6,1.864600236672675e-5,1.9047124926179125e-5,1.746130181198052e-5,1.2528645719533901e-5,8.609883766379255e-6,1.2393831786532968e-5,1.3708868615944396e-5,0.0,1.3712801296902117e-5,8.515936079560373e-6,0.0,5.511122532510227e-6,0.0,0.0,4.162970917985972e-6,6.1899213163024615e-6,0.0,0.0,0.0,0.0,9.289438010992316e-6,5.448491221929086e-6,9.34988694929412e-6,0.0,0.0,8.363313456483388e-6,0.0,9.30727143617316e-6,0.0,1.0251794661152713e-5,0.0,8.116723872028616e-6,3.878581494065966e-6,4.184753360208716e-6,8.054350597872653e-6,1.024129587557301e-5,4.1925980262771286e-6,1.301122328185793e-5,4.236408909411064e-6,1.2364712390080324e-5,1.0376128860801553e-5,8.820528677884631e-6,94.15872694192602,1.762397836307139,26.6310379305646,1.7624172031018668,0.00028387982760501713,7.649248945846689e-5,38.08634570183764,1.6644436090869894,340.0141973319366,41.71226742712016,31.766879247219666,5.09126072117805,1.4203593278982119e-5,582.6509656625155
t4,1.760281439380255e-5,2.295132327560122e-5,1.8747206722368636e-5,8.409284290730121e-6,1.3201908542692452e-5,8.40185373517732e-6,2.3003683076507175e-5,1.8816806246267012e-5,1.4463621376668192e-5,1.327447207892797e-5,1.3429054901919556e-5,1.3393460640400812e-5,1.334955638478221e-5,2.2878407883827334e-5,1.7619709154740754e-5,1.8753530916774582e-5,1.79943334062554e-5,1.7478444439904178e-5,2.2970257217465198e-5,1.3323481052186118e-5,9.417346799456572e-6,1.8694107363653667e-5,1.9077359441472094e-5,1.7521325209398125e-5,1.2614647323229094e-5,8.651482077787043e-6,1.2451428940903555e-5,1.374920217094781e-5,0.0,1.3715867057563429e-5,8.587092226033033e-6,0.0,5.599908444582185e-6,0.0,0.0,4.185374592866279e-6,6.229377824663735e-6,0.0,0.0,0.0,0.0,9.317728229794738e-6,5.536165633601122e-6,9.4144332214153e-6,0.0,0.0,8.43644377547258e-6,0.0,9.354129596653742e-6,0.0,1.0344157134532346e-5,0.0,8.19683860214093e-6,3.905378712940342e-6,4.237512152950054e-6,8.139180112882685e-6,1.0326359548842258e-5,4.23977398514205e-6,1.3095349386482893e-5,4.290317092036652e-6,1.2472462797018956e-5,1.0463528922040014e-5,8.850933352949536e-6,94.15872735618287,1.7623975389397086,26.631037321179424,1.7624168046976425,0.00028364589736599234,7.619813597031852e-5,38.08634538088375,1.6644436203679434,340.01419702039294,41.7122677906202,31.766879940986424,5.091260284943581,1.4204796194378399e-5,582.6509682864455
t5,1.77243519046761e-5,2.3079764114409347e-5,1.8908525541958204e-5,8.50053093164854e-6,1.3264057760121652e-5,8.50394061141451e-6,2.3132887478961175e-5,1.8922541170258362e-5,1.459800945188994e-5,1.3366830551566779e-5,1.3525895919642631e-5,1.349688432003674e-5,1.3443104183147615e-5,2.3005198896550015e-5,1.774972075340936e-5,1.890916560117087e-5,1.8119347585909305e-5,1.7601238006817105e-5,2.30912798928424e-5,1.3420193139251435e-5,9.457254270384434e-6,1.8761432156860697e-5,1.9136739411386348e-5,1.76066268317139e-5,1.2699536136112419e-5,8.709391875098075e-6,1.2532733367248263e-5,1.3793347517319927e-5,0.0,1.3720959840013676e-5,8.665075301802868e-6,0.0,5.700567229554411e-6,0.0,0.0,4.206416446660667e-6,6.275087917916942e-6,0.0,0.0,0.0,0.0,9.344575558221357e-6,5.63392302771598e-6,9.479188539191763e-6,0.0,0.0,8.517855821789477e-6,0.0,9.404621144249063e-6,0.0,1.0443063996713576e-5,0.0,8.278711547872502e-6,3.934629754923623e-6,4.291991938350593e-6,8.227886531078722e-6,1.0424783045888615e-5,4.293245091142584e-6,1.318112086008351e-5,4.347023086094189e-6,1.2585552873304554e-5,1.0562757157416402e-5,8.885336554436201e-6,94.15874952135817,1.7623978240535385,26.631037482098506,1.7624174737821938,0.00028894448475604836,7.678350041275064e-5,38.08635057600789,1.6644436476196074,340.0142043880945,41.71228476495801,86.2272836357634,5.091260423290224,1.4225063082238996e-5,637.1114351549769
t6,1.786659495517047e-5,2.322599630683126e-5,1.9096201685071928e-5,8.605817590161009e-6,1.3336054062732907e-5,8.624561832456657e-6,2.328042549869983e-5,1.9045932410714368e-5,1.4755961176334047e-5,1.3476748171213867e-5,1.3646286016281344e-5,1.361619409425424e-5,1.3558970806921156e-5,2.3149740846923903e-5,1.7895839744516115e-5,1.909303898354823e-5,1.8259662229997052e-5,1.7743519488965618e-5,2.3240862800572427e-5,1.3533790626714089e-5,9.48099321408518e-6,1.882581652865958e-5,1.9185482520640075e-5,1.768487578509285e-5,1.2775246646865086e-5,8.752054915652878e-6,1.261058832984051e-5,1.3808186254264977e-5,0.0,1.3748394473223922e-5,8.76320879171724e-6,0.0,5.821893141107361e-6,0.0,0.0,4.231858466816134e-6,6.3328527687762555e-6,0.0,0.0,0.0,0.0,9.37850983001938e-6,5.7505395381847975e-6,9.558292081168304e-6,0.0,0.0,8.617940342209475e-6,0.0,9.47347860274521e-6,0.0,1.0558722840994022e-5,0.0,8.387325683848916e-6,3.9693824403866725e-6,4.355025586745574e-6,8.328336773243648e-6,1.05407584296227e-5,4.355480999916771e-6,1.329717762544193e-5,4.4121368153946325e-6,1.2724191706280193e-5,1.0680172356028356e-5,8.928241295255073e-6,282.4761278448716,1.7624042253056886,26.63104938324016,1.7624340933552542,0.00032937737382396554,8.85285088986487e-5,38.08638639237451,1.6644437482206949,709.7952484665203,125.13673042716772,95.30057268728412,5.091267790238931,1.456627562676578e-5,1287.7077279201017
t7,1.7958200387477577e-5,2.3320690110196585e-5,1.9216901237635796e-5,8.662414215402168e-6,1.3383404864751053e-5,8.696290566443295e-6,2.337303256987624e-5,1.9123324607188036e-5,1.4855521253520925e-5,1.3541696583910499e-5,1.3713601865467194e-5,1.3688828514701132e-5,1.3625290699503698e-5,2.3240502313131107e-5,1.7989857059027298e-5,1.92108356624786e-5,1.8349576261321918e-5,1.78315195319244e-5,2.3326319891602502e-5,1.3604343812467644e-5,9.484333259340582e-6,1.8837089455526627e-5,1.9195630936661662e-5,1.7698293765152438e-5,1.2790527489792763e-5,8.757615242999282e-6,1.26244450312731e-5,1.3810528323286805e-5,0.0,1.375778221785547e-5,8.798471810978706e-6,0.0,5.867099673497528e-6,0.0,0.0,4.241659472390812e-6,6.355420334769853e-6,0.0,0.0,0.0,0.0,9.390953966527617e-6,5.793805067014808e-6,9.592584189455168e-6,0.0,0.0,8.653246100949725e-6,0.0,9.47807430292471e-6,0.0,1.060156974151883e-5,0.0,8.409744862513552e-6,3.978058994733655e-6,4.374730079755133e-6,8.361892736541369e-6,1.0580165430700936e-5,4.375892967820778e-6,1.3320908390832076e-5,4.4349134421555465e-6,1.2770337587635678e-5,1.0720043595339856e-5,8.939674283792347e-6,282.4761442777458,1.762431593990261,26.63111985110972,1.7625265623517883,0.000814013549136404,0.00017390323086690794,38.086583784907766,1.6644437890417874,1020.042551097055,125.13675020296064,95.30058327375153,5.091309371593265,1.493184691400293e-5,1597.9560793607793
t8,1.798422389487191e-5,2.334499007981838e-5,1.9257208536058917e-5,8.680559966184348e-6,1.339517988732461e-5,8.716361511813816e-6,2.339882137745788e-5,1.9150936861707093e-5,1.4882538265750281e-5,1.3558611785515492e-5,1.3732964632543373e-5,1.37096727927238e-5,1.36443589785362e-5,2.3265844353511972e-5,1.801581012091727e-5,1.925001629907104e-5,1.8376828480595984e-5,1.7856126142025366e-5,2.334999882896779e-5,1.3623674030570803e-5,9.484818949463232e-6,1.8839557994733668e-5,1.919072320806081e-5,1.7700993554323212e-5,1.279612536827027e-5,8.760992390549996e-6,1.2629273124105837e-5,1.3814469225108721e-5,0.0,1.3767913499924005e-5,8.80668423583695e-6,0.0,5.881344476473243e-6,0.0,0.0,4.243056409502783e-6,6.363169637239075e-6,0.0,0.0,0.0,0.0,9.39297161652146e-6,5.8063910591901545e-6,9.604552918784275e-6,0.0,0.0,8.661507153714146e-6,0.0,9.451383596390446e-6,0.0,1.0612954985640403e-5,0.0,8.417330112162619e-6,3.979663788642148e-6,4.3797006488294625e-6,8.367793350738e-6,1.0594247384039156e-5,4.381878926693363e-6,1.3329241773221083e-5,4.440135280687562e-6,1.2779424709206796e-5,1.0731424244896825e-5,8.94274014359286e-6,282.476142126839,1.7624299756873631,26.631115812437624,1.7625234002651833,0.0008109849617930256,0.00017975348904836533,38.086580124197894,1.6644438044001337,1020.0425475503441,125.13674802601705,95.3005816673638,5.091307406778949,1.4902259263969166e-5,1597.9560588822317
