Line,New_Trans_Capacity,Cost_Trans_Capacity
1,4.5354147e-9,4.1547892e-8
2,3.106109e-9,2.074095e-8
3,8.412987e-10,6.519247e-9
4,7.647908e-9,4.2834397e-8
5,0.3779177,3.1716912
6,2.6641267e-9,2.1870811e-8
7,0.9140415,7.251441
8,9.447944e-10,7.24034e-9
9,0.14069058,0.74392897
10,1.2111622e-8,7.450122e-8
11,0.8149654,6.3714347
12,5.4229765,41.707123
13,10.0,43.466427
14,1.5348458e-9,1.6279692e-8
15,0.45241767,3.6192386
16,4.128461e-10,6.6929604e-9
17,3.1154435e-9,3.2405715e-8
18,7.2890454e-9,4.153533e-8
19,4.748573,41.42493
20,6.958442e-9,1.1961035e-7
21,1.448327e-8,1.4268296e-7
22,2.3815019e-9,2.7091476e-8
23,1.1229259e-8,8.808436e-8
24,10.0,105.84828
25,8.153511e-9,5.5420013e-8
26,10.0,86.83616
27,10.0,104.792725
28,9.999999,70.51048
29,9.258937,82.672195
30,5.9694138,69.19819
31,6.314629e-9,4.653156e-8
32,9.533198e-10,8.918895e-9
33,10.0,72.49161
34,2.3589157e-9,2.4718434e-8
35,0.1882187,1.7023519
36,4.416394,42.097607
37,1.6824647e-9,6.857301e-9
38,6.783827e-10,3.9604013e-9
39,5.4434413e-9,5.007863e-8
40,2.5684053e-9,3.1363253e-8
41,5.369736,68.54797
42,8.915669e-10,1.3495373e-8
43,3.0989416,43.31287
44,10.0,125.06093
45,6.3906285e-9,1.0758393e-7
46,1.0945725e-8,1.708422e-7
47,5.8637833e-10,6.8691186e-9
48,3.1663143e-9,5.2122168e-8
49,7.395114e-9,1.3009326e-7
50,4.4561002e-8,8.072199e-7
51,2.766379e-9,6.4717455e-8
52,2.1111614e-8,4.4587014e-7
53,2.8152745e-9,4.3902556e-8
54,9.2624255e-11,1.5822494e-9
55,4.2997737,51.76267
56,8.703118e-9,1.5594651e-7
57,3.347382e-8,4.5193144e-7
58,6.22323,80.43374
59,1.6893106e-9,2.1252818e-8
60,1.10104565e-8,1.05909486e-7
61,2.0035114e-9,2.3521316e-8
62,1.511161e-9,1.8390159e-8
63,1.4296813,22.623936
64,2.525355e-9,4.734557e-8
65,6.7152226e-9,4.410401e-8
66,2.6211314,44.905605
67,0.10615823,1.2246946
68,10.0,82.4684
69,3.5891001e-9,4.5578343e-8
70,10.0,82.64922
71,6.954934,72.579735
72,1.0821575,10.180957
73,10.0,141.29056
74,7.010321e-10,1.1245116e-8
75,5.717088,76.09211
76,0.3204431,2.782067
77,1.9339161,21.672161
78,10.0,100.40601
79,0.92962927,11.285782
80,6.5206807e-10,8.678636e-9
81,9.999999,79.35919
82,7.423603,96.87203
83,1.4968604e-8,1.730495e-7
84,4.4903046e-9,3.8812708e-8
85,4.5966864,75.35454
86,1.4317199,21.770073
87,0.83604527,12.585388
88,6.516675e-9,4.8454737e-8
89,0.850315,8.599767
90,2.8266808e-8,1.7475051e-7
91,10.0,113.60966
92,6.5086985,37.627605
93,10.0,115.54203
94,2.2483708e-9,2.3237455e-8
95,2.0507226,17.828188
96,5.0313063,36.44972
97,2.199816,18.658228
98,5.961374e-9,4.8059565e-8
99,1.565905e-8,1.7363284e-7
100,9.623999,117.10615
101,3.52159e-8,4.750237e-7
102,4.608144e-9,2.6932781e-8
103,1.2609432e-8,7.346865e-8
104,2.7161748,17.559431
105,1.2487229e-8,1.0667351e-7
106,10.0,66.37384
107,2.4894703e-10,2.7149987e-9
108,4.2237458e-10,1.5859687e-9
109,8.8419245e-9,4.764386e-8
110,5.4793487,85.62727
111,6.636403e-9,4.0350027e-8
112,8.907501,122.60407
113,2.3122029e-8,1.8229947e-7
114,1.2847601e-8,2.1601598e-7
115,0.21048906,2.3334212
116,1.6773305,22.949297
117,3.6714993,43.590797
118,10.0,66.95375
119,3.95569e-10,3.1313667e-9
120,8.3164915e-9,6.643563e-8
121,0.8302317,11.941701
122,6.842688e-9,7.951914e-8
123,0.28201565,4.3300366
124,8.084397e-9,7.2966614e-8
125,0.004651146,0.039546248
126,3.826863e-10,2.7087679e-9
127,5.1241225e-9,5.345372e-8
128,1.1897397e-8,1.105456e-7
129,0.33982125,4.015113
130,2.2654518e-9,3.0563992e-8
131,0.5234472,38.008034
132,3.887928e-10,5.2505417e-8
133,4.28373e-9,1.0415108e-7
134,10.0,321.14584
135,1.8595988e-9,6.236934e-8
136,5.246698e-11,1.643648e-9
137,1.2495974e-7,1.0039983e-5
138,2.081721e-6,0.0001390872
139,1.95376e-7,7.954034e-6
140,3.5203308e-7,1.0610666e-5
141,7.5319724,460.61902
142,3.0397706e-7,1.3966725e-5
143,2.5508041,165.80666
144,3.4769076e-7,1.0141376e-5
145,10.0,433.71515
146,1.7721558,221.2668
147,3.0366468,25.35786
