Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,1.4363178e8,1.9082288e8,2.1493074e8,2.5265621e8,1.30580696e8,4.7639016e7,6.648157e7,2.3497906e8,4.9950616e7,7.252404e7,1.05866856e8,6.2642246e8,4.6235766e8,1.02364424e8,4.4088867e8,3.2288704e8,7.048086e7,9.723982e7,6.078349e8,1.9605184e8,2.3819195e8,9.646102e7,7.53035e7,1.2332652e9,2.7274062e7,1.2467758e9,9.5638835e8,5.9314874e8,6.0201914e8,4.3200576e8,2.2466392e8,1.9184826e8,6.654544e8,1.3076988e8,5.1521008e8,7.822278e8,3.4429496e7,1.8642064e7,1.6716306e8,9.037455e7,5.1973754e8,7.035625e8,1.1005608e9,1.7250001e9,1.9948976e8,3.890842e8,4.7191226e8,8.07936e7,3.5707248e8,3.421392e7,8.518805e7,5.2394298e8,5.0074634e8,2.6960118e8,3.0143376e8,1.6285987e8,3.3758646e8,6.3842746e8,3.425229e8,2.8637837e8,2.2339813e8,2.069539e8,3.109162e8,5.3105395e8,4.7650973e8,3.3613037e8,7.227149e7,8.154162e8,1.5303854e8,6.7791904e8,7.274156e8,9.701026e7,1.0067538e9,2.6453322e8,6.2296934e8,1.1826951e8,1.6692472e8,8.79632e8,9.114182e8,1.1121758e8,1.0772339e9,7.773842e8,3.3256474e8,9.311121e8,5.178235e8,2.1048506e8,4.823459e8,4.2240266e8,2.9015578e8,1.5197128e8,1.1718995e9,6.176432e8,1.0856552e9,1.6560133e8,1.6706827e8,2.4372003e8,1.9715466e8,1.6448986e8,6.203546e7,8.9363885e8,2.2994826e8,2.5785832e8,5.4118588e7,4.1176003e8,3.8163372e7,5.490249e8,5.6755136e7,3.4255763e8,2.1247037e8,5.9558694e8,1.6949334e8,5.5435e8,1.2000803e8,1.5196835e8,7.10304e7,2.3902162e8,8.910067e8,1.0908954e9,3.438182e8,6.959229e7,4.9653648e8,8.624899e7,1.1701182e8,5.206262e7,1.8996085e8,5.909941e7,5.037469e7,1.3402105e8,2.7362995e8,1.4929248e8,1.21364776e8,6.4970868e7,1.0206941e8,8.019943e8,1.1678458e8,1.008416e7,20.000038,264.56418,21.165834,23.773306,1.3018724e9,49.478916,3.4630893e8,28.832869,6.628522e8,3.9594496e8,3.4401488e8,5.2786385e10
t1,52583.20630222484,30611.91533705034,0.026395875117325582,67184.99554178487,0.0511508427477493,25677.114217056038,9957.842911311263,32671.506619910666,0.032941800575181555,27096.609455797527,24775.03168813715,4012.113259006153,0.01807658973164098,503.5308056478952,0.012416194693243234,50706.788181698146,4739.495618339892,0.012446841567084746,81786.94830226146,71784.81494212474,68908.59586686618,22533.910171705054,0.014133488298367837,166115.55897004003,0.12750255774628877,195728.48210712482,137871.8686541195,81047.88053434862,74039.22503655737,33532.14239343399,251.6582234366474,87786.97712464744,52194.94834440452,47636.49134246786,44092.91967808828,115014.420615266,17651.09894524409,3020.626254862768,36420.265233135346,38193.868290082675,150078.04221322326,0.012494349476717143,39609.31444678687,24875.626848290045,0.0175858345694796,131803.0723219259,0.0122773782786141,25886.55315660597,0.03244740267385246,0.012286489535000784,0.0418018605951967,0.011240245075508002,67154.85479126732,51512.139784960455,66880.19135926207,28663.820558299478,9714.163236744384,130680.4370550434,32430.264302603562,67980.16411477684,3146.44170693078,0.014066889699699752,87555.85068579495,87959.79419990884,104658.00618478944,85873.4081114094,13705.758322985574,147192.09061429673,46376.68753678208,128143.93475039804,16159.290011948535,28189.301212369093,223011.5840863307,58580.47528090781,148717.75824123216,2825.3237691478344,51912.78612092881,55318.69342827285,0.014097134308663708,41628.39362626967,114516.21764644902,202353.79005352416,67673.63398778124,179458.509910021,119155.10516294409,25300.897901475695,72516.79131673762,69834.26904774939,0.020518468342255437,0.011787976121437657,262129.5929229022,93013.23113501628,158070.8937464061,10614.951471356439,27234.67500412418,18660.524648810384,5896.714340446863,0.013170851593166779,21616.069670259207,218002.27007478746,0.0233252235479897,0.03474174404503264,3729.434853881921,55495.851695027064,0.019728976808256683,55510.073787075795,9066.482704007349,12338.92883313563,0.020016809544616033,85324.8824131241,3400.0291273524485,0.028313315441194104,36733.408448178976,43371.97587961594,0.0027456354617568096,31463.29124705161,144068.61204631726,178932.51446783237,61901.066825961265,0.00327900173376457,90733.95658479398,3342.1261486632425,24396.276601853257,0.004538571196905537,31102.790337675106,0.002670332137733102,5247.124739089294,17909.39575760774,58908.435596406176,14135.64691945594,21754.873020549487,0.0037473884375312143,17470.58598508397,155540.53983490728,2028.951465541445,954.0826876129277,0.002268652400618938,0.04363261384712481,0.0027881581299642063,0.0028823093593775342,274210.48040079384,0.006964729681141483,59987.18922337517,0.0037823203943452544,129617.11486954831,1084.2908278547136,51654.17973952884,7.211820518423222e6
t2,52583.203353239674,31244.127091030223,0.027026120048685005,67184.99424028661,0.05172729144603272,25677.112370579554,11690.309891770914,33865.581042265716,0.032708478382058495,32136.72261288059,24775.0256310721,5226.646519082351,857.1943328859297,158.47094482078595,0.0136416491204086,50706.781763841114,3953.5492853634278,0.013719510422927978,81786.94708034222,71784.80397234306,89558.8001063197,43824.52957451845,0.015892542443157628,163545.52151960152,0.13996661221549278,195728.47849910345,137871.865974998,79913.58763493584,89676.01558164143,31628.224189378718,20349.505352064934,87786.97357786105,71638.79077336994,46686.68154597844,22580.437225775222,115014.400572704,17172.052989618744,1747.1053868547833,36848.996774637795,38193.86265114446,150078.03682904044,0.012910050263490163,38883.363410677564,26518.564031986174,0.01359066680871643,162824.45118035882,12700.761265742058,25886.552457594225,0.035026827003562175,0.027324218795249183,48849.02454459346,0.025194205622652885,79740.04585754412,53072.074660488084,80804.17540826893,33704.79213185121,0.011606961826768368,132811.55289855928,0.014993389307250332,71154.1406814943,35953.50779869755,0.014279691352304686,87555.8475534569,87959.57218637943,103830.57029384427,85873.43827129675,13705.809903100102,147192.09194029993,46376.685074985195,112550.79340005426,2571.971171961744,28189.29391044994,182528.91274365893,58580.4723809279,148717.7572433384,6491.714761774896,51912.97343789226,57198.93636901202,0.06529304591461114,21790.41951767288,108381.81000274516,178034.87541389582,78479.70846028086,179026.6221535046,124920.41329219243,44582.98141830599,36063.91872728387,69834.3016131729,18028.971759285032,0.014727710898141965,262129.5909177166,97790.9789515345,158070.89375189375,11209.574913205222,51546.68902727714,0.02675441655694392,0.023882051861680076,0.014123361272579498,10661.650307193862,137957.6010964461,0.02296655156451844,0.015602086458422376,13811.464526722884,57401.47423795395,0.01979416892544792,51034.048944467446,5794.685242561096,27433.773634342317,11713.72565751161,61440.61536788548,7258.577050811868,0.02972944504967071,11842.213279977304,42595.99121018754,0.0027528940315253033,30723.736140242607,144068.6120513506,178932.51448066978,60363.949899768006,0.0031027512862321785,90733.95572632072,186.37440770057975,25662.05103756644,0.004311600483309198,31102.790278873217,0.002692184950852782,4653.443035073884,17340.70195012277,58281.77919110855,14377.388859119914,21754.87609921296,0.0038485969783980042,25683.981553479825,134333.49494574068,5333.117193981602,1186.1632463287829,0.0022925211439807783,0.025969378684128144,0.0028069084921108225,0.0028876343801414704,177666.76862476894,0.006993910000350037,59987.146805833945,0.003818627877638899,109181.33264210637,28661.783841001125,49450.1937066387,7.106119654012741e6
t3,52583.20230010981,30811.651291484584,0.01557019544551186,66971.83666976565,0.054546753364054276,25677.111170722783,12157.303676511066,34402.79000155431,0.03844431860105436,31708.389760935275,24775.02701305178,4336.995736705847,331.65547942571965,0.02084143380963839,0.07029866463253522,50706.779106329916,4155.330926649289,0.014092871726813188,81786.9466322027,71784.7998420476,86210.7949683906,38818.30316096622,0.016190608196323612,162822.17941967567,0.1481163667377175,195728.47738092885,137871.8651569391,80333.48909870007,87410.8768960432,20757.73346180601,17636.226221091114,87786.9710145322,69080.50112047013,47108.031637172084,26468.439910201323,115014.34423176393,17204.442401007444,1725.544443708048,37671.08843707133,38193.86164485362,150078.0321069055,0.013199610815988486,23682.044254523986,14298.369168590656,0.019770181296725566,182012.67008111082,15643.595643909415,25886.552001250682,0.03655171330290652,0.02801799197989306,48849.03859753774,32186.6535134506,80080.83200847323,75710.30528159434,81552.7969936508,45082.27264256086,0.014657091191978128,132811.55256162872,0.014090355526221078,67162.17725509827,29783.895829585723,0.01475215206771245,87555.8482661932,87959.55850295836,103267.0699991565,85873.44061704152,13705.810566517797,147192.09213421162,46376.668537979516,99657.20732356116,0.18081793856260148,10533.405525279937,179701.22270743712,58580.470323646834,148717.75664737108,3606.657913969767,51912.9726069343,75644.96244041811,8285.838194733517,0.033119860362794754,91824.86707203195,142916.21268455288,78479.70604502854,149435.4855648906,124920.41839791497,44582.978004831486,0.030831853418724853,69834.26013793572,17186.44750721095,1065.3483713489836,262129.5787879133,97790.97937901132,158070.89375643633,10303.803839981014,58649.31464938774,0.017146250428636375,0.01578965693849934,0.014757029725384103,0.015646805617405807,121069.73090028935,0.02356101508881969,3902.030773209087,15337.145657164672,47169.38526607993,0.019883184687002998,38444.49918269777,2795.896171134912,29264.719595494735,14778.288453153842,44043.052135304,16557.20152228565,0.030003440312237978,0.024144921613159412,41787.23307756932,0.002780180741231201,30280.539039575215,144068.6120616932,178932.5144616504,61346.684017033105,0.003093132246785807,90733.95563880385,3230.019388847112,26153.33238006125,0.004302095257399459,31102.790276177442,0.002696676116331704,4763.064084394917,17032.946266436127,58397.58132134227,15910.375804278625,21754.876898664254,0.003871681433305803,26326.22229322462,118165.50920530608,5422.154994010364,1149.4276737335472,0.0022882231590102774,0.022081492820067074,0.0028122277067990057,0.002887907800214223,94340.73049948104,0.006865142816120529,59987.09350732576,0.0037965979712136434,94328.72968862623,28455.17747660903,58780.114429658475,6.826427671117514e6
t4,52583.20585062033,30231.36901815001,0.025585712315211256,67184.9952911669,0.048672946980368774,25677.114069083058,1943.0949960528428,24428.00063052779,0.03454612402486293,28645.709298474514,24775.032665665418,3191.823040201493,538.1758540489086,739.4603576657405,0.012715851294642706,50706.78697184479,5260.22854031866,0.012564308989138103,81786.94799612858,71784.80899216472,106073.76537436446,60170.675272272005,0.01445540225693323,162074.67210440923,0.13667181959177382,195728.4819117319,137871.86852404661,73633.23379611493,101934.49272025733,27106.443938354114,18508.14457352297,87786.97567888939,69297.03531250726,48682.56985454479,12416.580205948474,115014.41367139957,18251.57050955845,4043.308441027941,37504.02847581624,38193.86607164759,150078.04029014864,0.01278165313438986,33057.810486434835,22613.76323595081,0.013863831092220513,151358.46988835273,17148.325265876305,25886.552680459674,0.0355773963614249,0.012655809101828239,37742.73176877902,0.012616566521668536,80480.95668984162,51146.176308609145,48519.89411319118,32358.62384791126,0.020579849230256603,119764.17073689167,0.013709667488469886,23035.32673766329,0.022265493901154895,0.01713349386224989,54510.92925957902,87959.58981882775,103423.28584961628,85873.40793258134,13705.804290768325,147192.09120802357,46376.612485835125,87464.32746952883,0.01486456661492428,0.026490611393277717,180521.20948126557,58580.38394918822,148717.738088667,0.012566552112659947,5538.526703203219,61109.513755915854,43263.19967774983,0.01769088712605319,43983.02942286528,108217.26166138632,78478.81454365236,104168.19370147075,120864.76779645024,0.015076948370542008,0.013095444956141457,69834.20304164664,9846.949212265523,17286.060434938947,262129.54904082176,97790.9777459771,158070.89374929742,0.01356605615657216,42385.30174984046,1377.776430819496,0.013321595981670958,0.013281355218869646,17069.485499678878,112016.90638013314,0.02171307894577175,0.014746864540603392,524.287282232896,37556.57408759643,549.5592497101387,40000.7360361908,0.015120079908622823,21042.518584781294,27968.26372635893,51623.52211175637,0.021259750680514004,0.04746299256848962,0.014561713712046048,41861.1780056683,0.002808143103988919,30452.466103892162,144068.61204597584,178932.5144680819,62742.16951819671,0.003110447472382954,90733.95568114704,8937.640531863348,25689.056553567538,0.004273585544948949,31102.790269533583,0.0026830409721703852,6313.840924563822,17191.28546553787,59036.22468660628,18276.225298002722,21754.875687306,0.003877739755374598,13074.503072294354,113610.7195093754,13936.649930002242,1249.061311928577,0.0022327835262667146,0.01855275029244017,0.002792683923497575,0.0028768447715779534,55131.02941161718,0.006970247037975901,14321.210576511121,0.0037899030522232043,90378.21838303721,0.020024346545126196,70217.06348092227,6.23299405964183e6
t5,52583.17216261528,30083.74011553527,2129.895580828291,67184.954053951,0.04942002749493896,25677.091561543115,4569.066700915461,27488.35795851884,0.013967855548269325,19148.586742425887,8369.337421558128,0.01733427449659934,2842.442620374448,0.015545203870314548,0.023640487303257508,50706.79352204752,7688.7165823945215,0.011903482425233815,81786.94603083647,71784.82039691388,89072.98442408121,40506.38757883022,0.013105312018596662,164433.07139040483,0.01593380146674921,171260.46589128813,137871.82700413774,89161.5436399172,84622.55179904179,0.03617654114558526,0.01292593223121741,48105.07620714993,17274.31096215331,52011.93747988673,34962.61165358277,115015.03767424978,2672.473696748162,0.013245320025836851,37529.55328211302,38193.80018395638,150078.04675220785,0.012339812412222666,8689.770199040133,0.011761728727490142,0.01746465371116853,99242.3707289288,68876.49976353877,25886.553561221757,0.03296633949705511,0.011868456441937637,0.04098866803023817,0.010781311403189766,62880.16692496669,46012.25964744277,5697.75020281011,21653.03306642976,14596.95346032518,91654.54025300748,0.011965745105338467,1935.4143242434159,0.013200957875585098,0.03300151360776622,0.031169506052826364,87959.59323026995,89796.251092013,85873.41128186513,8207.665636694293,147192.0517498165,31097.108664930896,70715.63824343741,0.012793935340890798,0.016879911969019674,103534.78265442075,0.02222685488646015,121481.56174754915,5530.029513769017,0.011623678972134273,53022.423230019296,0.01734815142129661,0.014180942406593181,70865.04417589502,76862.22647982588,0.08491580056072788,153871.94195206318,99470.12319871633,0.01789799138334044,28974.03170849235,65942.80253509142,10395.186096128375,22282.89258047348,262129.43791778042,97790.96058501728,158070.88404724596,0.01251830832000872,36117.08526748508,8474.021642959147,0.14234959888121357,0.012214417190277958,12425.348000043748,96293.92166198368,0.01992613203402689,0.01386121924668972,364.12146026625925,30037.77019149942,2456.1195681933714,43459.47576074765,0.014027684753682835,26174.670592038776,24425.41420066064,71130.3795127088,0.018747836894467833,0.04230664165195768,0.035676346732749435,40237.58868777794,0.0027098661893130297,29067.577570652084,144068.6120328582,178932.51446101305,62898.087611573545,119.99301810368176,90733.97092212456,9501.959886645313,29708.67960002349,3481.805534223149,31102.791972264316,0.002446177739132953,8636.818928998808,19401.506911859964,58663.97657120138,20028.162246784363,21754.867289951537,0.02611090791552647,4598.661972797105,102748.35655870594,23991.55731046077,1313.776066802378,0.00221845778014873,0.016197572514210796,0.002778408386444636,0.0028381597090492393,25307.11714726814,0.006707546011503998,0.05736524790087802,0.003739295835922574,80952.6347198903,0.013564187473945019,63341.72040601475,5.42495912368847e6
t6,34570.24915323309,34568.25063653516,0.010635355238300158,64555.70231916083,0.04319677000617632,25677.00879153307,13592.79226372989,0.19373901750882827,0.011945546155120439,14163.524853493009,0.03232809397890034,0.011177319286312467,7771.775456599606,0.012435794301584448,0.05644072966351816,50706.832444276406,10904.74613608716,107.99161573061885,81786.94460665667,71784.83092888318,101155.19696318587,51047.773195849884,0.011767909989863823,167425.81479966256,0.011709476842897417,195728.48853799968,137871.8733886297,73201.31325176153,82045.2893641754,0.021363766806860893,0.0185569381295888,87786.78713063269,46128.33049830452,57682.02486392433,23368.34310168966,92794.13982680831,23712.246261198336,1109.0509670871654,26685.4608607633,35541.04601773382,150078.04954081585,30483.236111934995,0.021829774130833538,37461.35750200725,0.011790907328717761,33538.57747125546,88296.24263218902,25886.530667093968,104518.46042854962,9495.558663864731,0.014473158932725858,0.010431564867249693,69786.00830841747,0.012280618361626179,3126.150049316351,0.012214172303333765,12738.526280435104,0.017088931084312017,54849.100960767944,10326.000549152903,0.011039325414733243,38063.653277804675,0.0139222808600956,87957.65363295014,86341.5939475483,85873.41662161674,5293.571294728826,140538.35809038018,0.08484875209999862,44047.958193001075,0.010865929099351135,0.013394959269901694,66457.684772933,0.021433228226487782,21840.001897126538,0.013545990533630703,86.27383197048417,53063.589439882424,10738.56616512693,0.012057619393139964,67667.35045172407,0.0863210605836903,67591.59736614682,74095.60081175914,96275.61417635118,0.01577757829183477,73064.63016532476,49155.37098685929,0.018886455834857662,13251.793339371912,177889.0530714162,97790.96206336976,158070.88007563064,0.011524085868017665,37210.0354812771,15923.390885447132,0.010689508423936697,0.010866799987430849,1265.8197636503367,59552.82818177192,0.017193695106751596,0.011989746388494774,134.24880802711616,24575.68033792682,3997.6977123742367,50720.846471199635,0.012507041743734673,47130.39283059068,13599.040730288674,94838.12861433807,0.016284723339215827,0.036055460427868356,0.01352182104662139,36136.87919199891,0.002650365044992551,33232.77793705275,144068.61239702394,178932.51445623947,64257.59578765989,1240.3922651145997,90733.96663102767,16489.293472794034,22765.075743661106,1074.63682397905,31102.792115271855,0.0025279523428513094,786.3726534943781,19401.50862686035,53755.36329474885,20140.265906500503,11348.281087719499,0.003084478280471102,2927.2410491850533,45577.31881804057,30798.94402200209,1429.491951647011,0.00219619382385288,0.014489056689206442,0.002757137723448151,0.0028595597634928534,0.009724482734441302,0.006549310168797305,0.033073283655899614,0.0036431406513849746,38736.13314478021,0.0130634980127015,56517.87374250107,5.00961531676071e6
t7,0.010706814070276151,35208.12125195779,0.019795144271703875,48186.28673154314,0.020022634499334856,13140.272280171035,0.02762008825176146,0.04246962636320597,0.011154350944948694,17662.338801082125,0.027190323522240066,15632.652034226372,18676.230545513885,0.011323989316394533,9623.307212376521,50706.83543411829,10904.749861754886,3607.1209544669605,81786.93868480317,71784.8364302779,88452.85589517359,42731.03026215278,0.011090133732607924,157574.80673259657,0.010930517705140894,172061.68851405897,137869.41734284422,87955.78921639585,79402.22946531785,0.014507237079774665,0.010128059720375648,24011.39385116534,6491.42385344956,60148.19015111097,44310.254469531734,115014.99576516346,0.013663858470685169,0.011079117088969566,28508.87399895725,8481.781108260744,145639.81951134565,48685.24027666408,42882.05121183045,61098.07071860457,0.01405651153316151,43134.97043657454,86965.72398107788,25886.46717481579,83729.31783877795,9495.568114797894,0.015072784349902817,0.012006357123584124,80502.6748433335,0.010632361424184774,39760.99454644147,0.01113172011224934,0.01799673141807962,24368.21511938019,26787.140652606788,0.018113247595004336,0.010878230550268271,38063.67710525864,0.013893618143480219,87959.62657630492,87547.04288280998,49683.018417432286,13705.805361009116,145222.99050760598,0.08369382251520997,46022.52714264269,0.018010339481381206,0.01311963178645784,18145.70254579496,0.012028089918573738,0.010538047627960671,0.010359560189498627,0.0746739391840774,58064.29712372922,87491.97219522206,0.011850716165765473,106924.86591267261,9.727681416301733,0.011238223051642234,126814.24629345776,0.016352582251851818,44583.0853635239,126507.75440257556,37106.18908815335,34574.4496831188,8739.144237954999,208161.24491866367,90065.68589482752,158070.89369407028,0.019963351563784933,0.012097405758593286,51103.16957662939,0.01569902737242894,0.011975152018144685,0.031155653388827514,147880.8922883176,0.016375437684235508,520.096414948407,12286.294180548932,25131.2418788973,2239.0800926662464,80828.86223410121,0.012238269037835803,27688.018221116705,15071.913419799175,154394.21478189726,0.011250762170103816,9850.173808360121,5857.731492130692,35123.84572262436,0.0025198891005958238,29781.969928457413,144068.6126864759,178932.51448073695,62166.371457803776,0.00506524084522994,72629.85103013179,9292.96743968049,12971.037311792872,0.013671654990357862,31102.791823857853,1300.6937660347005,0.002553294930536632,19294.510849023864,36775.30258604629,24963.833815158752,12796.531866069865,0.004097282787189025,11800.073936969944,73742.26407554597,30864.97356555784,1433.0545964907624,0.002197513006799696,0.014176620991116865,0.002752464524533067,0.0027935809215266414,0.011901400391034064,0.0064432167867094076,0.03236908728730422,0.0036685855153796875,58359.06430351857,0.013575816573063962,65854.93992515754,5.168442391728631e6
t8,0.010902089080437006,0.04747409327046585,0.026307545863063962,20525.41748342985,0.03161382290090248,0.01177324059168789,0.09668243031951268,0.019472532892988108,17517.396906480953,283.92004194162195,0.01061681626104117,64768.61772368849,27158.615304816092,0.010917436650610058,15051.497592391708,50706.83422611287,10904.747425812364,4726.67030930296,74227.75406912925,71784.83858841128,81926.06605863021,45537.82532056099,0.01107540428185343,132039.58678865337,0.013527316982381979,175010.3032971893,117620.24109908735,64955.95832327345,78980.88127882118,0.01091420372841143,0.01031514487096751,0.05569783987634002,27645.187861092818,57993.16173015157,47964.09471177355,115014.99756102958,0.011673517385967579,0.010741664238532048,25215.256083692424,0.016396250151094634,91081.26433984125,52210.76363178698,41681.400097393904,68873.4057156985,0.011596382866848725,52986.50240613308,59395.875071092654,25886.468384848427,101711.44417199066,9495.56826922309,0.012411594661915,0.010364569383386327,74424.47202305711,0.010542019177753924,16570.397863287675,0.010983395191453358,6740.5207332062055,25650.04240608128,28430.751378982353,0.010651580673828443,0.010847166390236463,38063.676418517345,0.014201531089756978,87959.65032113351,80753.30945971285,0.024634178404262717,13705.801325015556,144548.1658889526,0.08703114256545737,51599.60867926856,21683.929108922996,0.013195763265319476,23574.82252803341,0.01177643191338698,0.018330960464278605,0.010311612642876482,1028.4545799299822,51940.13697420533,73588.64703792901,0.011924731334264606,84978.5832304665,9256.395193420403,0.009858715784235327,94541.7807495073,0.012110917842522906,21001.48115228339,126507.73926084297,30561.55846596609,9754.407629458712,13553.641694223174,202383.1920013632,88732.86572769722,158070.89158749869,0.020919170485206553,0.011945410540985179,44977.38287003086,0.015406419150396531,0.011742059546179818,0.030497746005106435,200431.50174314782,0.020427144012666043,23600.852635030802,18277.506100976298,36464.62210309854,787.168602571773,101693.5524576845,0.012242488883686639,0.015000634254097003,14512.322663552593,132890.33374783135,0.011325137799450767,75153.40823140924,19372.823882455887,2045.2536311759961,0.002742917148546777,8341.520592767924,144068.6119132511,178932.51447962067,60605.90058315349,0.005674616722111824,45176.874596276735,0.011593940179732944,581.1193516474079,3400.6848085788174,31102.79164456199,7391.775491068461,0.0027095179959321187,19401.52668664266,3514.0871045297536,17665.233229105146,13239.388905502998,0.003986577235733026,8190.644342331209,80223.5844066508,33074.35308809213,1569.511673386067,0.002194487465763381,0.015543294882269939,0.0027534264382075716,0.0027943161206039602,0.012133363886541204,0.006318268583675628,0.051966121111777404,0.003679008417845188,63136.07469042992,0.020440114588197986,68387.37127865243,4.868698773737884e6
t9,0.010880282642483235,0.0473783550477751,0.026847810486924886,19945.43753615827,0.03085911742124817,0.011803943504670634,0.09125208400585465,0.020509116339793708,17517.401168278455,952.5835411836789,0.010823388057144556,57304.71168278606,17304.29008269496,0.011023256814020166,43955.151227220755,50706.834359257264,10904.747672828475,43.96117959434615,39863.12919806909,71784.83896518726,39245.3977122745,38448.98387373605,0.010920244419915659,92317.0159549934,0.013588440814386935,176712.18373023302,121031.94427987075,59108.56817619883,71102.16272198006,0.011107742911422693,0.01031042808967204,0.06205962939250343,28048.274090211722,3534.0924195434136,40042.48147479529,115014.998990854,0.011458868268562822,0.01086807540625457,26549.549731597093,0.016801365778677725,79005.00551869298,49085.134604912535,17046.995171996055,73944.74238308505,0.011759593311221221,27146.369868667796,41763.154683517896,25886.467555952684,154552.62856539854,9495.56819975972,0.012624530226734142,0.010681695654025032,48091.26425094383,0.010589655013952742,6956.4971901401195,0.011176096461765744,23645.900056672224,26354.764433363198,22438.53614973924,5273.325685122592,0.011124096611603431,38063.65892164322,0.014079408426038493,44160.38893552669,85408.94446838651,0.026031251906255513,13705.806661643071,147161.9435142956,0.08675183974223263,27357.99562823657,484.03738812644605,0.013275439198646686,18427.409023552304,0.014955275671299006,0.010891201425514222,0.08370421402883045,0.4233935890796447,46574.722778555544,61833.85316812157,0.0120626528838175,67573.78902878263,0.07525618522134273,0.010190879172354846,62938.32383116446,0.011901521238488375,44583.10384089775,126507.75996775809,14367.331087104461,0.011997298524210491,16290.648675117278,189371.217910978,97790.96805993603,158070.89433056262,0.019688174497259976,0.0119094757429247,50202.62429305988,0.015233508382662795,0.011730324609131799,0.029772221065533813,223829.6421704965,0.020022531673416017,34363.82042983433,18961.829976054,54346.390541273744,0.02489946071460604,124387.94696589108,0.01195488876457568,0.016710685507834964,14995.043685602248,146070.80115127072,0.011452094883787638,110794.29737558193,38524.69320488129,6.214033590904508,0.0027369546411023147,39.0269897047845,122904.25886063855,178932.51445916592,66117.74958085091,182.86106946307916,59101.80133168456,0.002887679880899407,0.011964109562913279,745.4348782271893,30734.244591583698,11470.678181716608,0.003086004834746848,19401.52493636722,19695.683698709792,16284.877505970382,5175.221656539115,0.0046482300274274906,5190.295372812735,60955.83068655535,32041.00963731788,1482.8216758678711,0.002198563416665936,0.015689508467210504,0.0027547693723586502,0.0027963589936570135,0.012634858724497761,0.006362533348342858,0.0504628545202515,0.0036880613458404625,49654.15208846535,0.01966266559589522,1620.858562993407,4.511013626785163e6
