Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64,Load_MW_z65,Load_MW_z66,Load_MW_z67,Load_MW_z68,Load_MW_z69,Load_MW_z70,Load_MW_z71,Load_MW_z72,Load_MW_z73,Load_MW_z74,Load_MW_z75,Load_MW_z76
500000,1,1,0,5000,50,24,144.0,1,3988.0129733232657,1098.5728091120886,2189.4103021350315,1458.4851479159252,4529.330472361553,3066.544459310407,3446.669894321637,2895.70919118843,838.16032285144,1059.6192701957352,2635.036008313428,3984.9281501403157,3053.4332783822356,2986.9593137299967,4097.628275463394,3168.8785534151475,1677.7294361604718,4439.828150002982,5401.395556153553,2247.5688350671544,2148.0028445135026,2426.5343282319122,3239.9785049455736,2866.6106626721994,3231.7189757049446,4063.417401264427,4363.1707177572525,2054.023025309282,1050.2406399559493,549.9441332115264,2456.3132302395866,2600.040977009288,2040.7222490371287,4788.9450554166915,2143.4192586228355,2076.585493583608,3677.7592723727253,2468.727376312522,4291.500567137093,3264.107035075033,2128.5971084729385,4633.7979400032145,2234.225059564534,2452.0673262082814,2296.166572308186,3221.81051345675,12981.008698906724,2199.8970704247777,2374.567285310992,3691.919143274587,2015.8521071469356,288.48828093541186,573.8737113499138,818.9037254794839,628.7846950859251,12129.861590335544,4808.92340610795,2698.6980158739566,2346.074117586783,3142.373145412745,3319.976907715377,3613.585559678811,985.5348964706121,880.077608206748,4094.498894813984,3653.9592402679305,1601.048820316712,1428.1461330217314,1620.3305055980263,1932.4928925371275,2235.558600504522,2439.2421993383737,1346.1267989786434,1780.6121003848625,2609.7288090716493,1521.447921949526
,,,,,,,144.0,2,3911.4504627675706,1077.4822327410081,2147.3776533503915,1430.1102319127392,4442.375662524132,3007.6724487546517,3380.5001753883093,2840.116903459317,822.0691870771958,1039.276529508115,2584.4481658528707,3908.4248628178825,2994.812978431372,2929.6151912131377,4018.961352968619,3108.0419160996926,1645.5201189004429,4354.591619668501,5297.698700900839,2204.4196487989466,2008.2133625560612,2268.618347601538,3029.124539228501,2680.0550340985706,3021.4025306744074,3798.9750078210677,4079.220733144129,1920.3496388983526,981.8922223603284,514.1544202140889,2363.3261497992435,2501.8275646651055,1963.4679306957223,4607.653021872844,2062.2772052026753,1997.9735239792933,3538.532689601961,2375.2703416907875,4129.039972221995,3140.5398203396253,2048.0161677078027,4458.379211334498,2149.6454295053018,2359.289621349631,2209.2420615478154,3099.844490543365,12489.594943767614,2116.616972521396,2284.6748089891857,3632.672300030364,1983.5022997489216,283.85870510791904,564.6643531345068,805.7621970898988,618.6941414820224,11935.205106788077,4731.751204786895,2655.390096627691,2308.4250026641225,3091.9452564414128,3266.698885691871,3555.595791470409,969.7193194864346,845.2994814028406,3932.7608498133063,3510.3723909227274,1537.7799928747431,1371.7099198593191,1556.299720310077,1856.126351719954,2147.2157779109934,2342.8503885671225,1292.9317533435226,1710.2474490772136,2506.599859234791,1461.9645111307352
,,,,,,,168.0,3,3927.0380456454677,1081.7761247670187,2155.93520195672,1435.1447859848506,4460.0790434585015,3019.658371452173,3393.9718593688804,2851.4350976470873,825.3452279278509,1043.418167681042,2594.747490867089,3924.000388294724,3006.747655197154,2941.2900475951733,4034.97737892475,3120.4278230080886,1652.0777069071783,4371.945171858668,5318.810643666833,2213.204516390226,1937.9471236651327,2189.240686942289,2923.13720098823,2586.281438272433,2915.6853814613555,3666.0510406214066,3936.4911284814157,1853.1577012256982,947.5363739903927,496.1644504791707,2289.024624408839,2423.607317207856,1901.7377028221274,4462.791235806605,1997.4404737363395,1935.1584613458895,3427.2833909729693,2300.593298600721,3999.225486677591,3041.803173767074,1983.6277953338988,4318.210502694085,2082.0618952420164,2285.296993587068,2139.7848454923987,3002.3872811422043,12096.929738574563,2050.0718330968,2212.8460329635873,3520.1446310435717,1922.0602334544074,275.06574057966236,547.1729974280146,780.8024609353403,599.5291290488848,11565.493582307581,4585.177858438031,2573.135262213439,2236.917951655533,2996.1674476370367,3165.507811838172,3445.4556864143847,939.6807567426508,831.8100249085554,3869.9393854440614,3447.1146116829323,1513.2397953418515,1349.8199015821297,1531.4639819991678,1826.505919499389,2112.950083086046,2305.4627186448624,1272.2988923730773,1682.954981778403,2466.5990432099147,1432.8957070613583
,,,,,,,72.0,4,4032.024964709794,1110.6967364562545,2213.572788130444,1472.7584264769628,4579.316482836677,3100.387060096059,3484.7075868356314,2927.6664419345157,847.4103192214723,1071.313303144564,2664.1164507599933,4028.906097856349,3087.1311834348226,3019.9236075894382,4142.849990169078,3203.8505202213455,1696.2449763833677,4488.826405647552,5461.005737490163,2272.373163135048,1933.595287020328,2184.3245473536126,2916.5730301685567,2580.473707851387,2909.137944108658,3657.8185895613765,3927.6513793548047,1848.9962670283564,945.4085949436708,495.05026811349927,2312.205289712685,2447.5375043708314,1920.9963616255222,4507.985364249511,2017.668303200408,1954.7555679847048,3461.991060877473,2323.8911183620367,4039.725141884565,3072.6071337827766,2003.7157455414742,4361.94047918908,2103.146674980121,2308.484658121225,2161.4541791089864,3032.792080465808,12219.433832556935,2070.832653350327,2235.255248172681,3404.7116337526636,1859.0318075774967,266.04575241145636,529.2300360137799,755.1982945705167,579.8692991794936,11186.236552190208,4434.820165338021,2488.7567075093957,2163.5646743091434,2897.9167713484617,3061.7041062850317,3332.4718972566147,908.8666346721719,844.5832271538724,3929.1787960791016,3497.680122111546,1536.476973088819,1370.5476185132632,1554.9810087960411,1854.553585451269,2145.396360144152,2340.865202360342,1291.8362033703615,1708.7982923821844,2504.4759225047096,1453.0217943044015
,,,,,,,288.0,5,4258.847135490148,1173.1791477202958,2338.0976578845202,1555.0610844015346,4836.926619209933,3274.799799446934,3680.740334773877,3092.3627568714273,895.0815140328623,1131.5801936577566,2813.9867219823814,4255.552815458168,3260.79821168065,3189.809863535529,4375.906638091862,3384.083613036654,1791.6674925573514,4741.346010310052,5768.215435538062,2400.2058566972064,2011.2914910835611,2272.0956168735806,3033.7674889100867,2684.1629413921273,3026.0336450926047,3804.797961371968,4085.473238068709,1923.2930920653303,983.3972369335373,514.9425003949862,2459.8828766176894,2602.524495606802,2043.6879356852312,4795.904607431924,2146.5341906847516,2079.6032998902806,3683.1039893030174,2472.31506392343,4297.737205617614,3268.8506111875245,2131.690500030003,4640.532023882421,2237.471956094943,2455.991305574689,2299.503484930836,3226.492621298466,12999.87340108845,2203.094079422789,2378.018133840775,3300.1520437153804,1801.9404521873043,257.87541739448085,512.9772424801653,732.0059563859954,562.0613605071535,10842.704290644593,4298.625671754191,2412.326334456464,2097.1210342851928,2808.9209851012406,2967.6783685508854,3230.1308094550145,880.955101339488,900.5704403516953,4189.325467380894,3728.432951698448,1638.3296521176405,1461.4008814155625,1658.0603151336206,1977.4914842703447,2287.614153969007,2496.0405776251196,1377.4717056748307,1822.0741078622616,2670.497011970616,1548.4642457523528
,,,,,,,120.0,6,4795.12858159413,1320.9079094365761,2632.514986285334,1746.230907164694,5446.000840698085,3687.168292854262,4144.2255670182885,3481.7584598202543,1007.7917368862464,1274.0707422511466,3168.3288294412896,4791.4194349635845,3671.403600843128,3591.4762755842485,4926.928421104012,3810.213313381006,2017.277382417548,5338.3845550214055,6494.559166610449,2702.4439569001115,2280.362362288375,2576.0569019810396,3439.6253491716507,3043.250653531225,3430.8568699543234,4313.804391086592,4632.028447329449,2180.5915243558916,1114.9562640306128,583.8315836623955,2678.8652474441897,2827.5176503437187,2225.6200250699035,5222.843050345105,2337.6218036538735,2264.7326273341723,4010.9792938153696,2692.4041667635483,4680.328058320699,3559.8484729548645,2321.456706981176,5053.6389722552285,2436.6549818533695,2674.72780345779,2504.208648508407,3513.7197133499712,14157.14114220638,2399.2167364202014,2589.712786242361,3417.9391295988307,1866.25425066595,267.0793550860503,531.2861243984486,758.1322824885794,582.1221240074096,11229.695714862297,4452.049691190595,2498.425666883332,2171.9702453289615,2909.1753405203,3073.5989989387704,3345.4187380365643,912.3976326221042,1045.9302766638277,4863.304309734112,4295.005189109701,1902.7701881989096,1697.2835877821456,1925.685550551379,2296.6756654856517,2656.854809924371,2898.923055186293,1599.8075194740345,2116.1725846734244,3101.538262882,1770.471380721402
,,,,,,,24.0,7,5394.562629175281,1486.033235916501,2961.602953238523,1960.3260275550906,6126.799755100844,4148.097374856646,4662.2909039617425,3917.009471359386,1133.7747355549316,1433.341003280616,3564.3983285925924,5390.38980646736,4130.361954227737,4040.4429970449296,5542.838630414304,4286.524125525203,2269.455134648039,6005.730467693915,7306.437268363891,3040.2736711101284,2680.9436112035437,3028.5815126402226,4043.849240227058,3577.8451404511993,4033.540439782596,5071.5914769711535,5445.716557354187,2563.646468339486,1310.8157378639494,686.3907159241575,2886.5657742271865,3041.237333540412,2398.1790784613418,5627.785871532825,2518.8646933821615,2440.324198595915,4321.962652174009,2901.1544069208317,5043.208050751882,3835.854294431654,2501.4462676153516,5445.462889097427,2625.576214034022,2882.613298765878,2698.3675208698,3786.1490322169257,15254.787126698597,2585.2352678746697,2790.501052842192,3938.547133508976,2150.515281959015,307.7599069699983,612.2096862984115,873.6082225217677,670.7888396503354,12940.161948434863,5130.169638144382,2878.976739153695,2502.796819610554,3352.2903023903905,3541.7583718597366,3854.9807010283866,1051.3707075913717,1216.000887889882,5652.051396825155,4948.296058992,2212.1648915124597,1973.265708450739,2238.8063436235034,2670.120283466794,3088.865365438436,3370.2944509270387,1859.939812805458,2460.2669962425066,3605.855345867083,2022.6108698737812
,,,,,,,168.0,8,5788.607426130634,1594.5802499494007,3177.9326749517395,2102.5808479887623,6574.330672028747,4451.094354791115,5002.8470520141045,4203.126680026612,1216.5910945808835,1538.0391230716014,3824.759123349299,5784.129800114466,4432.063454605553,4335.576384400163,5947.714219211668,4599.632461168481,2435.2270516186386,6444.417902797795,7840.134582868422,3262.3498813593505,3036.7327865430934,3430.5058630344247,4580.510204916851,4052.6625020126985,4568.833320077544,5744.644554746279,6168.419934879995,2903.8690893192966,1484.7746555688716,777.4819218495635,2982.7699440284778,3142.569032129177,2478.106176837568,5815.350093821603,2602.814031445723,2521.6559193825283,4466.006079380188,2997.844789359572,5211.289320647351,3963.6965834417288,2584.8150803493504,5626.9506070014,2713.082059147915,2979.495500123629,2788.2993722867923,3912.3347317375838,15763.202392245386,2671.3966205482434,2883.5035534725394,4518.532289256297,2467.197270965452,353.0802170728859,702.3628617011431,1002.2545948938933,769.5683024336405,14845.712797044245,5885.631522313745,3302.9309828728537,2871.355314563219,3845.9440654734212,4063.3129488035265,4422.6599767028965,1206.1941442754382,1390.727151089174,6463.1644894367655,5596.286795521712,2530.029220953532,2256.80279183827,2560.498764017844,3053.787882690586,3532.702133955984,3854.5695560194654,2127.1931824510184,2813.780933276033,4123.978020574874,2263.2732613001454
,,,,,,,192.0,9,5948.953165613854,1638.7504853324544,3265.962131800806,2160.96019507491,6756.4411247293365,4574.39067859038,5141.42705207597,4319.554243719545,1250.290944279817,1580.6431558392817,3930.705819842256,5944.351508328067,4554.832618074501,4455.672834513093,6112.467253168112,4727.04332463647,2502.683393910616,6622.929741305018,8057.308090325027,3352.7177137531407,3323.847857890912,3754.851138685698,5013.585356551813,4435.831046904856,5000.804453837832,6287.785537950458,6751.627761263589,3178.422248914408,1625.1561807926703,850.990785771019,3056.718911427,3220.854462148684,2539.543497123153,5959.524516617541,2667.3431145188165,2584.172926891558,4576.727504539575,3072.1674926557375,5340.487841716877,4061.9647281764564,2648.897932160325,5766.454220997862,2780.3449119354523,3053.402841530743,2857.4270163761807,4009.329511853756,16154.004425158942,2737.6260067197477,2954.9915043021674,4952.104183894044,2703.9350713517156,386.9597268475939,769.7574882389321,1098.425075862107,843.4115694137795,16270.220450298386,6450.3822528680785,3619.860895104808,3146.873753331109,4214.978333361087,4453.204661168149,4847.0325250366095,1321.933469671926,1507.5163982818647,7005.439978040661,6031.320197256674,2742.4937637679336,2446.32256866769,2775.522050908073,3310.236164745587,3829.368249668474,4178.26516861163,2305.8287183723546,3050.0741244114834,4470.2977776104735,2425.6477979599176
,,,,,,,168.0,10,6122.479586135117,1686.5515851945545,3361.227752477332,2223.4716547044995,6953.521350980711,4707.82216049049,5291.39855168591,4445.552340832619,1286.760975940242,1626.7493089899856,4045.3615061360883,6117.743701779686,4687.69360675273,4585.641407299836,6290.76325371672,4864.9275673777665,2575.684756599748,6816.115543673742,8292.333613173745,3450.5139284372667,3488.5807928707736,3940.944991071567,5262.063225748396,4655.6748849075675,5248.648889009161,6599.413931951401,7086.244599540503,3335.9477578982223,1705.700405696445,893.1666663556697,3077.123185103433,3242.4176841232074,2556.4955108641043,5999.305659184982,2685.1482195873546,2601.4228524719515,4607.27817184567,3092.674889586105,5376.136777780757,4089.0792409710907,2666.5799115900636,5804.946576806221,2798.9043294383105,3074.6378379978914,2876.500973075272,4036.0926723947327,16261.835974083006,2755.900264744175,2974.716725235591,5314.638754444535,2901.885256728179,415.2883470750824,826.1100387644904,1178.838784490746,905.1562017609455,17461.333803682257,6922.603045734195,3884.864350241435,3377.2506771113344,4523.5492576963525,4779.215702153381,5201.874990918588,1418.7098232757241,1555.6248142448405,7228.765165413945,6208.531595128174,2830.013230113558,2524.3905108090134,2864.095526621685,3415.873633616732,3951.5724530200455,4311.603497586606,2379.4131699796594,3147.4092073146976,4612.95555808352,2490.9565260509357
