Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes,Pipe_length_miles,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,0.0,0.00028310932,1.4015313e-05,200.23566,192.83977018343904,DE1 0,8.585665971628911,49.23105928069339,DE1 11,8.05974729506191,47.888021872066325
2,0.0,2.0605564,0.10200775,1062311.1,140.56480167516264,DE1 0,8.585665971628911,49.23105928069339,DE1 12,9.580929922241054,48.46048443999676
3,0.0,35.147087,1.7399547,21027702.0,163.12173380258994,DE1 0,8.585665971628911,49.23105928069339,DE1 18,6.961294780838478,49.74481058636263
4,0.0,0.00032480998,1.60797e-05,140.45416,117.90022256580347,DE1 0,8.585665971628911,49.23105928069339,DE1 7,8.614807726224376,50.079091212058565
5,0.0,0.00011481539,5.6839303e-06,74.395905,176.6681518032778,DE1 1,9.745630895271958,51.04223934252158,DE1 14,11.750300384615384,51.22456746153846
6,0.0,4.1286487e-05,2.0438854e-06,26.16816,172.81229164524115,DE1 1,9.745630895271958,51.04223934252158,DE1 15,10.358713631896448,52.22589869741621
7,0.0,4.038106e-05,1.9990623e-06,24.73383,167.00251144715912,DE1 1,9.745630895271958,51.04223934252158,DE1 7,8.614807726224376,50.079091212058565
8,0.0,10.588732,0.52419466,6264997.0,161.31928818922682,DE1 1,9.745630895271958,51.04223934252158,DE1 9,8.718996773319988,52.01133541053488
9,0.0,0.38104358,0.018863544,155559.44,111.30920270358725,DE1 10,8.442956595095849,53.183449756764006,DE1 16,7.383087924978485,52.70033777690464
10,0.0,0.858456,0.04249782,407694.06,129.48686174027887,DE1 10,8.442956595095849,53.183449756764006,DE1 5,9.656115621028528,53.772222705953226
11,0.0,0.27727282,0.013726378,167363.45,164.5745524589509,DE1 10,8.442956595095849,53.183449756764006,DE1 9,8.718996773319988,52.01133541053488
12,0.0,70.24686,3.477567,41711388.0,161.896381937343,DE1 11,8.05974729506191,47.888021872066325,DE1 12,9.580929922241054,48.46048443999676
13,0.0,84.27121,4.171842,28280588.0,91.499464775641,DE1 11,8.05974729506191,47.888021872066325,FR1 17,7.098681162538576,48.02632462435081
14,0.0,0.00016650814,8.242977e-06,136.35535,223.27805713822065,DE1 12,9.580929922241054,48.46048443999676,DE1 19,10.723084073001646,49.88281742234528
15,0.0,25.321121,1.2535208,15639247.0,168.4000708436932,DE1 12,9.580929922241054,48.46048443999676,DE1 4,11.399736085399406,48.35883243095018
16,0.0,29.556929,1.4632143,36995136.0,341.2673079559072,DE1 13,12.50484475,48.817594875,DE1 14,11.750300384615384,51.22456746153846
17,0.0,4.1108153e-05,2.035057e-06,33.012997,218.9607841598671,DE1 13,12.50484475,48.817594875,DE1 19,10.723084073001646,49.88281742234528
18,0.0,3.551218e-05,1.7580288e-06,15.623547,119.95314374032289,DE1 13,12.50484475,48.817594875,DE1 4,11.399736085399406,48.35883243095018
19,0.0,120.152115,5.948125,80925496.0,183.6383195155129,DE1 14,11.750300384615384,51.22456746153846,DE1 15,10.358713631896448,52.22589869741621
20,0.0,1.581925e-05,7.831312e-07,20.994131,361.8439803613993,DE1 14,11.750300384615384,51.22456746153846,DE1 17,12.626970151251394,53.77264364752804
21,0.0,0.0002203181,1.0906837e-05,167.57567,207.3815449374159,DE1 14,11.750300384615384,51.22456746153846,DE1 19,10.723084073001646,49.88281742234528
22,0.0,2.2249316e-05,1.1014513e-06,19.541307,239.4673588320574,DE1 14,11.750300384615384,51.22456746153846,DE1 3,13.553525737215796,52.53973417915259
23,0.0,17.059343,0.84452194,10331545.0,165.1248065363619,DE1 14,11.750300384615384,51.22456746153846,DE1 6,13.6417236,51.1474873
24,0.0,150.12897,7.4321275,122688424.0,222.8170537351163,DE1 15,10.358713631896448,52.22589869741621,DE1 5,9.656115621028528,53.772222705953226
25,0.0,5.6751203e-05,2.8094655e-06,29.781893,143.0825181967328,DE1 15,10.358713631896448,52.22589869741621,DE1 9,8.718996773319988,52.01133541053488
26,0.0,134.01248,6.634281,89846490.0,182.79538940010605,DE1 16,7.383087924978485,52.70033777690464,DE1 2,7.690041449570495,51.398817744468026
27,0.0,37.12343,1.8377935,30035472.0,220.5950436523095,DE1 16,7.383087924978485,52.70033777690464,DE1 8,6.782045751405716,51.15711694730057
28,0.0,32.252033,1.5966352,17557636.0,148.42885346805636,DE1 16,7.383087924978485,52.70033777690464,DE1 9,8.718996773319988,52.01133541053488
29,0.0,49.11618,2.431494,33859316.0,187.95892973661057,DE1 17,12.626970151251394,53.77264364752804,DE1 3,13.553525737215796,52.53973417915259
30,0.0,59.206425,2.931011,52989176.0,244.021272377514,DE1 17,12.626970151251394,53.77264364752804,DE1 5,9.656115621028528,53.772222705953226
31,0.0,5.955127,0.29480827,3388020.8,155.11878475372552,DE1 18,6.961294780838478,49.74481058636263,DE1 7,8.614807726224376,50.079091212058565
32,0.0,2.312887,0.11449935,1670637.1,196.9414297977336,DE1 18,6.961294780838478,49.74481058636263,DE1 8,6.782045751405716,51.15711694730057
33,0.0,65.14999,3.225247,36463412.0,152.59922659092277,DE1 18,6.961294780838478,49.74481058636263,FR1 4,5.960518625870406,48.86187900010679
34,0.0,0.00035591127,1.761937e-05,287.94235,220.58356912325235,DE1 19,10.723084073001646,49.88281742234528,DE1 4,11.399736085399406,48.35883243095018
35,0.0,40.57162,2.008496,28331150.0,190.3930953423552,DE1 19,10.723084073001646,49.88281742234528,DE1 7,8.614807726224376,50.079091212058565
36,0.0,103.939095,5.1454997,76493370.0,200.6569475504952,DE1 2,7.690041449570495,51.398817744468026,DE1 7,8.614807726224376,50.079091212058565
37,0.0,6.849894e-05,3.3910367e-06,21.554916,85.79694787282119,DE1 2,7.690041449570495,51.398817744468026,DE1 8,6.782045751405716,51.15711694730057
38,0.0,4.2291227e-05,2.0936252e-06,19.062067,122.89354380967706,DE1 2,7.690041449570495,51.398817744468026,DE1 9,8.718996773319988,52.01133541053488
39,0.0,0.08888077,0.004400038,63130.895,193.6615966459989,DE1 3,13.553525737215796,52.53973417915259,DE1 6,13.6417236,51.1474873
40,0.0,3.2575805e-05,1.6126635e-06,30.711988,257.05269595978893,DE1 5,9.656115621028528,53.772222705953226,DE1 9,8.718996773319988,52.01133541053488
41,0.0,0.0002294499,1.1358906e-05,226.14386,268.7238914301739,DE1 7,8.614807726224376,50.079091212058565,DE1 9,8.718996773319988,52.01133541053488
42,0.0,19.800163,0.98020613,23139554.0,318.63654169199424,ES1 0,-5.521155105994543,41.91726952615551,ES1 5,-3.650686811360254,40.11061009553195
