Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.024755558,0.016766813,71822.12,0.027692087,0.037748404,0.05003179,0.01957334,0.014427341,774133.56,0.014427233,0.01882411,0.037728522,0.014292684,0.02543328,0.05437464,743171.6,0.03306957,0.022567594,0.01411288,0.0137232095,0.358951,0.27252233,263349.75,270231.72,0.25016034,369345.1,0.12281536,0.24039689,44252.008,165236.88,0.018742431,0.033473488,1.1617662e6,0.026138224,0.040799942,0.023539893,465404.94,0.016731983,0.026796812,0.020154934,0.051079594,0.019122548,157636.73,0.017117986,0.06053129,0.06699089,0.015705567,0.05122166,0.04956138,0.018981626,275185.12,0.017976236,0.02387974,0.020615594,0.022693098,0.018711185,253109.08,0.019173855,0.02236316,0.016336756,0.017938908,128763.914,0.02250132,256328.06,0.061737653,0.20464182,1.3152943,323090.8,66578.89,231696.47,0.045534782,567423.3,400015.53,312822.38,0.14772937,243443.34,7.5448105e6
t1,8.29823766385901e-7,8.12830320803601e-7,3.670207824310129,8.312662098874396e-7,8.405640106089793e-7,8.485856217811021e-7,8.225109553028238e-7,8.11538625059383e-7,89.49930915688309,8.097892551115e-7,8.170543508025001e-7,8.341646960578376e-7,8.058336854768558e-7,8.211885119629502e-7,8.496859236964367e-7,57.49686587804711,8.346483075031322e-7,8.203325520122451e-7,8.07220959361175e-7,8.045101151736344e-7,6.275438027431217e-7,6.239614250771658e-7,6.173526184680664e-7,6.13451428772679e-7,6.538565264535606e-7,6.326177492079252e-7,6.564762108745814e-7,6.204557658189029e-7,6.298136455116871e-7,6.252863649370145e-7,8.033877430117794e-7,8.27178465047538e-7,0.0002182839189100977,6.446081509845536e-7,8.095633466118406e-7,6.433458283672732e-7,8.413747068990031e-7,8.09088684130794e-7,8.11701158858782e-7,8.218037875467882e-7,8.122370460845275e-7,6.438435282977428e-7,2.242715484880884e-6,8.115302709167841e-7,8.190537036917202e-7,6.531424439093074e-7,7.997635798260395e-7,6.499185626347276e-7,8.05170947932864e-7,6.529733768877736e-7,8.512003653019049e-7,6.522719959060772e-7,6.508941925456892e-7,6.431637927657009e-7,6.468617619939314e-7,6.696096025655225e-7,8.519518137279348e-7,6.462016209671107e-7,6.531552377221824e-7,6.68336767770982e-7,6.479602997381389e-7,8.702845532017568e-7,6.461169328354842e-7,78.13378587665586,2.10121542863127e-6,0.00010491699633818848,0.0005348464901129721,105.79102025249188,24.281249779434813,89.86375978032046,8.380890906479983e-7,175.5887616995557,116.34382946833311,121.79509757720523,7.6356005311807e-5,72.9681829338538,935.4330528725795
t2,8.298327229741999e-7,8.128294173396987e-7,4.062430640993441,8.314244029489578e-7,8.407292403358744e-7,8.485812315786397e-7,8.225156137985431e-7,8.127148864781075e-7,106.50843931375836,8.097799842825862e-7,8.170527091401416e-7,8.341658683870818e-7,8.058352939414621e-7,8.21180391359165e-7,8.496835379936487e-7,86.43275945393322,8.346346674403186e-7,8.203369956589498e-7,8.072268687952932e-7,8.045182712342129e-7,6.276049435837239e-7,6.24004198276538e-7,6.173915665742794e-7,6.134930746162903e-7,6.538572110960134e-7,6.326634340024596e-7,6.565569869368289e-7,6.20487510398145e-7,6.298576654604585e-7,6.252865678923579e-7,8.03391835728522e-7,8.271826409213506e-7,112.95280234810075,6.44648313132317e-7,8.097291596142872e-7,6.436404089985946e-7,8.41651367147297e-7,8.090985937734158e-7,8.11874604264472e-7,8.219374883546963e-7,8.140796717488608e-7,6.438447922312728e-7,2.2632037397219333e-6,8.116792748712299e-7,8.190570141331295e-7,6.53289701878695e-7,7.99771942442645e-7,6.500509687244351e-7,8.067925682675514e-7,6.52989688811624e-7,8.513839760607987e-7,6.522326651899629e-7,6.50897842920159e-7,6.431459045878076e-7,6.468491585480331e-7,6.696192843655462e-7,8.51947655700254e-7,6.461710900987555e-7,6.531741710006659e-7,6.683417254083297e-7,6.47982009996091e-7,8.702129370825721e-7,6.454328074004314e-7,78.13378587667052,2.105154315623455e-6,0.0001049170233320564,0.0005348464934982359,105.79102025251855,24.281249779465256,89.86375978034822,8.380821812353292e-7,175.58876169955175,116.34382946833382,121.79509757719535,7.635603240383702e-5,72.96818293394338,1094.7228835171486
t3,8.298332477974447e-7,8.12830307199355e-7,3.9018922725326965,8.31419211589982e-7,8.407234728556733e-7,8.485820894922463e-7,8.225158774646579e-7,8.127731258048356e-7,106.507782852081,8.0978050801669e-7,8.170533475428796e-7,8.341666513705613e-7,8.058355902730992e-7,8.211811741381391e-7,8.49684046090055e-7,85.84248876142247,8.346359447987855e-7,8.203374643237847e-7,8.072260740772646e-7,8.045181481313908e-7,6.276656819188659e-7,6.240537352206263e-7,6.174340039353176e-7,6.135416481349694e-7,6.538587805134268e-7,6.32708411108641e-7,6.566371604778935e-7,6.20527394287757e-7,6.299017478092851e-7,6.252064046834388e-7,8.033923078444191e-7,8.271826718969596e-7,143.96251121368587,6.446970428041882e-7,8.097655410390315e-7,6.436924324928813e-7,8.4174286463105e-7,8.090988740204834e-7,8.119132642844268e-7,8.219334270924059e-7,8.144234536362415e-7,6.438453103778488e-7,2.263285996739267e-6,8.116754690951095e-7,8.190686527821865e-7,6.533190099458963e-7,7.997713880214215e-7,6.500785260337804e-7,8.073740460431056e-7,6.529900062237731e-7,8.513834343703523e-7,6.522249740528791e-7,6.509389551660258e-7,6.431510184741668e-7,6.468533346622058e-7,6.696191680145292e-7,8.519477644643905e-7,6.461749175550062e-7,6.532133790394314e-7,6.683410170561011e-7,6.479828118962322e-7,8.702277928661079e-7,6.460272655738089e-7,78.13378587667091,2.1051632064980197e-6,0.00010491702901718834,0.0005348464962598818,105.79102025250722,24.2812497794652,89.86375978035858,8.380827488449234e-7,175.58876169955846,116.34382946833573,121.79509757720442,7.635602660256428e-5,72.96818293398215,1124.98112686257
t4,8.298358864145726e-7,8.128395561701108e-7,3.934495426625821,8.314188417537271e-7,8.407233140153084e-7,8.485853680953197e-7,8.225187346565227e-7,8.127429959497804e-7,106.48024690145361,8.097846258728999e-7,8.170566095950005e-7,8.341698243908494e-7,8.058386007222445e-7,8.211854415250269e-7,8.496868092715195e-7,85.89084470974,8.346413391194499e-7,8.203397841468954e-7,8.072302340395778e-7,8.045223559763891e-7,6.276679991672793e-7,6.240569056043107e-7,6.174368267003393e-7,6.135440191233503e-7,6.538599430876396e-7,6.327115105999756e-7,6.566391264973466e-7,6.205318834645171e-7,6.299046292733212e-7,6.252068115498592e-7,8.033937372995923e-7,8.271859522751503e-7,31.009938125114065,6.446438501585833e-7,8.097341555763954e-7,6.436331324734118e-7,8.416507460218151e-7,8.091012786922259e-7,8.11873930584372e-7,8.219326461865918e-7,8.141721978747189e-7,6.438472986087396e-7,2.2538395831561425e-6,8.11671867674315e-7,8.190743320359057e-7,6.532994104652897e-7,7.997690632395159e-7,6.500611115438307e-7,8.071146018233297e-7,6.52981034281777e-7,8.513028105360781e-7,6.522149870986718e-7,6.509049724567191e-7,6.431499819045075e-7,6.468561142960892e-7,6.695948167232215e-7,8.518999595758186e-7,6.461653652846985e-7,6.531724971055964e-7,6.683220405640365e-7,6.479701037271285e-7,8.698725632291198e-7,6.459449154295846e-7,78.1337858766639,2.10521477999288e-6,0.00010491703146310314,0.0005348464987556724,105.7910202525154,24.281249779468364,89.8637597803558,8.380864645623696e-7,175.5887616995415,116.3438294683386,121.79509757719872,7.635603618854299e-5,72.96818293396714,1012.0819769148816
t5,8.298226172379444e-7,8.131955604903847e-7,3.6701654987518504,8.310430155834425e-7,8.403253902514433e-7,8.485869496708293e-7,8.225202908129461e-7,8.115229968136181e-7,64.78726256043555,8.097843044952702e-7,8.17057842014503e-7,8.341715943966698e-7,8.058404489374649e-7,8.211874871786254e-7,8.496878957990029e-7,54.05019220406659,8.346441989749187e-7,8.203407422461935e-7,8.072323964807959e-7,8.045245102331703e-7,6.276065671823307e-7,6.24013157974384e-7,6.174015928063723e-7,6.13499549518291e-7,6.538592998357213e-7,6.32672980853979e-7,6.56561361255128e-7,6.204898562774258e-7,6.298665359112681e-7,6.252904324685685e-7,8.03390388096649e-7,8.271876413800571e-7,3.273713631219089e-5,6.444125312912158e-7,8.09438018932305e-7,6.416044300206212e-7,8.407869302094226e-7,8.090903531364287e-7,8.11511066671947e-7,8.21618003399294e-7,8.114737847921226e-7,6.438119997087924e-7,2.0534894461917496e-6,8.112967823343039e-7,8.190609196745972e-7,6.530883438050047e-7,7.995574135932878e-7,6.498981774882295e-7,8.050406670980363e-7,6.528046300643097e-7,8.499006995879547e-7,6.515774633701177e-7,6.507013856696339e-7,6.430127568685621e-7,6.46710702865066e-7,6.676472483551524e-7,8.511727957618865e-7,6.461654755390637e-7,6.529820823869493e-7,6.665407159024783e-7,6.477227383371231e-7,8.640070224314579e-7,6.453582125768494e-7,78.13378587666013,2.1018098511289686e-6,0.00010491700320003797,0.0005348465298376893,105.79102025250376,24.28124977948025,89.86375978033333,8.380886413034361e-7,175.58876169957966,116.34382946832436,121.79509757723382,7.635600696555176e-5,72.96818293392099,907.2741045226754
t6,8.298167430054551e-7,8.13350641251208e-7,3.2768296876310554,8.30604502566154e-7,8.401525481511667e-7,8.48583695344682e-7,8.225361403060555e-7,8.114984018064581e-7,3.784507104456311e-5,8.09755375810619e-7,8.170578058650945e-7,8.341743784096427e-7,8.058384755941287e-7,8.21181119550216e-7,8.496875125755133e-7,52.56699575515369,8.346329661153284e-7,8.203456189724846e-7,8.072432787734745e-7,8.045370422046549e-7,6.27179122173533e-7,6.237559631565209e-7,6.195569098755282e-7,6.155178063226195e-7,6.513246496013597e-7,6.324076203617485e-7,6.560260433228795e-7,6.226118655090655e-7,6.296599319913931e-7,6.252951125488641e-7,8.033866423939505e-7,8.271941234072397e-7,1.2133730139724438e-5,6.444059769694848e-7,8.088711179064478e-7,6.380040748654761e-7,8.392921744577582e-7,8.083673592647299e-7,8.108757347514194e-7,8.212088752900867e-7,8.060003087586931e-7,6.434361109625368e-7,1.7913834213386813e-6,8.108608850385069e-7,8.157583716153934e-7,6.526675130609725e-7,7.985244527705867e-7,6.495016797829069e-7,7.992979053277259e-7,6.52474572969923e-7,8.473198787718025e-7,6.512304778429621e-7,6.504087678560041e-7,6.426887966065295e-7,6.463488613732744e-7,6.635995526627254e-7,8.49571243794422e-7,6.46164700131003e-7,6.526498102064009e-7,6.62809797436958e-7,6.472586407750281e-7,8.430048153530638e-7,6.450643383147828e-7,78.13378587658399,1.9475403415023576e-6,0.0001048932261897555,0.0005348333278960472,105.79102025246569,24.281249753238196,89.86375978028951,8.380842368758015e-7,175.5887616995633,116.34382946832963,121.79509757721839,7.632306582462957e-5,72.96818293390436,840.6103263723857
t7,8.298018424235008e-7,8.133465360949035e-7,2.5864854433620077,8.294931652954001e-7,8.401448335686446e-7,8.485833688069021e-7,8.231640528006226e-7,8.114876899863552e-7,7.258997015450728e-6,8.085913767810713e-7,8.170513046624416e-7,8.341708178716749e-7,8.055524404019908e-7,8.211815090254033e-7,8.496724995902853e-7,2.077150730859676e-5,8.346446862282674e-7,8.203277774305651e-7,8.072185629023062e-7,8.045069013582108e-7,6.271673433416579e-7,6.26051484222183e-7,6.195481609708498e-7,6.155138327671804e-7,6.50830341879676e-7,6.34931448151703e-7,6.55147392343214e-7,6.226490889132022e-7,6.320522026592159e-7,6.276479209720111e-7,8.033678125512543e-7,8.271702970952289e-7,5.623383189392825e-6,6.443966116501226e-7,8.078061542861963e-7,6.316027706426134e-7,8.36063003356842e-7,8.067406289341289e-7,8.094747064650037e-7,8.203088252988046e-7,7.937604112850897e-7,6.427368899559883e-7,1.477368668503149e-6,8.099192775192687e-7,8.032103173160332e-7,6.518152817013244e-7,7.895193404581631e-7,6.487131350960848e-7,7.871089944247965e-7,6.518144024696974e-7,8.420657835986182e-7,6.506351812843062e-7,6.497966689960686e-7,6.421199016140839e-7,6.456376892973232e-7,6.560249976393446e-7,8.463384026058907e-7,6.461488587663976e-7,6.51905617514485e-7,6.562100235631725e-7,6.463176473249009e-7,8.39334094769293e-7,6.445088345117714e-7,78.13378587639622,1.750427944127108e-6,0.00010484576351520301,0.000534805733866526,105.79102025101544,24.28124970923466,89.86375977662215,8.380877597889031e-7,175.58876169955965,116.34382946830773,121.7950975771988,7.626568021814727e-5,72.96818293392141,787.3529692656188
t8,8.298024201787972e-7,8.133443087955379e-7,0.8229155913603484,8.294725944483886e-7,8.401399292695948e-7,8.485776156232496e-7,8.231770130304939e-7,8.114827681800676e-7,5.065436151593266e-6,8.078163457303584e-7,8.170469654105655e-7,8.341711925077077e-7,8.048012778635523e-7,8.211691822497804e-7,8.496541941185033e-7,8.274935218311009e-6,8.34628765833895e-7,8.203277785595977e-7,8.072233897180941e-7,8.045138523564212e-7,6.271680186763671e-7,6.260553276215872e-7,6.19550355948256e-7,6.155159900708117e-7,6.538640076250397e-7,6.349345994755857e-7,6.544796078693172e-7,6.226469787372236e-7,6.320552955921016e-7,6.276491603446049e-7,8.033685813819792e-7,8.264746565977521e-7,4.414476046061692e-6,6.443943481266968e-7,8.07034424709572e-7,6.458648608590176e-7,8.34233919858294e-7,8.05815462516129e-7,8.086716933918799e-7,8.202910333335043e-7,7.866157580061947e-7,6.43809037538256e-7,1.3655697283719953e-6,8.098982192593959e-7,7.958627517541575e-7,6.512777732507704e-7,7.826058889486251e-7,6.481999621786224e-7,7.80125096701946e-7,6.541971920230402e-7,8.391425620004349e-7,6.502736362252551e-7,6.527275689406647e-7,6.474915087360178e-7,6.484397665007197e-7,6.559603149165425e-7,8.393350168512715e-7,6.47871290673602e-7,6.553199590583543e-7,6.56144359200416e-7,6.508391756530235e-7,8.376514763959735e-7,6.472377958021484e-7,78.13378587663915,1.7528500337170438e-6,0.00010485576328015616,0.0005348276246426121,105.79102025103138,24.281249705333384,89.86375977988818,8.380805147818419e-7,175.58876169953783,116.34382946832659,121.7950975771935,7.626575311893552e-5,72.96818293396298,785.5893834322062
t9,8.298038964245298e-7,8.133468215463097e-7,0.8229595667075916,8.29472871954582e-7,8.401409705769888e-7,8.485788568026456e-7,8.231787585773798e-7,8.114844629524237e-7,5.7638655245280936e-6,8.081285656664152e-7,8.170490700041232e-7,8.341727697460991e-7,8.051179641917024e-7,8.211712726280324e-7,8.496563148197663e-7,1.072615552507682e-5,8.346312905156907e-7,8.203294786311547e-7,8.072260426241855e-7,8.045173390647167e-7,6.271705910948419e-7,6.260573566726187e-7,6.195528758895102e-7,6.155180424679581e-7,6.538575594135211e-7,6.349364776143243e-7,6.550149173310974e-7,6.226501991797647e-7,6.320570169448834e-7,6.276514956647906e-7,8.033690678973485e-7,8.267676515561933e-7,4.7063703127620106e-6,6.443955507906538e-7,8.075325294568258e-7,6.433156438295021e-7,8.347759924510101e-7,8.061927913209284e-7,8.089998276721742e-7,8.202917607749469e-7,7.923072890202734e-7,6.427567962576491e-7,1.3955956076411087e-6,8.098996962346927e-7,8.017473714952995e-7,6.517040388754005e-7,7.845990734112258e-7,6.486093538698978e-7,7.857754501152903e-7,6.521126010332442e-7,8.393808938663095e-7,6.503051461267979e-7,6.527290231992091e-7,6.455200050810353e-7,6.484406175437571e-7,6.559548666894235e-7,8.394725159012567e-7,6.461821935150544e-7,6.541435877372389e-7,6.561433544202902e-7,6.508256509787179e-7,8.378074232851694e-7,6.452875357034115e-7,78.1337858547456,2.0908568046506104e-6,0.00010491733143430056,0.0005348399993743916,105.79102024662325,24.281249767864185,89.86375975491507,8.380825190566816e-7,175.58876167565288,116.34382944601482,121.79509755221837,7.635579590053775e-5,72.96818292004802,785.5894313186615
