Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,1.955724555929858e-8,0.00012279443896260963,0.00012277488171705034
OCGT-H2_1.0,1.0,0,2.3303034249914333e-8,5.557960506298999e-5,5.555630202874008e-5
CCGT-H2_2.0,2.0,0,1.9542996668582253e-8,0.00013942301825525192,0.00013940347525858335
OCGT-H2_2.0,2.0,0,2.3353517271234e-8,5.8325255212824366e-5,5.8301901695553134e-5
CCGT-H2_3.0,3.0,0,1.9736855422538968e-8,14.926604815274134,14.926604795537278
OCGT-H2_3.0,3.0,0,2.3494818814490584e-8,7.596560026982915e-5,7.594210545101466e-5
CCGT-H2_4.0,4.0,0,1.9543585255896164e-8,0.00012495375325603572,0.00012493420967077984
OCGT-H2_4.0,4.0,0,2.328640127817582e-8,5.5890002275369416e-5,5.586671587409124e-5
CCGT-H2_5.0,5.0,0,1.953289558068274e-8,9.955293142944217e-5,9.95333985338615e-5
OCGT-H2_5.0,5.0,0,2.331566345813541e-8,5.513583447328872e-5,5.511251880983058e-5
CCGT-H2_6.0,6.0,0,1.951515544050524e-8,0.00010470634311928854,0.00010468682796384803
OCGT-H2_6.0,6.0,0,2.3393318125402594e-8,5.441226485837935e-5,5.438887154025395e-5
CCGT-H2_7.0,7.0,0,1.952228288814552e-8,0.00015679449645216877,0.00015677497416928063
OCGT-H2_7.0,7.0,0,2.3391321618127796e-8,5.829181896943903e-5,5.826842764782091e-5
CCGT-H2_8.0,8.0,0,1.9569474227232738e-8,0.00032480685820277747,0.00032478728872855023
OCGT-H2_8.0,8.0,0,2.3369582940007948e-8,6.283965326741193e-5,6.281628368447191e-5
CCGT-H2_9.0,9.0,0,1.971180651058136e-8,61.08522328641708,61.08522326670528
OCGT-H2_9.0,9.0,0,2.33963852532574e-8,7.775580744821749e-5,7.773241106296423e-5
CCGT-H2_10.0,10.0,0,1.956439888387398e-8,0.0002902030971985366,0.0002901835327996527
OCGT-H2_10.0,10.0,0,2.3356519245639513e-8,6.280357584323029e-5,6.278021932398465e-5
CCGT-H2_11.0,11.0,0,1.9553797336854788e-8,0.0001865623102862261,0.00018654275648888926
OCGT-H2_11.0,11.0,0,2.3310640272242948e-8,5.852379539589145e-5,5.850048475561921e-5
CCGT-H2_12.0,12.0,0,1.952366846879198e-8,0.00011752503718586902,0.00011750551351740023
OCGT-H2_12.0,12.0,0,2.3388207962179963e-8,5.570336113129009e-5,5.5679972923327914e-5
CCGT-H2_13.0,13.0,0,1.9586142692874605e-8,0.0002787557136686497,0.00027873612752595683
OCGT-H2_13.0,13.0,0,2.336681679768599e-8,6.615038593567756e-5,6.612701911887987e-5
CCGT-H2_14.0,14.0,0,1.9514591589842446e-8,0.00018283595338225588,0.00018281643879066603
OCGT-H2_14.0,14.0,0,2.3413476550970718e-8,5.877782295007232e-5,5.8754409473521354e-5
CCGT-H2_15.0,15.0,0,1.9522028691358793e-8,8.403425972168685e-5,8.40147376929955e-5
OCGT-H2_15.0,15.0,0,2.3374586650315365e-8,5.413650988410778e-5,5.4113135297457464e-5
CCGT-H2_16.0,16.0,0,1.972098942574347e-8,45.30175509347779,45.301755073756794
OCGT-H2_16.0,16.0,0,2.3406302379296538e-8,7.752562764275854e-5,7.750222134037924e-5
CCGT-H2_17.0,17.0,0,1.9504976514492342e-8,0.00011522191884040138,0.00011520241386388689
OCGT-H2_17.0,17.0,0,2.341820667520507e-8,5.669779003946323e-5,5.667437183278802e-5
CCGT-H2_18.0,18.0,0,1.9548432596521397e-8,0.00017154364787566855,0.00017152409944307204
OCGT-H2_18.0,18.0,0,2.3332624603933847e-8,5.938591642476314e-5,5.93625838001592e-5
CCGT-H2_19.0,19.0,0,1.9584776535204555e-8,0.0004988274730571377,0.0004988078882806025
OCGT-H2_19.0,19.0,0,2.3361639231399076e-8,6.582141902450056e-5,6.579805738526915e-5
CCGT-H2_20.0,20.0,0,1.9612932732258146e-8,0.00025191777805521774,0.0002518981651224855
OCGT-H2_20.0,20.0,0,2.3403113771359527e-8,6.475042367327446e-5,6.47270205595031e-5
CCGT-H2_21.0,21.0,0,1.9487697932889793e-8,5.750000050715147e-5,5.7480512809218583e-5
OCGT-H2_21.0,21.0,0,2.3385822152818893e-8,5.8336102274284214e-5,5.831271645213139e-5
CCGT-H2_22.0,22.0,0,1.9510396189565644e-8,5.00096069035465e-5,4.999009650735693e-5
OCGT-H2_22.0,22.0,0,2.3404556281364087e-8,5.5569534059261966e-5,5.5546129502980605e-5
CCGT-H2_23.0,23.0,0,1.9495714082181892e-8,4.8671401490505645e-5,4.865190577642346e-5
OCGT-H2_23.0,23.0,0,2.339771028501816e-8,5.4230794306383336e-5,5.420739659609832e-5
CCGT-H2_24.0,24.0,0,1.9505633291781732e-8,4.90897111120823e-5,4.907020547879052e-5
OCGT-H2_24.0,24.0,0,2.3401592596915214e-8,5.547040813469574e-5,5.5447006542098826e-5
CCGT-H2_25.0,25.0,0,1.951973870273769e-8,4.922625989486247e-5,4.920674015615973e-5
OCGT-H2_25.0,25.0,0,2.3338697978049443e-8,5.430953396031526e-5,5.428619526233721e-5
CCGT-H2_26.0,26.0,0,1.950031144535725e-8,4.8005375262187934e-5,4.798587495074258e-5
OCGT-H2_26.0,26.0,0,2.337268980799026e-8,5.405412933563975e-5,5.4030756645831754e-5
CCGT-H2_27.0,27.0,0,1.950421183182375e-8,5.415045290865091e-5,5.4130948696819086e-5
OCGT-H2_27.0,27.0,0,2.337580896762338e-8,5.4207683631233794e-5,5.418430782226617e-5
CCGT-H2_28.0,28.0,0,1.949606391646273e-8,5.02426687483725e-5,5.022317268445604e-5
OCGT-H2_28.0,28.0,0,2.3414436876264703e-8,5.4118827310248295e-5,5.409541287337203e-5
CCGT-H2_29.0,29.0,0,1.946662668425822e-8,4.724445530286467e-5,4.722498867618041e-5
OCGT-H2_29.0,29.0,0,2.327418965484117e-8,5.379016965210925e-5,5.3766895462454404e-5
CCGT-H2_30.0,30.0,0,1.9488095957150763e-8,5.1093410533972994e-5,5.107392243801584e-5
OCGT-H2_30.0,30.0,0,2.34897249898974e-8,5.676902551023131e-5,5.674553578524141e-5
CCGT-H2_31.0,31.0,0,1.9530981881515144e-8,7.102568199602552e-5,7.100615101414401e-5
OCGT-H2_31.0,31.0,0,2.316268145494008e-8,5.723200973409406e-5,5.720884705263912e-5
