Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,4.6483973024013675e-7,7.523772479729592e-6,1163.1600070589327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,359.0103520298554,5.9229552852569715e-8,0.029648029374163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,3.7526494146048757e-6,0.0,148.19999624735058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248377086062,0.0,0.0002339894784597618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,3.146549799660266e-6,0.0,2721.9999968534503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,0.0011153830664168715,0.0,69.99888461693358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,5.53919959980431e-8,2.176885806007374e-7,590.6185501622966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,3.3785753142347255e-8,0.0,177.68802996621423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,3.49882486713593e-8,9.86980191134394e-7,2040.9253074519906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,1.0497494979798702e-5,3.1491369363038966e-6,3350.999992651642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.60097146726167,1.8303221165861308e-6,0.009030363060463786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,4.051953490380118e-6,0.0,18.09999594804651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.699803759245,0.0,0.000196240754979371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.04117084691372,0.0,0.00014446935820561224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.598393312273732,0.0,0.2016066877262683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,3.648865747728054e-8,1.2018550297259965e-6,855.7914011653663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,3.0498418397199773e-7,0.0,4.781999695015816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.1840639999997,4.865834018741418e-8,5.43893153589702e-7,859.1840644952346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.762615206841,8.728890907505232e-7,0.037385666048050936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.574168690821,9.639763658115205e-6,0.005840948942736901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,3.92967947197792e-6,0.0,45.91999607032053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.2435609697554,2229.243375797571,0.0,0.0001851721842527354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,7.35528154509808e-5,7.35528154509808e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,141.98704799124073,0.0,0.012952008759253841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,2.126984587435476e-8,757.0553063472196,3267.38660632595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,2.1269927861090324e-7,0.0,9.899999787300722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.5580369999996,3.9171114400291304e-8,2.4294970004500134e-7,1417.5580372037782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 CCGT,4,38.6,5.323668872187084e-7,1.8766814615652615e-6,38.60000134431458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 OCGT,4,72.68,72.66134967886794,6.709675038786563e-8,0.018650388228819148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 onwind,4,233.7185,3.2081546030339516e-7,5.259862472876527e-7,233.71850020517078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 ror,4,628.4368000000001,4.094305965331456e-8,0.0,628.436799959057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 solar,4,1196.0652229999994,3.329696724970501e-8,6755.7453342274575,7951.8105571941605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
