Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,-302.76453409197,0.0
AnnualSum,378577.58880297944,944503.8332841384,849667.9733892488,7472.669081827281,21273.927498255332,109773.34200411281,386671.9052211473,30436.740998986064,2.302947569985078e6,37939.28625715212,160001.07439571095,70826.23110216187,374644.70981222775,290616.94832407584,1.1194197056140096e6,2.6003242434920757e6,138217.40169163723,515345.05502281355,381045.5889146982,17119.717673549316,0.8199181807483724,170586.3418155382,602149.5569762499,221573.6516528265,204204.98767159233,635489.5554994767,170898.07696456465,0.688629646102348,0.0,123152.03973395472,155519.3763025012,0.0,701774.6895830133,0.0,0.0,8873.304731886925,548310.7577573401,0.0,0.0,0.0,0.0,45086.6745816715,83875.88661247278,164247.8205248471,0.0,0.0,88136.48004613904,0.0,0.7882027361921217,0.0,1.0180571433409677e6,0.0,66495.57222632226,0.11003300391517008,97151.00622514874,753068.042880085,833581.4706103367,130844.6311670295,389798.49563921435,505898.3882960474,124192.49044025416,42799.927368501056,0.16332025298956876,751121.1166309845,1.0156333836284057e6,380582.37464760157,1.121648903758537e6,191082.6516131495,508083.9325724514,2.843407916748878e6,477592.3806176347,3.209506447443957e6,12.822739778595645,103436.16504198451,1.226235147229681e6,4250.467947464692,3.0455188161938194e7
t1,1.5829467970293203e-5,2.0478270790657878e-5,1.6750021377027848e-5,7.443412199351547e-6,1.210229914794973e-5,7.43326119987381e-6,2.068831429416136e-5,1.6891567388767556e-5,1.291457417106987e-5,1.193245513548138e-5,1.2042897061517346e-5,1.1918834920515767e-5,1.1993150232994419e-5,2.0617637223133576e-5,1.5921993564116972e-5,1.683225222011342e-5,1.5906498797469792e-5,1.5386786607306768e-5,2.069655237430872e-5,1.1923678788848737e-5,8.133577094582923e-6,1.6478894193257573e-5,1.6936094222143243e-5,1.554966272551683e-5,1.0905084814181765e-5,7.394337900147787e-6,1.092772552586515e-5,1.1998194268050181e-5,0.0,1.2110782951056552e-5,7.630359814096376e-6,0.0,4.763781462629679e-6,0.0,0.0,3.853999891348863e-6,5.616440914721183e-6,0.0,0.0,0.0,0.0,8.492987665152989e-6,4.732529540701319e-6,8.415720989783126e-6,0.0,0.0,7.498667738309896e-6,0.0,8.35749510015423e-6,0.0,9.139362896817309e-6,0.0,7.177950221424488e-6,3.519478027637424e-6,3.6250466510113692e-6,7.165970001212319e-6,8.996211854535615e-6,3.6366713493968913e-6,1.160784523016505e-5,3.6870179189715146e-6,1.1053186581929397e-5,9.211224889745491e-6,8.086867295282511e-6,88.2732386588469,1.7624061838030534,26.631063293435957,1.7624654803298536,30.771082451012614,0.0001170386869454763,55.74033590816826,1.6644427694440058,430.87560716900913,0.0015363877515162825,13.70257002232097,5.091276285325515,1.3614552413572644e-5,656.2767076697824
t2,1.581347429479976e-5,2.046079600190418e-5,1.672730505039253e-5,7.4317777750162775e-6,1.2093198332778597e-5,7.420656061943674e-6,2.0670336935538982e-5,1.687667079436959e-5,1.289649044994533e-5,1.1918985042281516e-5,1.2031217454634869e-5,1.1905885606529016e-5,1.1979886145328154e-5,2.060049166551457e-5,1.5905388708590666e-5,1.681168375652113e-5,1.588994448475689e-5,1.5371137537017043e-5,2.067840147446215e-5,1.1910310874471268e-5,8.128796027507673e-6,1.6467753423924313e-5,1.6927449237174108e-5,1.5538894758942197e-5,1.089448760735318e-5,7.3878079603716415e-6,1.0918044537409625e-5,1.1990421916452792e-5,0.0,1.211516205484816e-5,7.623440486949991e-6,0.0,4.759530365461414e-6,0.0,0.0,3.852799536022864e-6,5.613922896962404e-6,0.0,0.0,0.0,0.0,8.491626173666059e-6,4.728482259758854e-6,8.40800817104878e-6,0.0,0.0,7.4912721350290405e-6,0.0,8.349115532715418e-6,0.0,9.16530402795804e-6,0.0,7.201204574749813e-6,3.5283170726231544e-6,3.6417496129557206e-6,7.188205606287319e-6,9.025054369078112e-6,3.6542594329261544e-6,1.1631902436998706e-5,3.703398054644228e-6,1.1079674952107807e-5,9.23953924310563e-6,8.094600282703333e-6,88.27323726657217,1.7624039663740612,26.631060235075307,1.762462294412812,30.771079262643006,0.0001142609360706983,55.74033257647489,1.664442768591213,430.8756049022121,0.0015348059827831548,13.702568857279434,5.091273799727608,1.3596427780307525e-5,656.2766808269724
t3,1.5820373981299804e-5,2.0467244875373687e-5,1.673199210629988e-5,7.437709426105516e-6,1.2096784812644116e-5,7.426806847971509e-6,2.0676115681532966e-5,1.6881584173365144e-5,1.2902196906039447e-5,1.1924064070933037e-5,1.2037230638393336e-5,1.191178802327411e-5,1.1985333323006357e-5,2.06065033737189e-5,1.591333492091171e-5,1.681879016698035e-5,1.5896438066052337e-5,1.5377809515720108e-5,2.0684113296037706e-5,1.1915241238793524e-5,8.1256447007385e-6,1.646011233284469e-5,1.692109100244108e-5,1.5531069637145396e-5,1.0888133947551232e-5,7.383875067278703e-6,1.0911702350824692e-5,1.1984548960674031e-5,0.0,1.211708695109701e-5,7.624307690143872e-6,0.0,4.765381205687727e-6,0.0,0.0,3.851046417803449e-6,5.614929779153469e-6,0.0,0.0,0.0,0.0,8.489503595175998e-6,4.7333008350879015e-6,8.411496092274634e-6,0.0,0.0,7.492764861440277e-6,0.0,8.348477433327236e-6,0.0,9.177508825870495e-6,0.0,7.211550558160517e-6,3.533318921062664e-6,3.6497898275209873e-6,7.1998031109207576e-6,9.036375867046122e-6,3.6623753002307373e-6,1.1641759760599885e-5,3.7115109244083412e-6,1.1092563644018355e-5,9.251864151296029e-6,8.095577219142502e-6,88.27323685882465,1.7624029604032652,26.63105894117409,1.762461002710861,30.77107801964839,0.00011319719551720213,55.740331258907894,1.6644427704488975,430.8756039930374,0.0015343988175165852,13.70256859456678,5.091272713284778,1.3595138363319442e-5,656.2766707340847
t4,1.5840766775820674e-5,2.0487252724437408e-5,1.6753428506244238e-5,7.4556986143396135e-6,1.2106003744454617e-5,7.445917063671526e-6,2.0695285173902654e-5,1.689916996260624e-5,1.2924183737434002e-5,1.1941284813834633e-5,1.205547869118135e-5,1.1930163338265962e-5,1.200301419249539e-5,2.0625297042930468e-5,1.5935240881601167e-5,1.6843829208043034e-5,1.5916359006872693e-5,1.539789983807289e-5,2.0703321445384147e-5,1.1932233207243583e-5,8.130762714419798e-6,1.6468092546999072e-5,1.6927032822214977e-5,1.554161205292082e-5,1.0900935934699572e-5,7.390504843511624e-6,1.0921043873223496e-5,1.1989700815749218e-5,0.0,1.2119579911373471e-5,7.637863786346012e-6,0.0,4.7833941289192515e-6,0.0,0.0,3.853968699657915e-6,5.622181388718543e-6,0.0,0.0,0.0,0.0,8.49323604237051e-6,4.749678600048939e-6,8.423183947125632e-6,0.0,0.0,7.5066014728776105e-6,0.0,8.357899303624995e-6,0.0,9.195591176564293e-6,0.0,7.235077998554789e-6,3.5396525755641953e-6,3.6630042885202974e-6,7.218230549895283e-6,9.053069799323611e-6,3.6731737823053963e-6,1.1665602085668205e-5,3.7230507111562776e-6,1.1113040080756803e-5,9.269768924930398e-6,8.101970005247375e-6,88.27323720097384,1.7624026445954508,26.631058520029434,1.762460620397295,30.77107771459081,0.0001130374165993805,55.74033087899668,1.6644427744138939,430.8756038791391,0.0015347472332110734,13.702569075653695,5.091272353382274,1.3596422603593372e-5,656.2766702035777
t5,1.5912232222413316e-5,2.0560691146501958e-5,1.6839307638613683e-5,7.510631747510053e-6,1.2143795468736422e-5,7.505711649951126e-6,2.0769451440258748e-5,1.6959890077346474e-5,1.2999429934326513e-5,1.1997587188136756e-5,1.2113549414398563e-5,1.1990530779416635e-5,1.2060244983842975e-5,2.0697680044647546e-5,1.6011512655257987e-5,1.6931136693198953e-5,1.5987179558490192e-5,1.5468677586252587e-5,2.077606034453283e-5,1.1989504405448804e-5,8.148030966594051e-6,1.6496752833517384e-5,1.6949017370977368e-5,1.5576855602446478e-5,1.0947974079210728e-5,7.412159336375475e-6,1.0952392773502256e-5,1.2009916077569999e-5,0.0,1.2125320421201076e-5,7.679628578282924e-6,0.0,4.834057216841068e-6,0.0,0.0,3.8654533771476025e-6,5.643672157973576e-6,0.0,0.0,0.0,0.0,8.507579603585237e-6,4.797801120349473e-6,8.460991668378121e-6,0.0,0.0,7.54929745512893e-6,0.0,8.38447243331872e-6,0.0,9.2445156416551e-6,0.0,7.2848948488774044e-6,3.555188957791049e-6,3.6903425149440977e-6,7.267180871333131e-6,9.099140142126847e-6,3.6998811633408176e-6,1.171743791728343e-5,3.7528089594271556e-6,1.1173355134973549e-5,9.317174120937643e-6,8.119606279904755e-6,88.27323936504857,1.7624029294608279,26.631058803528287,1.7624611245532043,30.771078419884986,0.00011368094612672281,55.74033124679209,1.6644427812030451,430.8756048927038,0.0015369343336390478,13.702573703517485,5.091272585114897,1.3614308053586653e-5,656.2766855690996
t6,1.6006006345615675e-5,2.0654295961108017e-5,1.6954197045304495e-5,7.586276977595957e-6,1.2189625916885853e-5,7.588710916467174e-6,2.0864879097724512e-5,1.704275770840912e-5,1.3101307023934603e-5,1.2073220020361128e-5,1.2196487296308283e-5,1.2071999197931948e-5,1.213967707024928e-5,2.0790231021959883e-5,1.610880477416335e-5,1.7048461804690256e-5,1.6076854663441123e-5,1.5558769381084334e-5,2.0874798391823818e-5,1.206635486045416e-5,8.19280765733198e-6,1.657182383300369e-5,1.7007428737432528e-5,1.56687779279785e-5,1.1035729421834355e-5,7.470061439651396e-6,1.10412600035683e-5,1.2056970909428006e-5,0.0,1.214196717489129e-5,7.75190689345345e-6,0.0,4.918874753849074e-6,0.0,0.0,3.885494878639782e-6,5.678977120857087e-6,0.0,0.0,0.0,0.0,8.532770200571881e-6,4.878408836941893e-6,8.516232031544426e-6,0.0,0.0,7.617728952851928e-6,0.0,8.438655279269247e-6,0.0,9.325055688982437e-6,0.0,7.362409537739169e-6,3.5817124325201644e-6,3.7385022862130744e-6,7.3454918290372035e-6,9.1810220508437e-6,3.7470418519495495e-6,1.1799279609854205e-5,3.802315617952932e-6,1.1273155924928404e-5,9.398937486211415e-6,8.151190133346544e-6,264.81965014060137,1.7624089505370237,26.631069922032818,1.7624752089068536,30.771108988776575,0.0001240170838709957,55.74035812095419,1.6644427995324294,854.27983315033,0.004526914590233614,41.107611721442254,5.0912797116542166,1.3884249512775199e-5,1283.6354626363973
t7,1.6181754134573585e-5,2.0833730529093078e-5,1.7170556566603118e-5,7.713574928142141e-6,1.2286602417242642e-5,7.72195782877276e-6,2.1048119642641462e-5,1.718755348774285e-5,1.3280304744220722e-5,1.2204483491849557e-5,1.2333203451109269e-5,1.221148056460758e-5,1.227505020758383e-5,2.0969535264684147e-5,1.628886259318713e-5,1.7264725275380053e-5,1.6248686091930875e-5,1.572769785759487e-5,2.1057264323467e-5,1.2199909926755593e-5,8.243988334324694e-6,1.6671702698931795e-5,1.7098158074646466e-5,1.579644917318372e-5,1.1157201608808095e-5,7.5500466491878286e-6,1.1163002974870279e-5,1.2130454169881386e-5,0.0,1.2229093992386934e-5,7.866082696483957e-6,0.0,5.043847646878631e-6,0.0,0.0,3.921358401376888e-6,5.736387616387733e-6,0.0,0.0,0.0,0.0,8.577383904374684e-6,4.998651719801897e-6,8.605771836149122e-6,0.0,0.0,7.734281607029497e-6,0.0,8.518948779089755e-6,0.0,9.449637124341929e-6,0.0,7.4787038681737766e-6,3.6207308966950517e-6,3.80818222509193e-6,7.462958997698827e-6,9.307684904441947e-6,3.81698365368925e-6,1.1925997724373572e-5,3.875062966594508e-6,1.1430699028967308e-5,9.522140145055593e-6,8.198935868679348e-6,264.8196678168179,1.7624581492218052,26.63118963755778,1.762659512823419,92.3131969191893,0.0002927891544407768,91.0485475924861,1.6644428527980888,1292.6267740254495,0.00454910603761121,41.1076230008505,5.091354065945128,1.431148218182599e-5,1818.8333349253962
t8,1.6288813109650385e-5,2.094253514893807e-5,1.7304989897031233e-5,7.782782429082344e-6,1.2346689982439864e-5,7.798499136023983e-6,2.1159215706185886e-5,1.7276838879786205e-5,1.338647972677638e-5,1.228087555044566e-5,1.2413142022732822e-5,1.2292699196849607e-5,1.2353389197517705e-5,2.107874307345988e-5,1.6398493114174037e-5,1.7399209062990658e-5,1.6353349745194707e-5,1.582938773159981e-5,2.1165825270759853e-5,1.2279149741455064e-5,8.277189803298677e-6,1.6728354777956263e-5,1.7158070996689096e-5,1.5871815715224033e-5,1.1229052820696834e-5,7.60218045781393e-6,1.1235308881721788e-5,1.2185081984307477e-5,0.0,1.228634947199747e-5,7.930426984540807e-6,0.0,5.113817579720875e-6,0.0,0.0,3.945280121279856e-6,5.7693494696737365e-6,0.0,0.0,0.0,0.0,8.607100965563315e-6,5.0655159187031224e-6,8.653671912811766e-6,0.0,0.0,7.800061955293573e-6,0.0,8.55178797113085e-6,0.0,9.521865630152618e-6,0.0,7.531701967102146e-6,3.6405323655317394e-6,3.847711437467852e-6,7.5279116279624415e-6,9.382458363121312e-6,3.856868658011043e-6,1.198518211011743e-5,3.9159582306349035e-6,1.1520157838097005e-5,9.59333736483401e-6,8.224731600002121e-6,264.8196650979946,1.7624565986370004,26.631185367228703,1.762657547779688,92.31319428773763,0.00029476669266537717,91.04854402993715,1.6644429096900673,1292.62677069442,0.004546400174297856,41.107620570387354,5.091352451358651,1.4256417107662124e-5,1818.8333136683978
