Line,New_Trans_Capacity,Cost_Trans_Capacity
1,1.6699664e-8,1.5298178e-7
2,2.0893072e-10,1.3951287e-9
3,1.2712984e-9,9.851327e-9
4,6.4687447e-9,3.623014e-8
5,0.1842023,1.545926
6,3.608912e-9,2.9626907e-8
7,1.4357448,11.390312
8,7.43617e-10,5.698637e-9
9,0.22975641,1.214882
10,3.0029164e-9,1.8471592e-8
11,0.83687884,6.542755
12,5.4098897,41.60648
13,10.0,43.466427
14,1.6950862e-9,1.7979318e-8
15,0.23583199,1.8866024
16,3.279816e-10,5.3171574e-9
17,5.8284383e-10,6.0625305e-9
18,7.492077e-9,4.2692275e-8
19,4.8334713,42.165558
20,6.484639e-9,1.11466036e-7
21,8.336932e-9,8.213188e-8
22,1.1361448e-10,1.2924549e-9
23,2.700376e-9,2.1182244e-8
24,10.0,105.84828
25,0.22195716,1.5086591
26,10.0,86.83616
27,10.0,104.792725
28,9.999999,70.51048
29,9.262123,82.700645
30,6.2595944,72.562004
31,2.5988154e-9,1.9150283e-8
32,6.7788314e-10,6.342016e-9
33,10.0,72.49161
34,2.9516074e-9,3.092909e-8
35,0.1239505,1.1210754
36,4.3884215,41.83097
37,1.2454673e-9,5.0762092e-9
38,5.892895e-10,3.4402752e-9
39,1.7187571e-9,1.581224e-8
40,2.0874882e-9,2.5490689e-8
41,4.9855833,63.644024
42,7.7980206e-10,1.1803623e-8
43,3.1426027,43.923107
44,10.0,125.06093
45,2.3042541e-9,3.879129e-8
46,8.253402e-11,1.288201e-9
47,4.7166177e-10,5.5252736e-9
48,3.3304892e-9,5.4824728e-8
49,5.251925e-9,9.2390735e-8
50,6.295685e-9,1.1404596e-7
51,3.7809684e-9,8.8453056e-8
52,2.9956546e-8,6.326721e-7
53,6.406076e-10,9.9899005e-9
54,8.4598724e-11,1.4451538e-9
55,4.1954913,50.507267
56,2.0647317e-9,3.699682e-8
57,5.3835953e-9,7.2684145e-8
58,6.4170337,82.9386
59,6.2141936e-10,7.817931e-9
60,5.718629e-9,5.5007444e-8
61,7.135847e-10,8.377518e-9
62,3.6456602e-10,4.4366066e-9
63,1.367421,21.6387
64,2.981995e-9,5.5906693e-8
65,5.8244813e-9,3.825383e-8
66,2.104533,36.055164
67,0.019835308,0.22883007
68,10.0,82.4684
69,1.6757002e-9,2.1279885e-8
70,10.0,82.64922
71,7.3414226,76.613014
72,1.094773,10.299644
73,10.0,141.29056
74,5.924561e-10,9.503469e-9
75,6.046898,80.481735
76,0.4512995,3.9181542
77,1.6479857,18.467922
78,9.999999,100.40601
79,1.2915477,15.6795025
80,5.4887317e-10,7.3051734e-9
81,10.0,79.35919
82,7.682807,100.25444
83,6.433636e-9,7.437817e-8
84,1.0766149e-9,9.305903e-9
85,4.017061,65.852615
86,1.1964628,18.192862
87,1.031806,15.532268
88,0.20480433,1.5228226
89,1.0126367,10.241427
90,2.5973037e-9,1.6057001e-8
91,10.0,113.60966
92,6.584161,38.063866
93,10.0,115.54203
94,2.6969174e-9,2.787329e-8
95,1.7848672,15.516944
96,4.3520765,31.528984
97,1.6094546,13.650948
98,9.769331e-9,7.875866e-8
99,5.585187e-10,6.1930443e-9
100,9.47643,115.31051
101,1.2338293e-7,1.6642998e-6
102,1.129604e-8,6.602089e-8
103,8.863112e-9,5.1640775e-8
104,2.5480738,16.472696
105,3.078773e-8,2.6300754e-7
106,10.0,66.37384
107,1.0521364e-8,1.14745255e-7
108,3.9662537e-10,1.4892834e-9
109,5.337085e-9,2.875837e-8
110,4.666059,72.91778
111,2.5277425e-9,1.5368942e-8
112,9.999993,137.64128
113,1.75172e-9,1.3810968e-8
114,7.563512e-9,1.2717076e-7
115,0.32051918,3.5531833
116,2.1313608,29.161356
117,3.689091,43.79966
118,10.0,66.95375
119,3.3692732e-10,2.6671532e-9
120,3.744499e-9,2.9912634e-8
121,0.9718125,13.97814
122,3.5181134e-8,4.088413e-7
123,0.3001514,4.608491
124,4.6453055e-9,4.1926715e-8
125,0.01928096,0.16393588
126,2.7388633e-10,1.9386492e-9
127,0.14902551,1.5546016
128,1.6574435e-9,1.5400266e-8
129,0.3246206,3.835512
130,2.7468205e-8,3.7058305e-7
131,0.5263439,38.218365
132,1.0165272e-11,1.3727924e-9
133,8.491953e-9,2.0646634e-7
134,10.0,321.14584
135,1.4435803e-8,4.841644e-7
136,1.2534997e-10,3.926874e-9
137,1.12865585e-7,9.068269e-6
138,1.958224e-6,0.00013083594
139,1.8116869e-7,7.375634e-6
140,3.28342e-7,9.896591e-6
141,7.396325,452.3235
142,2.8884455e-7,1.3271437e-5
143,2.4987564,162.42348
144,3.330948e-7,9.715644e-6
145,10.0,433.71515
146,1.48078,184.88637
147,3.2867508,27.44638
