Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,2.6790436134151833e10,889515.4516719548,779791.3993906159,2.697748033561014e8,4.280934510000832e6,7.248916531350192e7,338.7359764293765,1.200601114612165e7,3.392934044762219e7,2.675120245127495e9,7.505442638632883e7,1.043894603219042e7,2.360310734013325e7,1.0849956765052557e8,1.7731009961749247e8,2.3066012778190467e8,2.4589770984137297e9,2.05204811666136e7,2.285634777226856e8,2.3500144374829456e8,3.481734495451632e7,9.44556149678942e6,4.97454074806769e7,2.770024691852629e8,2.5724731877398962e8,3.104713430865784e8,3.485178606459523e8,8.344613009068756e7,8.192050800054666e7,2.318494143232481e7,3.589820188590387e8,2.1248857925722823e6,1.9420671829475197e8,4.629902529800157e9,4.7133535722529136e7,9.36559635300869e6,3.63375853346421e7,1.6462179200414536e9,9.134973095509058e7,6.718467484796622e7,9.16105451112189e7,2.9249513391114358e7,7.812170315964322e7,9.016287202003323e8,7.547106219637872e6,1.6462779531854218e8,6.498078878577729e7,3.752819152892196e8,1.6557499986174548e7,8.101660916559456e7,1.2251308821148895e8,1.0658255127935656e9,6.154317814434302e6,1.490945322796194e7,2.1871778063220154e7,2.4610915923769545e7,6.785868954813397e8,1.0817548303994913e9,1.6113300610438147e8,8.495188810721333e7,1.368394315571133e8,7.76760540649941e7,5.017820116904773e8,1.767630752421167e7,1.2272327904867694e8,2.4352894938140452e8,6.3462412987880714e7,7.735745606292939e7,7.50464821709073e7,1.182969936838506e8,3.157142860405793e8,2.2462275636252126e8,2.9208376950292647e8,1.477475001530245e8,3.495701653302473e8,2.638661958807382e7,1.7769037168795475e8
cH2Fix_Gen,7.329398034636853e9,242.6390987146949,617660.5006576676,7.947791003984503e7,40.21195321960457,405.15795418151265,281.7481110680159,158.19639626017323,95.72371443199903,7.323389974251859e8,6.795351459503974e7,40.44780274253949,1.1562973751687724e6,8.845531113921182e7,1.232954044803518e6,1.5662117887929378e7,7.56010756911207e8,1.2287284181989698e7,174.22166526129567,6.292568628421038e7,3.0358088309747417e7,466027.94592018955,4.3169888719495885e7,1.0199076011342569e8,9.34245390681495e7,6.561405226500843e7,1.0343177056698813e8,4.6003884277370155e7,4.9110414437569894e7,1.5628283147329167e7,3.250580008310419e7,75.01183053140109,1.750617204493536e8,1.4219144308698094e9,29.873265756535723,3.6899639748384836e6,1.8177443467512216e7,5.2430775175611836e8,9.134969025715393e7,5.554015929710605e6,8.136115743560165e7,1.1241149645609228e7,2.9884642737668138e7,2.813540883650797e8,4.604371752019429e6,8.08095496480337e7,6.072436326296358e6,412.64139562229707,1.3625625152306126e6,2.2632846669695295e7,4.54099117466242e7,4.337906338046975e8,2.8953973415951e6,1.0820253324284652e7,1.6360535585646464e7,1.0870722186284615e7,9.05228867571745e7,3.2133153054698235e8,7.451706028853685e7,3.623915970368921e7,1.2000502924213941e8,6.533359900423323e7,1.5113653848698595e8,1.6648176039636556e7,6.1834644505332604e7,324.00677934762376,5.094022335667236e6,2.4616563282950412e7,5.339944642029261e7,3.447880832609364e7,1.0874671767841811e8,63.0439805760066,1.5458553979673132e8,8.476667662627363e7,1.6489196966765392e8,2.3966864804820567e6,7.95033614154145e7
cH2Fix_Liq,5.007611344942208e9,883111.287700058,162079.17141241327,1.2403006552532228e7,4.261608681399518e6,7.20313286462975e7,5.078106135104149,1.1915622778151114e7,2.8643165689691044e7,5.007106989500824e6,1.3646802630400986e6,1.0368270554456182e7,2.227252283220304e7,1.647044527983969e7,1.7515951942940086e8,2.1384909786651132e8,8.076001602008131e7,8.192842396209686e6,2.2737228121906346e8,1.5754746270231405e8,3.448041604958274e6,8.909495981842568e6,2.7327844977800176e6,1.3683676932304713e8,1.2843633090200688e8,2.3875068567997622e8,2.1680342521101764e8,3.724933370890544e7,2.6281265207481176e7,1.1161979400648242e6,3.1492614806223345e8,2.1092937649801043e6,1.912465445895186e7,5.078129883046072,4.685509594871359e7,5.63183535175275e6,1.7872667299166594e7,6.0429212903976925e6,5.078137003193709,6.13318334204953e7,1.0184522787023762e7,1.7882664717462514e7,4.7856746334695496e7,1.5758642594058106e7,2.921677697643905e6,8.319702464990303e7,5.85766892965231e7,3.73304273653237e8,1.5094930873287896e7,5.769569239612762e7,7.636059302445723e7,880524.0800741602,3.225324335146641e6,3.9027278954146067e6,5.10847085356536e6,1.287209475292032e7,5.846274940875881e8,1.0580294831369951e8,8.606946331327571e7,4.8359220134192705e7,1.6693426351122117e7,1.223039977130487e7,3.5854824143941954e7,201411.91036894088,2.8863401293850806e7,2.4245342446970642e8,5.787069734636174e7,5.244519133362173e7,5.681110051599488e6,8.321833611539954e7,2.0614506189846274e8,2.4717021342198435e7,5.735192246301884e7,4.809386159701707e7,1.0232674097829735e8,2.3746735853527628e7,7.691308898416656e7
cH2Fix_G2P,2.3639604773943526e8,40.69806254679996,36.29731316922675,2.9800563580866e6,44.93646651798508,29.536845310403336,27.95247725742786,86.61006167087677,4.848472190227957e6,199283.1387719024,5.531801555087312e6,1320.2926630306797,36.031627620460576,3.319222920685849e6,102.1987915753334,25.62848188067514,2.548375582453531e6,30.066888200369295,51.563596518541225,1.322114884481846e7,944424.9687669986,13.945400322594992,13.634854409364207,13.592221138183149,13.380319698177027,13.388705565652076,13.634801418983244,14.456731318485462,13.798130342191964,13.612118695098236,26.188526358234324,16.86940278553055,15.254504713735209,45.44598856886238,18.675044884876176,15.24167989121492,18.783521141649224,43.44830745270435,20.32610181826542,15.931370729067986,18.850329866486945,14.552241637980053,24.63210911949798,73.98372916679627,21.194500906746196,14.397570824295155,15.776730875905342,31.548762589544914,16.288454722598466,14.158217949505742,81.65647339024393,209.68808105920678,54.54993612598215,21.09421425648806,28.48623786520488,24.763978429145688,36.9989692397021,1.1397392100537889e7,43.78117201575248,25.799071357739734,49.904171720388646,35.8692044201397,1.730709321988144e6,30.579692426469798,13.7590234282317,73.47259631530473,37.57080113874923,26.674618518640433,13.040967018215754,26.656566407084174,15.12137725661967,1.89671776320548e8,12.993712414098267,13.679353692810736,16.06105598120962,38.729879169049084,16.702654797245934
cH2Fix_Stor,1.484813003725732e8,6117.667869181305,13.033587007813283,122397.39225032009,19236.943331872102,457398.39998412615,19.990991264531807,90139.12767342146,243669.0092313279,46752.18985866111,11002.344259823414,69259.67242995932,174247.79598773285,129537.58564330256,917519.11262628,1.1488823841225277e6,494506.06273593236,40321.54933870352,1.1909676510016215e6,794634.0278678528,33147.612325977294,69970.62494682755,3.842709768428521e6,1.131122453072131e7,8.98912141310102e6,6.1065814570741905e6,1.2141054283066364e7,192889.3449205339,5.910530637184427e6,1.4076929706171355e6,6.172270477304203e6,15498.102978996574,20326.552556866824,14.13388338797867,278388.8679950288,43779.283488012625,287453.59403277515,51844.92701495415,13.829846091630872,298807.88868362026,64844.35263382236,125681.53366559415,380287.1587137477,123590.5349152285,21033.935907863335,621204.4854630437,331643.1746752452,1.9771955460798221e6,99987.24008754955,688053.3254003616,742497.4943806576,5098.800570916087,33538.14764299021,186447.16120028697,402739.610971843,868070.6989579226,3.4364748783347434e6,773647.6257704817,546435.2853399207,353479.1854579743,140923.02362684152,112016.59361712213,310792.9519222431,826683.9145352861,7.213992278465844e6,1.0751218212898881e6,497645.74195140734,295649.9652813324,4.0627370460938686e6,599794.3007989177,822449.9081361671,175296.3329426596,1.3454212891810963e7,1.4886874277469577e7,1.973874991380047e7,243150.6299179251,9.11331636378145e6
cH2Var,1.0504149505257551e10,1.7533955262903331,1.2844810526916735,1.7470691183228144e8,1.9667746651243811,2.6954203642099674,3.2466317571587493,1.5102537407780061,1.000488346861301,1.9375216074186282e9,1.0227594798532995,1.1654951458923952,2.2957432276856604,0.9998333915374317,1.2983115623619041,3.3912728123619162,1.6190833288711073e9,2.186673793455764,1.3804323697789724,1.0008602207667783,1.0001876568571897,52.755053366871444,10.658267821221491,2.68637014237271e7,2.6397313803850636e7,10.102733830534707,1.6141596772632347e7,8.057826577243906,618283.6154930264,5.032753577971376e6,5.377773499161714e6,1.7285417426856482,1.3712842187241134,3.20798803279651e9,1.9574684668898488,2.2734963394695953,1.6857366500701547,1.115815357261574e9,0.9955225410441099,1.4244648363010617,1.2541725861367043,2.7517962681525847,1.5974419912743762,6.043923217544634e8,1.021354911929404,1.9697362543504848,3.9801681512880434,0.94428725489365,2.784744262619041,2.4500269678829505,1.899463614646357,6.311490409842925e8,1.7646468258021264,3.109720580537566,2.545581581630188,2.7593269231002098,1.6082631613555844,6.421754302006972e8,2.0053291259053356,2.4399103715209103,1.452514119047423,1.6711148915554142,3.1270593967522824e8,4.077359222706224,2.4811226850088693e7,2.9467045684149604,8.717247732521091,23.985630409782424,1.1903175381970506e7,27.469752890901848,41.07351733277367,1.764566737523811,6.6692081097654976e7,73.65037275722366,6.261268815442689e7,6.592009468377245,1.2160587789855978e7
cH2Var_G2P,1.160549913934502e7,1.4055459276324576,1.1119393053736895,84521.18110580742,1.7700750401936376,0.8770004507706163,0.7196589471380985,2.9235854431933164,193936.83426908604,6497.965549269681,193426.60614237987,53.89934335926813,1.009402852288959,125049.72531152988,3.533558672982927,0.6235867509813156,80114.96614512434,0.7855135227081872,1.68692635992946,512510.88822360546,33641.458529995885,0.24362614455492204,0.2018502457325392,0.20212050733492293,0.20656182078905808,0.1930802218955235,0.17744637151182435,0.2449335373870251,0.30468780043547694,0.1842236154621783,0.5487087901557991,0.3148381216540512,0.20810072300838825,1.475835377039084,0.4000414060872931,0.22775321149039957,0.5046727297085738,1.35804102284636,0.46832919291593467,0.25324112856992376,0.43145719789705095,0.19033911596848208,0.6990147170598734,2.968086545366199,0.6182108561463553,0.16783534521328752,0.2313835676254214,0.9554573530181389,0.28436950773972375,0.166126378803563,2.3900898568745452,5.435849765061366,1.67546661950478,0.6431275592753151,0.981217043366477,0.7623013382456966,1.1510101174613276,273881.6118035803,1.430727872183681,0.8448917092787932,1.583539123759077,1.155519544026588,43207.110410813126,1.0026192452539282,0.36191556927966384,2.664327967512609,1.275851448001039,0.8208269770527628,0.2299838342927657,0.8152392107003642,0.3606677637693658,1.005859755828489e7,0.2599979715180973,0.32253776279289526,0.5550126221952351,1.3022575707251478,0.43208143313158465
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,3.5527944020638638e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
