Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.014692805,0.010763476,69923.79,0.016480843,0.022586625,0.027205572,0.012655367,0.008383722,775463.5,0.008570346,0.009766418,0.019237477,0.008378234,0.01087937,0.02841761,648013.44,0.018323516,0.011567512,0.008386838,0.008381202,0.4420678,0.08931234,225107.88,221199.72,0.08465717,135260.61,0.0675216,5180.988,42172.61,45063.75,0.01448454,0.0114908535,1.2839484e6,0.016402861,0.019051058,0.014125849,446588.1,0.008342111,0.011936488,0.010509502,0.023059033,0.013385972,241898.83,0.008558576,0.01650566,0.033352334,0.007912777,0.023335125,0.020530319,0.015916802,252607.8,0.014787087,0.026058307,0.02133103,0.023122137,0.013476649,257020.95,0.016803915,0.020445546,0.01217153,0.014003324,125155.805,0.03416676,207908.89,0.024692293,0.07304731,0.2009907,99744.2,0.23018636,0.34418085,0.014786416,558854.94,0.6171628,524671.1,0.055238597,101901.22,6.267688e6
t1,6.059088675956889e-7,5.691676458769462e-7,2.0259514972747117,6.200053700848741e-7,6.349599499639481e-7,6.299846792399794e-7,5.751642614936045e-7,5.730185801456916e-7,40.18529889893598,5.89776207982697e-7,5.854476051814641e-7,6.166243517077951e-7,5.684523212693392e-7,5.857711293524113e-7,6.388088583597226e-7,11.378109533388296,5.826882147587284e-7,6.072999775166067e-7,5.688499311016503e-7,5.666395924555117e-7,6.082285445178297e-7,6.078750243274894e-7,6.274535073760038e-7,6.163798421076615e-7,6.023462845164699e-7,6.260300279911968e-7,6.016269786750437e-7,5.999189060254123e-7,6.177858324371321e-7,5.663404797135496e-7,5.714047688437752e-7,5.827288740294677e-7,211.93391784233629,5.655068976408956e-7,5.902354456706325e-7,5.653349756047062e-7,3.6280283958234075e-6,5.682469922796173e-7,5.715642365437633e-7,5.820412153317168e-7,5.863154695428757e-7,5.623710674042747e-7,5.429099014809873e-6,5.698052071389865e-7,5.663491127642656e-7,5.883953981718125e-7,5.614871751738978e-7,5.75056686335834e-7,5.722286932920063e-7,5.74588378156075e-7,2.5979705871120016e-6,5.786695392726681e-7,5.719521528990801e-7,5.865479734125953e-7,5.954848623999434e-7,5.562928768102859e-7,4.27298951018888e-6,5.859779218574792e-7,5.713187968431204e-7,5.633190020771155e-7,5.608310399669957e-7,2.8930839174662445e-6,5.993671957808133e-7,62.23889616053079,1.329976098770948e-5,4.42357580798065e-5,0.00010765716007895959,37.5063583413081,0.00010432315550377243,0.00018269463277319008,2.0146852383275184e-6,200.0300037680613,0.00019859779204672558,200.20680530903178,3.3550790264933397e-5,38.83947177077518,804.3455500325236
t2,6.060324273843802e-7,5.693038413663877e-7,2.1888056082455627,6.201417254842631e-7,6.35100974554745e-7,6.301224304296995e-7,5.753149499732968e-7,5.734554579069099e-7,85.46193707341912,5.899048362812473e-7,5.855649096324598e-7,6.167468652493522e-7,5.685786628106594e-7,5.859273832656117e-7,6.38930398947407e-7,11.3783217969063,5.828169830507068e-7,6.074260711593074e-7,5.689763435841925e-7,5.667825221001119e-7,6.084002499567849e-7,6.081132456367311e-7,6.243714352048304e-7,6.134441713450854e-7,6.025480697263666e-7,6.228867048698044e-7,6.019016673950554e-7,5.971404546839875e-7,6.170762822837609e-7,5.649626652434696e-7,5.715105532855609e-7,5.828392334689867e-7,211.94049543627602,5.656154488355569e-7,5.903581138108137e-7,5.654286415474838e-7,3.60039467204773e-6,5.683929523490608e-7,5.717022739744348e-7,5.821604768666376e-7,5.864459378454409e-7,5.624701102343573e-7,5.417767263454717e-6,5.699482841885767e-7,5.666874053427804e-7,5.885086363120732e-7,5.616116668574849e-7,5.751819075786144e-7,5.723654413979616e-7,5.746968668904647e-7,2.582445880602075e-6,5.787503915732124e-7,5.720611709203607e-7,5.865448335883739e-7,5.954909636003293e-7,5.563945817131792e-7,4.233785249550974e-6,5.860704436590169e-7,5.714382436408543e-7,5.634126214868933e-7,5.609121500884412e-7,2.8745007299101998e-6,5.993868863475114e-7,62.23889616053484,1.4296550516292092e-5,4.423577362651377e-5,0.00010765720561064219,37.506358341319896,0.0001043231296975693,0.00018269463980137235,1.8798167460952202e-6,200.03000376806628,0.00019859779403382503,200.2068053090316,3.355092249749865e-5,38.839471770785394,849.7918329176692
t3,6.061684618548635e-7,5.694610163718473e-7,2.026460421841358,6.20281963540355e-7,6.35244886453659e-7,6.302895323472605e-7,5.754414472890175e-7,5.734880220555437e-7,85.46093741455226,5.900619621608948e-7,5.856943265538262e-7,6.168884800343343e-7,5.687006222939316e-7,5.860816534945903e-7,6.390762104241179e-7,11.378299529159365,5.82982858095226e-7,6.07559884764352e-7,5.6909723679327e-7,5.669217219300367e-7,6.08602204773026e-7,6.083098729577213e-7,6.234360660399875e-7,6.136070990144998e-7,6.027363648419703e-7,6.230881719670285e-7,6.021291484888805e-7,5.963287242223967e-7,6.172779499619468e-7,5.650710041128772e-7,5.716604082391556e-7,5.829888287597245e-7,211.94049151195728,5.657595728096154e-7,5.905192133155828e-7,5.655470444287509e-7,3.5981822851331635e-6,5.685467806091443e-7,5.718711064710464e-7,5.823069571198271e-7,5.86604794940837e-7,5.626157278571241e-7,5.413037640679077e-6,5.700958809493697e-7,5.670576249168223e-7,5.88659931184623e-7,5.617575506092394e-7,5.753343143097214e-7,5.725393722640439e-7,5.747879741147741e-7,2.563091061267982e-6,5.788436740017883e-7,5.721830141720559e-7,5.866590720246085e-7,5.956102028227535e-7,5.564889247493071e-7,4.189317861542557e-6,5.861738758444806e-7,5.715650305617931e-7,5.634962950720065e-7,5.6102416498407e-7,2.794925449234586e-6,5.995589564939933e-7,62.23889616053342,1.456728737150027e-5,4.4235772533366514e-5,0.0001076572157081205,37.50635834135507,0.00010432311464613008,0.00018269464172173072,1.8685961735518856e-6,200.03000376805173,0.00019859779369839852,200.20680530899847,3.355090577012056e-5,38.83947177079606,849.6284619954101
t4,6.063232007885337e-7,5.696381393030881e-7,2.02697010253054,6.204492047856705e-7,6.354209224377949e-7,6.305059234266749e-7,5.755872709580121e-7,5.736196765060469e-7,85.45790980181317,5.902081559070335e-7,5.858354937480658e-7,6.170502728558578e-7,5.688374269662745e-7,5.862572211478098e-7,6.392478496900053e-7,11.378316101589776,5.8317062579574e-7,6.077116808856694e-7,5.692339457390468e-7,5.670730747487007e-7,6.08798767172324e-7,6.084907686768724e-7,6.236178928043537e-7,6.137940786116531e-7,6.029188710158286e-7,6.23288339537188e-7,6.02317937025694e-7,5.965507662483545e-7,6.174661948435814e-7,5.652058293328965e-7,5.718403428518461e-7,5.831625580293996e-7,211.9385687606293,5.659360634751763e-7,5.907083363948195e-7,5.656536788835478e-7,3.641905432920592e-6,5.687078944457107e-7,5.720354713485801e-7,5.824827361520647e-7,5.867861118843532e-7,5.628030356617025e-7,5.471687821975195e-6,5.702722096041102e-7,5.671873673241299e-7,5.888504454194234e-7,5.619298910078428e-7,5.755214201449399e-7,5.727255578851251e-7,5.749183271423752e-7,2.5687434821607436e-6,5.78971712902218e-7,5.721860740248014e-7,5.868146484223483e-7,5.957703896562098e-7,5.565918771618186e-7,4.198548011012092e-6,5.863167478879316e-7,5.716952853812332e-7,5.636256073877704e-7,5.611544806137815e-7,2.796725452798344e-6,5.997153502707608e-7,62.23889616053045,1.443571490811492e-5,4.4235888522398797e-5,0.00010765721445140205,37.50635834137028,0.00010432316890226942,0.00018269464196429095,1.8612876444740095e-6,200.03000376805443,0.0001985977930741796,200.20680530903317,3.355113838814923e-5,38.83947177081512,849.6240378738075
t5,6.064863487774353e-7,5.698337685960498e-7,2.026345759692637,6.205780661041353e-7,6.355656971953317e-7,6.307498853397433e-7,5.75725982458566e-7,5.729607915158145e-7,19.909679875789347,5.904174138212245e-7,5.859776153324094e-7,6.172246940708503e-7,5.689999842436403e-7,5.864032014879567e-7,6.394560053675137e-7,10.38320191527446,5.833854156891606e-7,6.078553772371799e-7,5.693942241735621e-7,5.672460730273003e-7,6.089918615933982e-7,6.086635237321439e-7,6.237813528592452e-7,6.139597953618013e-7,6.031002804721915e-7,6.234755541949942e-7,6.024932093028116e-7,5.96716778594692e-7,6.176377386244847e-7,5.653684750112101e-7,5.72031042579617e-7,5.833527969414441e-7,81.38659095809389,5.661248709354789e-7,5.908758835021192e-7,5.65599598665137e-7,3.674055241483144e-6,5.688694053929995e-7,5.721536092424296e-7,5.827059620388157e-7,5.869355481052853e-7,5.629911615948343e-7,5.446022446421728e-6,5.704441998875885e-7,5.668226339127917e-7,5.890576131058589e-7,5.621109901440706e-7,5.75682360844307e-7,5.728046796386584e-7,5.750352852868644e-7,2.56196970775022e-6,5.791146393362534e-7,5.721732927062481e-7,5.872956927596954e-7,5.960017523121518e-7,5.566934209969311e-7,4.185252592187727e-6,5.864693037859898e-7,5.717932230259655e-7,5.637232233164432e-7,5.612467034262312e-7,2.7480400744121955e-6,5.99950434551813e-7,62.23889616053561,1.3700579375253597e-5,4.42358030781389e-5,0.00010765718603536452,37.50635834132995,0.00010432321286031914,0.00018269463970655537,1.9569916825281443e-6,200.03000376807285,0.0001985977913652335,200.20680530900444,3.355112302325396e-5,38.83947177081151,652.5280909217804
t6,6.064764019292779e-7,5.699866655337085e-7,0.0973345858257435,6.186074164863878e-7,6.334895463727345e-7,6.303807811489201e-7,5.7585330541069e-7,5.730410959684083e-7,2.6990037027758106e-6,5.905458456022455e-7,5.860199483893999e-7,6.173614278636248e-7,5.69149288327504e-7,5.846449256076705e-7,6.396817557015764e-7,3.771802056911732e-6,5.853883042583576e-7,6.063305614642025e-7,5.695662927803142e-7,5.673745112131232e-7,6.091492324877616e-7,6.087191356904474e-7,6.272087434613306e-7,6.160422068013702e-7,6.031359805036986e-7,6.257215991672081e-7,6.02522569599869e-7,5.998772218573514e-7,6.17773702133176e-7,5.659530126465108e-7,5.721510761189016e-7,5.83539081291671e-7,2.5387930969838475e-6,5.662627740245282e-7,5.887558132680521e-7,5.504640309877276e-7,2.2058984201634622e-6,5.6901021219517e-7,5.697685190578867e-7,5.848142519617888e-7,5.843594217347432e-7,5.608477056474444e-7,2.403581970024082e-6,5.705934808377454e-7,5.325188064456714e-7,5.8915265611279e-7,5.621558070314405e-7,5.732218965724307e-7,5.603512421289382e-7,5.732139625562849e-7,1.7034254348391596e-6,5.791665576062376e-7,5.693593572743505e-7,5.853650091940877e-7,5.939068552203215e-7,5.567842018750479e-7,2.450918664713356e-6,5.864990443517532e-7,5.680936302535132e-7,5.617712570134489e-7,5.587269459408982e-7,1.6624623835867107e-6,5.979155977645129e-7,62.2388961605353,1.1620124648252127e-5,4.4201766340590574e-5,0.00010762883486273982,37.50635834118968,0.00010429560419116543,0.00018269200160972934,3.0435115837901436e-6,200.03000376523775,0.0001985977893992508,200.20680530884786,3.3519797347680376e-5,38.83947175414393,538.9196065998667
t7,6.059243631739506e-7,5.694133987967807e-7,5.387943504766521e-6,6.173579950490533e-7,6.321266771314263e-7,6.297536229062055e-7,5.753278076332958e-7,5.724429165391502e-7,2.249321492247503e-6,5.899245135047299e-7,5.854934448928472e-7,6.168384491900154e-7,5.686246431919741e-7,5.825348111137567e-7,6.390787842226498e-7,2.964380701890506e-6,5.85492397707788e-7,6.050141540060311e-7,5.690414504552131e-7,5.66769864520306e-7,6.085140633992313e-7,6.118906869854508e-7,6.278151572126872e-7,6.176167656668589e-7,6.021558615663394e-7,6.276035780530036e-7,6.082527256039157e-7,6.002930331864649e-7,6.214555060119372e-7,5.689551379329494e-7,5.715496368415244e-7,5.82943757380588e-7,2.286066731815715e-6,5.656578949946486e-7,5.879619929522067e-7,5.588805164783893e-7,2.0013339355662074e-6,5.679997051508632e-7,5.684775117157303e-7,5.847765553959711e-7,5.8325457187835e-7,5.597036885735075e-7,2.1434762239397946e-6,5.699973749694269e-7,5.599731841941175e-7,5.884732302230249e-7,5.615168411664877e-7,5.72571474993675e-7,5.629941805878383e-7,5.718133262288013e-7,1.5452457412207133e-6,5.7533398083434e-7,5.699190790904478e-7,5.857325406227971e-7,5.974653139414415e-7,5.561007376799921e-7,2.202992521014047e-6,5.859541413942409e-7,5.667043507008362e-7,5.60356478751908e-7,5.570799406490682e-7,1.5478328336239994e-6,5.967959960164786e-7,62.23889616054009,1.0257562870936608e-5,4.419598904449735e-5,0.00010762195642144425,37.50635834118404,0.0001042835737207921,0.000182687816557176,4.008831529689095e-6,200.03000376494154,0.00019859779153040075,200.20680529632733,3.350491968976216e-5,38.83947175381266,538.8222744795406
t8,6.060604069435084e-7,5.695577444672766e-7,4.66988278022889e-6,6.174449498855428e-7,6.322556158108091e-7,6.299002476206066e-7,5.754578768164398e-7,5.725738325082581e-7,2.236044930638832e-6,5.899897354947477e-7,5.856070844885133e-7,6.169796007310244e-7,5.687319426655e-7,5.822640293010682e-7,6.392257172978254e-7,2.8973910712722037e-6,5.856380294298534e-7,6.039711564304776e-7,5.691474183360318e-7,5.668973554563587e-7,6.087091854479353e-7,6.122357304514591e-7,6.280070088365938e-7,6.177373228891968e-7,6.05557481119389e-7,6.278348008924126e-7,6.084547131250873e-7,6.005121065824666e-7,6.216428809203173e-7,5.690997256287731e-7,5.716961439705077e-7,5.830803109131879e-7,2.253105361930233e-6,5.65797214733914e-7,5.880834920956387e-7,5.650065985476248e-7,1.974249096329122e-6,5.67991341800518e-7,5.68607417344279e-7,5.848406541861841e-7,5.833305609392551e-7,5.598307272687965e-7,2.115950625749396e-6,5.701467701107248e-7,5.628772439070858e-7,5.88623185942386e-7,5.616497436063006e-7,5.727139629338327e-7,5.659617953673648e-7,5.719599710455306e-7,1.534887715892128e-6,5.748795464449802e-7,5.715202798013074e-7,5.867161170643302e-7,5.976778187391276e-7,5.559764314128825e-7,2.1943985998824883e-6,5.861970232858978e-7,5.675492685469264e-7,5.616308680600835e-7,5.587844774139448e-7,1.5491368772617986e-6,5.976496867866699e-7,62.23889616055237,1.0809329606188718e-5,4.419728472175251e-5,0.00010762172366264399,37.506358341198656,0.00010428424975483183,0.0001826889057143606,3.8057935349621592e-6,200.0300037650536,0.00019859779942009372,200.20680530903704,3.350510118352686e-5,38.839471753802556,538.8222739671512
t9,6.061888525766377e-7,5.696993761099383e-7,4.677521394765215e-6,6.175892331252833e-7,6.323989697029841e-7,6.300846123540182e-7,5.755777255856788e-7,5.727125954704783e-7,2.2140882337520586e-6,5.90182172811206e-7,5.857239727803142e-7,6.171153164959067e-7,5.68835730536214e-7,5.830690828697645e-7,6.393644245963453e-7,2.91584026912843e-6,5.857934600857376e-7,6.048956011309531e-7,5.692546429877333e-7,5.670212429437937e-7,6.089454036019323e-7,6.122384284967976e-7,6.283145415948527e-7,6.180023449825416e-7,6.025370419809865e-7,6.280127963759586e-7,6.086131464514032e-7,6.008069505324212e-7,6.185182214827788e-7,5.692285667809042e-7,5.718623334428565e-7,5.832330649394596e-7,2.2703992376884993e-6,5.659578214302048e-7,5.882668702486514e-7,5.636896206903137e-7,1.9784431199093985e-6,5.682799960903716e-7,5.687513626370082e-7,5.85042006309603e-7,5.835171226281767e-7,5.599799541214236e-7,2.1223852772627882e-6,5.702944725231743e-7,5.276887428996683e-7,5.887615646203399e-7,5.6180878259355e-7,5.728922025402569e-7,5.639037257916452e-7,5.72090124947149e-7,1.5335701907772225e-6,5.750721978593856e-7,5.717405566973616e-7,5.869355083392113e-7,5.979021301045096e-7,5.561018080395986e-7,2.1935290134970948e-6,5.863712518606283e-7,5.677401517684305e-7,5.617846718519229e-7,5.589566214805879e-7,1.5485638616614846e-6,5.97877885083638e-7,62.23889614731805,1.3390633151819984e-5,4.42380927021455e-5,0.00010765723436819659,37.5063583413886,0.00010432323404299378,0.00018269521902807996,2.0583991641570628e-6,200.03000376493011,0.0001985934747670083,200.20680529644,3.355065732141541e-5,38.839471770787775,538.8222749493767
