Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,8.922992e-5,4.4173225e-6,63.109936
2,0.0,2.263962,0.11207733,1.167176e6
3,0.0,35.04075,1.7346904,2.0964082e7
4,0.0,0.053953435,0.0026709621,23330.518
5,0.0,4.538721e-5,2.2468917e-6,29.409145
6,0.0,6.8510766e-5,3.391622e-6,43.423424
7,0.0,5.0907107e-5,2.5201539e-6,31.181145
8,0.0,10.588641,0.5241902,6.264944e6
9,0.0,0.50867563,0.025181962,207664.69
10,0.0,2.1259513,0.10524511,1.0096472e6
11,0.0,0.3340862,0.016538922,201656.34
12,0.0,101.72731,5.0360055,6.040395e7
13,0.0,115.751335,5.730264,3.884501e7
14,0.0,0.14633618,0.0072443658,119836.305
15,0.0,56.19767,2.782063,3.470973e7
16,0.0,29.556887,1.4632121,3.6995084e7
17,0.0,6.9211455e-5,3.4263096e-6,55.5821
18,0.0,0.00013351481,6.6096445e-6,58.7397
19,0.0,89.38483,4.4249916,6.0202948e7
20,0.0,2.959706e-5,1.4652011e-6,39.279015
21,0.0,0.09040262,0.004475377,68760.93
22,0.0,3.9299382e-5,1.945514e-6,34.51618
23,0.0,16.862383,0.83477145,1.0212261e7
24,0.0,120.82673,5.981521,9.874204e7
25,0.0,6.94045e-5,3.4358663e-6,36.42209
26,0.0,130.95436,6.482889,8.779622e7
27,0.0,38.855927,1.9235607,3.1437186e7
28,0.0,32.499847,1.6089033,1.7692544e7
29,0.0,49.936718,2.4721148,3.4424972e7
30,0.0,60.176,2.9790099,5.3856936e7
31,0.0,11.953954,0.5917799,6.8009035e6
32,0.0,2.5533507,0.1264035,1.8443281e6
33,0.0,71.243256,3.5268939,3.9873716e7
34,0.0,0.0006011513,2.9759967e-5,486.34854
35,0.0,40.490032,2.004457,2.8274176e7
36,0.0,99.67145,4.93423,7.3352616e7
37,0.0,6.3935266e-5,3.1651123e-6,20.118841
38,0.0,6.101266e-5,3.0204285e-6,27.50044
39,0.0,0.33013362,0.016343247,234489.77
40,0.0,5.7303885e-5,2.836826e-6,54.02526
41,0.0,0.0001778155,8.802747e-6,175.25342
