Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,3.8547037009936267e-7,4.1676490436782663e-8,1163.159999656206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,358.99312301577254,1.2687438207924027e-6,0.04687825297133852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,3.0499531636745652e-6,0.0,148.19999695004685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.24861107554,5874.248361656058,0.0,0.000249419482400981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,3.4471832112988383e-6,0.0,2721.9999965528164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,9.354508638698513e-5,0.0,69.99990645491363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,6.803844796937175e-8,9.640650793156397e-7,590.6185508960267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68802999999997,1.8653449651604738e-7,0.0,177.68802981346545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306499999,4.508005868076232e-8,7966.2924020430355,10007.217708497954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,8.808709811336119e-7,2.0046358548290587e-5,3351.000019165487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.5937300607918,7.652933218881501e-8,0.01627001573753506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,2.7703484342798014e-6,0.0,18.099997229651567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.699779763959,0.0,0.0002202360409597759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131531627193,35.04118824267468,0.0,0.00012707359724889455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,0.0001076040072832289,0.0,24.799892395992714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,4.1778313434680906e-8,3.4257811453433736e-6,855.7914033840027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,4.124241178166808e-8,0.0,4.781999958757589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.1840639999997,6.377180350388555e-8,1.3003834675767015e-6,859.1840652366114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.7784248226593,4.803438392645077e-7,0.02157565768456937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.5709315826879,6.248252484762854e-6,0.009074665564656748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,3.0119759576141193e-6,0.0,45.91999698802404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.2435609697554,2229.243314542029,0.0,0.00024642772622485154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,8.005280311992683e-5,8.005280311992683e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,8.122348060355605e-5,0.0,141.99991877651937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,2.935058204987443e-8,5.080740481976056e-6,2510.3313050513893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,2.8398168928713414e-8,0.0,9.899999971601831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.5580369999996,5.298685049611656e-8,9.318692299778929e-7,1417.5580378788818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 CCGT,4,38.6,5.757348082839151e-7,4.482361253033587e-8,38.59999946908881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 OCGT,4,72.68,72.66082495291202,1.2757075423601846e-6,0.01917632279552217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 onwind,4,233.7185,3.480616042087304e-7,4.0766801062507906e-7,233.7185000596064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 ror,4,628.4368000000001,6.080628489578026e-9,0.0,628.4367999939194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 solar,4,1196.0652229999994,4.5067552508696436e-8,7830.218177321177,9026.283400276108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 OCGT,5,368.5885,367.77406882932183,6.674558156058103e-7,0.8144318381339555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 biomass,5,48.4,2.64951838161199e-6,0.0,48.39999735048161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 coal,5,1001.2235348276073,1001.2233109748905,0.0,0.0002238527168074711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 nuclear,5,1288.0,3.0491305571661844e-6,0.0,1287.9999969508694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 oil,5,553.1,4.818995312495989e-5,0.0,553.099951810047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 onwind,5,990.443533,8.024881473112846e-8,1.391814460779128e-6,990.4435343115656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 ror,5,236.04,2.496431323034262e-9,0.0,236.03999999750357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 solar,5,4165.0118810999975,4.509361501979959e-8,17116.757024737384,21281.768905792287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 CCGT,6,240.0,1.591460851683249e-7,4.910814333597988e-8,239.99999988996203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 OCGT,6,183.45,2.0544272718785927e-6,7.704524773777351e-8,183.449998022618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 onwind,6,184.95324,9.063806181761314e-8,8.640589955163858e-7,184.95324077342093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 ror,6,762.3918,4.3621560683430185e-9,0.0,762.3917999956378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 solar,6,4165.847817999998,5.936255246201665e-8,2.0635310514232753e-7,4165.84781814699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 CCGT,7,1132.4,3.3288008831350897e-7,5.539147714166753e-7,1132.4000002210346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 OCGT,7,236.4,236.2965832045906,4.286500430565367e-7,0.10341722405943221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 biomass,7,18.1,2.673664580449308e-6,0.0,18.09999732633542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 coal,7,79.28657826443299,79.28640132132931,0.0,0.0001769431036829916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 lignite,7,2748.9735444064345,2748.973350250394,0.0,0.00019415604057826386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 oil,7,212.5,7.381058538604624e-5,0.0,212.4999261894146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 onwind,7,3912.74479,3.6338084301411815e-8,1.1844651721011069e-6,3912.744791148127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 ror,7,25.30822,3.074547110456161e-8,0.0,25.308219969254527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 solar,7,3191.303605,5.407899648937679e-8,1.2945338542672298e-6,3191.303606240455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 CCGT,8,207.0,5.970823008890682e-7,4.2179257824521944e-8,206.99999944509696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 OCGT,8,137.51000000000002,137.48202403163643,7.509260566174811e-8,0.027976043456195976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 biomass,8,13.0,2.7751224092757124e-6,0.0,12.999997224877589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 coal,8,1451.1287696304362,1451.1285282148053,0.0,0.0002414156308194748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 lignite,8,352.0,351.999862845486,0.0,0.00013715451396834055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 onwind,8,1810.05985,3.425114984353755e-8,3.820086857133544e-6,1810.059853785836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 ror,8,45.9434,2.8722598378754934e-8,0.0,45.943399971277394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 solar,8,1271.001656999999,5.6780790522457476e-8,1.8948113543902185e-6,1271.0016588380297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 CCGT,9,1820.0,1572.4515893691712,8.467981378310062e-7,247.54841147762696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 OCGT,9,103.4,103.39101522171497,1.1599310888789392e-6,0.008985938216132805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 biomass,9,30.6,3.0893858067124923e-6,0.0,30.599996910614195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 coal,9,772.5831695999401,772.5829839426217,0.0,0.00018565731840780586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 nuclear,9,1336.0,1.940002380304822e-6,0.0,1335.9999980599978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 offwind-dc,9,0.0,0.0,38583.25361396464,38583.25361396464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 onwind,9,3100.0548,2.90265127836918e-8,3.6669166318887166e-6,3100.0548036378896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 solar,9,1402.1259439999994,6.281201261743981e-8,2.725423016336002e-7,1402.1259442097296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 CCGT,10,183.0,7.716601403089703e-7,8.73126826790508e-7,183.00000010146667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 OCGT,10,148.9,148.88372191256718,8.269103503796098e-8,0.016278170123867897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
