Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,-365.4020306379291,0.0
AnnualSum,410762.2768133523,971100.4388769538,819455.2625940302,11911.203134642683,11977.206804852622,124646.95956722707,435217.01274791337,59562.02274719674,2.4109064418565016e6,43652.26807802362,310836.0275919745,72562.78402192701,544896.8008304948,340509.25159106386,1.1824048081767391e6,2.167070353199764e6,171377.00077484935,512706.1373212832,683377.9174364973,23390.424858221373,1.1716794417337226,99306.82271690495,636437.9088835929,229141.00198974233,241049.70523203857,701145.2646100239,213143.50137098244,0.8001647598614109,0.0,142233.9883606916,201021.65623230653,0.0,516290.20795438555,0.0,0.0,8873.307821315853,0.23338439506835315,0.0,0.0,0.0,0.0,45086.6805787267,132766.8703244796,176551.06810640063,0.0,0.0,96635.85223742832,0.0,1.09418960427981,0.0,1.1140503998540144e6,0.0,67949.3851783515,0.08975696715657451,10456.72947935666,693343.3018392287,739636.318821904,3.2451696912814776,375392.00428353157,551675.7485319064,135712.6813536081,196736.07808883936,0.1187739197369443,2.2690239178811615,2.7622517502588388e6,531203.9810337846,2.213211964803778e6,276336.61403197073,992309.4807343282,2.837840578418812e6,211128.19810927875,205655.8550520052,1.3998188980480217,1.008365341335172,3.0694015490049566e6,0.07344092135233297,3.173231055808888e7
t1,1.3444949590887429e-5,1.7940478476032478e-5,1.5037520083845651e-5,6.258158922643258e-6,1.1366131183510899e-5,6.225577074712823e-6,1.806500701300342e-5,1.5139037393769381e-5,1.1448991564718513e-5,1.0634976349895192e-5,1.0718886707508278e-5,1.017363599316792e-5,1.0240469638701357e-5,1.872251540060155e-5,1.4778441305076396e-5,1.5219297124788726e-5,1.3722695880799067e-5,1.4549413570725456e-5,1.7991816362110766e-5,1.0550464031937718e-5,7.547296664695078e-6,1.5942608100314075e-5,1.6870413418622255e-5,1.533220701195438e-5,9.998195025210445e-6,6.784132092878136e-6,1.0835274360774644e-5,1.0942862119960617e-5,0.0,1.1519984412987679e-5,6.4722791135106565e-6,0.0,3.9703701357202235e-6,0.0,0.0,3.6695868197802136e-6,5.242807790713065e-6,0.0,0.0,0.0,0.0,8.894819651869065e-6,3.960147596950758e-6,7.434230523074002e-6,0.0,0.0,7.213734037257575e-6,0.0,7.372906260674011e-6,0.0,7.765188839896061e-6,0.0,6.094451614215937e-6,3.173695252111515e-6,3.0482744248416476e-6,6.038364182775141e-6,7.724371514756914e-6,3.0271648125896068e-6,1.0002393160383176e-5,2.9276112728024065e-6,9.400073854548814e-6,8.350268682215245e-6,7.409291992386511e-6,0.001116507122778049,555.9556809846439,134.79654975749588,716.0282606250206,92.3137323833592,295.27963606357577,943.2689209167979,54.512242701769914,83.99267420144166,0.0006295301369816577,0.000509447682371912,870.0110035773297,1.350187258207003e-5,3746.1614673917175
t2,1.3452517207254261e-5,1.794497898833924e-5,1.5067754995160445e-5,6.263827672031429e-6,1.1370820072483187e-5,6.229561245112604e-6,1.807041227812816e-5,1.5142375090461258e-5,1.1474914620201333e-5,1.065381121582396e-5,1.0723239203190506e-5,1.017738911444558e-5,1.0253813882823735e-5,1.872792210285772e-5,1.4783896447869926e-5,1.525299945661683e-5,1.3726178333364457e-5,1.4553597370114923e-5,1.8010485159942364e-5,1.0563782680598847e-5,7.544061922387787e-6,1.5935316222100845e-5,1.6863995381671616e-5,1.5326580947563424e-5,9.992342916248527e-6,6.779960231702179e-6,1.082860549763594e-5,1.093915377172967e-5,0.0,1.1517524547938305e-5,6.4832711334262e-6,0.0,3.977055205643318e-6,0.0,0.0,3.672207869544703e-6,5.245711250919978e-6,0.0,0.0,0.0,0.0,8.89578582812508e-6,3.964905278233347e-6,7.438262853543534e-6,0.0,0.0,7.218468578591213e-6,0.0,7.379513744540549e-6,0.0,7.785524908408744e-6,0.0,6.106536848364756e-6,3.1810767776481545e-6,3.0620779048535964e-6,6.052248874034789e-6,7.74452316726025e-6,3.0417886091114288e-6,1.001432764688591e-5,2.937303579580441e-6,9.417519019628441e-6,8.372231823538461e-6,7.417384464562477e-6,0.0011151722242412293,555.9556794199368,134.7965459134799,716.0282389737459,92.3137301359216,295.27963078489597,943.2689174199352,54.51224128451494,83.99267285167147,0.0006281987367367128,0.0005081277925674069,738.9575266717281,1.3449511350411109e-5,3615.1079459836383
t3,1.3461765406256444e-5,1.795539116607475e-5,1.5089240426392403e-5,6.272033869055319e-6,1.1375235345042708e-5,6.23831557281622e-6,1.8080505604867665e-5,1.5151317508516323e-5,1.1494653313472101e-5,1.0666508071302599e-5,1.0732174619807114e-5,1.0185984909378106e-5,1.026613926830714e-5,1.873794954692482e-5,1.479469781317051e-5,1.5275739825770127e-5,1.3734969344015457e-5,1.4563509192104618e-5,1.8023152519032783e-5,1.0575892290208686e-5,7.54265363013756e-6,1.5932672439381324e-5,1.6861888850057765e-5,1.532472015482007e-5,9.990864963782737e-6,6.779016493490794e-6,1.0826884595992854e-5,1.0937348539311464e-5,0.0,1.1520398079898855e-5,6.4910223705867395e-6,0.0,3.98591296918809e-6,0.0,0.0,3.673386815475464e-6,5.249014602900318e-6,0.0,0.0,0.0,0.0,8.896765075167366e-6,3.9718321765381095e-6,7.443472846676174e-6,0.0,0.0,7.223868909106692e-6,0.0,7.383690718164618e-6,0.0,7.799466160049692e-6,0.0,6.115580319223964e-6,3.1853333879896647e-6,3.0691746090380766e-6,6.063157578140845e-6,7.758900971888846e-6,3.0495567528505547e-6,1.0022565595693205e-5,2.943964183315375e-6,9.425191114718942e-6,8.387198562961517e-6,7.4204354653622924e-6,0.001114752834523377,555.955679232277,134.7965459429217,716.0282385471104,92.31372958068754,295.2796324044882,943.268917864678,54.51224110564506,83.99267253284783,0.0006275959523627984,0.0005076995840319185,704.7393767428388,1.3444982265730947e-5,3580.889795397962
t4,1.3478674982818337e-5,1.797478079166433e-5,1.5115105792217819e-5,6.2897001145885925e-6,1.1381781522894944e-5,6.2568282582643765e-6,1.8100294404264056e-5,1.5169728241445679e-5,1.1520349444338554e-5,1.0683350332443184e-5,1.0750492192558197e-5,1.020448157331201e-5,1.0283650317981773e-5,1.8759484964960772e-5,1.4813968299063007e-5,1.531057646130332e-5,1.3755550182646721e-5,1.4583637304874356e-5,1.8043338486356948e-5,1.0593467757349632e-5,7.542778788836862e-6,1.5932839053914932e-5,1.68617841479545e-5,1.532573358320347e-5,9.993091748387558e-6,6.779990033860547e-6,1.0828244613390726e-5,1.0937177619890193e-5,0.0,1.1521090419140833e-5,6.501440159748298e-6,0.0,4.006777141225562e-6,0.0,0.0,3.6721490613884645e-6,5.258065935192299e-6,0.0,0.0,0.0,0.0,8.898166404759638e-6,3.990200191379768e-6,7.454084459246886e-6,0.0,0.0,7.233815139696906e-6,0.0,7.394716303815738e-6,0.0,7.817836295305116e-6,0.0,6.1327302912778425e-6,3.191245966666868e-6,3.078489483909984e-6,6.079167332231494e-6,7.77845548420214e-6,3.0592181895658075e-6,1.0039229812285743e-5,2.9530713825851277e-6,9.438797499612823e-6,8.407459626348484e-6,7.4268962861758985e-6,0.0011148297152031746,555.9556757268981,134.7965420238152,716.0282428229618,92.31372934309626,295.2796262580478,943.2689163054565,54.512240025911346,83.99267217254932,0.0006274533535733074,0.0005077817165821324,771.4626094511575,1.3437902583126376e-5,3647.6130162365653
t5,1.3544393118613423e-5,1.804264471760689e-5,1.520286490374553e-5,6.350488442168897e-6,1.141219028164205e-5,6.318391088693945e-6,1.8169927752844226e-5,1.523159733397734e-5,1.1601733886193828e-5,1.0735756188269692e-5,1.0812019924379582e-5,1.0266102470265195e-5,1.0340266549956292e-5,1.8831051271171333e-5,1.4882607360376703e-5,1.53872255578248e-5,1.3824795233636384e-5,1.465397672506288e-5,1.810732745875975e-5,1.0650031403419891e-5,7.544001570073186e-6,1.5934707945910004e-5,1.686354084556387e-5,1.532963862360577e-5,9.998836934105071e-6,6.7823535614281456e-6,1.0832544039218298e-5,1.0939045655103714e-5,0.0,1.1520226656885687e-5,6.5443178648926226e-6,0.0,4.078216810084274e-6,0.0,0.0,3.6771915930886628e-6,5.290344423527224e-6,0.0,0.0,0.0,0.0,8.90848942473057e-6,4.058867707125336e-6,7.493332414571929e-6,0.0,0.0,7.2776088410413985e-6,0.0,7.433159577940835e-6,0.0,7.883288830823434e-6,0.0,6.188863356052225e-6,3.210383255874315e-6,3.1117141604411173e-6,6.135494451054632e-6,7.847833277976831e-6,3.0922741182259646e-6,1.0097403405422982e-5,2.9871743818432807e-6,9.499409793518968e-6,8.476681432888278e-6,7.447768033961915e-6,0.0011163277966430526,555.9556775838639,134.7965466894347,716.0282490775256,92.31373184645001,295.27963155348266,943.268919737297,54.512241620761074,83.99267396578361,0.0006289650618131912,0.0005090960674042347,1235.0601221529982,1.3485024403824217e-5,4111.210562951651
t6,1.3898106569275043e-5,1.840941678626094e-5,1.5666659278873975e-5,6.609522584325924e-6,1.1631455008047301e-5,6.578986134310834e-6,1.854618742917038e-5,1.5527962833419177e-5,1.1975147354478205e-5,1.100141689026846e-5,1.1089640273850977e-5,1.0543739815446095e-5,1.0609879495937976e-5,1.9212350361898102e-5,1.5259026974861097e-5,1.58427081059876e-5,1.4171246836554521e-5,1.50142705313621e-5,1.8478888712468978e-5,1.0919222915321329e-5,7.546538790038209e-6,1.5945476719014884e-5,1.686625442282707e-5,1.5336190044546117e-5,1.0009035267588648e-5,6.782713592876572e-6,1.0837268586472417e-5,1.0941083848518505e-5,0.0,1.1515458004998038e-5,6.798268398716616e-6,0.0,4.365651778925169e-6,0.0,0.0,3.7782440095532984e-6,5.440151164369935e-6,0.0,0.0,0.0,0.0,9.063387809755127e-6,4.3380526046384465e-6,7.670464732322415e-6,0.0,0.0,7.552440167381246e-6,0.0,7.6128943370989755e-6,0.0,8.16442195832638e-6,0.0,6.435750492626322e-6,3.311994736091271e-6,3.2631720645939414e-6,6.383243156593244e-6,8.143062872666967e-6,3.2431170713276528e-6,1.036852184290685e-5,3.1310088026499107e-6,9.837648543925109e-6,8.768451054950324e-6,7.572564184704949e-6,0.0011250975290765307,1664.342210654431,134.79657416317974,716.0282868781225,92.31374651648989,295.27966022603005,943.2689348916878,160.20778103692888,83.99268460055725,0.0006377657049551101,0.0005178417805870921,1340.0660683787212,1.4154753136153464e-5,5430.298754214283
t7,1.40521830279033e-5,1.8565677832513025e-5,1.586707826707937e-5,6.719291191213153e-6,1.1722138466428475e-5,6.696091208130737e-6,1.8712516243573148e-5,1.565671505061924e-5,1.2140620992126147e-5,1.111620889344349e-5,1.1208403194669646e-5,1.0667543857940167e-5,1.0724765971438941e-5,1.9381449867042733e-5,1.5429319257709757e-5,1.6044703273810943e-5,1.432593114989187e-5,1.517338583168109e-5,1.863774049456867e-5,1.1033907658893139e-5,7.550308258512287e-6,1.5962423026153424e-5,1.6874878281119983e-5,1.536072710431974e-5,1.0054305824210763e-5,6.788532650597611e-6,1.0860523765971747e-5,1.0947309543246531e-5,0.0,1.15332936067436e-5,6.8919898102857495e-6,0.0,4.49709755794243e-6,0.0,0.0,3.8098937256885414e-6,5.510916660719738e-6,0.0,0.0,0.0,0.0,9.110964816196018e-6,4.465657699295668e-6,7.750163533350897e-6,0.0,0.0,7.665749582835318e-6,0.0,7.668747182340442e-6,0.0,8.29898827295863e-6,0.0,6.539079288075562e-6,3.3494924524067524e-6,3.331158339592601e-6,6.489282135207847e-6,8.2766288334309e-6,3.309986457050623e-6,1.048145552084862e-5,3.196517953569589e-6,9.983585679274746e-6,8.90261556918252e-6,7.619713409376305e-6,0.0011256777060779882,1664.3422134345674,134.79657533911143,716.0282882094941,92.31374728279854,295.2796626244204,943.2689361969474,160.2077876115328,83.99268550980109,0.0006389577789665287,0.0005186610654391764,1340.0660705264354,1.4366830482005049e-5,5430.298781356148
t8,1.4089836327578646e-5,1.8598797980938974e-5,1.5916722393720924e-5,6.7484904634790205e-6,1.1740537549887552e-5,6.7221711924376775e-6,1.8746543240531626e-5,1.5685324097042602e-5,1.2185640036693332e-5,1.1145461661465063e-5,1.1239982246522158e-5,1.069421779751753e-5,1.0754317944876604e-5,1.9411320366841397e-5,1.5465702300023046e-5,1.609588938561354e-5,1.4354196560941074e-5,1.521283453253588e-5,1.867591362812168e-5,1.1063523077391005e-5,7.551268600927447e-6,1.5964165869966977e-5,1.6869316699974023e-5,1.536447058242116e-5,1.0061352524574176e-5,6.791618394455077e-6,1.0864481906421572e-5,1.095037140209694e-5,0.0,1.1541093263414835e-5,6.916902191882165e-6,0.0,4.538464668532397e-6,0.0,0.0,3.8161426786049626e-6,5.534796389812305e-6,0.0,0.0,0.0,0.0,9.12127644880649e-6,4.504989483401413e-6,7.772844850846884e-6,0.0,0.0,7.693758401967396e-6,0.0,7.659811846474247e-6,0.0,8.33006979022515e-6,0.0,6.5619519572650655e-6,3.3553124511401296e-6,3.3482033312808053e-6,6.508977197519685e-6,8.310288618939458e-6,3.325621831276938e-6,1.0505050454443722e-5,3.209961569346136e-6,1.000845995282707e-5,8.933073750160824e-6,7.626721414727884e-6,0.001124818565635251,1664.3422118948004,134.79657340284191,716.028286854194,92.31374554881681,295.2796611658064,943.2689345645025,160.2077831626994,83.99268484521134,0.0006387941606983533,0.0005176799669380892,1340.0660692483048,1.4311797327582943e-5,5430.29876437991
