Line,New_Trans_Capacity,Cost_Trans_Capacity
1,7.233335e-9,6.626291e-8
2,9.506426e-11,6.347888e-10
3,9.393119e-9,7.278754e-8
4,4.8408952e-9,2.7112884e-8
5,2.3773432,19.951958
6,7.2351614e-9,5.9396143e-8
7,1.9120152e-9,1.5168746e-8
8,2.1324077,16.3415
9,1.0333803,5.4642005
10,1.3676573,8.412758
11,1.5936763,12.459431
12,0.6472113,4.9775844
13,3.9644346,17.231981
14,6.600258e-10,7.0007142e-9
15,3.311563e-8,2.649175e-7
16,1.3451846e-9,2.1807807e-8
17,1.6231254e-9,1.6883163e-8
18,4.1236473e-10,2.3497873e-9
19,1.1569519e-9,1.0092854e-8
20,3.1741817,54.56178
21,8.3548946e-11,8.230883e-10
22,7.499889e-10,8.531719e-9
23,1.5741929e-8,1.2348256e-7
24,2.3773437,25.163774
25,0.796838,5.4161663
26,7.132031,61.93182
27,5.0,52.396362
28,4.7546873,33.52553
29,3.1741817,28.341976
30,2.3773437,27.558466
31,6.3265524e-8,4.6619422e-7
32,7.323345e-9,6.851442e-8
33,2.7757628,20.12195
34,6.0810867e-9,6.372205e-8
35,1.3661842,12.35651
36,4.7546873,45.322258
37,4.260636e-10,1.7365275e-9
38,1.5215772e-8,8.882975e-8
39,5.6482956e-9,5.196325e-8
40,2.3773437,29.030165
41,1.5900857,20.298418
42,3.7126093e-9,5.6196622e-8
43,6.4990726,90.83536
44,13.48698,168.66942
45,1.2569142e-9,2.1159698e-8
46,1.6433555e-8,2.5649692e-7
47,8.999983e-10,1.05430145e-8
48,1.7857196e-9,2.9395558e-8
49,3.320849e-9,5.8419662e-8
50,0.39841908,7.217338
51,1.0261305e-8,2.400559e-7
52,6.3829564e-9,1.3480587e-7
53,1.1187314e-10,1.7445961e-9
54,1.3869298e-11,2.3692165e-10
55,1.1886718,14.309782
56,5.3759663e-11,9.632906e-10
57,1.33477895e-8,1.8020907e-7
58,1.5870908,20.512764
59,4.843555e-9,6.0935626e-8
60,4.0531134e-9,3.8986865e-8
61,0.090676785,1.0645497
62,3.8478154e-9,4.682621e-8
63,1.2218469,19.33507
64,2.413919e-9,4.5256357e-8
65,3.4221221e-9,2.2475698e-8
66,0.7602132,13.024083
67,0.5992595,6.913358
68,3.5660155,29.40836
69,2.4773459e-9,3.1460065e-8
70,2.7757626,22.94146
71,0.5179624,5.4053097
72,2.2375661e-10,2.1051063e-9
73,3.5726008,50.477474
74,4.4104323e-10,7.0746857e-9
75,2.0145078,26.812273
76,2.2484186,19.520632
77,1.3988776,15.676327
78,5.5581107,55.806778
79,1.4859157e-10,1.8039148e-9
80,1.0205251e-9,1.3582578e-8
81,10.306212,81.789276
82,2.1752632,28.385431
83,2.9314455e-8,3.3889944e-7
84,3.2127648e-10,2.7770073e-9
85,1.1952567,19.594118
86,5.8166505e-10,8.844531e-9
87,5.5515227,83.569725
88,2.193867e-8,1.6312498e-7
89,2.6560976e-9,2.6862773e-8
90,0.618459,3.8234253
91,7.5370355,85.628006
92,0.8389782,4.850239
93,0.39841908,4.603415
94,2.6813893e-9,2.7712806e-8
95,2.5960703,22.569231
96,2.1923344,15.882551
97,7.341277e-10,6.2266676e-9
98,1.413989e-8,1.1399335e-7
99,6.369789e-10,7.0630377e-9
100,2.9657693,36.08789
101,8.2728485e-10,1.1159161e-8
102,5.2015623e-9,3.0401075e-8
103,8.494362e-9,4.9492254e-8
104,4.1212454,26.64288
105,7.5825446e-10,6.477471e-9
106,3.8416872,25.498755
107,8.378154e-8,9.1371555e-7
108,3.4006744e-9,1.27691475e-8
109,3.2269087e-9,1.7387887e-8
110,2.3773434,37.151394
111,6.74753e-9,4.1025693e-8
112,3.8590674,53.116734
113,5.9044375e-10,4.6551962e-9
114,1.7170212e-9,2.8869515e-8
115,1.1886718,13.177273
116,0.8601886,11.769133
117,8.784337e-9,1.04294244e-7
118,2.316074e-9,1.5506984e-8
119,4.8004334e-9,3.800075e-8
120,4.5929387e-8,3.6690327e-7
121,3.3382583,48.016094
122,1.171669e-9,1.361601e-8
123,1.1886709,18.25072
124,1.9210132e-10,1.7338315e-9
125,3.9404494e-10,3.3503569e-9
126,1.0932195e-8,7.7381344e-8
127,1.5870899,16.556173
128,2.426802e-9,2.2548821e-8
129,1.4340993,16.94441
130,3.5660155,48.110348
131,0.39999998,29.044403
132,1.9019649e-11,2.568552e-9
133,2.0,48.62635
134,2.0,64.22917
135,1.2193387e-9,4.0895568e-8
136,1.0410798e-9,3.2614203e-8
137,0.87548935,70.34184
138,5.0,334.06784
139,1.8234259e-7,7.4234254e-6
140,5.0,150.70554
141,5.0,305.77582
142,5.0,229.7332
143,5.0,325.0086
144,3.4484674e-7,1.0058423e-5
145,5.0,216.85757
146,5.0,624.2871
147,0.29999998,2.5051835
