Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,Total
Sum,1.5564448e8,2.8565667e8,1.6010008e8,1.389364e8,2.763493e8,1.2148091e7,5.503501e7,3.6385245e8,5.451782e7,7.796227e7,1.9921045e8,3.4950355e8,3.0933552e8,5.810659e7,2.9022374e8,3.0248605e8,6.924385e7,1.13391896e8,1.7905494e8,4.5737808e8,1.6648654e8,7.9407624e7,3.3403052e7,5.561372e8,9.545571e7,1.2828054e9,4.5650794e8,5.434034e8,5.1848307e8,3.464102e8,6.801405e7,2.214711e8,3.6847578e8,1.6296856e8,5.4763245e8,8.8107674e8,1.8722762e7,3.3768684e7,2.0369635e8,3.1116493e8,4.9334246e8,6.6802445e8,1.2453044e9,1.8960952e9,1.8881979e8,3.616903e8,5.0874224e8,7.725459e7,5.627262e8,8.1910104e7,6.5889484e7,5.142923e8,5.3230374e8,2.0998021e8,1.8381842e8,7.107038e7,2.4455067e8,3.197716e8,2.0236011e8,2.8149443e8,2.0035398e8,1.3456594e8,3.462694e8,3.6962608e8,3.9968022e8,1.8313094e8,1.4217054e8,5.754841e8,7.274642e7,2.7616448e8,2.1832894e8,4.0221256e7,6.482001e8,2.3438675e8,3.6352064e8,1.4484437e8,1.7962203e8,6.848584e8,6.124356e8,4.1459932e7,8.923721e8,4.4976637e8,3.040872e8,7.762283e8,2.4933517e8,6.4864264e7,9.5912403e8,3.333574e8,2.2607422e8,1.5785128e8,9.421584e8,2.732729e8,9.4958456e7,6.897022e7,2.6265109e8,1.945459e8,1.10942936e8,2.1988242e8,6.303318e7,5.2100006e8,1.9640046e8,2.1826885e8,5.781397e7,3.9738976e8,6.0906268e7,3.5887318e8,1.7835402e7,4.5421693e8,1.7868162e8,3.547699e8,1.7632347e8,3.90694e8,1.3677933e8,2.0755411e8,8.078747e7,1.835439e8,3.3344346e8,5.0127395e8,1.09537496e8,3.598991e7,2.4767176e8,4.6285816e7,1.8307846e8,2.8369804e7,7.385676e7,1.4853656e7,1.4450131e8,7.7173304e7,2.1351069e8,2.8464768e8,1.11458424e8,7.683059e7,3.1563856e8,3.5627738e8,1.14727304e8,1.1459241e7,1.542706e8,5.9839085e8,19.742073,4.5650867e8,7.655275e8,8.2609376e8,5.9838714e8,33.31577,4.4645773e8,1.2807502e9,8.136413e7,4.4504785e10
t1,52583.178532570135,41706.405097832154,0.04372656279382256,50059.161329270646,0.10801060311468855,803.0705178870858,18238.875244141072,59815.7885530252,0.03900796839885552,22388.252844809303,15768.66260324732,9802.910071256001,3106.428052448956,0.04203096159058571,0.14608698374946041,50706.71386583635,4739.655583928257,0.02966343769758363,27285.667469241118,143569.61081506417,53507.652861183844,14935.939335123998,0.037485008763398935,66213.95278920927,0.02793345551599699,162962.72695812225,68935.90432622856,78015.57363113615,42366.80358575151,0.07410303920216238,1113.0148513707693,87786.91980311432,52947.298245020036,47023.71953263976,56201.59021720651,119256.32769210545,349.49845576445364,13693.08258758086,32810.94094193706,76387.5743610326,86597.79594212947,15800.871043955824,0.013147665714896475,22770.846057124312,0.019567493820969124,137555.08862968732,25661.213202780953,25886.556345281813,44998.27403933088,18991.16783474591,15011.226757762819,0.016037203501691195,81482.90393159416,71625.7338005322,37653.699449182415,0.0667496815537486,0.02745838058751669,53975.7646924487,0.40050563408587736,51494.10586326963,29556.6954848235,13657.91426524808,83228.7269392746,87959.83604402513,81636.84997207225,43928.10188173687,0.05197024067455237,77382.97096553867,0.2389734479072706,53986.415926872025,1359.4278491512832,0.03558794134344988,132600.67072434214,58580.45421587086,83882.10008811315,0.033131039781374154,35533.49094342075,32700.167358169005,0.029136549180185607,0.03816714815994758,156304.2615780498,112248.56714158588,78479.6834379173,152670.57609011498,51558.49996509388,0.029472791365218402,0.042204990432066984,47922.45699568992,32142.272728299497,31640.50865614583,197756.0156311734,37902.28734937775,12113.084489124047,10377.602230436543,73832.95075063674,0.06342190070245057,13253.916655275632,0.034884929455860865,5332.521372197433,96790.26554626119,0.04960907439675949,35094.59489126081,13050.363240530063,55452.04752521817,5372.222935058446,35345.553195590415,0.044969850137100476,66814.88095141375,28055.528587149995,11164.14129276636,30788.351925312556,0.08900542965261665,2.0333129051646504,50615.58651425492,0.0023172615512923067,32779.14864937838,86717.81607577017,74761.36663503303,2857.5276259277957,0.003656269421387984,39259.702472089426,81.67598423777623,48023.597529636325,0.003210426031139141,21094.626498717866,0.002843558742722748,24451.07689992566,4664.459266263795,47461.410660335394,6305.91197287154,13683.740791567106,19154.309896114555,63354.23904039991,51846.836151760705,2563.3228396303616,1016.1886417597424,25882.712983067384,117584.82737146642,0.002747024202756534,68935.90429603933,169017.53278889775,199353.41295438763,117584.82743311822,0.00394468058650418,64808.54812719254,0.033159541416641174,21818.084132852524,5.747727477639028e6
t2,52583.17757324697,62592.517908045374,0.08384349897974477,67184.98471792588,266.9692098397154,2822.75938797527,24813.69244141974,64152.25737881582,0.03959029000906051,26537.572241027534,21592.687575212414,37886.732062348245,19029.516924463274,4747.190817667056,0.03212681972986206,50706.70989410644,3953.7079626373743,0.02999376214156604,27285.67372259312,143569.59168054018,81243.06884200087,44242.56975907686,0.037596764137815035,66213.94135851959,0.03096850880754359,162962.72435913782,68935.90191704247,75475.60238043727,64089.30671716241,0.08925707395907112,1255.1334739737358,87786.94223784278,52947.38317826016,50967.518279097174,36853.86271472588,119257.39320563324,252.92854266468228,13139.828390161752,33239.67618399796,76387.56277434471,86597.84093378636,10641.174882240304,0.013264263590828298,16510.735501146315,0.019550574319416057,156245.11662048896,28871.44485902205,25886.55622432624,38384.33972920688,18991.16778751759,20918.505416400272,0.016077772005865392,80611.06643237197,83573.39661332642,37653.699401978934,0.06704635552280395,0.027844419132402046,53975.76464660711,0.056030456760029934,33021.26108120692,0.1356810898986345,8076.931137318244,83228.64851471284,87959.82517123439,79958.71646042948,43928.101208395194,6825.411090489589,77382.97096551221,0.23681268771112082,42239.118142189756,15195.170014497962,0.035497433098676354,129314.03764720849,58580.43077661148,83882.09544508469,0.034851884416734306,15341.215581568558,40288.002750047344,0.036894296046895335,0.037509982319155415,129427.74996276728,112248.55906134448,78479.68218680535,130107.63177120713,51558.49858272399,0.029246698242880835,0.06634083313903938,19441.51350534899,47791.9598671485,40569.83218297157,198043.45940666908,48178.09795537723,12113.08448908335,9241.825975788151,69300.44306363455,0.03696519885793673,0.051855714385678014,5133.55753800235,0.03662542462647501,41801.63791315247,0.05123547508133271,41742.62036007823,13884.117136554469,57340.22255817136,6311.324667353881,30238.316251762164,0.04295526894914917,62706.40686600201,0.09858949779666851,0.04796322298036601,35801.17788174739,8395.761328528948,0.03592309188514029,48664.23473177508,0.0023135309778080414,31572.33731490086,86717.81609878625,75137.32455026041,4489.194930178334,0.003686165299119911,40957.2382471365,76.99511714614955,48023.59668731498,0.0032077977310495955,20382.44910946634,0.0028224424908433977,23158.319232068363,3866.3300703972654,49945.065971217475,6444.016180137268,18846.621901500308,17746.81647254423,63354.238984662625,51846.825178422616,5786.271692078383,1239.386813126356,25882.71293726766,68593.09142673222,0.0027486356165235645,68935.90188653562,134305.94889657653,199353.5319391956,68588.88037659846,0.003992136738665682,64808.537257043245,0.11896844180693078,21818.084152889965,5.609460775392561e6
t3,52583.177589858315,62412.118081509485,0.05597480107227799,67184.97748556956,0.11870080534604126,3418.7626198155203,15297.124290863296,54143.7592223762,0.03901649069607468,19857.369265973648,9964.074296312565,34041.46277439576,16846.733890421503,0.1288974948506401,0.032179705790504456,50706.71072373577,4155.484729396492,0.029740291993178403,27285.66545188985,143569.5874892058,89725.4980109885,53323.92204719011,0.037389141281979975,66213.94611916505,0.029319063951907948,162962.7249541993,68696.03454178329,75953.95193168188,73010.21609398109,0.07195159140117154,1167.4574651157777,87786.98313236817,52947.37766866062,51388.961628836274,25922.765349103767,119256.28679277925,0.03488766645067511,12706.206335166195,34061.76565476932,76387.56895879607,86597.78248424536,24282.7001200071,0.013238498834594856,26882.563414896216,0.019319838240579933,176688.53440334718,30481.840921866544,25886.556151730347,35042.21283472249,18991.167771898967,48847.7287538389,0.01601929902750198,81308.7800584755,76696.85543630898,37653.699391101094,0.06702666056807734,0.02716383711133065,53975.76463371204,0.04477872035734711,29581.254767621813,0.05594157112504196,0.046695368282648565,65219.2334398318,87959.05585920384,78851.79680266835,43928.08774343669,9784.906569575942,77382.97096554046,0.23631669813922096,53584.387245472055,0.08900149343079598,0.03542584988588471,126511.63346628187,58580.41063367563,83882.09266337556,0.03408892605183362,12257.697887911878,51592.68977349545,0.03933113577956838,0.03816555325995976,107958.66635365174,98677.54343165486,78479.6719890107,119597.54307556068,51558.47062434142,0.03139930888566883,21103.173637122796,22282.159141976088,48544.662434937476,40569.88392044323,195992.47181643464,54666.9717805655,12113.084489110059,8336.058166657907,62429.16210436053,0.03723469847102824,0.06041900256858952,0.03473406986574859,0.0359169133078231,47233.1509675154,0.050269173638711286,44296.913996399046,13469.880143863718,47124.43899742779,7146.940548509733,21098.41790191382,0.04244508808378064,54475.12445515122,7680.306609101949,0.047201837336906895,36333.347360591964,13176.562490242253,0.035164100737937354,47716.9310214187,0.0025409686063153,31076.297640857218,86717.81607000083,75222.94786243081,4914.479235228116,0.0036984526622907176,42317.893717344006,76.44963929724095,48023.59710565912,0.0032083557228919455,20106.09880106071,0.0028392437182594996,23551.999145536487,3602.026408168012,51941.472694112024,10069.335428591638,18846.64090117866,17201.73810985052,63354.23897256597,51846.75055642426,4643.869058661724,1298.0061022200439,25882.712930497357,42069.08231868675,0.002752736015115355,68696.030439519,91655.89995229222,199353.51192516103,42061.80711223307,0.003998868547783568,64808.46502031679,15726.395026545899,21818.084152243624,5.5043779969681185e6
t4,52583.17693513179,61579.63782543617,0.0420573243783109,67184.93760996248,0.12204862771835538,3898.954123052236,10050.925981018214,48569.343795896406,0.03938465539798492,27670.23919437056,13599.064540961326,31921.71932122324,15433.526305503532,0.053592152030376365,0.044434994784625564,50706.71055897044,5260.392315298915,0.02972049358165227,27285.666264860192,143569.79016079448,98573.53622681658,61905.92501982916,0.03760105297309411,66213.94800937995,0.03080823031414931,162962.7260279382,68935.90312716833,72873.53281335243,74576.9575644342,18224.6370144432,1817.1360765761133,87786.91250515208,52947.35516245861,49244.37366140106,18087.74069070133,119256.24821139357,2565.8395739085922,17213.570241580925,33894.70869133514,76387.57043857515,86597.78138438327,14635.027121511826,0.013367640278655137,18693.38263253942,0.019273564343132602,186570.8227013441,30575.768716585728,25886.556133974373,34835.2228019159,18991.167789808344,48847.75144742685,0.016073365129236926,81351.99246617356,87411.66995792014,37653.699412524154,0.06673643707714388,0.0268199148789128,53975.764658128726,0.041966495726359056,30895.71065477949,0.05683816760673519,0.046731001519410904,67949.07174883646,87959.0743255397,79267.996928798,43928.09383322999,9434.344781293006,77382.97096558848,1031.1337077804453,47678.6954739982,9793.420144613654,0.03882465089682445,127104.99116457999,58580.23774460643,83882.0844042937,0.03455314935164038,13455.857770402814,48036.24601820229,22590.156054292158,0.04061588765675981,70490.28126547969,66359.9803611179,78479.68282838783,97454.03327847425,51558.48466177335,0.031953309992712314,60260.41293620552,25076.78848713534,48264.33780842977,40569.8835385288,225314.766587882,54666.97229255928,12113.084489107658,8626.305490507057,61112.73356929228,0.037381997481882784,0.037633249211177444,0.037370800526553984,0.03602856335728031,37114.339068393405,0.05159117283931926,30216.50984193734,0.08622681588940184,37511.80070642613,8120.972886151884,22163.77275155418,0.04274552110980104,47692.83238369512,19271.672980875166,0.04834626915847592,24051.55336835758,4401.591462983258,0.0273057843213787,48570.959112127224,0.002651406000481491,31545.492691581363,86717.81605203162,74963.07562704018,4024.561798872769,0.003722027649784955,42313.170614488474,81.20018509786814,48023.59830274957,0.0032165643096008388,20473.412381482452,0.002862324999842903,25327.77481414522,3979.0607037761333,51617.16652330916,15631.908311560368,18846.64121011536,18541.700654656637,63354.238998296336,51846.693178140114,12920.526737242788,1532.8243810693643,25882.71295189997,21806.75240291393,0.0027473382103324743,68935.90309564969,51825.79259041433,199353.47489120768,21801.38298608441,0.003971767818110153,64808.41025207451,30083.32792890726,21818.08412892909,5.435301112687834e6
t5,52583.178115086346,44133.98407491,0.04375004547501529,50051.38493415674,0.10372739690147978,2003.1067994270236,0.5945328881163855,40990.916747213574,0.037647731870489205,14340.910302715763,0.08039071300438712,12715.458969999774,4162.939728090042,0.04148648749765589,0.14946536715100728,50706.707440611935,7688.894861651476,0.030733248623917336,27285.666724303992,143569.78791091254,105058.75453550562,69703.81942197694,0.03753980722758341,66213.73389154728,0.029925454762483338,162962.72871617883,68935.9048241478,76934.60680645118,74576.95601389032,27944.637409738712,3441.99755220487,87786.90848132838,52947.294579432106,47560.211922933406,15301.435889629962,104240.23938053752,5671.631958165023,14287.843645876701,33920.239606601295,72859.01733907788,86597.77742196707,11199.804545257048,0.013450538070339867,17092.513915211275,0.019330120500004322,195464.85498903564,28782.145632030224,25886.556135616447,38530.75397265519,18991.167844751824,48847.69923516167,0.016113228126007493,80580.49429977991,94634.36433653445,37653.69946739679,0.06662595691868631,0.026604803113851425,53975.76470873063,0.04168535963487796,36789.62136430548,0.05662851943657766,0.046914729621114044,79068.02504517195,87959.09713797434,73084.7348634939,43928.094536401615,18597.708420461968,77382.97096549175,24591.565674208792,51176.36031525386,4744.312571155335,0.03833827185274409,132536.0470018555,58580.255740293636,83882.08523920357,0.03528243912337804,19344.213473222073,41048.188136726996,49723.150537469046,0.04063061942593426,44243.1329803598,22609.871612330106,78479.68336737531,53901.202289248875,51558.48574283015,0.03171696956914253,101591.4417543379,46388.962938285265,47161.26675180168,40569.88346457424,225314.74997637456,54666.970063007655,12113.084489110372,10342.472817152675,59999.1052570444,0.03805504024748268,0.0378901028359245,0.03812613526889428,0.035883115468094195,39770.6659953097,0.05213861174981599,17464.422063277972,0.04470217580391077,29984.082484404575,8855.192039476318,26152.789938964353,0.04403756804369897,43855.5030264202,20586.485602236517,20263.130842615883,13305.857756655952,0.08885442406751783,0.027822581557013403,51681.25946963059,0.002667543575921684,33330.55856005352,86717.81612237635,74826.30294097542,2530.5160959804325,0.003820470905659736,56964.48536269474,15401.47110163989,48023.59858155624,0.003220737861851909,21650.909810918554,0.0028691266915076724,24406.806338079456,5033.14066476887,60218.05891348327,19350.33989019878,18846.64083416406,21565.783213773102,63354.239066573144,51846.701781345975,22685.227716691297,1650.2331389537694,25882.71299959148,6642.962477225799,0.0027433202183202356,68935.9047926386,29090.10980618378,199353.2846734652,6641.16903924168,0.004014548019333641,64808.41809793748,0.08793515520779469,21818.084113320532,5.333692202269131e6
t6,52583.20624162014,47555.22318551656,0.021159614059271886,50755.70006106618,0.018657265863810425,4841.320162013463,0.28932089934507366,1992.2498513801854,3182.518387891146,43205.50682202502,0.016567226147366144,14231.786240743117,24082.29183207283,0.07932263631486562,0.01651402909069321,50706.82287921689,10904.747094519545,108.04506153244498,22063.29269402501,143569.79771320272,120946.89639612057,91316.88312980876,0.017895665746612333,66213.9312131581,0.01465763419543975,162962.76410411965,68935.92747321111,75613.25682392732,74576.96095782207,26022.94352436818,7109.067330822841,87786.96437882229,52947.350789985016,53050.53881716784,0.01787550676150134,99264.91671234448,9155.072912609474,17005.11362873198,23076.13519385565,10787.908067916504,86597.87165703547,9737.27009647935,0.01334094717465676,20182.580502447563,0.01953905499230211,167450.495725202,22585.115251547402,25886.556353488246,51026.44712173542,2476.4581345327542,37825.4102594794,0.016223238319342154,77908.93792093429,84367.60795674672,37653.66987252107,0.06718471125073264,0.026818818397225545,53975.75851850497,0.02225212861661596,32235.183488640167,0.027480487479215353,0.021230556500033904,55391.930605357324,73793.72824840172,76688.0294673669,43928.11120826976,21190.145572716257,77382.9709665408,40755.199413170725,26284.211443434357,45222.45449555776,0.01880645475878878,132822.57724264247,50118.034083625294,83882.09926047234,0.017052345703247325,23853.89901076168,40653.2983281419,67863.10439123717,0.019557845763430486,16420.313758484932,0.09752526765493628,78479.70814924587,24095.49425574676,51558.51093660672,0.0158029954275207,143360.13304329422,15143.000649332746,44951.75654938785,40569.89100422775,225314.97557291162,45701.12010161992,12113.084490348514,3331.214473430021,61186.08877054725,0.01868563801040352,0.019470369359566232,0.01850913119221682,0.017014534090063285,23496.448656344946,0.02535648971347699,6993.78398667123,52.321031376271044,22614.1830937209,9545.939481199484,32958.191679759664,0.021398838126286294,56294.77473522634,13827.692128413753,49546.20217385453,701.0317395305198,0.04043093098030472,0.013954961608811108,52589.66548243166,2473.464917969033,34766.60539985894,86717.81947301883,75466.98938216742,30825.789860248886,13482.789514078764,88543.68635499559,30357.19212603806,48023.605274721456,8344.317359377463,31050.763193888164,170.60310703169907,21545.158345805845,16282.999743975146,77726.98939220625,27939.123888939554,13967.427077295406,27370.91486355525,63354.20573147364,40613.56552612201,29225.918320339977,1814.9486206099737,25882.706035248746,0.06905952966093375,0.002644476075592768,68935.9274431908,5099.050668824345,199353.44134571817,0.06904232065934197,0.0038231189000654015,53507.28631561982,163278.3600231798,21818.084002099884,5.425080749705588e6
t7,0.1098702638718937,42479.01966677994,0.017879178500360377,28199.20570633644,0.04534266395935895,0.017417271888984717,0.2448045653701392,8021.623560278572,0.03894545549010871,43205.311476520685,0.01614649367907808,0.01429387462106092,10335.820006036276,0.0169058420502458,2151.1180548838743,50706.83066141466,10904.752831742027,2432.6233872672015,21949.75879374296,143569.80561580873,115526.6238180717,91412.96761143723,0.015140448885301618,66214.05463252765,0.04453504684050517,162962.7702652867,68935.93134422216,75625.21495715939,74576.96650819198,23503.710933791685,0.01817044307440559,75101.98384156438,32751.171024703686,60148.175740524246,18103.393828694418,78564.9754014104,7429.27017471583,4949.773614800112,24862.608867104387,0.03586165181144016,86597.89173706414,49795.711865726495,40211.57335249944,61325.63606021268,0.025177462410894885,44437.01281153795,60658.81792107937,25886.483813173538,64413.335122222124,18991.155294745848,0.018927299090986508,0.018540303571639667,80338.16061411533,0.016803690069910622,3070.3201122750843,0.01848719855795756,0.016665560881058864,6309.1122635357815,0.025751886748457607,0.016080425507828712,0.09498840666795864,12570.519014227992,0.016197034049632873,0.017989946721658618,100008.93854962134,43928.08319003014,21190.169580095728,77382.97096709382,0.0980390388360315,19351.431138786742,11036.230382139493,0.014921908638447225,0.042440007560216264,0.01889422103890752,11436.895875207516,1652.6558178398466,0.013436100637694378,41280.85337513768,40038.255113740095,0.01675691890165306,76860.42239938333,0.013122877665715942,78479.70418309426,16655.89331225838,150.17820557274322,15941.016477910745,219899.21046721315,17350.736176756505,6058.206061373822,25642.076059115254,102505.44902539942,34106.257350307955,12113.084491519085,0.02677906685444485,38189.99206323847,22654.74823773885,1221.8998516552767,0.01566098785486852,0.037733803879082616,25155.93541934277,0.020323957928666824,0.011870843744743089,16998.067061743823,25131.130982931405,7289.803022874459,53248.99342949553,0.01857392218087652,73357.55599270272,804.1645650794678,69669.57196069174,0.015572832016336337,24894.15294906108,0.048683623872277315,0.23206736646026616,0.002209498402438042,0.17251837780959617,86717.81700163688,72233.72683837319,19051.895072290048,0.003386937970388789,39075.382869959234,16209.983521549728,48023.60131556534,0.002720496916549288,27870.091196102992,0.002474649107413691,23083.715406239666,11385.680389022153,35702.97215537216,28391.411628896927,12753.108480655925,28693.76291872345,3721.3551430135726,0.014478444041967863,29217.387624221737,1821.7838267421073,0.014403522100004933,0.012033193467788614,0.0026290089604756933,68935.93131445775,0.011073573401609247,143755.51044372085,0.012030760486021733,0.003812793856243749,0.010677490671254267,126737.68333167928,21818.083696704456,4.076118640467153e6
t8,0.10656374911199219,50869.778363872894,0.017443722247350146,45540.1343838616,4852.5959845416155,0.01645930161362713,24813.879040701155,0.013445490232718104,0.0276603912845049,22024.428034594603,0.016481832354564734,0.013884816927850405,9994.12552137115,0.03059871290567882,8953.751667450368,50706.83848265233,10904.760031616184,4650.7147916727645,9632.771612381048,143569.8010746589,124244.7628888286,106743.01195903546,808.677703126715,52175.44760248039,0.01242628581411342,162962.7716279379,68935.93196919156,67278.95089938192,74576.94730384421,23593.136041976213,0.01778363937675297,81509.0140703922,35033.537745670794,60148.33757520365,0.015239553988673776,61405.934516684836,14785.723128258784,5274.19503233935,14676.962552263476,0.032530006580871185,86597.89305333274,46994.25273617996,48917.66410353348,70848.47343827266,0.01671915107179814,52984.47024447289,42573.59570429073,25886.48383958028,83205.25379603414,18991.154477940057,0.014152911008148687,0.014882496387309313,75233.87366369544,0.01704334006423391,0.16711153018891967,0.018367664401844567,11388.298736944389,18898.33578667952,7809.1230468613785,1235.3373545325528,6494.959690256993,13248.240190406046,0.017008335511982567,0.017466560127525715,100925.46069747816,43928.079228871386,21190.171851426185,77382.97096707644,0.09894697415439488,20340.973389023067,10910.726153385693,0.014586734926218665,0.0171076975787416,0.0177208780240404,0.06819724091313788,3664.4663866355804,0.01346463452962669,51536.472816869675,68666.01385746527,0.016502674315940574,81802.97245133997,0.013344437227042092,78479.70575090963,13231.512434929668,0.061894839171876236,15941.028265242498,219899.2165468801,19127.25971286822,9948.84159835009,30008.746326072407,96565.92340162737,34158.57531995454,12113.08449143323,0.028516913513198627,8479.645373718562,33344.999180596475,16152.190643213942,0.014064606622776183,5501.735119922211,123597.94755039456,0.024229619393167454,0.013557704064137088,18205.479598172406,35918.27092360507,5307.888555058697,66962.45428127861,0.018564996595340274,52229.39886347515,390.49466535186764,97757.31166778172,0.02088826036838216,42139.390100472956,2442.145808415223,0.002562952934585508,1985.2573990427986,13353.964717550325,86717.81395756485,70051.28146543306,8834.720585692137,0.002837665864059649,4861.347303337821,0.004721132320995863,30748.638195471096,0.0026343551168077654,21512.910554980022,0.0024793253335055675,9379.493613988147,14141.888831998784,7236.973655826151,2754.087055593229,11889.738416693493,29653.796140567567,0.19780276695139773,3553.2640047495775,31462.346094291806,1964.6601659999508,0.014699241400101676,0.03766543068763656,0.0026430049888079656,68935.93193964216,0.012011138424085124,99000.97413896762,0.03765369743162868,0.0038233907339811197,3315.9958465272766,0.019587695059970288,21818.086329241563,4.0134004418409597e6
t9,5509.098290456915,0.015393474708290555,0.018168257801439738,16115.079250790388,0.018561228639557777,0.017567672301175973,3966.3344442774205,0.02051122134756143,331.8892081489529,22281.77071356435,0.015177191591023995,0.032011569300489325,19547.702876025727,16632.957815956914,0.03064785966343961,50706.79392501174,7564.384951481694,2208.576305990447,0.016642910381349595,143569.73714072636,92150.69894972446,92949.32729511852,0.015327379909883589,43454.41491219007,0.014220530813756682,162962.7269113149,68935.9200018845,65663.84911650805,69392.50904888165,18576.317702752036,0.019879179155887588,87786.73871070945,39427.17780932087,0.016256097385180083,0.014847984927638018,37551.00111365625,19891.917568017263,0.02065880579780899,24392.607330804734,0.02686361630267028,86366.56571690594,62420.41950541582,26829.301279866868,81342.10852741863,0.017048912866513014,30138.54826013903,30512.984698883563,25886.483026839604,111776.02401272439,18991.14981058997,0.014395426472469813,0.015108450482798096,55487.37422774432,0.016812520114524946,0.01498149516870833,0.018551608491353757,12414.450951874038,0.026439360051216217,0.08691650620428205,33219.1805046117,26276.8588298934,24331.79429415067,0.07170802124687518,0.02087372355503015,104085.81625196144,37119.94988362964,21190.174492393573,77382.9709617029,0.023843462021883796,0.016825238749272935,41357.751066835226,2077.7946705063728,0.019751331059671366,0.01755498177652394,6683.297730477841,32142.088387859345,0.01317444480352447,46943.31149359212,58023.7957579203,0.016629452588166525,65115.867221429115,0.014513575465751175,78479.69078035955,0.01241750600252837,0.018413408727919595,15941.02827711373,219899.221633401,551.9527312885363,20711.012690375133,40569.896030377626,106564.69504696866,39930.465388437144,12113.084485641257,10280.897848468789,19612.017668096665,33208.79104103183,0.6131571074692332,0.014058303458290103,18507.027388441005,123597.95057661862,0.022535470536246806,0.013558680118225096,18889.806066870355,54019.156261106065,5266.033840436216,82157.12611792472,0.018549548071569933,42325.99671829452,12570.53932097034,97757.30654876665,0.021563649495640467,67705.29413684472,38858.0832968947,5166.91783321291,0.002695995312135323,37517.415509108534,67935.04956585648,84204.67874692667,8372.773896400959,0.004898686889125466,0.003252379702308509,0.0033487748265211012,0.0024913962757682376,0.0030027040940523476,5268.184450083587,0.0029220670076402144,2909.809156779825,9372.38408385719,20728.536102613023,32145.803973808448,5090.215624385508,29653.1521781257,0.017126182330838013,0.018328561485668696,30385.1158390734,1890.7080692823417,0.013912773711577491,0.017251283895257274,0.0026344280028878847,68935.91997154421,0.012697906041170253,0.041996224335938845,0.017247659239483633,0.003868446361381122,0.015025286061195452,0.05230847696180569,0.0062376855780849165,3.7987810452185497e6
