Time,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
1,-3.458406921312891e-5,-2.3363319154174497e-5,-7.243547789311341,0.3959751019361945,5.300266563824798,-4.8713822351445586e-5,0.7515534803249508,1.7331551103628127,-36.96162424957794,-16.49524935155501,0.9182031162572548,1.4030057379498795,1.643807913472167,19.21228564461261,18.862496318918534,-38.20141769249241,0.7091357777982795,22.834025724739366,13.61430033902824,0.2323708181807504,0.6289057655016868,-0.025414077686266134,-2.4209852722806406,-3.88241124772094,17.30458595667014,26.19363160282886,1.1837897446715022,-28.763935319706636,0.03199004958441463,4.738559857630331,0.08304047303980634,0.13044112681168973,-72.13799344414896,1.8182474537796522,0.2943191650985662,-0.39908359262552207,-66.44330080656079,-2.8617598204660666e-5,4.743886037505152,0.281854516894803,0.7483984323983857,-0.7794462872560023,-58.82036226471995,-0.015379888146621917,-2.4014673330877683,1.0007625489159864,38.66040483367902,-0.6785911304957498,-0.5240535566172868,2.7884691993384103,-59.022686290351366,0.031041738663781654,-0.1737272027609461,-0.3481470420061669,0.08876274196727807,58.89850516680171,-8.21963991727025,-2.4085944029099036,0.25132587461008615,-21.458604807299228,-0.5680277500660801,-2.781678217687622,-0.011243561845382577,1.7103320366718,24.145621264921335,3.494802540655374,4.999810203412946,0.23998901866509795,7.975062232477955,21.91356829254027,-8.089290910176466,4.968562883937604,3.4699786569528492,8.839691806762564,1.1511252423680662,3.1861938347554517
2,-8.90958697123299e-6,-1.8577230872583728e-5,-7.243505338108495,0.3959782003890914,5.3003021657787235,-2.6691924607410078e-5,0.7515642668289174,1.7331903429645208,-36.96158578390538,-16.49525109533647,0.9182075659250709,1.4030049978254482,1.643826860320531,19.212282266486568,18.86248241550408,-38.201363821864,0.7091725487395019,22.834014471365194,13.614314299349287,0.23239363117912154,0.628924424977771,-0.025381435032062298,-2.4208969562775224,-3.882373634586203,17.30461616884077,26.193636289297512,1.183817031205486,-28.76390020689057,0.03200080313376566,4.738598508001365,0.08306144619526847,0.13044963477375654,-72.13795180982031,1.818266709937025,0.2943396933889617,-0.39905622891514697,-66.4432874010821,-1.0794893925144145e-5,4.743889566818588,0.2818668094424875,0.7484227899202283,-0.7794241569624873,-58.82033982172012,-0.015382107097575818,-2.4014694302861783,1.000792890427883,38.660428858692725,-0.6785681714744192,-0.5240583866878175,2.7884843363043887,-59.022693806529524,0.031060341749245848,-0.17370943067959527,-0.34814645466754834,0.08878780698930977,58.898526883840994,-8.219629964211933,-2.408577810212572,0.25134730569114017,-21.45858964056875,-0.5680072400554252,-2.781674214156599,-0.011440741120928641,1.7103345747814203,24.145646791947637,3.4948289017786913,4.999756101371086,0.24001002518352252,7.975038235560648,21.913532799874726,-8.089269685997323,4.968565235177899,3.469993851342843,8.839693417163064,1.1511511918657524,3.186190188276693
3,-7.530693742283838e-6,-9.965079576501005e-6,-7.243510697237419,0.39598751143315186,5.300304439499816,-2.556749540765218e-5,0.7515718682422889,1.7331875952636508,-36.96159013889388,-16.4952380170629,0.9182164959249345,1.4030183168135761,1.6438308544324354,19.212296634553017,18.862506971645196,-38.201375828882256,0.7091704267054464,22.83403505141158,13.614320187005076,0.2323958302692809,0.6289309243995951,-0.025386565700024875,-2.420971637783613,-3.882379689064412,17.304612825423707,26.193649103535503,1.1838259752026148,-28.763904974094444,0.03200381523503435,4.738602787018716,0.08305813496498916,0.13045497216577231,-72.13795899379724,1.818263860775387,0.29433821627973433,-0.39905409851446666,-66.44329047122578,-1.0564673505548223e-5,4.743897767875651,0.2818727446486983,0.7484220949288449,-0.7794217749057724,-58.82034058559435,-0.015370739708093292,-2.40145170612066,1.000789542918165,38.66042848982476,-0.6785654269714061,-0.5240418661153673,2.78848144459143,-59.02269220582398,0.031061137040749136,-0.17370739490421944,-0.34806155934163974,0.08888662010138161,58.898525235153755,-8.219634973713818,-2.4085818241990395,0.2513477272686096,-21.458587556639976,-0.5680060518502391,-2.7816802376624987,-0.011440294561631925,1.7103491734640894,24.145654576798087,3.4948350006601663,4.999802727451057,0.2400218266512827,7.975070502245207,21.91357787208843,-8.089267417112982,4.968582848650973,3.4699997751844514,8.839709037544214,1.1511603046224121,3.186213536351939
4,-6.327883961474963e-6,-7.357679087597723e-6,-7.243508019570202,0.3959918883344544,5.300309869655195,-2.462623565706117e-5,0.7515755897250428,1.7331907672516975,-36.961587576395615,-16.49523372182628,0.9182197083674356,1.4030228242581508,1.6438338787639735,19.212301403396236,18.862514732586604,-38.20137368186673,0.7091737987111961,22.834040606574447,13.614323320895434,0.23239887200361783,0.6289331196826012,-0.025385281870238238,-2.42092555478867,-3.8823767392493322,17.30458662962875,26.193648622352335,1.1838291670791077,-28.763893593095663,0.03200425749967567,4.738607388747159,0.08303882712070762,0.1304576642822582,-72.13795777151718,1.8182467355825986,0.2943185116099985,-0.3990488546450515,-66.44329989749136,-1.9989625660647627e-5,4.7439002640101595,0.28187581830937797,0.7484062382068658,-0.7794181012328494,-58.82035943683702,-0.01536807002438755,-2.40144623545368,1.000760334265594,38.660407346833786,-0.6785619189794972,-0.5240372125358155,2.7884928525589205,-59.022585196892436,0.031062158900949148,-0.1737060762662298,-0.027625728113317774,0.08868934642179685,58.89852267191324,-8.219604169224553,-2.408595842869133,0.2513484120224147,-21.458588859562095,-0.5680027674423954,-1.7851081878485748,-0.0019897482558068943,1.7103528788574311,24.145660862435733,3.4948432279588837,4.999812889791983,0.2400268267513152,7.975080452392769,21.913590359486584,-8.0892628323086,4.9685866687530815,3.47000246996639,8.839712627460369,1.15116475947917,3.186220706728527
5,1.4418395368311857e-5,5.265814072122387e-6,-7.243491146627618,0.3960040829134584,5.300333128127448,-6.8698397229750244e-6,0.7515905330481245,1.7332073852460534,-36.961571228039624,-16.49521994552151,0.9182336278646307,1.4030375075490582,1.6438486331137359,19.21231528731114,18.86253279571224,-38.201356450148644,0.7091915282558234,22.83405543371421,13.614337424525461,0.23241368437960966,0.6289582273435748,-0.02536369003904664,-2.42090348338453,-3.8823567788410305,17.30469815064758,26.193708683053032,1.1838711608945451,-28.763802473700654,0.03203254142747917,4.738666747613371,0.08311494436958503,0.13046890085685042,-72.13793795331544,1.8183215615601813,0.29439487467898495,-0.3990422580438451,-66.44311144830459,9.507742207610003e-6,4.743912167694672,0.28189046115287286,0.7485013873894765,-0.7793726171868747,-58.82026220156455,-0.015353709982741014,-2.4014329027649817,1.0008678538418616,38.660484049209586,-0.6785145242904922,-0.5240241703435383,2.7885099115525236,-56.12950839591194,0.031075614853068666,-0.17363619066950298,0.32132295050604165,0.08880301753149546,58.898592261333434,-8.219545301632778,-2.4084499690408974,0.2514216259021989,-21.458517414819777,-0.5679149837367248,0.7054112510663106,0.007351939513809526,1.7103678541776683,24.145680550741133,3.4948597447738154,4.999829432374226,0.24004737783945396,7.975099669265804,21.91360464033232,-8.089248871181727,4.968605095226657,3.4700163854366743,8.839727936855022,1.1511875256241366,3.186236639743691
6,-3.460247149633189e-5,-2.7555125498379338e-5,-7.24353039977279,0.39597446725477936,5.300272121592771,-4.854505362508906e-5,0.7515522419179678,1.7331691563638818,-36.961609727487485,-16.495257340541535,0.9182028735896718,1.402998093052919,1.6438113033694308,19.21227655162634,18.86247982606774,-38.201392375177626,0.7091504744211498,22.834010107357102,13.614300375485064,0.2323755467448508,0.6289782835335448,-0.025358394948685567,-2.42081688588755,-3.882356202761015,17.304724345007447,26.193775807110775,1.183926197080433,-28.763579190683803,0.03204226995890423,4.738695249897461,0.08310472841461869,0.13044009918672392,-72.1379595351218,1.8183090738599306,0.294385075501156,-0.39890637957891534,-33.09384953935491,-3.0609332355971755e-5,4.7438839058318365,0.2818580227764173,0.7484711392357954,-0.7793957070247511,-28.96639362972307,-0.015384796322882628,-2.4014699740523526,1.000886758844468,38.66049258193149,-0.6785139360406053,-0.5240587599380196,2.7885372810718687,-26.57920178462996,0.031115324552902585,-0.1737795771690482,0.349705600975602,0.08876135544856936,58.89844447207616,-4.1842920399026715,0.0002823110308218539,0.25127235855038144,-21.458666690200474,0.15263950141300614,2.1997021702208026,0.007460712577174332,1.7103225622824203,24.145643190248325,3.494820363381764,4.999743958883138,0.2399881492212072,7.975043144793207,21.91356036918418,-8.089276540636039,4.968549699735279,3.4699779913987325,8.839684841683987,1.1511277220638638,3.1861875607962515
7,-7.228196680764956e-6,-1.2777665588264899e-5,-7.243508924024908,0.39598383333295667,5.3003024805686545,-2.5330922150233835e-5,0.7515692541840562,1.7331866484094447,-36.961589223199155,-16.495241379783316,0.9182178496025881,1.4030147683104524,1.6438284405344796,19.212292893388216,18.862495599150712,-38.20137232529838,0.7091659798329694,22.834029031351292,13.614318470464315,0.232394797362231,0.6288559740366202,-0.025444760679572156,-2.4210822359808093,-3.8824340250622957,17.30445340085799,26.19345644585769,1.1836764444462733,-18.744818383467198,0.03193151470002121,4.73841868119622,0.0829841198428163,0.13045029723084456,-72.13788149169952,1.8181842754555435,0.29426798039891755,0.41575383346830574,0.25525771564210675,-8.459138388824646e-6,4.743899203931883,0.2818744008139806,0.748322538722346,-0.7794966657407091,0.8876561510386614,-0.015373176670842424,-2.4014582711568164,1.0006601281156342,38.66032487954748,-0.6786560483860952,-0.5240536039424296,2.7884150458611803,0.07822108134977074,0.030988686506363272,-0.1737109274269484,0.34973463379419684,0.08878590855545386,58.89853465652711,3.7450273724597567,5.033601733784224,0.2513500045427319,-21.458573925334182,0.8735548494492125,2.199728421024399,0.007482190148455482,1.7103639762838438,24.14565368206202,3.4948407399641344,4.999813569316636,0.2400401212270406,7.975059126166508,21.91357890138523,-8.089266065862448,4.968599827800581,3.470011886448673,8.839723374530063,1.151177684716463,3.18620919061763
8,-6.297928737736182e-6,1.3196684688664747e-6,-7.2434891948575455,0.39599830587760637,5.300339018877968,-2.4498836948682202e-5,0.7515863905235918,1.733204179253672,-36.96157039125298,-16.495224901739878,0.9182199438416689,1.4030330383148886,1.6438474635093807,19.21231123950169,18.862537135754764,-38.20135852657531,0.7091904270000775,22.834057724864955,13.614335673132443,0.23241335114033848,0.6289123897028089,-0.02538923719475698,-2.4209893980255845,-3.8823839121310617,17.304626306430087,26.19359623247313,1.183785734088106,-3.077992059253518,0.032005450439051474,4.738579980285097,0.08306340146820461,0.13046443091986834,-61.97766531241028,1.818270977134838,0.2943436056695732,1.2307726028990518,0.2553619180532018,-8.085954784043834e-6,4.743901264678515,0.28187896977390786,0.7484293917150792,-0.7794153002211689,0.8881860775082001,-0.01536326757429867,-2.4014355065121467,1.0007996294244972,38.66042781583993,-0.6785546143869917,-0.5240252845133364,2.788492056198305,0.07821904892913364,0.031063331778552465,-0.1737042825466885,0.34973595671281116,0.08878715721679421,58.89852105892833,9.330520584079512,7.658458860821826,0.251348677904114,-17.813096676833332,0.8736849950147824,2.1997226190582824,0.007483277099138964,1.7103579700037168,24.14566678695662,3.4948470408378,4.999846293348204,0.24003634217453582,7.975104860307978,21.913598354496305,-8.089264602364935,4.9685942837225,3.470005343482676,8.839700204372855,1.1511754665203855,3.186234200801142
9,1.4580487468558723e-5,1.6705668653869358e-6,-7.243493828039944,0.3959847437175226,5.300323683660153,-6.959810584280645e-6,0.7515837721204941,1.733200521065208,-36.96157425969229,-16.495227032925225,0.9182145601674493,1.4030297288618765,1.6438449687230907,19.212307496282012,18.86252022475009,-38.201361098745636,0.7091843358523752,22.834049288911018,13.614333468564382,0.23240987062008575,0.6288894540172066,-0.025415738531593148,-2.4210344694844275,-3.882407297815955,17.3046499594917,26.19351826684384,1.1837376086152362,-18.74481514848304,0.03195832282152435,4.738478713648184,0.08307793029553108,0.13045939558902042,-60.091201946603285,1.8182842464148672,0.29435830146686587,1.2308196891909258,0.25537886882590566,6.803087097537403e-6,4.743898387049491,0.28187017738308534,0.7484517869409059,-0.7794017110167631,0.8882062466300464,-0.015373353587238537,-2.4014568865608665,1.00081721568982,38.66044609459601,-0.6785409683237558,-0.5240361826778106,2.788506637215246,0.07823646676558522,0.03107812837632732,-0.17368585200368872,0.3497517171410688,0.08880659622589322,58.898538099514,9.330521676399224,7.658458238238275,0.25136458787547983,-6.681303297619519,0.8737027313715636,2.199734369238964,0.007496573092502206,1.7102843661049703,24.14566025683264,3.494834012203545,4.9998174001860125,0.24003939757298962,7.975081464231474,21.913560501865806,-8.089263325198505,4.968550210122178,3.4699766842319466,8.839644844091811,1.1511645966329953,3.1861035143192824
10,-3.430536623003338e-5,-2.1066843040632886e-5,-7.243517229041268,0.3959864833650536,5.300296717457189,-4.8449338421269195e-5,0.7515606946766006,1.7331779630811313,-36.9615974884334,-16.495249966107323,0.9182118543207617,1.4030065599900465,1.643821183137142,19.212284946523884,18.862495825736712,-38.20138275996981,0.7091600550426937,22.834024529355407,13.614310222044423,0.23238702631568417,0.628975943311473,-0.025375899615659555,-2.420779307603469,-3.8823631131609697,17.30458603680141,26.193750833681985,1.1838811473069417,-28.763827583815168,0.032031522634736895,4.738618082525784,0.08304006225127206,0.13045144504547382,-71.49197477183796,1.8182457317879555,0.29431995017012064,1.2307649412648423,0.25533511418839044,-2.8825364257350963e-5,4.743894225081465,0.28187151881412836,0.7483987749781668,-0.7794410526277056,0.8881673333038281,-0.015372696687842564,-2.4014451772478607,1.0007638879019123,38.66040189338152,-0.6785839503588248,-0.5240479721180622,2.7884725589110784,0.0782013460631143,0.031042156571386925,-0.17372646293026922,0.34971318957022296,0.08875958397928534,58.8985032551995,9.330485960148005,7.658388235794372,0.2513266204974082,-10.327029060069025,0.8736682053694765,2.199703205054145,0.007464364509940272,1.7103531266858827,24.145651046540674,3.494849282356893,4.999781073292285,0.23997566391497918,7.9750609171983236,21.913571625435587,-8.089257380017862,4.968567236775052,3.469968937332833,8.83973328765148,1.1511544159672111,3.186331113725575
