Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,0.02369653,0.01816363,111652.5,0.021219486,0.039506484,0.052638356,0.020715402,0.015298827,757682.06,0.015507156,0.017928641,0.029542891,0.014835149,0.02287612,0.060670327,853010.4,0.03219119,0.02003693,0.014573759,0.014479639,77999.8,1.1888992,179905.67,264233.75,0.5375955,219202.64,0.094641715,81994.35,52412.543,47336.75,0.02122441,0.025467508,1.1279798e6,0.022476243,0.034223966,0.0184355,489759.8,0.016581876,0.020737594,0.01842841,0.048217192,0.016575815,324635.66,0.015442263,0.053494208,0.0652972,0.01566456,0.047481492,0.042309057,0.016134173,262662.12,0.015498825,0.02403294,0.017929932,0.01951961,0.016443538,229470.95,0.016046936,0.01976284,0.014604149,0.016598208,146746.83,0.024962222,211220.23,0.074640416,0.2419405,3.5215933,326509.97,4722.27,67878.79,0.048336226,500733.7,410235.84,206337.05,0.28300762,242565.73,7.196895e6
t1,7.689448252025616e-7,7.38826681077547e-7,9.302943045350238,7.650434584161736e-7,7.831755451906556e-7,7.828328011161622e-7,7.560552822867711e-7,7.371922748692281e-7,84.25126835129555,7.292039379126719e-7,7.512687959707112e-7,7.718144844794365e-7,7.324111673451102e-7,7.439399438516839e-7,7.851188930929996e-7,52.98078979201858,7.697364636265365e-7,7.518142610056229e-7,7.327803282256942e-7,7.263163722663512e-7,7.379411041043619e-7,7.372618747482696e-7,7.221315392763702e-7,7.324622602895495e-7,7.418381923360687e-7,7.403257066729916e-7,7.313451951812043e-7,7.251671062923419e-7,7.348002458908892e-7,7.429886861425191e-7,7.454909577333538e-7,7.534605666090445e-7,143.07179953702334,7.260500707241897e-7,7.417920961937066e-7,7.085846276315269e-7,4.225139702418571e-6,7.36427545612315e-7,7.350129739645953e-7,7.53817870458317e-7,7.33835563695431e-7,7.132108646698659e-7,4.05817434150682e-6,7.394760714544843e-7,7.514895216690985e-7,7.376064232227529e-7,7.254069545153046e-7,7.294656975359039e-7,7.317030485730446e-7,7.097700760929514e-7,2.1341504270319155e-6,7.113877476909824e-7,7.115292072627355e-7,6.920895918365886e-7,6.992131649483456e-7,7.125868277304774e-7,2.687800404512997e-6,6.97887992951271e-7,7.127296129812433e-7,6.913037282612528e-7,7.118269790031792e-7,2.107368438080571e-6,6.987101154547214e-7,73.80656795108663,3.630954779112749e-5,0.00011543319435297582,0.0016569636672172977,112.4543620941524,2.042171782951726,24.73303785104825,7.68171606508796e-7,164.1911693337176,117.08332533171608,84.49783747644226,0.0001313728807838356,78.62016838732232,947.0374366788234
t2,7.68958766611497e-7,7.388288927846379e-7,11.666631948704994,7.655971205500513e-7,7.831768328203973e-7,7.828365394829333e-7,7.560566990924908e-7,7.371934695726683e-7,98.91841218241339,7.292085099310288e-7,7.512759811664613e-7,7.718155181779801e-7,7.324123455692652e-7,7.439438262534942e-7,7.85120785959307e-7,82.29991746171187,7.697406997799405e-7,7.518155314747262e-7,7.327811322476541e-7,7.264539407487219e-7,7.381079831356111e-7,7.375792728456407e-7,7.161457989052631e-7,7.327803411989151e-7,7.422569654317219e-7,7.406575023618264e-7,7.319061837531524e-7,7.232888288862419e-7,7.349997354691154e-7,7.429911232132175e-7,7.454926097545454e-7,7.534623176857035e-7,143.18013707635384,7.260522226968477e-7,7.422488018117559e-7,7.088371252407517e-7,4.712899796173199e-6,7.36428903077293e-7,7.349955090477856e-7,7.542812396875939e-7,7.344035439620353e-7,7.135400288930296e-7,4.537665978337595e-6,7.394783494071201e-7,7.514927264033882e-7,7.376084915676827e-7,7.254065439010888e-7,7.294683233510955e-7,7.320953374847191e-7,7.097895560984782e-7,2.2308025781791552e-6,7.113995609803054e-7,7.117862102230026e-7,6.922834830949043e-7,6.994485992238465e-7,7.125647205453195e-7,2.804286023434143e-6,6.981840251224764e-7,7.130075045400726e-7,6.916347348447352e-7,7.118438887455784e-7,2.1677037679838243e-6,6.991971466765247e-7,73.80656795107848,3.6309502434464165e-5,0.00011543320771785129,0.0016569636718545022,112.45436209416462,2.042171782954271,24.733037851062463,7.681730099183796e-7,164.19116933371106,117.08332533171782,84.4978374764443,0.00013137245646078601,78.62016838730723,993.4957358623558
t3,7.689637477649891e-7,7.388311528969647e-7,11.666563427375609,7.657835544494918e-7,7.831777986259448e-7,7.82838755817031e-7,7.560570940762727e-7,7.371945026398265e-7,98.91829147703382,7.292092449511128e-7,7.512793636132403e-7,7.718164841819043e-7,7.32413456068561e-7,7.439443057973199e-7,7.85122176798829e-7,82.41817533288928,7.697419888375449e-7,7.518163804909858e-7,7.327824739830252e-7,7.264590958958163e-7,7.384175594031408e-7,7.37792620557132e-7,7.163555530242424e-7,7.329951664700543e-7,7.42470222625675e-7,7.408818612218952e-7,7.322812762911096e-7,7.234980951733097e-7,7.352187118705665e-7,7.429871516725919e-7,7.454936363250661e-7,7.534628536699421e-7,143.30987559977518,7.260527049990004e-7,7.424887838864358e-7,7.090113290520639e-7,5.0779544322775195e-6,7.36429714195557e-7,7.349981846454582e-7,7.544601685253413e-7,7.346921572376447e-7,7.137705844128474e-7,4.824089687134233e-6,7.39480049817242e-7,7.514958608898665e-7,7.376100400714185e-7,7.254163062348568e-7,7.294699026308424e-7,7.323386397106146e-7,7.098075488881406e-7,2.2947459854159136e-6,7.114119286966519e-7,7.119628900706818e-7,6.92387476163415e-7,6.994835316171798e-7,7.125758778170365e-7,2.858459505622237e-6,6.982017969768921e-7,7.132074307114452e-7,6.918890227124065e-7,7.118543064433862e-7,2.194817352077644e-6,6.994197065529271e-7,73.8065679510742,3.6309384348570644e-5,0.00011543345916394911,0.0016569636720275038,112.45436209416565,2.042171782955726,24.733037851069184,7.681734610695315e-7,164.1911693337059,117.08332533172732,84.49783747644278,0.00013137229641613072,78.62016838729956,993.7435438317689
t4,7.689493629361006e-7,7.388453425021018e-7,9.862909940215971,7.651251467866495e-7,7.831783114359594e-7,7.82837925103849e-7,7.560571874132046e-7,7.371950098580712e-7,98.91733028546209,7.292092075076499e-7,7.512743320428742e-7,7.718168126419202e-7,7.324144095598161e-7,7.439443606525909e-7,7.851217940936404e-7,52.99470593899841,7.697422322699833e-7,7.518167206780594e-7,7.32783698748734e-7,7.264677992832069e-7,7.379424539738855e-7,7.374662649189207e-7,7.160308962663512e-7,7.326667621937594e-7,7.419592775997381e-7,7.405387823647631e-7,7.317039231861557e-7,7.231700599269985e-7,7.348802930210474e-7,7.429891525413624e-7,7.454936213749416e-7,7.534630236001009e-7,125.78843751225926,7.260525541783858e-7,7.418842288112371e-7,7.085450090408176e-7,4.216916631912931e-6,7.364300975078341e-7,7.34997910133625e-7,7.538711567074585e-7,7.340598505972557e-7,7.131430807324513e-7,4.041441079710869e-6,7.394801255722465e-7,7.514965456612583e-7,7.376101731951736e-7,7.254099626355939e-7,7.294689322028405e-7,7.319085764064385e-7,7.098185415973409e-7,2.1080225646373475e-6,7.11448388498325e-7,7.115025126365346e-7,6.920111995312389e-7,6.992187521236959e-7,7.1258446184014e-7,2.653352973873104e-6,6.97806523773458e-7,7.126793614741758e-7,6.914015955219137e-7,7.117475010022445e-7,2.0876047464431047e-6,6.987368002048085e-7,73.80656795107612,3.6310687354529566e-5,0.00011543320918080289,0.0016569636672818177,112.45436209416306,2.042171782954105,24.733037851068502,7.681737084617326e-7,164.19116933371853,117.0833253317177,84.49783747643707,0.0001313723690927417,78.62016838729741,944.994019519211
t5,7.68933518870253e-7,7.398387833800946e-7,8.567232413955024,7.645758899216795e-7,7.831793074324376e-7,7.828382667041352e-7,7.560575290831969e-7,7.37204809270401e-7,84.25115847629054,7.292093490033728e-7,7.512681145388114e-7,7.718173705254966e-7,7.324318687229168e-7,7.439448065657977e-7,7.851220809647628e-7,52.976281635591164,7.697430661435272e-7,7.518173724171212e-7,7.327859731390634e-7,7.268952256794814e-7,7.379422167322756e-7,7.371892907472517e-7,7.22144812484213e-7,7.323898710793344e-7,7.416767735265292e-7,7.402503353867599e-7,7.312230511233612e-7,7.293155725658161e-7,7.347588602699812e-7,7.42995972651483e-7,7.454940007399502e-7,7.534635022439854e-7,36.86717137692508,7.260526056393259e-7,7.414542250662661e-7,7.082360178855177e-7,3.778841438201946e-6,7.364208023876675e-7,7.349971144688594e-7,7.534706539629626e-7,7.336644959910253e-7,7.127355793016258e-7,3.6478364224659696e-6,7.394804039812251e-7,7.513533480955722e-7,7.37611293344079e-7,7.253807579832386e-7,7.294692308518117e-7,7.31623888927463e-7,7.098314208101725e-7,1.7442449393604998e-6,7.114609769216644e-7,7.112145900856892e-7,6.917471625864082e-7,6.992769234522569e-7,7.125940303178569e-7,2.516104576512711e-6,6.973983312853618e-7,7.123422395299066e-7,6.910589928238221e-7,7.112115398059538e-7,2.012039732389594e-6,6.984181327973972e-7,73.80656795108494,3.6311335810726325e-5,0.00011543320244471772,0.001656963454878629,112.45436209416529,2.042171782955541,24.733037851062925,7.681741997745239e-7,164.19116933372604,117.08332533171566,84.4978374764404,0.00013137270854935625,78.6201683873081,840.092478344176
t6,7.689044139583836e-7,7.401286932574509e-7,8.569066472753107,7.637585716542413e-7,7.83180557223501e-7,7.828409045814828e-7,7.560587526985847e-7,7.377200842764342e-7,54.24223349866256,7.292106551465915e-7,7.512532411873359e-7,7.718163104660574e-7,7.333177270809911e-7,7.439488993689814e-7,7.851229307245685e-7,52.92611786786264,7.697470932174649e-7,7.51818487378023e-7,7.328011728205346e-7,7.264089110210895e-7,7.379433477714067e-7,7.367384183965365e-7,7.221546822429908e-7,7.387676180537017e-7,7.437192961100333e-7,7.469132208240358e-7,7.394819246712222e-7,7.293281935727602e-7,7.412023790720044e-7,7.429989600565791e-7,7.454955363915481e-7,7.534652736541201e-7,36.906475035023625,7.260544868811185e-7,7.405504916579514e-7,7.076284430861189e-7,3.1322466674645877e-6,7.356785721890084e-7,7.349961828495203e-7,7.527000238495345e-7,7.36712280691971e-7,7.120106632816831e-7,3.047506237681113e-6,7.394799252851568e-7,7.503121824755471e-7,7.376181537910488e-7,7.246189776940713e-7,7.294773153873407e-7,7.308189273448732e-7,7.098496006666462e-7,1.5874564358501512e-6,7.114860856582332e-7,7.105355521734805e-7,6.912887391604605e-7,6.994445832689368e-7,7.126423489075985e-7,1.913186379185519e-6,6.964644461941321e-7,7.115418973674572e-7,6.903569507876928e-7,7.101651301052948e-7,1.8782637847818203e-6,6.978176829112529e-7,73.80656795108881,3.6313636809484555e-5,0.00011543030569809993,0.0016569605085511615,112.45436209415337,2.0421717829826993,24.73303785105974,7.681758002295016e-7,164.1911693337432,117.08332533171814,84.49783747644015,0.00013137098569654436,78.62016838732522,810.0745251915812
t7,7.689008788512171e-7,7.401299186556349e-7,8.568425594869003,7.634191807510082e-7,7.831768529392875e-7,7.828500372043957e-7,7.560563302329357e-7,7.373176017524857e-7,13.898916186795388,7.29199806652576e-7,7.512308395160006e-7,7.718146134001649e-7,7.333315507303848e-7,7.439415323510164e-7,7.851202795188123e-7,52.92599648553895,7.69741185006234e-7,7.518160759596784e-7,7.334084760029827e-7,7.25995705125302e-7,7.379432263706376e-7,7.403874959039079e-7,7.221537034752684e-7,7.387679838798109e-7,7.475035220286801e-7,7.469154345461418e-7,7.42445624361125e-7,7.293276646968872e-7,7.412020606944549e-7,7.429964598613475e-7,7.454944169894721e-7,7.534609250697707e-7,36.8586980831586,7.260506286759201e-7,7.437419787846271e-7,7.115103238377921e-7,3.0402426731814707e-6,7.354497397616474e-7,7.350146273737241e-7,7.524809420477822e-7,7.426402059711104e-7,7.150074943860264e-7,2.962698711007279e-6,7.394704521854213e-7,7.502436371188592e-7,7.376225845329808e-7,7.244398308620824e-7,7.294812149891252e-7,7.375756244656136e-7,7.098193543989259e-7,1.9712284306147603e-6,7.114633512619776e-7,7.163288104741295e-7,6.968706309675203e-7,7.04273782800463e-7,7.154540762486696e-7,1.875617785947335e-6,6.963903072206218e-7,7.148674336728041e-7,6.922092772504619e-7,7.130361908866735e-7,1.8609065450415592e-6,7.024841328411854e-7,73.80656795108962,3.631367652960016e-5,0.00011542937721588816,0.0016569598562954303,112.45436209415215,2.042171783004887,24.73303785106364,7.681840580524239e-7,164.1911693337292,117.08332533170902,84.49783747644054,0.0001313709001469996,78.62016838733481,769.6826688815502
t8,7.689021390449588e-7,7.401364387607232e-7,8.564928317715347,7.633169799267262e-7,7.831783492172516e-7,7.829101254849585e-7,7.560639479573951e-7,7.371856953626853e-7,3.639970796131673,7.292048713871921e-7,7.512050637067727e-7,7.718157398050581e-7,7.333332273747791e-7,7.43946096963253e-7,7.851229673746203e-7,0.0018271385735217618,7.697471624718222e-7,7.519275610084285e-7,7.338198678892312e-7,7.25900845025862e-7,7.379434659620176e-7,7.435198240976113e-7,7.221534380888138e-7,7.387688354589153e-7,7.482053236138398e-7,7.46916278697352e-7,7.424528989139863e-7,7.293283315196069e-7,7.412020894296787e-7,7.429956778624176e-7,7.45497008423766e-7,7.534641873711193e-7,31.495359211878895,7.260528244055506e-7,7.489499402466812e-7,7.152023479842454e-7,3.0061948932509976e-6,7.364117504882513e-7,7.35019653951022e-7,7.52392433189627e-7,7.426513788758346e-7,7.187956229235051e-7,2.9312641086361938e-6,7.394695259808806e-7,7.501927123562451e-7,7.376251042473018e-7,7.244580559145534e-7,7.294839665378544e-7,7.405587341098439e-7,7.09862267019266e-7,2.0376983465744854e-6,7.114747257726039e-7,7.200744433625796e-7,6.969300825821446e-7,7.044536223399828e-7,7.189158672280221e-7,1.9089506425926996e-6,6.965178829823226e-7,7.186161237724064e-7,6.960906229210266e-7,7.168198040268091e-7,1.8587593306842347e-6,7.035518279185528e-7,73.80656795107888,3.63139618511463e-5,0.0001154293825847074,0.0016569596451611554,112.45436209415564,2.042171783007023,24.733037851071813,7.694790626310584e-7,164.1911693337309,117.08332533171959,84.49783747644341,0.00013137078475216411,78.6201683873261,701.1327180696892
t9,7.689026328707642e-7,7.401377884938908e-7,8.567137729126893,7.633222958289653e-7,7.831763504367639e-7,7.828950149588264e-7,7.560639595059772e-7,7.371839859773855e-7,5.753374045374734,7.292054586658857e-7,7.5121295307853e-7,7.718137123833265e-7,7.333341227304867e-7,7.439463232498647e-7,7.851228312986463e-7,0.0018153882511689693,7.697478414977868e-7,7.519295785718657e-7,7.338297144526387e-7,7.259007413466317e-7,7.379437921558385e-7,7.397469201492843e-7,7.221526416120457e-7,7.387686583405344e-7,7.46848672113539e-7,7.469150606330957e-7,7.42432289763391e-7,7.293293091629563e-7,7.412004706984474e-7,7.429933626180053e-7,7.454966590202016e-7,7.53464327708748e-7,0.004505513023106036,7.26052784505806e-7,7.429454777281464e-7,7.15244496109034e-7,3.0031579138427804e-6,7.364121592408645e-7,7.350196626997153e-7,7.523988854992431e-7,7.377736760827848e-7,7.192125071157379e-7,2.928401372510717e-6,7.394709689686619e-7,7.50277461957046e-7,7.376236529688978e-7,7.244633681322793e-7,7.294834495711834e-7,7.319036389021228e-7,7.098735838293792e-7,2.0343796236997803e-6,7.114823011675398e-7,7.200964199852764e-7,6.969399477299599e-7,7.044064888712486e-7,7.189656549300294e-7,1.906177808004132e-6,6.964748493460164e-7,7.186516438071747e-7,6.965351365391764e-7,7.168733317852423e-7,1.8590843987524783e-6,7.035132669113619e-7,73.80656793732095,3.632961979879011e-5,0.00011543345471640313,0.0016569615583708936,112.45436209262948,2.0421717829707675,24.73303784030778,7.694695764569005e-7,164.19116932347043,117.083325322072,84.4978374622063,0.00013137285131733663,78.62016837146872,671.7574651934896
