Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,2.1325470445645218e-8,0.0001313411340059337,0.00013131980853548804
OCGT-H2_1.0,1.0,0,2.521458099542625e-8,5.155525856446371e-5,5.153004398346828e-5
CCGT-H2_2.0,2.0,0,2.1325617496147275e-8,0.00015366282120837522,0.00015364149559087906
OCGT-H2_2.0,2.0,0,2.5214803275561898e-8,5.239933834008532e-5,5.237412353680976e-5
CCGT-H2_3.0,3.0,0,2.131923467333218e-8,36.10983531209201,36.10983529077277
OCGT-H2_3.0,3.0,0,2.5209193691872657e-8,7.125761342874568e-5,7.123240423505381e-5
CCGT-H2_4.0,4.0,0,2.1325509225337304e-8,0.00012621498768745302,0.00012619366217822767
OCGT-H2_4.0,4.0,0,2.521410359261629e-8,5.215441128327263e-5,5.2129197179680016e-5
CCGT-H2_5.0,5.0,0,2.132696110830415e-8,0.00010117426915679771,0.00010115294219568941
OCGT-H2_5.0,5.0,0,2.521537042252196e-8,5.078602097283637e-5,5.076080560241385e-5
CCGT-H2_6.0,6.0,0,2.1326746270697997e-8,0.00011513647776551185,0.00011511515101924115
OCGT-H2_6.0,6.0,0,2.521510272578123e-8,5.117412480574465e-5,5.114890970301887e-5
CCGT-H2_7.0,7.0,0,2.1326728647393958e-8,0.0001785581212958269,0.0001785367945671795
OCGT-H2_7.0,7.0,0,2.5215831122378716e-8,5.2873371033252015e-5,5.284815520212964e-5
CCGT-H2_8.0,8.0,0,2.132421888956213e-8,0.00028855963322180927,0.0002885383090029197
OCGT-H2_8.0,8.0,0,2.5213627220994208e-8,5.693633999543033e-5,5.691112636820933e-5
CCGT-H2_9.0,9.0,0,2.1333985540071194e-8,124.5698488376808,124.5698488163468
OCGT-H2_9.0,9.0,0,2.521053214142562e-8,7.355495315176267e-5,7.352974261962124e-5
CCGT-H2_10.0,10.0,0,2.1325206191745734e-8,0.00033537908445630487,0.00033535775925011313
OCGT-H2_10.0,10.0,0,2.521448367231958e-8,5.778180443934505e-5,5.775658995567273e-5
CCGT-H2_11.0,11.0,0,2.132464753664673e-8,0.00019444872066117725,0.0001944273960136406
OCGT-H2_11.0,11.0,0,2.521393354911369e-8,5.424483249558977e-5,5.4219618562040656e-5
CCGT-H2_12.0,12.0,0,2.1326187225669673e-8,0.00012406591583601252,0.00012404458964878685
OCGT-H2_12.0,12.0,0,2.5214908060618004e-8,5.155612850944957e-5,5.153091360138895e-5
CCGT-H2_13.0,13.0,0,2.132328433524417e-8,0.00033781317922605935,0.0003377918559417241
OCGT-H2_13.0,13.0,0,2.521259124584117e-8,5.755488674525081e-5,5.7529674154004964e-5
CCGT-H2_14.0,14.0,0,2.1326321052550918e-8,0.00017203672510163605,0.0001720153987805835
OCGT-H2_14.0,14.0,0,2.5216023453553155e-8,5.315741077675653e-5,5.3132194753302974e-5
CCGT-H2_15.0,15.0,0,2.1327395688173757e-8,8.96215407634381e-5,8.960021336774992e-5
OCGT-H2_15.0,15.0,0,2.5215119845244642e-8,5.059865117894357e-5,5.057343605909833e-5
CCGT-H2_16.0,16.0,0,2.133095614639102e-8,385.53552549454196,385.535525473211
OCGT-H2_16.0,16.0,0,2.5210280410045184e-8,7.147973416586012e-5,7.145452388545007e-5
CCGT-H2_17.0,17.0,0,2.132705453154447e-8,0.00012634710470090302,0.00012632577764637147
OCGT-H2_17.0,17.0,0,2.5216541609037944e-8,5.1554729960366344e-5,5.1529513418757305e-5
CCGT-H2_18.0,18.0,0,2.1324869854559628e-8,0.00019139916094449818,0.00019137783607464363
OCGT-H2_18.0,18.0,0,2.52141316125371e-8,5.3410884989389055e-5,5.338567085777652e-5
CCGT-H2_19.0,19.0,0,2.132384370585534e-8,0.0003095773739338642,0.0003095560500901583
OCGT-H2_19.0,19.0,0,2.521310927351237e-8,5.8064524822368234e-5,5.803931171309472e-5
CCGT-H2_20.0,20.0,0,2.132380734257417e-8,0.00026584661893402244,0.00026582529512667985
OCGT-H2_20.0,20.0,0,2.521274477477851e-8,5.7369127913640426e-5,5.7343915168865646e-5
CCGT-H2_21.0,21.0,0,2.1328434055425512e-8,5.4643153059575504e-5,5.462182462552008e-5
OCGT-H2_21.0,21.0,0,2.5212886952319684e-8,5.23399569812199e-5,5.231474409426759e-5
CCGT-H2_22.0,22.0,0,2.1333122451493746e-8,4.705283665093046e-5,4.703150352847897e-5
OCGT-H2_22.0,22.0,0,2.5217330165320174e-8,4.971277574615592e-5,4.96875584159906e-5
