Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Electrolyzer_1.0,1.0,0,1.7528533286598966e-9,6.329066929792451e-5,6.328891644459585e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_1.0,1.0,0,0.0,1.3765500142776694e6,1.3765500142776694e6,0,0.0,7.26498261752411e-5,7.26498261752411e-5,0,0.0,1.421565278950563e-5,1.421565278950563e-5
Liquid_storage_tank_1.0,1.0,0,0.0,1.3765500142776691e6,1.3765500142776691e6,0,0.0,0.0004002440439713452,0.0004002440439713452,0,0.0,0.00036621370628768556,0.00036621370628768556
Liquifier_w_terminal_1.0,1.0,0,2.342676320127516e-10,9.038200295387193e-6,9.03796602775518e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_1.0,1.0,0,6.196308547395478e-10,2.802605137076146e-6,2.8019855062214065e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_2.0,2.0,0,1.7528084457310222e-9,8.663484934553761,8.663484932800953,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_2.0,2.0,0,0.0,1.3765500142776694e6,1.3765500142776694e6,0,0.0,8.39511134186386e-5,8.39511134186386e-5,0,0.0,1.429470228266146e-5,1.429470228266146e-5
Liquid_storage_tank_2.0,2.0,0,0.0,1.3765500142776691e6,1.3765500142776691e6,0,0.0,0.0002737903377197789,0.0002737903377197789,0,0.0,0.00022455087474670168,0.00022455087474670168
Liquifier_w_terminal_2.0,2.0,0,2.342662768220215e-10,1.160555224996772e-5,1.1605317983690899e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_2.0,2.0,0,6.196907671979678e-10,1.9454642918149897e-6,1.9448446010477916e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_3.0,3.0,0,1.75281128372276e-9,11.506804632102792,11.506804630349981,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_3.0,3.0,0,0.0,1.3765500142776694e6,1.3765500142776694e6,0,0.0,0.00042258053180688643,0.00042258053180688643,0,0.0,0.0001255351507920689,0.0001255351507920689
Liquid_storage_tank_3.0,3.0,0,0.0,1.3765500142776691e6,1.3765500142776691e6,0,0.0,0.0003253587713629323,0.0003253587713629323,0,0.0,0.0003077628449734186,0.0003077628449734186
Liquifier_w_terminal_3.0,3.0,0,2.3426060192025265e-10,8.043237468701125,8.043237468466865,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_3.0,3.0,0,6.197555695791396e-10,1.4906234348699662e-6,1.4900036793003871e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_4.0,4.0,0,1.7529798597314422e-9,1.8946377128435337e-5,1.8944624148575607e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_4.0,4.0,0,0.0,1.3765500142776694e6,1.3765500142776694e6,0,0.0,6.930520379373307e-5,6.930520379373307e-5,0,0.0,1.3226058570695989e-5,1.3226058570695989e-5
Liquid_storage_tank_4.0,4.0,0,0.0,1.3765500142776691e6,1.3765500142776691e6,0,0.0,0.0003213397778604579,0.0003213397778604579,0,0.0,0.00029726622440418737,0.00029726622440418737
Liquifier_w_terminal_4.0,4.0,0,2.3426499318946955e-10,1.6469817725998745e-5,1.6469583461005555e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
SMR_4.0,4.0,0,6.196558161743406e-10,2.3625264636816152e-6,2.361906807865441e-6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Electrolyzer_5.0,5.0,0,1.7528815016987119e-9,4.602442217832675e-5,4.602266929682505e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gas_storage_tank_5.0,5.0,0,0.0,1.3765500142776694e6,1.3765500142776694e6,0,0.0,7.568602195238997e-5,7.568602195238997e-5,0,0.0,1.4831743788605348e-5,1.4831743788605348e-5
Liquid_storage_tank_5.0,5.0,0,0.0,1.3765500142776691e6,1.3765500142776691e6,0,0.0,0.00044519056019820346,0.00044519056019820346,0,0.0,0.00040170346739972195,0.00040170346739972195
Liquifier_w_terminal_5.0,5.0,0,2.342637077826479e-10,2.6876973898092615e-5,2.687673963438483e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
