Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,4.057513e-5,2.0086698e-6,28.697706
2,0.0,3.8837898,0.19226682,2.0022714e6
3,0.0,34.98103,1.7317343,2.0928354e7
4,0.0,7.836392e-5,3.879402e-6,33.886086
5,0.0,4.0831615e-5,2.0213672e-6,26.457298
6,0.0,4.0693885e-5,2.0145487e-6,25.792559
7,0.0,2.1507296e-5,1.0647176e-6,13.173448
8,0.0,10.619867,0.525736,6.283419e6
9,0.0,0.3904823,0.019330807,159412.75
10,0.0,0.6066135,0.030030372,288090.16
11,0.0,4.486011,0.22207975,2.7077818e6
12,0.0,47.98246,2.3753693,2.8491172e7
13,0.0,61.948944,3.0667794,2.0789454e7
14,0.0,2.4686407e-5,1.2220994e-6,20.215971
15,0.0,8.11461,0.40171334,5.0118785e6
16,0.0,29.55695,1.4632154,3.699516e7
17,0.0,1.829806e-5,9.0584456e-7,14.694744
18,0.0,1.9483956e-5,9.645522e-7,8.571945
19,0.0,110.52932,5.4717484,7.4444296e7
20,0.0,1.4910025e-5,7.3812004e-7,19.787474
21,0.0,0.00025933146,1.2838191e-5,197.24951
22,0.0,1.5390255e-5,7.618938e-7,13.5170765
23,0.0,16.178572,0.80091935,9.798128e6
24,0.0,138.77905,6.87025,1.1341304e8
25,0.0,2.5430572e-5,1.2589393e-6,13.345454
26,0.0,111.06124,5.498081,7.445921e7
27,0.0,29.835447,1.4770023,2.4138982e7
28,0.0,27.85279,1.378851,1.516274e7
29,0.0,28.896654,1.4305274,1.9920544e7
30,0.0,55.648914,2.7548969,4.980524e7
31,0.0,0.008142106,0.00040307455,4632.2476
32,0.0,0.2425867,0.012009243,175224.45
33,0.0,60.213234,2.9808533,3.370039e7
34,0.0,2.6637537e-5,1.3186899e-6,21.550526
35,0.0,38.66677,1.9141965,2.7000992e7
36,0.0,81.62533,4.040858,6.007168e7
37,0.0,6.92819e-5,3.4297973e-6,21.801294
38,0.0,2.3212551e-5,1.1491362e-6,10.462671
39,0.0,8.62691e-5,4.2707475e-6,61.275864
40,0.0,2.761514e-5,1.3670862e-6,26.035149
41,0.0,7.1848735e-5,3.5568683e-6,70.8135
42,0.0,2.1645486,0.10715587,2.52961e6
43,0.0,8.902851,0.44073522,9.607003e6
44,0.0,19.195835,0.95028883,1.8534628e7
45,0.0,0.815998,0.04039594,1.0605916e6
46,0.0,0.00014247863,7.0533974e-6,171.6942
47,0.0,5.2422907e-5,2.5951933e-6,47.41322
48,0.0,1.8149394e-5,8.984848e-7,23.06672
49,0.0,2.215087e-5,1.0965778e-6,30.085413
50,0.0,7.7117605,0.3817703,1.0785635e7
51,0.0,8.506515e-6,4.2111458e-7,15.364439
