Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,-296.1617158098943,0.0
AnnualSum,386693.2906680739,1.0274108829504598e6,801731.4343412505,7710.938339727632,24213.966553889604,120047.69156117721,398169.8420785792,50936.38333333649,2.3180682960487497e6,47798.11475896551,174931.47270660018,76520.31724838629,394265.843727996,301883.22269803146,1.1444769328258375e6,2.539019129230185e6,153860.29157833406,522659.0889326202,431928.2906383157,17785.921646157032,1.1095936164931852,174695.43720677312,439971.29351290985,235519.64023521089,189109.69167819846,679321.7381831157,260109.6350459179,1.1754957143800762,0.0,137899.69394807355,165767.54765294105,0.0,673875.9446520385,0.0,0.0,8873.283194403832,395760.9373535746,0.0,0.0,0.0,0.0,45086.665456064606,88708.4876848571,170131.52120706812,0.0,0.0,94984.5996157615,0.0,0.9765629259353185,0.0,1.30014263261768e6,0.0,76634.35445268189,0.132232329466776,130349.2251227456,851780.315013236,847287.2815568376,209267.00031168087,396747.03324915975,535506.3985564221,137651.97650795142,49424.01469685309,0.17996949547342292,702077.1084251906,1.00237390098741e6,373883.35728457465,1.0448639583769097e6,186593.91398446684,507599.13098567724,2.6314527381750112e6,465791.8257062687,2.8442590641434724e6,500271.077908574,66183.1146973152,1.2387827983426827e6,4250.415712744658,3.0803103679163206e7
t1,1.593389519655348e-5,2.0462958469979682e-5,1.6777082034537233e-5,8.156300957233333e-6,1.1518601620238222e-5,8.155940852469964e-6,2.0431341754985803e-5,1.6851750542806648e-5,1.319177468364158e-5,1.2308290618916376e-5,1.2415630678327861e-5,1.2432891273918656e-5,1.2416099084160772e-5,2.0398224504706113e-5,1.6025417742980165e-5,1.6717910723560475e-5,1.613066846365612e-5,1.5776635637496857e-5,2.0455838786658284e-5,1.2321565279516404e-5,8.787589662963977e-6,1.6948256126928695e-5,1.6983612226162775e-5,1.606765202253926e-5,1.182079022657485e-5,8.190755690608049e-6,1.1814106417413112e-5,1.238265824064358e-5,0.0,1.2496222123711509e-5,8.00787615310378e-6,0.0,5.436802616865643e-6,0.0,0.0,3.5520065421715304e-6,5.4564086867862485e-6,0.0,0.0,0.0,0.0,7.848051899934447e-6,5.430364307323599e-6,8.736692616176054e-6,0.0,0.0,7.93494733185006e-6,0.0,8.710710691027868e-6,0.0,9.617989563701458e-6,0.0,7.975379386242837e-6,3.583078542057194e-6,4.268489910776055e-6,7.981415648355614e-6,9.674229545017064e-6,4.272483708877622e-6,1.2230080905279771e-5,4.334937514028501e-6,1.1432846194188711e-5,9.5461641541898e-6,7.792207016832224e-6,87.43772707866759,1.7623968379655337,26.6310348409182,1.7624164054445801,0.00018169192394509398,7.741957022123666e-5,38.086333913577405,1.6644435593455214,159.84856583957784,65.81475088315852,8.74222282825072,5.09126271945418,1.2030138942845493e-5,396.8419942416177
t2,1.589476123104841e-5,2.0422458569025585e-5,1.6731636910292034e-5,8.130290874562992e-6,1.1491099704992013e-5,8.128956037587362e-6,2.0390292282809883e-5,1.6822026190115292e-5,1.3155605332202526e-5,1.2281037933926296e-5,1.2387600439085257e-5,1.240388863893414e-5,1.2388310550546786e-5,2.0357739474526895e-5,1.598518610818068e-5,1.6673995982477073e-5,1.6093111173523515e-5,1.5738255970109804e-5,2.0415516664796307e-5,1.2293438388119421e-5,8.759972167058557e-6,1.690182269536872e-5,1.6951272587569525e-5,1.60100639462928e-5,1.1756348780195054e-5,8.151357162769246e-6,1.1760066830599024e-5,1.2344738195037867e-5,0.0,1.2506781794591848e-5,7.994717644194672e-6,0.0,5.4340983351461375e-6,0.0,0.0,3.5469178010923672e-6,5.453356356490935e-6,0.0,0.0,0.0,0.0,7.841528670101593e-6,5.448958683507466e-6,8.721887787435827e-6,0.0,0.0,7.9221798887732e-6,0.0,8.701433213190412e-6,0.0,9.673802184305002e-6,0.0,8.012353570519737e-6,3.5864765340842324e-6,4.30881281306821e-6,8.020815690093667e-6,9.733020571000642e-6,4.311057746846073e-6,1.22676466742333e-5,4.37114073394728e-6,1.1472124748041574e-5,9.603534330961744e-6,7.793990862697273e-6,87.43772503595028,1.7623948584762126,26.631031741740234,1.76241261591687,0.00017767435335264413,7.396921320131837e-5,38.08632975148037,1.6644435581012704,159.84856176595477,65.81474877413058,8.742221301675821,5.091260667342289,1.2008086470852484e-5,396.8419612699092
t3,1.5902513033323582e-5,2.042781994306694e-5,1.674236803490437e-5,8.14369739081446e-6,1.1488883724436491e-5,8.141240154072073e-6,2.0395236253578028e-5,1.6831772079874784e-5,1.3168956055724741e-5,1.2290865248315251e-5,1.2397814679572336e-5,1.241466068955364e-5,1.2398811343526721e-5,2.036247862213107e-5,1.5991801133073617e-5,1.668463265089147e-5,1.6099444726954146e-5,1.5744394011680545e-5,2.042073696866483e-5,1.2303591794507684e-5,8.749722059831618e-6,1.6884441020165255e-5,1.6929605439918255e-5,1.598631726000544e-5,1.1741167503283743e-5,8.134246990301242e-6,1.173817089961684e-5,1.2325975424709952e-5,0.0,1.2510457582527879e-5,7.995228585999705e-6,0.0,5.45092699680989e-6,0.0,0.0,3.540879488501074e-6,5.458184157256621e-6,0.0,0.0,0.0,0.0,7.834043683469033e-6,5.474602025058644e-6,8.729947221866145e-6,0.0,0.0,7.923625184819031e-6,0.0,8.701020332207665e-6,0.0,9.712377861861291e-6,0.0,8.038547103599156e-6,3.592882134722483e-6,4.340983486338008e-6,8.050616192296287e-6,9.777246134640326e-6,4.337263202403047e-6,1.2293392545434415e-5,4.394757578222852e-6,1.1496277075180763e-5,9.645994785614157e-6,7.7926310203802e-6,87.43772460745572,1.7623938144945097,26.631030031125352,1.762411111507931,0.0001763393823327575,7.262001376932683e-5,38.08632825988527,1.664443561700624,159.84856046691337,65.81474832123996,8.742221155757397,5.091259708972083,1.1976169808302453e-5,396.8419499078676
t4,1.601975752101329e-5,2.0540594594650487e-5,1.687969914644687e-5,8.23784648602312e-6,1.1547844901282011e-5,8.23209284459655e-6,2.0507579983952424e-5,1.6925187678090386e-5,1.328644248909939e-5,1.2378614070696196e-5,1.24888403583873e-5,1.2507526879102617e-5,1.2488805699256616e-5,2.0472225873427306e-5,1.610515638379793e-5,1.6821707715153608e-5,1.6206961048979283e-5,1.585224045122853e-5,2.0532582649182227e-5,1.2392565832804464e-5,8.783778532617341e-6,1.6938907252813467e-5,1.697787635794867e-5,1.6053429093683393e-5,1.1832194673615244e-5,8.180330448545134e-6,1.1802715190009445e-5,1.2371636532618433e-5,0.0,1.25127752204374e-5,8.06692917528638e-6,0.0,5.541707019743126e-6,0.0,0.0,3.5609796381952325e-6,5.498999702086523e-6,0.0,0.0,0.0,0.0,7.859066456546651e-6,5.568500265547265e-6,8.79094102779215e-6,0.0,0.0,7.997708067322207e-6,0.0,8.749639116520836e-6,0.0,9.813990473818215e-6,0.0,8.123490296216004e-6,3.6188858350785294e-6,4.395251840828174e-6,8.14041196739699e-6,9.874416319936084e-6,4.390186253713855e-6,1.2383787385895195e-5,4.453527503147685e-6,1.1604004402607704e-5,9.740292483741934e-6,7.821786012320552e-6,87.4377253504967,1.7623933708059563,26.631029995538043,1.7624106926081122,0.00017623590759543282,7.232188828501285e-5,38.08632797961238,1.6644435736759684,159.8485604281597,65.81474904541724,8.742222207833297,5.091259435425003,1.2008686567968292e-5,396.841954518472
t5,1.614030514046113e-5,2.0669064376381526e-5,1.7041436339454834e-5,8.333471103216184e-6,1.1604975325263642e-5,8.33680934231955e-6,2.0633535275415525e-5,1.7035313905915843e-5,1.3421285367441173e-5,1.2475836047071656e-5,1.2588663491704219e-5,1.2612815352697416e-5,1.258945617365969e-5,2.059490690872556e-5,1.6232904001026952e-5,1.6978683617154776e-5,1.6327506960541568e-5,1.597387324401159e-5,2.0656231064741224e-5,1.2494241298515981e-5,8.818392654308942e-6,1.699890431553737e-5,1.7011522923744057e-5,1.6126182730373484e-5,1.1905460040668614e-5,8.229449211223197e-6,1.1872791808122732e-5,1.2411071423634638e-5,0.0,1.2516423508522036e-5,8.137692853896614e-6,0.0,5.634443275301629e-6,0.0,0.0,3.576437864460599e-6,5.540965601217935e-6,0.0,0.0,0.0,0.0,7.878244914271789e-6,5.663452672446901e-6,8.858795890283822e-6,0.0,0.0,8.071406284616808e-6,0.0,8.79837995353478e-6,0.0,9.91307225157633e-6,0.0,8.201045730628346e-6,3.643223843616798e-6,4.448155092836232e-6,8.225680335235957e-6,9.971563466181483e-6,4.442373758364267e-6,1.2465825675777199e-5,4.5107153392991734e-6,1.170422205825678e-5,9.836119123588481e-6,7.849322144445377e-6,87.4377494537324,1.7623934285960263,26.63103044509195,1.762411501100697,0.0001824621671361548,7.29477125120951e-5,38.08633278009745,1.6644436064247183,159.84856849267751,65.8147675269758,26.22645067976221,5.091259797979926,1.2037854230776322e-5,414.32625116282367
t6,1.628902623029371e-5,2.0824584418367686e-5,1.7237608297765987e-5,8.444801677462339e-6,1.1678733887174698e-5,8.466699067796599e-6,2.079172114481328e-5,1.716561579147643e-5,1.3583898564863237e-5,1.2595407358413581e-5,1.2715088431241148e-5,1.2740318375799575e-5,1.2714658236624806e-5,2.0749091105208763e-5,1.639211068406132e-5,1.71715335483188e-5,1.6477918808339384e-5,1.612505735749604e-5,2.0815453749928798e-5,1.2615511687145443e-5,8.845324216155306e-6,1.7072289037649753e-5,1.7065568947430316e-5,1.621699687691978e-5,1.1993216326448884e-5,8.280586949328637e-6,1.1960387519472436e-5,1.2423563186796972e-5,0.0,1.252984616728418e-5,8.240284172299547e-6,0.0,5.755063520015587e-6,0.0,0.0,3.6022428693068914e-6,5.598077324906859e-6,0.0,0.0,0.0,0.0,7.910318599407573e-6,5.784770867360887e-6,8.942490026958803e-6,0.0,0.0,8.176581811619249e-6,0.0,8.86881442476656e-6,0.0,1.0039513081771055e-5,0.0,8.309021393252309e-6,3.6767670238625112e-6,4.514633930431629e-6,8.335860142359894e-6,1.0096393065824099e-5,4.508378878580547e-6,1.2582388864362202e-5,4.583251687034883e-6,1.1842637040477232e-5,9.957851610948593e-6,7.889675216291603e-6,262.31314642974024,1.7623941421202518,26.631057454947694,1.7624603206545129,0.0004922239549915284,0.00010024322848620367,38.086537363113976,1.6644437140367319,479.54564446452656,197.44420421838967,26.226626840851353,5.091272955574381,1.2461675209014265e-5,1040.5289740304472
t7,1.6375179201690215e-5,2.091650872572977e-5,1.7354871036639314e-5,8.500855416462482e-6,1.171947406123494e-5,8.53891982749345e-6,2.0880876725212407e-5,1.724351716314134e-5,1.3679097666807946e-5,1.2662930230314366e-5,1.2781418214167124e-5,1.2812954728507253e-5,1.2783224243825331e-5,2.0835817403039274e-5,1.6482583462321215e-5,1.7286798338578456e-5,1.6562586993629063e-5,1.6210451930626503e-5,2.089840077232622e-5,1.2686131136852184e-5,8.853143513909866e-6,1.708704427514221e-5,1.7076961230141507e-5,1.623408212286573e-5,1.2011613172766651e-5,8.292330349631071e-6,1.1978262350022818e-5,1.2430773371092187e-5,0.0,1.2536616119045797e-5,8.27272125404298e-6,0.0,5.797729704082441e-6,0.0,0.0,3.609115786638593e-6,5.616816284878312e-6,0.0,0.0,0.0,0.0,7.91887025524234e-6,5.8292024194750055e-6,8.978121504345711e-6,0.0,0.0,8.21150136717087e-6,0.0,8.875035864341933e-6,0.0,1.008456120490785e-5,0.0,8.338316522605088e-6,3.683249065022019e-6,4.534714152333578e-6,8.37245860461261e-6,1.0134468323592664e-5,4.5283408457041226e-6,1.2613611848030802e-5,4.609548666808435e-6,1.1885570154739343e-5,9.99733018948025e-6,7.897443328598655e-6,262.31314849740113,1.7624167405908873,26.63109957646904,1.762502947224723,0.0004926136438797797,0.000159654592336401,38.08654050721764,1.664443751494662,479.54564618521016,197.4442068627265,26.22662837974393,5.091299872920902,1.2634108937383082e-5,1040.529181725496
t8,1.6405819426796693e-5,2.0943885509713372e-5,1.740147215520629e-5,8.523435140218445e-6,1.1731559051814148e-5,8.564346558487766e-6,2.0912224169808796e-5,1.727598433981166e-5,1.3712620823471851e-5,1.2687438501962011e-5,1.2806665728016736e-5,1.2839729453453741e-5,1.2808892183689632e-5,2.0866056923239315e-5,1.6513311732557722e-5,1.73335963849956e-5,1.6592309041423914e-5,1.6240907481904103e-5,2.0928924412058714e-5,1.2711621472646825e-5,8.852791718650936e-6,1.7088131571459223e-5,1.7076651209134774e-5,1.6236276076036945e-5,1.2015648929977494e-5,8.292964990833673e-6,1.1982620937546708e-5,1.243300526080639e-5,0.0,1.2538890365750413e-5,8.285011017497425e-6,0.0,5.816938129973264e-6,0.0,0.0,3.6117945837873512e-6,5.622696069077575e-6,0.0,0.0,0.0,0.0,7.922254204048326e-6,5.848894342297531e-6,8.994755834647194e-6,0.0,0.0,8.2261587863069e-6,0.0,8.842359649227188e-6,0.0,1.0099207036765239e-5,0.0,8.351604883093112e-6,3.684922358599364e-6,4.541299028900692e-6,8.387586465989054e-6,1.0147463935490266e-5,4.535230627335498e-6,1.2627905285224559e-5,4.6208877763892834e-6,1.190282588593847e-5,1.0011169257944025e-5,7.899829740907164e-6,262.3131406532769,1.762416266034176,26.631093614317585,1.7625012261515856,0.0004890648793198923,0.000168885828036144,38.08653269159974,1.6644437662054534,479.5456327807802,197.4442022078124,26.226624062762586,5.0912968291461524,1.2600927518957976e-5,1040.529138948298
