Line,New_Trans_Capacity,Cost_Trans_Capacity
1,3.2072611e-9,2.9380983e-8
2,4.465307e-9,2.9816952e-8
3,1.4731293e-9,1.1415319e-8
4,3.0140896e-9,1.688131e-8
5,0.586693,4.9238467
6,4.9519917e-9,4.065275e-8
7,1.1164035,8.856855
8,4.064584e-10,3.1148546e-9
9,0.39677015,2.0979998
10,1.369371e-8,8.423299e-8
11,0.45479843,3.5556338
12,5.431927,41.775963
13,10.0,43.466427
14,8.304769e-10,8.808643e-9
15,0.49226955,3.9380445
16,2.4586963e-10,3.9859787e-9
17,1.8744892e-10,1.9497757e-9
18,2.809499e-9,1.6009432e-8
19,4.6793933,40.821434
20,1.5972139e-9,2.7454897e-8
21,7.6945375e-9,7.580328e-8
22,3.6757148e-9,4.1814175e-8
23,8.891371e-9,6.974554e-8
24,10.0,105.84828
25,0.046349064,0.315038
26,10.0,86.83616
27,10.0,104.792725
28,9.298487,65.56409
29,9.083892,81.10924
30,5.430042,62.945724
31,2.8279878e-10,2.0839022e-9
32,8.0589424e-10,7.539638e-9
33,10.0,72.49161
34,3.1053162e-9,3.2539763e-8
35,3.941731e-9,3.565115e-8
36,4.739257,45.175175
37,5.186489e-9,2.1138817e-8
38,6.4867944e-10,3.786994e-9
39,1.7539639e-9,1.6136136e-8
40,2.7539995e-9,3.3629576e-8
41,4.120273,52.597813
42,6.208791e-10,9.398056e-9
43,3.1380913,43.86005
44,10.0,125.06093
45,5.110839e-9,8.603913e-8
46,2.9902796e-9,4.6672646e-8
47,1.5523008e-9,1.8184402e-8
48,5.0215554e-10,8.266214e-9
49,4.0377386e-9,7.1031025e-8
50,2.3803644e-9,4.312016e-8
51,1.3340122e-8,3.1208262e-7
52,5.7663887e-9,1.2178418e-7
53,2.6214737e-9,4.0880344e-8
54,6.7951184e-10,1.160773e-8
55,4.4550767,53.63228
56,2.8633416e-9,5.130668e-8
57,4.593949e-9,6.2023105e-8
58,6.119615,79.094536
59,2.879907e-9,3.6231434e-8
60,3.7423784e-9,3.5997903e-8
61,1.4675485e-9,1.722909e-8
62,1.8870265e-9,2.2964276e-8
63,1.3862131,21.936075
64,2.5391048e-10,4.760335e-9
65,4.241881e-9,2.785968e-8
66,2.4732895,42.372757
67,6.4569754e-9,7.4490906e-8
68,10.0,82.4684
69,3.918104e-9,4.9756395e-8
70,10.0,82.64922
71,6.843032,71.41195
72,1.1710372,11.017139
73,10.0,141.29056
74,5.993604e-10,9.61422e-9
75,5.725687,76.20655
76,0.3557734,3.0888026
77,2.0487568,22.959106
78,10.0,100.40602
79,1.1308861,13.729057
80,4.20905e-10,5.6019935e-9
81,9.999998,79.35918
82,7.469172,97.466675
83,6.008365e-9,6.946169e-8
84,1.1109246e-8,9.602464e-8
85,4.669869,76.554245
86,1.5432849,23.46648
87,0.8833636,13.297694
88,5.125925e-10,3.8113814e-9
89,0.8122854,8.21515
90,2.7569331e-9,1.704386e-8
91,10.0,113.609665
92,6.632415,38.342827
93,10.0,115.54203
94,1.6409221e-9,1.6959325e-8
95,1.1778005,10.239342
96,5.3078523,38.453182
97,1.8357992,15.57074
98,1.7067945e-8,1.3759882e-7
99,5.3895094e-10,5.9760703e-9
100,9.999998,121.681366
101,1.9099666e-8,2.5763345e-7
102,1.2323249e-8,7.202452e-8
103,6.105343e-9,3.5572675e-8
104,2.9757755,19.237688
105,0.67079115,5.730306
106,10.0,66.37384
107,1.0344097e-8,1.1281199e-7
108,3.6971002e-9,1.3882192e-8
109,8.3867295e-9,4.5191086e-8
110,6.283875,98.19982
111,2.5183349e-9,1.5311741e-8
112,8.0789585,111.1999
113,1.980104e-8,1.5611602e-7
114,3.862496e-9,6.494293e-8
115,0.12818448,1.4210163
116,1.4335114,19.613356
117,3.705382,43.99308
118,10.0,66.95375
119,8.1071055e-10,6.417672e-9
120,4.114746e-9,3.287032e-8
121,0.84084004,12.094287
122,6.046874e-9,7.027096e-8
123,0.33759236,5.183355
124,1.2788897e-9,1.1542759e-8
125,0.13966805,1.1875241
126,3.5827233e-10,2.5359586e-9
127,4.6906788e-8,4.8932134e-7
128,8.660259e-9,8.046747e-8
129,0.42783418,5.0550184
130,3.6343173e-9,4.9031833e-8
131,0.26849258,19.49552
132,4.8194326e-10,6.508514e-8
133,2.4200864e-9,5.883999e-8
134,10.0,321.14584
135,1.273561e-9,4.2714138e-8
136,5.8987726e-10,1.8479252e-8
137,1.0472034e-7,8.413834e-6
138,1.6994552e-6,0.00011354667
139,1.6925789e-7,6.8907284e-6
140,2.7638177e-7,8.330452e-6
141,7.565281,462.65598
142,2.2852429e-7,1.04999235e-5
143,2.760117,179.41237
144,2.8214825e-7,8.229646e-6
145,10.0,433.71515
146,1.2932132,161.46727
147,3.4443688,28.762589
