Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,3.2072610999999997e-06,2.9380983e-08,4362.853663,192.8397702,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,4.465307e-06,2.9816952e-08,15060.90012,140.5648017,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,1.4731293000000001e-06,1.1415319e-08,3566.015485,163.1217338,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,3.0140896e-06,1.688131e-08,9117.540976,117.9002226,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,586.693,4.9238467,2377.343656,176.6681518,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,4.9519917e-06,4.065275e-08,2377.343656,172.8122916,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,1116.4035000000001,8.856855,2377.343656,167.0025114,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,4.064584e-07,3.1148546e-09,4754.687313,161.3192882,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,396.77015,2.0979998,2377.343656,111.3092027,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,1.369371e-05,8.423299e-08,3971.020013,129.4868617,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,454.79843,3.5556338,1593.676357,164.5745525,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,5431.927,41.775963,4754.687313,161.8963819,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,10000.0,43.466427,3964.434574,91.49946478,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,8.304769e-07,8.808643e-09,2377.343656,223.2780571,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,492.26955,3.9380445,5551.525491,168.4000708,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,2.4586963e-07,3.9859787e-09,2377.343656,341.267308,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,1.8744892e-07,1.9497757e-09,796.8381785,218.9607842,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,2.809499e-06,1.6009432e-08,4362.853663,119.9531437,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,4679.3933,40.821434,2377.343656,183.6383195,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
20,1.5972139e-06,2.7454897e-08,3174.181835,361.8439804,DE1 14,11.75030038,51.22456746,DE1 17,12.62697015,53.77264365
21,7.6945375e-06,7.580328e-08,10698.04645,207.3815449,DE1 14,11.75030038,51.22456746,DE1 19,10.72308407,49.88281742
22,3.6757148e-06,4.1814175e-08,7132.030969,239.4673588,DE1 14,11.75030038,51.22456746,DE1 3,13.55352574,52.53973418
23,8.891371000000002e-06,6.974554e-08,6348.36367,165.1248065,DE1 14,11.75030038,51.22456746,DE1 6,13.6417236,51.1474873
24,10000.0,105.84828,2377.343656,222.8170537,DE1 15,10.35871363,52.2258987,DE1 5,9.656115621,53.77222271
25,46.349064000000006,0.315038,796.8381785,143.0825182,DE1 15,10.35871363,52.2258987,DE1 9,8.718996773,52.01133541
26,10000.0,86.83616,7132.030969,182.7953894,DE1 16,7.383087925,52.70033778,DE1 2,7.69004145,51.39881774
27,10000.0,104.792725,0.0,220.5950437,DE1 16,7.383087925,52.70033778,DE1 8,6.782045751,51.15711695
28,9298.487,65.56409,4754.687313,148.4288535,DE1 16,7.383087925,52.70033778,DE1 9,8.718996773,52.01133541
29,9083.892,81.10924,3174.181835,187.9589297,DE1 17,12.62697015,53.77264365,DE1 3,13.55352574,52.53973418
30,5430.042,62.945724,2377.343656,244.0212724,DE1 17,12.62697015,53.77264365,DE1 5,9.656115621,53.77222271
31,2.8279878e-07,2.0839022e-09,4754.687313,155.1187848,DE1 18,6.961294781,49.74481059,DE1 7,8.614807726,50.07909121
32,8.0589424e-07,7.539638e-09,7132.030969,196.9414298,DE1 18,6.961294781,49.74481059,DE1 8,6.782045751,51.15711695
33,10000.0,72.49161,2775.762746,152.5992266,DE1 18,6.961294781,49.74481059,FR1 4,5.960518626,48.861879
34,3.1053161999999996e-06,3.2539763e-08,4362.853663,220.5835691,DE1 19,10.72308407,49.88281742,DE1 4,11.39973609,48.35883243
35,3.941731e-06,3.565115e-08,5551.525491,190.3930953,DE1 19,10.72308407,49.88281742,DE1 7,8.614807726,50.07909121
36,4739.2570000000005,45.175175,4754.687313,200.6569476,DE1 2,7.69004145,51.39881774,DE1 7,8.614807726,50.07909121
37,5.186488999999999e-06,2.1138817e-08,20220.59196,85.79694787,DE1 2,7.69004145,51.39881774,DE1 8,6.782045751,51.15711695
38,6.4867944e-07,3.786994e-09,4754.687313,122.8935438,DE1 2,7.69004145,51.39881774,DE1 9,8.718996773,52.01133541
39,1.7539639e-06,1.6136136e-08,7132.030969,193.6615966,DE1 3,13.55352574,52.53973418,DE1 6,13.6417236,51.1474873
40,2.7539995e-06,3.3629576e-08,2377.343656,257.052696,DE1 5,9.656115621,53.77222271,DE1 9,8.718996773,52.01133541
41,4120.273,52.597813,3566.015485,268.7238914,DE1 7,8.614807726,50.07909121,DE1 9,8.718996773,52.01133541
42,6.208791e-07,9.398056e-09,7132.030969,318.6365417,ES1 0,-5.521155106,41.91726953,ES1 5,-3.650686811,40.1106101
43,3138.0913,43.86005,9920.964594,294.2172818,ES1 0,-5.521155106,41.91726953,ES1 6,-2.896801354,42.76489618
44,10000.0,125.06093,13486.98008,263.2608363,ES1 0,-5.521155106,41.91726953,ES1 7,-7.87453434,42.66362337
45,5.110839e-06,8.603913e-08,2377.343656,354.3793799,ES1 0,-5.521155106,41.91726953,ES1 8,-6.151081793,39.41281179
46,2.9902796e-06,4.6672646e-08,10306.2128,328.5604185,ES1 1,-0.498247314,40.7899949,ES1 3,-1.068553391,38.46729399
47,1.5523007999999999e-06,1.8184402e-08,11103.05098,246.5969598,ES1 1,-0.498247314,40.7899949,ES1 4,1.532231515,41.6937861
48,5.0215554e-07,8.266214e-09,1195.257268,346.5237959,ES1 1,-0.498247314,40.7899949,ES1 5,-3.650686811,40.1106101
49,4.0377386e-06,7.1031025e-08,8725.707326,370.3177485,ES1 1,-0.498247314,40.7899949,ES1 6,-2.896801354,42.76489618
50,2.3803644e-06,4.312016e-08,398.4190892,381.3304998,ES1 1,-0.498247314,40.7899949,FR1 8,-0.428850811,43.53302298
51,1.3340122e-05,3.1208262e-07,1587.090917,492.4638983,ES1 2,-5.238705483,37.16218302,ES1 3,-1.068553391,38.46729399
52,5.7663887e-06,1.2178418e-07,8327.288237,444.5816711,ES1 2,-5.238705483,37.16218302,ES1 5,-3.650686811,40.1106101
53,2.6214737e-06,4.0880344e-08,7530.450059,328.2718737,ES1 2,-5.238705483,37.16218302,ES1 8,-6.151081793,39.41281179
54,6.7951184e-07,1.160773e-08,5153.106402,359.5959991,ES1 3,-1.068553391,38.46729399,ES1 5,-3.650686811,40.1106101
55,4455.0767000000005,53.63228,1188.671828,253.4169609,ES1 4,1.532231515,41.6937861,FR1 6,1.729674829,43.51121311
56,2.8633416e-06,5.130668e-08,3566.015485,377.1945283,ES1 5,-3.650686811,40.1106101,ES1 6,-2.896801354,42.76489618
57,4.593949e-06,6.2023105e-08,10704.63189,284.2051256,ES1 5,-3.650686811,40.1106101,ES1 8,-6.151081793,39.41281179
58,6119.615,79.094536,1587.090917,272.0739748,ES1 6,-2.896801354,42.76489618,FR1 8,-0.428850811,43.53302298
59,2.879907e-06,3.6231434e-08,3964.434574,264.8327307,FR1 0,2.285930386,46.41651176,FR1 11,-0.147786872,45.53878517
60,3.7423784000000004e-06,3.5997903e-08,6746.782759,202.4856022,FR1 0,2.285930386,46.41651176,FR1 12,2.837637634,45.01155887
