Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,1.8082117259130783e10,2.2916998232515645e8,7.89935927721003e7,8.841594283920635e7,6.004690178129127e7,3.0651744795112634e8,2.5276628218491498e8,2.895364354214569e8,2.3445960250516164e8,6.4738170635008484e7,9.22230710733497e7,9.37503530597984e7,3.2330410583677113e8,2.764717769927778e8,5.739791288468473e8,6.714929463134531e8,3.311189797569915e8,1.5210748931133893e8,6.227147626576235e8,6.802537864098375e8,1.2381261755586332e8,3.391742783418609e7,3.525017535108238e8,2.692054933710205e8,2.592928048867511e8,3.700669930714071e8,4.195761914776168e8,1.341113460892381e8,2.5467795224323717e8,2.220736996494771e7,3.510685938159815e8,2.97803586513381e6,5.713854493828155e7,4.552178441826526e6,4.751794873439376e7,9.743967283234943e6,4.586149305636377e7,1.509543611234692e8,1.0249301446646797e7,1.5079658559211895e8,1.799239935941627e8,6.172943717479556e7,2.038775192194566e8,8.224356586067154e7,1.6832841974140748e8,2.899614406639409e8,6.914068533117102e7,4.894094955485275e8,2.1700262396327578e7,1.2043871340371124e8,2.3341488916126966e8,6.545875394130712e7,1.44094111217884e7,2.376582084809707e7,1.5715567941730157e8,3.280755257270902e7,1.403642961110672e9,3.300055930575049e8,1.2258928529547083e8,1.1648145634136537e8,1.8766950786937192e8,1.1026926225968362e8,1.646636615231352e8,7.22580505488681e7,5.636367628829106e7,5.157266552232354e8,3.783814223298274e8,2.0372159194920602e8,1.209139539909701e8,2.8577501871558917e8,5.074372571758045e8,1.1611313323524952e8,2.197565055957143e8,1.4024604048744786e8,2.8487582639371157e8,2.2455399476863384e8,1.7322442928097695e8
cH2Fix_Gen,8.668960555631908e9,1.42608351484192e8,4.6098652939447954e7,5.340275966480129e7,4.3376795284777306e7,1.6302508509229243e8,1.5537140978951788e8,1.7141121344835696e8,1.1482150464451525e8,4.4504230156250305e7,6.0168320396174826e7,6.376215491528516e7,1.8268477764483503e8,1.615420448485904e8,2.4313270499521723e8,2.681261343275321e8,1.6396914774123663e8,8.970530427621612e7,2.2730195257557502e8,3.2801662279433787e8,7.48195172205996e7,2.5103904576848935e7,2.9932635364524627e8,1.0811852570240384e8,1.101018242452859e8,1.2182641155982149e8,1.6619436955854392e8,9.49098444647099e7,1.9607366683071455e8,1.7474290652479447e7,2.8338574140757293e7,847474.091250854,3.990438694728476e7,4.552064039628206e6,156.53855665746934,3.677449867577795e6,2.3561774384752102e7,1.2933168647540563e8,7.568701395946322e6,7.70570864470067e7,1.6842754506056473e8,4.202522295198577e7,1.3763264233122206e8,6.022120187868393e7,1.6558726049863e8,1.8439593450332364e8,1.0255152416945431e7,9.594126913483445e7,6.427621713996347e6,5.281920647404902e7,1.2441664138652036e8,5.4748655598158404e7,9.464895903848166e6,1.6929859032780617e7,1.2804910416438045e8,1.6611554752387144e7,6.014183365636945e8,1.8416491291737142e8,3.683069610038215e7,6.011765455599229e7,1.7027992361639252e8,9.406483761368051e7,1.0412362754601449e8,6.577036724014643e7,2.2775793162974525e7,2.272758560232282e8,2.6278793540813217e8,1.2247550478361586e8,8.547891506062767e7,1.6086588899931085e8,2.3550248437532553e8,8.979990757251695e7,1.3433939444093248e8,7.917705775205807e7,1.5625378798320168e8,1.687094537878991e8,8.097722252212389e7
cH2Fix_Liq,5.006870123030545e9,798731.248137303,162079.18040656662,1.3297416985296972e7,4.26161180915982e6,7.294900217466697e7,5.719327433422892,1.0646723170881443e7,2.9011170738349482e7,4.366151824112639e6,1.3646815961008512e6,1.0368276032095069e7,2.3016657170873474e7,1.6470441978135988e7,1.7644312121568766e8,2.185599806171111e8,8.075998757638182e7,8.20007017199155e6,2.284211911977977e8,1.5617976141530055e8,3.448041149239814e6,8.720392864744512e6,2.732785876764519e6,1.3909858768221575e8,1.273762649679536e8,2.394726246079475e8,2.199825613338838e8,3.840933094427396e7,2.628125657138962e7,1.1161984100014581e6,3.149262495002602e8,2.109295400251259e6,1.7198895335371803e7,5.717559585050437,4.706169679274037e7,5.919216165732339e6,1.7872663882444378e7,6.0429270436639795e6,5.67039227645398,6.172515615295668e7,1.137524555563797e7,1.858786311342845e7,4.665916050427913e7,1.5758651253024707e7,2.357256130901023e6,8.172010430205572e7,5.857668262067225e7,3.6890629639479744e8,1.5094943286343936e7,5.815542342816209e7,7.563613335781328e7,880524.2004979069,3.2172455382178365e6,3.902729788881625e6,5.10846946429061e6,1.2872098026635587e7,5.810710234596224e8,1.058030504088533e8,8.491090381302752e7,4.836810377369629e7,1.6706617447988562e7,1.2230402711281795e7,3.565828315384742e7,181008.4077723012,2.8863404122150432e7,2.431199680765156e8,5.7870723649006695e7,5.1902670217707895e7,5.882413375263421e6,8.448059717007141e7,2.069523196982395e8,2.612672786978015e7,5.7182824916724615e7,4.594202965818606e7,9.937722066125251e7,2.3746740793725774e7,7.691304478858404e7
cH2Fix_G2P,1144.233449895778,13.595511037630068,12.803597222802889,14.988057156779966,15.638009386031731,14.221636405942554,12.849817443032615,12.910485833265982,12.858754095068825,14.503057444506975,13.068582488945193,15.232666292526929,12.787350715991675,12.887604670315437,12.981282967126436,13.288196406110961,14.628867694166354,12.99148109592159,14.229176241442191,12.834466086557299,14.225880317061517,19.990644710131043,19.08019551240106,27.382547940805296,28.72681133963957,14.007015473636708,19.51865025800278,19.01905370375035,14.38771339903283,22.204451092817525,29.046702250600838,12.942836652486925,12.834146468117886,12.510301678865652,13.82066052514706,13.621796024791124,13.44412196433959,13.040612278447805,12.640326584389076,12.363925267761582,12.066501730869735,13.372962649189379,13.306509849028458,12.754898014853435,12.151000387600304,12.748670925132034,13.345579092415887,12.677637695184314,13.95334359138818,12.409264565185094,12.297235332278817,12.75890635203499,12.383589168594499,12.76057889802654,12.409393756481979,12.19692094379786,12.072226024098454,12.434480892435143,12.92987873958591,12.63194621041137,12.652104082374809,12.33253149914994,12.505026108286385,12.83155575526156,19.310340446998964,32.48970154535218,15.215064042549274,13.905091683505574,15.358858258968812,15.020761397045042,15.584652457787435,12.323154315400465,20.41648532182412,21.586024151907885,20.802626278535318,18.14219993175413,15.988753674091042
cH2Fix_Stor,7.061856452979356e8,8431.309010501165,1.1343573859539297e6,118071.65709379416,29745.324607403425,485456.4765537826,1.1342385810908698e7,1.0460195108454602e7,1.0294085352088354e6,39225.54864326642,5.013657764180988e6,87848.19263681366,899004.3163604484,1.2243791617080107e7,1.4901596778475575e7,1.2126789600489594e6,397104.6750441476,6.584396328056601e6,1.03442317115837e6,1.6968166571577907e7,32075.92241139643,93102.9109255832,5.044258912857749e7,2.1988342128940843e7,2.181468087677039e7,8.7679363625125e6,3.3399232141689297e7,792141.8305633622,3.232300950934882e7,3.6168489878268945e6,7.803734227795646e6,21202.86292340771,35155.4117712756,13.578139814832264,456066.6414437043,74898.95756983041,4.42702947904643e6,1.5579704720969323e7,14.432451469933172,1.2014272457333723e7,120818.48194164835,1.1163206590127682e6,1.958568900942023e7,6.263661043909787e6,383787.545758467,2.3845369006208498e7,308826.58034637553,1.6061184668939884e6,177670.82063481698,9.46405285107884e6,9.133962588408194e6,9.829397144904492e6,1.2768872356441463e6,2.9331453042868916e6,2.399808260043453e7,1.7365722138747035e6,2.7716145285626583e7,1.858327456265791e7,847539.8539923899,7.959875768691204e6,680939.8172233287,3.5712316507735993e6,7.079266936347055e6,6.306591290001167e6,1.6076418224900158e6,1.6235414664537862e6,3.3146160424076796e7,1.5931782539770288e7,1.0158454287853302e7,1.9437113940129865e7,3.470209061998237e7,186424.3069549201,2.2917586113098692e7,1.5126875760642065e7,2.9244768465354837e7,2.5220522452175718e7,1.468545828081511e7
cH2Var,2.0587091317969158e9,8.575445440375178e7,3.1598490168292698e7,2.1597679016531304e7,1.237873328660653e7,7.005788969134952e7,8.605246770261484e7,9.701829047318752e7,8.959750540888123e7,1.5828548146163022e7,2.567639782986852e7,1.9532058279663764e7,1.1670365365335687e8,8.621548532665463e7,1.3950169255352238e8,1.8359413886718106e8,8.599272469338658e7,4.761770520592723e7,1.6595718114818156e8,1.7908922247619614e8,4.551296866331278e7,6.415278596202124,4.874112919875358,9.142438446796598,4.577698279827408,5.9504873244111245,8.000610276256195,8.847052488187419,4.13964690766306,8.562799360439177,5.744855043111931,50.067505050734,94.00155365787131,82.15166797209599,14.248309518620312,72388.14074212943,11.272517876619663,29.28615489794008,2.680566833610931e6,57.798711851513346,372.1453978608659,16.578525386143426,13.467922268761042,38.459063506160376,103.10682580112096,19.700344943168464,9.8186851226817,2.29557984061087e7,11.992601098464089,17.847575746908454,2.422813903494377e7,163.6633288972465,450369.5652093133,73.4085028149331,10.20776694757213,1.5873148435082794e6,1.934374433380952e8,2.1454342258673716e7,131.9831608944895,35809.09412248776,2013.8188437173465,402777.4960265194,1.7802470890366912e7,70.14567875438729,3.1168170421411963e6,4.37072562690256e7,2.4576587195497442e7,1.3411620089145457e7,1.9394155307932172e7,2.099140313568809e7,3.0280346290686876e7,60.80442443153462,5.316678865172868e6,54.74489729727412,27.5477501609006,6.877259049174921e6,648687.1337550111
cH2Var_G2P,42.42334740112252,0.2845538568759778,0.29440194649524204,0.5274258270937054,0.43813081236351115,0.29462719527659875,0.312728689239418,0.3100905559936291,0.3194527697201751,0.4567818026151694,0.41844201870627484,0.40745129426726034,0.2639945820899551,0.3347120588209858,0.3226613612387698,0.2533834612894788,0.4420746818479819,0.33766634925618155,0.3357346555676876,0.31795898334320954,0.37441942780246873,1.0757437549793767,0.9059270416528362,1.3324736978052492,1.4922314774838417,0.5836227695118982,0.9242392834660645,0.9835846964537898,0.8044238874880886,1.1473894601454895,1.1556111128035433,0.5003665853671952,0.40815359235217646,0.4445292691023327,0.6926829896016128,0.5298168233632833,0.5934810257843327,0.5566631014186613,0.4739192104412405,0.37218477144931705,0.28411875804064746,0.4988805464462921,0.6001030798116299,0.4710915991872043,0.3082918654996533,0.40333720735084927,0.5489427400942364,0.46825523533884983,0.6294077882504369,0.3935809794648813,0.4963487282236143,0.5755110710925421,0.4952797699889274,0.5530662258274837,0.571035295024136,0.5393823588521272,0.39140735194881526,0.47546765506426464,0.6150291345874993,0.5169169180171459,0.5168197188432802,0.45538970142299695,0.49153317817970443,0.6337137004077745,0.8281944482971159,0.8983106937031328,0.43805033023143086,0.4138748186208525,0.6004352630066931,0.4496275410157544,0.6069177609720121,0.3584187697037033,0.84330030281593,0.9856402350900288,0.9335260845722486,0.5434584208417582,0.5669452447119948
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,1.6413906167166815e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
