Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
AnnualSum,718590.56,264783.66,180980.55,103729.2,587059.2,721087.8,812977.3,750793.94,132637.38,215158.7,163671.42,977933.4,722453.8,1.1689725e6,1.5384509e6,720587.2,399018.72,1.3906598e6,1.5007014e6,381381.8,0.05375766,0.04084326,0.076610245,0.038359415,0.04986288,0.06704215,0.07413502,0.034688707,0.071753085,0.04813976,0.41954714,0.7876982,0.68840057,0.119395554,606.5858,0.094459526,0.24540713,22462.158,0.4843318,3.1184406,0.1389219,0.1128562,0.32227272,0.86399704,0.16508159,0.08227695,192361.1,0.10049356,0.14955607,203022.83,1.371438,3773.9302,0.6151361,0.08553731,13301.11,1.6209341e6,179779.44,1.10597,300.06696,16.875055,3375.1262,149178.11,0.5877948,26117.771,366250.62,205942.7,112384.41,162515.84,175900.19,253738.1,0.50951856,44551.8,0.45874196,0.23083994,57628.883,5435.758,1.7251216e7
t1,3.83577369813095e-7,3.874310282464021e-7,3.690933469288408e-7,3.793360859180192e-7,3.8470485390270077e-7,5.086154689830338e-7,4.978768815870541e-7,3.8403710984900504e-7,3.689791464679089e-7,3.825652934223143e-7,3.7839296318206596e-7,3.8460935402928843e-7,4.386507802049917e-7,3.990540529326931e-7,3.8878831637242854e-7,3.7215269220235064e-7,4.339310822066193e-7,3.8313062099921887e-7,3.8206620072462754e-7,3.8320805985284476e-7,3.4858951809778654e-7,3.4164857292147206e-7,3.4686523335022705e-7,3.418008039697785e-7,3.45481476365063e-7,3.462516385077768e-7,3.5261849955025176e-7,3.447251611131026e-7,3.5108351419429155e-7,3.4282720066024144e-7,3.645969780328832e-7,3.703204326549924e-7,3.6743333765399455e-7,3.5831395043770774e-7,3.6471153068683253e-7,3.5700343348392675e-7,3.617150175342686e-7,3.685930239420969e-7,3.68282974124305e-7,3.750386989122071e-7,3.537941137167196e-7,3.5760310571972497e-7,3.6085937557971965e-7,3.7130005316846604e-7,3.624490026699033e-7,3.4985573195473187e-7,3.654419198369549e-7,3.5407576439365464e-7,3.5098202637871883e-7,3.525200367230485e-7,3.5459990661863135e-7,2.7226720520894367e-7,3.5288132495923734e-7,2.9774612296567885e-7,2.9903730445487784e-7,3.583524809677769e-7,3.1707107035166445e-7,2.995319912504207e-7,3.5473380551094784e-7,3.6059653051145273e-7,3.568058675224395e-7,3.180943668431064e-7,2.9780551900816285e-7,3.5985730781499993e-7,3.6993933842795553e-7,3.691244933116375e-7,3.7239941584425317e-7,3.6836327868397813e-7,3.752176899666392e-7,3.652078342311666e-7,3.6670185034734726e-7,3.648508115359357e-7,2.7227960539287627e-7,3.5534204382768354e-7,3.702945936726163e-7,3.616700767453639e-7,2.759775467013614e-5
t2,3.8358845094658515e-7,3.874452649059785e-7,3.691006590779141e-7,3.7935559699859953e-7,3.847218418825473e-7,5.087087661460834e-7,4.97925706943558e-7,3.840548286841885e-7,3.689898250424744e-7,3.825839537570286e-7,3.7843252787391533e-7,3.846614798997815e-7,4.386639764923045e-7,3.990497403584021e-7,3.8881251300328787e-7,3.7216641028932547e-7,4.3392604866939185e-7,3.8315644532029123e-7,3.8208279219598946e-7,3.818783984501805e-7,3.4859968978064486e-7,3.416537260416086e-7,3.4687477528266563e-7,3.417618297972214e-7,3.4550611217968936e-7,3.462162125854951e-7,3.5257244443735653e-7,3.447278960373907e-7,3.510848406434157e-7,3.4283394951389424e-7,3.6346604926800866e-7,3.68985073597335e-7,3.674465431432508e-7,3.5832328378979093e-7,3.6471699724926794e-7,3.5693754641015925e-7,3.6172215965052864e-7,3.6860678337765567e-7,3.669582715003882e-7,3.7584680727492744e-7,3.5380480938246987e-7,3.576047896671412e-7,3.608691828724968e-7,3.713152097397193e-7,3.6245404998068664e-7,3.498936182077733e-7,3.654555297786486e-7,3.5430722704132123e-7,3.509924462079934e-7,3.525308118762323e-7,3.5461738349228784e-7,2.722863768539264e-7,3.529115230361139e-7,2.9776260063561405e-7,3.003481214817857e-7,3.5836967384614804e-7,3.1706944716483084e-7,2.9954149596820225e-7,3.547458705879711e-7,3.606059511511563e-7,3.5681949548289355e-7,3.1809178598373086e-7,2.97819901049515e-7,3.598794713274822e-7,3.699493742651755e-7,3.6914729286974615e-7,3.724137900584864e-7,3.683850541914007e-7,3.752574915567788e-7,3.6523057657066353e-7,3.6671363591309504e-7,3.648673390453691e-7,2.7229556108583743e-7,3.553620118355646e-7,3.703073694481268e-7,3.6169383763152654e-7,2.759586632578643e-5
t3,3.836009882402785e-7,3.8746000556608114e-7,3.6911857130600756e-7,3.7937691540411474e-7,3.847355760243578e-7,5.086755240062954e-7,4.978591532144424e-7,3.840723864955774e-7,3.662873506560593e-7,3.8262995169706377e-7,3.7846143131739046e-7,3.8462502886660707e-7,4.3868254201335656e-7,3.9902504039963115e-7,3.89178685982615e-7,3.7218108087147815e-7,4.33895292184037e-7,3.8318132729674266e-7,3.821010309090342e-7,3.774250186779213e-7,3.4860281623801084e-7,3.416588983021254e-7,3.468857206118292e-7,3.42198397778296e-7,3.45508563586012e-7,3.466650727945386e-7,3.530495547482357e-7,3.4473215592385865e-7,3.510893606701103e-7,3.4285255404974855e-7,3.634748445383796e-7,3.681298236428881e-7,3.674584461743452e-7,3.5833039107503616e-7,3.641324899990218e-7,3.5618524641547456e-7,3.617315775206048e-7,3.6861886087299776e-7,3.661216466004793e-7,3.7602165977442765e-7,3.5381245478476906e-7,3.576086752428831e-7,3.608807374599328e-7,3.7133008679168106e-7,3.624601718787112e-7,3.499107227018455e-7,3.6546849521759657e-7,3.5445981586937215e-7,3.5100280727372587e-7,3.525435104468805e-7,3.54635200798051e-7,2.7230598249995947e-7,3.5294118320931363e-7,2.9778526823111734e-7,3.0038019355287816e-7,3.583882124569785e-7,3.1709427732053065e-7,2.9955277208390163e-7,3.5476136873593306e-7,3.606170505646562e-7,3.5683664100039266e-7,3.181171687543047e-7,2.978414294685372e-7,3.602227788668433e-7,3.699625233318815e-7,3.6948658863651516e-7,3.724302502181119e-7,3.684064338154222e-7,3.7563180022122214e-7,3.65576290176104e-7,3.6672519467160203e-7,3.6488350003186243e-7,2.723104270651401e-7,3.5537874126883723e-7,3.703224962882047e-7,3.617149834769773e-7,2.7589807216858192e-5
t4,3.836079726041063e-7,3.874720883209816e-7,3.691269436842415e-7,3.7938731665295474e-7,3.847458997681822e-7,5.08620178169071e-7,4.977939981705278e-7,3.840814924680693e-7,3.660619207096165e-7,3.826263713902982e-7,3.7844528270860483e-7,3.8458121193185257e-7,4.386918374621518e-7,3.989962822177433e-7,3.888395774238081e-7,3.723830136491008e-7,4.3385740764481237e-7,3.831742193904358e-7,3.8210981465322655e-7,3.742394247556691e-7,3.4860707639672607e-7,3.4166283243476275e-7,3.468929779879369e-7,3.4178154710148247e-7,3.455126711995375e-7,3.462323903294003e-7,3.525901551153007e-7,3.44732961401042e-7,3.510924170025817e-7,3.4286859373815706e-7,3.646925247287907e-7,3.6940998672072183e-7,3.674657697019389e-7,3.5834066482530734e-7,3.6473241442420737e-7,3.570511711514141e-7,3.6174170636034227e-7,3.686054477423522e-7,3.673721264210939e-7,3.7554750843230106e-7,3.538186138878248e-7,3.576276880973564e-7,3.623684160410617e-7,3.713382321116827e-7,3.6246505116873593e-7,3.498959064177627e-7,3.658776049888911e-7,3.542637593358759e-7,3.5101134188214253e-7,3.535200611665138e-7,3.5464426907584887e-7,2.7231988344542206e-7,3.5369780280049226e-7,2.9778471076806634e-7,3.003911337820595e-7,3.591080545642366e-7,3.1711441291951983e-7,2.995591207493709e-7,3.5552622054090567e-7,3.6059909293297114e-7,3.576196088891064e-7,3.1813745646202317e-7,2.9785264185175757e-7,3.5990639427463677e-7,3.6997446964835675e-7,3.691699309635236e-7,3.7243985469201905e-7,3.684233780073021e-7,3.752998840748367e-7,3.6525999934073893e-7,3.6673416166451064e-7,3.648938817103483e-7,2.7232013849779546e-7,3.553902668099058e-7,3.703348408781786e-7,3.617278982593371e-7,2.7594191379691968e-5
t5,3.8361739728728575e-7,3.874856808791919e-7,3.6913927949681316e-7,3.7940139734909775e-7,3.847571219861161e-7,5.085459777836351e-7,4.977107362329689e-7,3.840946832538932e-7,3.713171968023805e-7,3.8263892379459563e-7,3.7837147252548014e-7,3.8502564200304743e-7,4.3870673113260797e-7,3.989544927726559e-7,3.8884492004685674e-7,3.72523818776686e-7,4.338068686103793e-7,3.831806145368689e-7,3.8212189541299275e-7,3.742380619728028e-7,3.486041460357851e-7,3.4166567207495975e-7,3.469003849495116e-7,3.4181115749140895e-7,3.455155305125131e-7,3.4626660478112283e-7,3.5263784052085354e-7,3.447335049593826e-7,3.510958288226538e-7,3.428781782888844e-7,3.6467466208781637e-7,3.7034567543866165e-7,3.674748102065509e-7,3.583524532690291e-7,3.647394830443048e-7,3.570693110466484e-7,3.617518753962387e-7,3.685880288855501e-7,3.683045290382149e-7,3.754800676482001e-7,3.5382536362957196e-7,3.576453656437421e-7,3.638479417130332e-7,3.7307559087443064e-7,3.6247059329166814e-7,3.4988593864434013e-7,3.656070833316867e-7,3.541248692154916e-7,3.5102052804243787e-7,3.546252560471381e-7,3.546557971440337e-7,2.7233703940868394e-7,3.547970800369107e-7,2.977936192056795e-7,3.004081057640751e-7,3.602878016451843e-7,3.171268515244909e-7,2.9956709562379013e-7,3.566578004558971e-7,3.613389633861875e-7,3.58778310129082e-7,3.181487775284592e-7,2.978674108431271e-7,3.5991186176799543e-7,3.699878410280892e-7,3.6917264594163015e-7,3.7245312215796135e-7,3.684405868923037e-7,3.753073294142159e-7,3.6526581662780764e-7,3.667440751573932e-7,3.6490593011578915e-7,2.723313609010735e-7,3.5540281915990375e-7,3.7034810037423003e-7,3.6174266854112636e-7,2.7611279998363305e-5
t6,3.836274264867723e-7,3.875000706524767e-7,3.691536512312821e-7,3.794166822385871e-7,3.8476911275172695e-7,5.085636174992616e-7,4.97720214747179e-7,3.841092392029325e-7,3.7221405162289384e-7,3.8265605812824487e-7,3.7837791966672044e-7,3.85051199354992e-7,4.3872340451107e-7,3.9897074528206126e-7,3.888719641751639e-7,3.732554964483828e-7,4.338262842817171e-7,3.8319330568023713e-7,3.821348440516822e-7,3.7455684789834444e-7,3.486057357199472e-7,3.4166999688312386e-7,3.469054040932738e-7,3.418022736845209e-7,3.455361483810471e-7,3.4626379068483457e-7,3.5264607208134784e-7,3.4473144053435187e-7,3.5109722785632274e-7,3.428767675549191e-7,3.646778999466774e-7,3.703518425725672e-7,3.6748507103765964e-7,3.5836375828617613e-7,3.6474654695739525e-7,3.570775048922718e-7,3.617615671037673e-7,3.6859269848275853e-7,3.685698074655517e-7,3.761046981645413e-7,3.5383513349225666e-7,3.576578876489104e-7,3.6385886390731865e-7,3.7369089155958973e-7,3.624756869534328e-7,3.4989333710732506e-7,3.654965666149317e-7,3.5409702348628185e-7,3.510305961163834e-7,3.5497833581861437e-7,3.546680450267543e-7,2.7235306651400604e-7,3.5481522660533135e-7,2.978062274664185e-7,3.0042445068654777e-7,3.6066637189696673e-7,3.171383675043287e-7,2.995740419131621e-7,3.5701886337613833e-7,3.6171790257288173e-7,3.5914854373185504e-7,3.181567451100504e-7,2.9787913158851043e-7,3.599234445412742e-7,3.7000152044645774e-7,3.6918505221438217e-7,3.7246943260355545e-7,3.684593350220524e-7,3.7532877504493294e-7,3.6527885128815697e-7,3.667561883262236e-7,3.6491805067642064e-7,2.7234131165930753e-7,3.554134349707169e-7,3.7036535220527677e-7,3.617581018993982e-7,2.7617138545890936e-5
t7,3.8358839357172257e-7,3.874442110847155e-7,3.702718549560223e-7,3.793515049279514e-7,3.847208449881548e-7,5.083928301417315e-7,4.976636746638059e-7,3.8405072179015947e-7,3.7385112667213413e-7,3.826034094911869e-7,3.783204927045569e-7,3.856593262605707e-7,4.3865769917913736e-7,3.98783031188679e-7,3.8941357020023517e-7,3.7413896749831853e-7,4.3372490762413e-7,3.8314388287166554e-7,3.8209031540887893e-7,3.7618711074020995e-7,3.4860056545018104e-7,3.4165732162010094e-7,3.4687779882711417e-7,3.417845407625014e-7,3.4548439932777e-7,3.462293630532293e-7,3.525844085301358e-7,3.447331295089002e-7,3.510879594483084e-7,3.428514850547604e-7,3.6463119155654727e-7,3.703314355529581e-7,3.674450174984113e-7,3.5832517700160267e-7,3.647286655302433e-7,3.5701990564285246e-7,3.617201556318121e-7,3.685485810582422e-7,3.6853622878559047e-7,3.7604755257756376e-7,3.5380294728780687e-7,3.576079382655382e-7,3.638244958405787e-7,3.7421367997645854e-7,3.624607750628533e-7,3.4985628322151653e-7,3.654516795235059e-7,3.5399552408317407e-7,3.50992667511763e-7,3.5521239980271744e-7,3.546139842439915e-7,2.722792590636888e-7,3.547204658062533e-7,2.977598611906962e-7,3.0035479373642636e-7,3.612453107632908e-7,3.1709683298535777e-7,2.995412909172384e-7,3.572577591117617e-7,3.623229272762655e-7,3.59390243950432e-7,3.1811627454386464e-7,2.9781737929980215e-7,3.598805510069332e-7,3.6995509437819407e-7,3.691484186462951e-7,3.7241289211539473e-7,3.683864177861605e-7,3.7525871266885086e-7,3.6523473875813226e-7,3.667110250409901e-7,3.648690467364934e-7,2.722956455509523e-7,3.553638449316957e-7,3.7030653941704565e-7,3.6169322274341604e-7,2.762273368162832e-5
t8,3.835999930209148e-7,3.874616769962994e-7,3.7023606161386126e-7,3.7937008354778454e-7,3.847359618176438e-7,5.08361227052723e-7,4.975928046645097e-7,3.840674589267228e-7,3.7793109978966125e-7,3.8666795160197794e-7,3.783408666282635e-7,3.88199563401981e-7,4.386790654147764e-7,3.973005785201329e-7,3.893224468842762e-7,3.7818718215641906e-7,4.3369110670226586e-7,3.8331820016541066e-7,3.8216277402920017e-7,3.8031544889844225e-7,3.4860965121905987e-7,3.4166156060259856e-7,3.468853638207648e-7,3.4219477114961097e-7,3.455050751278268e-7,3.466694935350779e-7,3.5305632851701063e-7,3.4472975763123215e-7,3.510889155694529e-7,3.4285143502400925e-7,3.6461570125869446e-7,3.7033713685240727e-7,3.674579599682889e-7,3.5833206052458647e-7,3.6473662862034117e-7,3.570187670192688e-7,3.617280531272929e-7,3.685617475810133e-7,3.68545726082526e-7,3.760669632086246e-7,3.5381262937400726e-7,3.5760468968989493e-7,3.638335301628112e-7,3.742287225263423e-7,3.624649087636165e-7,3.498726358852733e-7,3.6546398964760477e-7,3.5400527200466856e-7,3.5100190618884916e-7,3.5522983620695506e-7,3.5462986692380207e-7,2.722496593552455e-7,3.5474777364266046e-7,2.977792875403237e-7,3.0037032507393623e-7,3.6126194445810803e-7,3.1710775677989486e-7,2.9954988728219847e-7,3.572703003190714e-7,3.623323141892263e-7,3.5941314840821387e-7,3.18127921669252e-7,2.978296190113348e-7,3.6022096053164666e-7,3.699637066073143e-7,3.694886108645833e-7,3.724252273886828e-7,3.684080856434597e-7,3.7563473172546794e-7,3.655799549511603e-7,3.667228998840101e-7,3.648844922563474e-7,2.7231047655974284e-7,3.5538012691718996e-7,3.703218570051689e-7,3.6171500488102445e-7,2.7643438708592044e-5
t9,3.8361060900066986e-7,3.8747862010741e-7,3.702515875201548e-7,3.793872348358746e-7,3.8475163451610813e-7,5.08461094437208e-7,4.97606764988758e-7,3.840826737912186e-7,3.7796085780769723e-7,3.865098009029653e-7,3.783665092640952e-7,3.876807891164873e-7,4.3870175286921857e-7,3.973612819466915e-7,3.894521857247251e-7,3.782136150796921e-7,4.337179099741142e-7,3.8336180765295033e-7,3.821948248852011e-7,3.803370301537538e-7,3.487256254802002e-7,3.416636131301475e-7,3.468950409025902e-7,3.417855697260204e-7,3.455126778687031e-7,3.462370483306303e-7,3.525990228766137e-7,3.4473066743783506e-7,3.510909661437527e-7,3.428698979104077e-7,3.6468002810309323e-7,3.6387360332786134e-7,3.6746827264659226e-7,3.583432034569208e-7,3.630081676078695e-7,3.5704728671904244e-7,3.617402417724686e-7,3.6857572095278387e-7,3.6545952600267865e-7,3.7508650728545094e-7,3.538188340962752e-7,3.5762595708853e-7,3.638427294002829e-7,3.7267053006990307e-7,3.5746339686640836e-7,3.4997743034746076e-7,3.654758576709396e-7,3.5504238572443107e-7,3.510136330720782e-7,3.5524132986666516e-7,3.5464437363998743e-7,2.715833729551598e-7,3.547719931552577e-7,2.9778379298909874e-7,3.0038712718888217e-7,3.612764028140823e-7,3.17125894309932e-7,2.995585388789093e-7,3.572821915997439e-7,3.623414249124955e-7,3.5942684603267946e-7,3.181391393062478e-7,2.97847282309685e-7,3.535728491160424e-7,3.632842885929612e-7,3.6643220614697683e-7,3.6494386732326074e-7,3.653709210336315e-7,3.675662026536216e-7,3.622663512557763e-7,3.614918411188968e-7,3.5897948230368103e-7,2.723237071172284e-7,3.3083352914310065e-7,3.6524206665600683e-7,3.5861951229610625e-7,2.7542148561309086e-5
