Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,3.67582344296674e-8,8.950079990681923e-5,8.946404167238956e-5
OCGT-H2_1.0,1.0,0,4.345922218654977e-8,0.00010869999937031857,0.00010865654014813202
CCGT-H2_2.0,2.0,0,3.676210039867313e-8,8.506570942965017e-5,8.50289473292515e-5
OCGT-H2_2.0,2.0,0,4.3459235498096935e-8,0.00010141476018802146,0.00010137130095252336
CCGT-H2_3.0,3.0,0,3.675595719076096e-8,0.00010177674122517138,0.00010173998526798062
OCGT-H2_3.0,3.0,0,4.345537742995457e-8,0.00011601485076202508,0.00011597139538459513
CCGT-H2_4.0,4.0,0,3.6753190602122634e-8,0.00011597888376280472,0.00011594213057220261
OCGT-H2_4.0,4.0,0,4.3447585058865617e-8,0.0001090282376009476,0.00010898479001588874
CCGT-H2_5.0,5.0,0,3.6762276527618104e-8,9.461422287632202e-5,9.45774605997944e-5
OCGT-H2_5.0,5.0,0,4.351208632799698e-8,0.0001124875666766284,0.0001124440545903004
CCGT-H2_6.0,6.0,0,3.6757070084809067e-8,8.543281789525472e-5,8.53960608251699e-5
OCGT-H2_6.0,6.0,0,4.3448875354895235e-8,0.00010170706953954104,0.00010166362066418615
CCGT-H2_7.0,7.0,0,3.675751409455642e-8,8.584974440848804e-5,8.581298689439349e-5
OCGT-H2_7.0,7.0,0,4.345403693792621e-8,0.00010217047820143032,0.0001021270241644924
CCGT-H2_8.0,8.0,0,3.6757782461306e-8,8.538658780412814e-5,8.534983002166683e-5
OCGT-H2_8.0,8.0,0,4.345393110199776e-8,0.00010190747563002133,0.00010186402169891933
CCGT-H2_9.0,9.0,0,3.675841524907878e-8,9.692528130493587e-5,9.688852288968679e-5
OCGT-H2_9.0,9.0,0,4.346104327754199e-8,0.00011417425832655526,0.00011413079728327772
CCGT-H2_10.0,10.0,0,3.675804507260926e-8,8.738399709053293e-5,8.734723904546032e-5
OCGT-H2_10.0,10.0,0,4.345662777646205e-8,0.00010282839345568603,0.00010278493682790957
CCGT-H2_11.0,11.0,0,3.675793663827282e-8,0.00010660231613214173,0.00010656555819550346
OCGT-H2_11.0,11.0,0,4.345293344842498e-8,0.0001140230429315967,0.00011397958999814828
CCGT-H2_12.0,12.0,0,3.6757906983185586e-8,8.504043765719961e-5,8.500367975021643e-5
OCGT-H2_12.0,12.0,0,4.3452958829729995e-8,0.00010118462400500664,0.00010114117104617691
CCGT-H2_13.0,13.0,0,3.6757926813683666e-8,8.58406828875408e-5,8.580392496072712e-5
OCGT-H2_13.0,13.0,0,4.3453794135814825e-8,0.00010181379684758697,0.00010177034305345116
CCGT-H2_14.0,14.0,0,3.675789929671035e-8,8.688495701184091e-5,8.684819911254421e-5
OCGT-H2_14.0,14.0,0,4.34554131257112e-8,0.0001020377029687663,0.00010199424755564059
CCGT-H2_15.0,15.0,0,3.6763536666280347e-8,8.868707269111907e-5,8.86503091544528e-5
OCGT-H2_15.0,15.0,0,4.346720904339607e-8,0.00010475896685804162,0.00010471549964899822
CCGT-H2_16.0,16.0,0,3.6758850208251034e-8,9.781330890279925e-5,9.777655005259099e-5
OCGT-H2_16.0,16.0,0,4.3463744318171796e-8,0.00011510647852983477,0.0001150630147855166
CCGT-H2_17.0,17.0,0,3.675728564663213e-8,8.697695904357539e-5,8.694020175792875e-5
OCGT-H2_17.0,17.0,0,4.345091008098276e-8,0.0001020886918621853,0.00010204524095210431
CCGT-H2_18.0,18.0,0,3.675614013266007e-8,9.457261071343217e-5,9.453585457329951e-5
OCGT-H2_18.0,18.0,0,4.345207741287103e-8,0.00011265982853036741,0.00011261637645295454
CCGT-H2_19.0,19.0,0,3.6756762768676086e-8,8.517889458157753e-5,8.514213781880886e-5
OCGT-H2_19.0,19.0,0,4.345180042983478e-8,0.00010177201578194399,0.00010172856398151416
CCGT-H2_20.0,20.0,0,3.676192600823562e-8,9.453401805679419e-5,9.449725613078596e-5
OCGT-H2_20.0,20.0,0,4.346601380436647e-8,0.00011265423008484793,0.00011261076407104356
CCGT-H2_21.0,21.0,0,3.331958800385306e-8,0.0001347458236669959,0.00013471250407899206
OCGT-H2_21.0,21.0,0,4.3509276503052925e-8,0.0001559557089133711,0.00015591219963686804
CCGT-H2_22.0,22.0,0,3.6767319060857544e-8,0.00012880663327764826,0.0001287698659585874
OCGT-H2_22.0,22.0,0,4.346310238431914e-8,0.00014861282509252678,0.00014856936199014246
CCGT-H2_23.0,23.0,0,3.675309173406383e-8,0.00018208918258978937,0.0001820524294980553
OCGT-H2_23.0,23.0,0,4.344739662975043e-8,0.0002166608890721212,0.00021661744167549146
CCGT-H2_24.0,24.0,0,3.675712510986079e-8,0.00018785417837666134,0.00018781742125155147
OCGT-H2_24.0,24.0,0,4.345666793437891e-8,0.0002311923546236039,0.00023114889795566954
CCGT-H2_25.0,25.0,0,3.67607250822819e-8,9.816478676115758e-5,9.812802603607531e-5
OCGT-H2_25.0,25.0,0,4.345874524564328e-8,0.00010467899214637253,0.00010463553340112689
CCGT-H2_26.0,26.0,0,3.675508144092166e-8,0.0001315048147271983,0.0001314680596457574
OCGT-H2_26.0,26.0,0,4.344785086530333e-8,0.00015234854989334468,0.00015230510204247938
CCGT-H2_27.0,27.0,0,3.675453883560603e-8,0.0001295490359223952,0.0001295122813835596
OCGT-H2_27.0,27.0,0,4.344628500389977e-8,0.00014671862414351094,0.00014667517785850703
CCGT-H2_28.0,28.0,0,3.680043525890981e-8,0.00010041762869204445,0.00010038082825678554
OCGT-H2_28.0,28.0,0,4.347489904710789e-8,0.00010803302160962098,0.00010798954671057388
CCGT-H2_29.0,29.0,0,3.420175961412719e-8,0.00015385775226398215,0.000153823550504368
OCGT-H2_29.0,29.0,0,4.3498258325506476e-8,0.00016808057959523688,0.00016803708133691139
CCGT-H2_30.0,30.0,0,3.6748334722575835e-8,0.00018554688173120097,0.00018551013339647838
OCGT-H2_30.0,30.0,0,4.3436664129752384e-8,0.00023916685958243268,0.00023912342291830294
CCGT-H2_31.0,31.0,0,3.676777204652419e-8,8.92229926741816e-5,8.918622490213508e-5
OCGT-H2_31.0,31.0,0,4.346106272914453e-8,9.854956483043933e-5,9.850610376771019e-5
CCGT-H2_32.0,32.0,0,3.680456507243992e-8,8.66119906977618e-5,8.657518613268936e-5
OCGT-H2_32.0,32.0,0,4.348254039341205e-8,0.00010000766033321478,9.996417779282137e-5
