Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,35.715878,1.7681128,2.5260886e7
2,0.0,6.0491526e-5,2.99463e-6,31.18615
3,0.0,2.7571642,0.13649328,1.6495486e6
4,0.0,9.029724e-5,4.4701605e-6,39.046288
5,0.0,0.00024153208,1.1957034e-5,156.50339
6,0.0,2.7667145e-5,1.3696607e-6,17.535963
7,0.0,3.290688,0.16290535,2.0155815e6
8,0.0,3.2906542,0.16290368,1.9469696e6
9,0.0,8.539968,0.42277068,3.4864058e6
10,0.0,36.62023,1.8128828,1.7391516e7
11,0.0,40.8413,2.0218465,2.4652042e7
12,0.0,124.45254,6.161017,7.389781e7
13,0.0,174.9038,8.658604,5.869599e7
14,0.0,19.691826,0.97484285,1.6125852e7
15,0.0,55.61737,2.7533352,3.4351316e7
16,0.0,2.023387e-5,1.0016768e-6,25.325865
17,0.0,2.7968428e-5,1.3845756e-6,22.46079
18,0.0,0.25661576,0.01270375,112897.83
19,0.0,0.2364964,0.011707743,159286.33
20,0.0,2.6740649e-5,1.3237944e-6,35.488197
21,0.0,9.564531e-5,4.7349163e-6,72.74856
22,0.0,2.4665369e-5,1.2210579e-6,21.663298
23,0.0,0.051939555,0.002571265,31455.832
24,0.0,0.000773725,3.8303217e-5,632.30365
25,0.0,22.432375,1.1105137,1.177206e7
26,0.0,0.41449004,0.020519309,277888.12
27,0.0,0.00029644754,1.467562e-5,239.84697
28,0.0,4.5930785e-5,2.273801e-6,25.004192
29,0.0,1.6828929,0.08331153,1.1601391e6
30,0.0,1.6883342,0.0835809,1.5110428e6
31,0.0,74.81021,3.7034757,4.25614e7
32,0.0,35.603203,1.7625347,2.5716792e7
33,0.0,139.25,6.893564,7.793601e7
34,0.0,2.7496902e-5,1.3612328e-6,22.245777
35,0.0,12.260734,0.60696703,8.561666e6
36,0.0,0.001440724,7.1322975e-5,1060.2924
37,0.0,2.923311,0.14471836,919893.44
38,0.0,0.0013809941,6.836605e-5,622.46014
39,0.0,6.597562e-5,3.2661198e-6,46.861656
40,0.0,3.1254454e-5,1.5472502e-6,29.46624
41,0.0,4.3920027e-5,2.1742587e-6,43.2872
42,0.0,3.8969963e-5,1.929206e-6,45.54243
43,0.0,63.855453,3.1611612,6.890597e7
44,0.0,58.183846,2.8803883,5.6179684e7
45,0.0,0.05303562,0.0026255257,68932.93
46,0.0,5.672115e-5,2.8079776e-6,68.35195
47,0.0,54.67282,2.7065752,4.9448124e7
48,0.0,1.6189775,0.0801474,2.057617e6
49,0.0,5.9818496e-5,2.9613116e-6,81.24575
50,0.0,5.100618,0.25250584,7.1337025e6
51,0.0,3.646404e-5,1.8051505e-6,65.86123
52,0.0,2.7631853e-5,1.3679136e-6,45.055954
53,0.0,8.925005e-5,4.4183193e-6,107.45652
54,0.0,0.2497496,0.012363842,329389.9
55,0.0,15.307576,0.7578008,1.4227636e7
56,0.0,6.297381e-5,3.1175157e-6,87.11963
57,0.0,4.5213095e-5,2.2382721e-6,47.128845
58,0.0,0.00027793733,1.3759274e-5,277.3477
59,0.0,9.329818,0.46187216,9.062238e6
60,0.0,0.25475553,0.012611659,189194.45
61,0.0,5.347573,0.26473132,4.847098e6
62,0.0,0.00023851333,1.180759e-5,224.10042
63,0.0,0.6246107,0.030921323,763121.4
64,0.0,0.00026017302,1.2879853e-5,376.59485
65,0.0,6.8929925,0.34123728,3.49527e6
66,0.0,22.485806,1.1131587,2.9742362e7
67,0.0,2.9904633e-5,1.4804274e-6,26.635931
68,0.0,44.72971,2.214342,2.847993e7
69,0.0,3.242e-5,1.6049506e-6,31.786392
70,0.0,15.732051,0.7788144,1.0038744e7
71,0.0,12.08363,0.5981995,9.735875e6
72,0.0,4.7245612e-5,2.3388916e-6,34.31744
73,0.0,28.151884,1.3936576,3.070972e7
74,0.0,3.1727894e-5,1.5706878e-6,39.293663
75,0.0,0.7525538,0.03725514,773316.9
76,0.0,9.7712094e-5,4.837232e-6,65.496826
77,0.0,3.7588289,0.18608063,3.2521635e6
78,0.0,0.5414617,0.026805034,419742.3
79,0.0,38.24101,1.8931193,3.5843172e7
80,0.0,4.6277593e-5,2.2909699e-6,47.553722
81,0.0,63.701416,3.1535356,3.903027e7
82,0.0,8.19104e-5,4.0549703e-6,82.52357
83,0.0,1.7367549,0.085977964,1.5501825e6
84,0.0,0.40137324,0.01986996,267856.25
85,0.0,24.063675,1.191271,3.0456622e7
86,0.0,14.236867,0.70479536,1.6713658e7
87,0.0,6.697049e-5,3.3153708e-6,77.83511
88,0.0,0.00024989658,1.2371117e-5,143.45831
89,0.0,17.285475,0.8557166,1.3497191e7
90,0.0,0.56552505,0.02799629,269928.56
91,0.0,0.4970949,0.024608659,436023.44
92,0.0,1.178259,0.058329657,525906.44
93,0.0,63.89098,3.1629198,5.6994744e7
94,0.0,0.026822781,0.0013278604,21403.246
95,0.0,9.690718e-5,4.797385e-6,65.04463
96,0.0,0.000110188,5.4548514e-6,61.631535
97,0.0,1.6345608,0.080918856,1.070386e6
98,0.0,3.080837e-5,1.5251667e-6,19.175974
99,0.0,4.782986e-5,2.367815e-6,40.946884
100,0.0,9.20115e-5,4.5550246e-6,86.44134
101,0.0,5.123141e-5,2.5362085e-6,53.354134
102,0.0,0.00032384554,1.6031956e-5,146.13301
103,0.0,0.00034864995,1.72599e-5,156.83803
104,0.0,0.41544792,0.02056673,207359.8
105,0.0,1.1804177,0.05843652,778540.94
106,0.0,35.39894,1.7524229,1.8140218e7
107,0.0,2.7648628e-5,1.3687439e-6,23.280457
108,0.0,4.512582,0.22339512,1.3082091e6
109,0.0,21.081194,1.0436234,8.770222e6
110,0.0,9.950107,0.49257955,1.2005111e7
111,0.0,3.723474e-5,1.843304e-6,17.478924
112,0.0,17.395,0.8611387,1.8485394e7
113,0.0,0.0017603152,8.714431e-5,1071.532
114,0.0,3.719732e-5,1.8414514e-6,48.287056
115,0.0,0.0002507438,1.2413058e-5,214.60954
116,0.0,8.226745,0.40726462,8.690286e6
117,0.0,29.493399,1.4600692,2.7035316e7
118,0.0,113.75715,5.6315417,5.8804264e7
119,0.0,24.91042,1.233189,1.5224673e7
120,0.0,6.19504e-5,3.0668516e-6,38.20853
121,0.0,11.488415,0.5687334,1.275799e7
122,0.0,3.2770815e-5,1.6223177e-6,29.402714
123,0.0,1.6117575,0.07978998,1.9106156e6
124,0.0,2.9331772e-5,1.4520679e-6,20.439491
125,0.0,4.189464,0.20739922,2.750167e6
126,0.0,0.16877232,0.008355065,92232.79
127,0.0,0.00024733754,1.2244433e-5,199.2066
128,0.0,1.4831133,0.07342145,1.0639448e6
129,0.0,4.2714996,0.21146038,3.8965735e6
130,0.0,1.2556388,0.06216034,1.3079022e6
131,0.0,31.476337,1.5582346,4.351504e7
132,0.0,0.00010249117,5.0738204e-6,178.35182
133,0.0,15.307595,0.7578018,1.4227654e7
134,0.0,6.6906543,0.3312205,5.089107e6
135,0.0,13.514264,0.669023,1.2045109e7
136,0.0,13.514263,0.6690229,1.2045108e7
137,0.0,46.045937,2.2795017,7.98842e7
138,0.0,12.199781,0.6039496,1.6836202e7
139,0.0,2.6912632e-5,1.3323086e-6,39.43905
140,0.0,0.00029644754,1.467562e-5,239.84697
141,0.0,7.5661535,0.37456205,1.6164456e7
142,0.0,1.3020795e-5,6.4459385e-7,30.465073
143,0.0,12.199783,0.60394967,1.6836204e7
144,0.0,2.3465382e-5,1.1616526e-6,26.861067
145,0.0,6.6906543,0.3312205,5.089107e6
146,0.0,105.13857,5.2048798,2.6968982e8
147,0.0,2.1700558e-5,1.0742851e-6,46.30704
