Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,4.431207895167764e-8,9.721240770451233e-7,1163.160000927812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,8.699795719092951e-8,1.6172641272155751e-6,359.0400015302662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,1.5227779478660448e-6,0.0,148.19999847722204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.248611,5874.248348744222,0.0,0.00026225577709482195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,7.862319789060655e-7,0.0,2721.999999213768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,69.99871341346167,0.0,0.0012865865383349107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,5.559624747727544e-8,5.999321225414578e-7,590.618550544336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68803,1.5961223305210768e-7,0.0,177.68802984038777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306,4.965390846474619e-8,8417.332887098813,10458.25819304916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,4.475594612764589e-8,3.641641790662931e-5,3351.000036371662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,8.723433651016585e-8,1.3671271961116266e-5,175.61001358403763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,3.682600034656355e-6,0.0,18.099996317399967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6997492670669,0.0,0.0002507329330825314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131532,35.04112150604231,0.0,0.0001938139576954101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,24.79875767102922,0.0,0.0012423289707762242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,4.8937359088571365e-8,2.1990974407757855e-6,855.79140215016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,1.1940370002951007e-7,0.0,4.7819998805963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.184064,5.669821243868848e-8,4.239722885678385e-7,859.1840643672741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,4.660109397334216e-8,9.501095644437771e-7,961.8000009035085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,9.299655206435322e-8,7.709663577825267e-7,543.58000067797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,1.9622309287266386e-6,0.0,45.919998037769076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.243561,2229.2433149235926,0.0,0.00024607640769502837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,0.00020565106345206324,0.00020565106345206324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,141.99874564717817,0.0,0.0012543528218056377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,3.17013643462172e-8,7552.748962881519,10063.080262849819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,2.3169740411224745e-7,0.0,9.899999768302596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.558037,4.96429073690144e-8,872.051055344477,2289.609092294834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 CCGT,4,38.6,4.640161146216877e-8,3.961051723692088e-6,38.60000391465012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 OCGT,4,72.68,9.199141578308609e-8,6.507278777009812e-6,72.68000641528737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 onwind,4,233.7185,8.285224036301573e-8,6.455882262364899e-7,233.71850056273595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 ror,4,628.4368,5.920183339392775e-8,0.0,628.4367999407981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 11 solar,4,1196.065223,4.96421469369481e-8,7830.218178550851,9026.283401501209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 OCGT,5,368.5885,8.765240082021688e-8,1.4132084238102353e-6,368.588501325556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 biomass,5,48.4,2.7535188423709567e-6,0.0,48.399997246481156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 coal,5,1001.2235350000001,1001.2232837771488,0.0,0.000251222851188615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 nuclear,5,1288.0,7.591777743986992e-7,0.0,1287.9999992408223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 oil,5,553.1,553.0987467823976,0.0,0.0012532176024704356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 onwind,5,990.443533,4.065340926628513e-8,5.57199763259858e-6,990.4435385313443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 ror,5,236.04,1.0554515500614774e-7,0.0,236.03999989445484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 12 solar,5,4165.011881,4.96455336778961e-8,17116.757029573473,21281.76891052383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 CCGT,6,240.0,4.123908612504346e-8,4850.841633351231,5090.841633309992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 OCGT,6,183.45,8.25526190261504e-8,0.0012926949784775213,183.45129261242585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 onwind,6,184.95324,4.361627525600961e-8,1.4299105264311174e-7,184.95324009937477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 ror,6,762.3918,2.913346831319542e-8,0.0,762.3917999708665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 13 solar,6,4165.847818,4.963613460105564e-8,19084.148208386145,23249.996026336506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 CCGT,7,1132.4,4.122625350888262e-8,2564.511893844683,3696.911893803457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 OCGT,7,236.4,8.328235080030879e-8,4.1760960292615276e-5,236.40004167767793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 biomass,7,18.1,1.4522431212206524e-6,0.0,18.09999854775688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 coal,7,79.28657826,79.28633057287115,0.0,0.0002476871288487059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 lignite,7,2748.973544,2748.973334870188,0.0,0.00020912981213427884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 oil,7,212.5,212.49875372528257,0.0,0.0012462747174257771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 onwind,7,3912.74479,5.1037368401382e-8,3.816432289756456e-6,3912.744793765395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 ror,7,25.30822,9.693880924731766e-8,0.0,25.308219903061193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 14 solar,7,3191.303605,4.965099441749982e-8,15006.508412059513,18197.81201700986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 CCGT,8,207.0,4.239454566111934e-8,1.1214440824425787e-5,207.00001117204627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 OCGT,8,137.51,8.388561738979838e-8,5.8121639911324655e-5,137.51005803775428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 biomass,8,13.0,1.4943518120540508e-6,0.0,12.999998505648186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 coal,8,1451.12877,1451.1285199217791,0.0,0.00025007822079814446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 lignite,8,352.0,351.99978441441317,0.0,0.000215585586826883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 onwind,8,1810.05985,4.7468423505377315e-8,3.303252675422931e-6,1810.0598532557844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 ror,8,45.9434,6.740468315452567e-8,0.0,45.94339993259531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 15 solar,8,1271.001657,5.811088804341857e-8,3.711953429039134e-7,1271.0016573130845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 CCGT,9,1820.0,4.6589598930432254e-8,2.447756106270004e-6,1820.0000024011665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 OCGT,9,103.4,9.148191613865707e-8,6.119077411692739e-6,103.4000060275955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 biomass,9,30.6,1.8028529543674308e-6,0.0,30.59999819714705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 coal,9,772.5831696,772.582915281337,0.0,0.00025431866301772743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 nuclear,9,1336.0,8.041883694949774e-7,0.0,1335.9999991958118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 offwind-dc,9,0.0,0.0,38583.253615671034,38583.253615671034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 onwind,9,3100.0548,3.16983229398175e-8,8956.35538172062,12056.41018168892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 16 solar,9,1402.125944,4.964300106825013e-8,9371.958797797854,10774.08474174821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 CCGT,10,183.0,4.430666341245955e-8,1.408553751504662e-6,183.00000136424708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 OCGT,10,148.9,8.761194767498456e-8,6.232099029674827e-6,148.9000061444871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 biomass,10,167.3,1.7307341394429303e-6,0.0,167.29999826926587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 coal,10,509.83113700000007,509.8308826526845,0.0,0.00025434731554252465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 offwind-ac,10,313.75,1.7088956838015376e-8,9949.295555329205,10263.045555312116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 offwind-dc,10,0.0,0.0,1285.487996001643,1285.487996001643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 onwind,10,3870.69665,3.169876006982843e-8,10561.294001667167,14431.990651635468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 ror,10,0.475,1.465736747205232e-7,0.0,0.4749998534263252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 17 solar,10,1976.785782,4.96456484992961e-8,20113.03841636718,22089.824198317536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 CCGT,11,1038.2,4.640148522352227e-8,7.296025862672576e-7,1038.200000683201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 OCGT,11,80.11,9.089527446056932e-8,6.776117987805917e-6,80.11000668522271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 coal,11,2219.044859,2219.0446136097175,0.0,0.00024539028276038266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 onwind,11,2233.728602,3.171086836261939e-8,25818.525272158247,28052.253874126534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 ror,11,147.273,3.176933108065953e-9,0.0,147.27299999682305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 18 solar,11,1591.319581,4.965385813177824e-8,9279.051414887175,10870.370995837522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 CCGT,12,181.0,4.123739464508822e-8,4623.724753789135,4804.724753747898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 OCGT,12,197.6,8.243956214738757e-8,977.5265270655678,1175.126526983128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 biomass,12,15.6,1.4771451646949843e-6,0.0,15.599998522854834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 coal,12,55.03617174,55.03593403994299,0.0,0.00023770005701251318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 onwind,12,998.695935,3.318106051508731e-8,7.392541840152951e-7,998.6959357060732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 ror,12,94.8065,6.238976725607413e-8,0.0,94.80649993761023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 19 solar,12,2862.352664,4.965079180914748e-8,15023.974666941394,17886.327330891745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 CCGT,13,3326.14,4.440836339561085e-8,3.8722551557406904e-5,3326.1400386781424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 OCGT,13,311.1,8.679592204858932e-8,1.6630051890311696e-6,311.1000015762093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 biomass,13,72.7,1.6112587898489132e-6,0.0,72.69999838874121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 coal,13,4156.569991,4156.569736080914,0.0,0.00025491908672847785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 onwind,13,1733.185567,3.170439660144433e-8,7006.18696825452,8739.372535222818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 ror,13,101.248,4.6069108991897434e-8,0.0,101.2479999539309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 2 solar,13,1424.382759,4.96502323151835e-8,8592.35417797015,10016.736936920499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 CCGT,14,942.0,4.1226049412116324e-8,2149.378608209591,3091.3786081683647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 OCGT,14,466.3,8.295768150522262e-8,1.3306216842145305e-5,466.30001322325916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 biomass,14,119.0,1.811834848172401e-6,0.0,118.99999818816515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 coal,14,645.3558696,645.3556151354234,0.0,0.00025446457663225175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 lignite,14,3080.869328,3080.8691167637,0.0,0.00021123630045138952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 oil,14,669.0,668.998764414137,0.0,0.0012355858630686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 onwind,14,4383.1955,3.7208522856125905e-8,9.409147358040477e-6,4383.195509371939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 ror,14,0.47,1.4641958315093397e-7,0.0,0.46999985358041685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 3 solar,14,3256.387282,4.964883425640971e-8,16786.037104134455,20042.424386084804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 CCGT,15,2640.9,4.135402939430863e-8,0.0005789597122205602,2640.9005789183584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 OCGT,15,325.04,8.334658310049496e-8,1.4411877469257442e-5,325.04001432853084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 biomass,15,43.23,3.005162458294256e-6,0.0,43.229996994837535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 coal,15,896.5051066,896.5048545628272,0.0,0.00025203717279875804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 nuclear,15,1410.0,7.501343516409743e-7,0.0,1409.9999992498656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 oil,15,1330.6,1330.5987640197454,0.0,0.0012359802545880427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 onwind,15,351.60679,5.771277746733693e-8,1.1498546279594705e-6,351.6067910921418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 ror,15,629.2682,1.0176412569677519e-7,0.0,629.2681998982358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 4 solar,15,3371.913361,4.964977995683855e-8,7322.4950509051,10694.408411855451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 CCGT,16,362.0,4.54395727739547e-8,6.829001865028455e-6,362.00000678356224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 OCGT,16,252.96999999999997,8.960453912344797e-8,1.04640789211186e-6,252.97000095680332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 biomass,16,20.0,1.471839982930226e-6,0.0,19.999998528160017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 coal,16,2383.529098,2383.5288523471877,0.0,0.00024565281231403446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 nuclear,16,1410.0,7.957193140889584e-7,0.0,1409.9999992042806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 offwind-ac,16,0.0,0.0,0.00010826471468295108,0.00010826471468295108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 offwind-dc,16,0.0,0.0,4957.430646207677,4957.430646207677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 oil,16,276.0,275.9987663357101,0.0,0.0012336642898902461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 onwind,16,6910.7398,3.16949977177038e-8,25234.15944296301,32144.89924293131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 ror,16,0.11,3.022141314186527e-7,0.0,0.10999969778586859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 5 solar,16,2071.978862,5.349102798802821e-8,5.047834287178651e-6,2071.978866994343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 CCGT,17,395.11,4.123560055198201e-8,2212.8217036080723,2607.9317035668364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 OCGT,17,181.72,8.259365318439045e-8,0.001125562212585339,181.7211254796189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 lignite,17,4010.3863239999996,4010.386108359599,0.0,0.0002156404006470325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 oil,17,17.0,16.998770773846203,0.0,0.0012292261537989735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 onwind,17,1289.7049,4.6193822429553475e-8,1.1989147065492143e-6,1289.704901152721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 ror,17,99.9104,5.175058547473941e-8,0.0,99.9103999482494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 6 solar,17,2083.364024,4.964571205365034e-8,14774.679148122825,16858.04317207318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
