Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,-717.295295468082,0.0
AnnualSum,262339.88859237847,776011.3787385506,175359.68791110718,11810.090648751846,29678.784570446835,2.80360641329104e6,1.876901429298911e6,64046.434922912194,212733.3779680498,46301.59093207923,139077.61886976458,2.365398346094862e6,763869.2622447654,1.4864654395845071e6,916895.6891264443,74233.84833994489,1.370428749199775e6,409893.589886669,745979.2434002728,81435.13978173769,0.3682307889284714,0.4274377236503286,3.3111220706148807,0.565164189550756,0.49528842199876705,0.5513534854738614,0.5605826834024284,0.22556532066409413,0.0,2097.1845711128426,1.0146105342523069,0.0,81988.30874925213,0.0,0.0,0.026297508135446655,0.02198068636086598,0.0,0.0,0.0,0.0,0.04860703902335993,66106.09198508218,130071.51383052718,0.0,0.0,23998.338974193906,0.0,0.16944205595246142,0.0,536146.5345266564,0.0,2.415548915935011,0.029152843307928798,0.14914070220197423,447318.1812608958,179906.59081136,0.4411632318293739,187411.2890361545,425224.13028982887,113323.11933322626,8.173903738235957,0.05012572807906734,0.32065152347863013,951626.0509873604,318713.389998593,570618.7609017289,87263.06039956542,245701.92452845207,960636.993170926,7.6711399780801015,0.44812057928721194,0.2834801611616369,0.3376639292387241,808134.3422336823,0.05146997795317587,2.0748779966235388e7
t1,7.873490605529911e-6,9.955685744641932e-6,7.346172194799035e-6,4.180665563322797e-6,5.594006734922939e-6,4.208967630482476e-6,9.742600716735548e-6,7.51612870380473e-6,5.536845572824706e-6,5.528311055126675e-6,6.004195143764057e-6,6.038391159882324e-6,5.979291549859477e-6,9.691303300573482e-6,7.898144707472787e-6,7.2263685784530924e-6,8.00863849858491e-6,7.976504912834317e-6,9.655950741971577e-6,5.568826219617827e-6,4.096394375769755e-6,7.795884950428139e-6,7.705161032932184e-6,7.82489468794373e-6,6.043253556812527e-6,4.111415289125185e-6,5.963331402575955e-6,5.963524805940383e-6,0.0,5.787644553128454e-6,4.090723418687061e-6,0.0,2.162781081302166e-6,0.0,0.0,1.7937152355782319e-6,1.7696286529993902e-6,0.0,0.0,0.0,0.0,3.562868887945024e-6,2.2113481900685017e-6,3.991586554701681e-6,0.0,0.0,4.022330929077408e-6,0.0,3.9337154114266e-6,0.0,3.922269606611878e-6,0.0,4.095262799075739e-6,1.897186271597574e-6,2.048429953264812e-6,4.121401627143909e-6,3.866860182322487e-6,2.0675277548605895e-6,5.91056160629563e-6,2.206231203701611e-6,5.932416428013397e-6,3.843986232453437e-6,3.562334641439267e-6,4.102157107563998e-6,1.7623509499766894,26.6309700957309,1.762347096502347,4.099233042689595e-6,5.912693873007674e-6,38.08619995103879,4.136588642860946e-6,4.121845925089536e-6,5.793984650086503e-6,5.985586023221249e-6,5.091217009869259,3.712973967033993e-6,73.33339080334187
t2,7.858949779820105e-6,9.940696262182015e-6,7.502950267681183e-6,4.168947531746657e-6,5.591147783742334e-6,4.196064486881046e-6,9.722791175989734e-6,7.64265464451125e-6,5.566145955602367e-6,5.5752613718483e-6,5.997528071014666e-6,6.025754468367811e-6,5.964846159857368e-6,9.682571450693627e-6,7.884493403903939e-6,7.2704961056204845e-6,8.001176825024529e-6,7.960300533970555e-6,9.640738752086234e-6,5.688667477470565e-6,4.059072135451146e-6,7.800163530871902e-6,7.703829939008899e-6,7.831409858484112e-6,6.048986833884037e-6,4.109561316427565e-6,5.961906161384493e-6,5.962631633527538e-6,0.0,5.787657577966558e-6,4.091093486410361e-6,0.0,2.1630578810614337e-6,0.0,0.0,1.7877775773055656e-6,1.7567134327339251e-6,0.0,0.0,0.0,0.0,3.5441417031489277e-6,2.2112447316786147e-6,3.989416455180348e-6,0.0,0.0,4.0224248645079566e-6,0.0,3.9377994362640785e-6,0.0,3.932569723715351e-6,0.0,4.0970495249273024e-6,1.900372119190091e-6,2.055622165812285e-6,4.121278809685705e-6,3.868074083979581e-6,2.073963201254118e-6,5.914921683483498e-6,2.2060176536197445e-6,5.933068160536478e-6,3.8453360652034795e-6,3.563137126796935e-6,4.10300881916558e-6,1.7623509518284781,26.630970095283132,1.7623470974538384,4.106508950544875e-6,5.914176459094628e-6,38.08619995059083,4.1381762199378195e-6,4.123264414220047e-6,5.838489102987155e-6,5.987923268988637e-6,5.091217016015436,3.7129314375945672e-6,73.33339119813178
t3,7.854759255788147e-6,9.946145977604917e-6,7.681745322235607e-6,4.166117636248263e-6,5.6878407135721155e-6,4.199000647430208e-6,9.723760734530974e-6,7.789622157776975e-6,5.866450628904617e-6,5.89889437454494e-6,6.0546051066668344e-6,6.0286367608914595e-6,5.959706303350969e-6,9.688137630773126e-6,7.889677221626373e-6,7.649492433313899e-6,8.006759915551455e-6,7.955513762477972e-6,9.634644805406258e-6,5.8261958957268155e-6,4.129758782349944e-6,7.81019020735294e-6,7.702640715363027e-6,7.842777663425204e-6,6.085640659349056e-6,4.108380482683055e-6,5.961433217705228e-6,5.961851945815738e-6,0.0,5.788678279838197e-6,4.093723834370327e-6,0.0,2.1641331894871157e-6,0.0,0.0,1.7933792430586128e-6,1.7696907822865402e-6,0.0,0.0,0.0,0.0,3.5618604053936636e-6,2.212128695269065e-6,3.989358347532391e-6,0.0,0.0,4.023617008207672e-6,0.0,3.947874114741731e-6,0.0,3.937301628728843e-6,0.0,4.096282239189969e-6,1.909950447598696e-6,2.0727792971777817e-6,4.121970308036497e-6,3.868131047062099e-6,2.0911504974750507e-6,5.910790638869302e-6,2.2067456694482773e-6,5.933599168820423e-6,3.846011621954648e-6,3.5631863745921924e-6,4.104399576143466e-6,1.762350954131793,26.63097009671137,1.7623470986207783,4.119606739098569e-6,5.916130055210126e-6,38.08619995139134,4.139780782665538e-6,4.125466163139427e-6,5.857931179273584e-6,5.9914843794781e-6,5.091217025586726,3.7132524461116065e-6,73.33339310721715
t4,7.859311495491805e-6,9.954772090311835e-6,7.739407991576424e-6,4.169371081967397e-6,5.59565737528086e-6,4.205538887584501e-6,9.735170034028789e-6,7.840182098983168e-6,5.937893053501258e-6,5.949136202401218e-6,5.998822388278478e-6,6.034684673295269e-6,5.964753036137447e-6,9.696332816821366e-6,7.898360993897721e-6,7.73165133637212e-6,8.014942247960442e-6,7.960619223623052e-6,9.640864294710678e-6,5.873286457209029e-6,4.132083725237398e-6,7.799983198950208e-6,7.705009151219557e-6,7.831351203219332e-6,6.05026711611469e-6,4.11115364539392e-6,5.966597697944122e-6,5.955887506473473e-6,0.0,5.791361356215487e-6,4.085851860503031e-6,0.0,2.166562130613214e-6,0.0,0.0,1.7955610498886554e-6,1.7710899561475767e-6,0.0,0.0,0.0,0.0,3.5650914415122327e-6,2.214240166268556e-6,3.992683115004152e-6,0.0,0.0,4.027041230332088e-6,0.0,3.935071817207202e-6,0.0,3.940593529457061e-6,0.0,4.0990488013808755e-6,1.9124996888108943e-6,2.076322622489459e-6,4.1244922408905856e-6,3.868071537513228e-6,2.0945758511155166e-6,5.913570686895535e-6,2.2088248334833904e-6,5.937124270187968e-6,3.846363549757568e-6,3.563488669443829e-6,4.106099653572498e-6,1.7623509555340195,26.630970098340963,1.7623470990430536,4.1088628309443086e-6,5.917981636355635e-6,38.08619995380888,4.140726713903972e-6,4.127187186466647e-6,5.866436579748151e-6,5.994526212155949e-6,5.091217013840698,3.7133987458623197e-6,73.3333933784086
t5,7.868429424749237e-6,9.965292900022321e-6,7.771969577435331e-6,4.175526613145106e-6,5.596588166084776e-6,4.213765914316183e-6,9.745011038318694e-6,7.86994659247808e-6,5.973625291624007e-6,5.973109438246841e-6,6.001761915838741e-6,6.042080562817527e-6,5.979154282319905e-6,9.706629509464797e-6,7.908105945360765e-6,7.778071429811035e-6,8.024813424005549e-6,7.973572605018995e-6,9.66013217105645e-6,5.9007568628135175e-6,4.133851731971836e-6,7.799000091414014e-6,7.706451579044671e-6,7.83036752662213e-6,6.048658712645767e-6,4.112888978307186e-6,5.970935611976079e-6,5.963979649214681e-6,0.0,5.792658648104258e-6,4.088452074244448e-6,0.0,2.1688829586773247e-6,0.0,0.0,1.7973794540513922e-6,1.7711854411410523e-6,0.0,0.0,0.0,0.0,3.5665129539060868e-6,2.2160139673164756e-6,3.998784466452357e-6,0.0,0.0,4.030459678218263e-6,0.0,3.934073871509303e-6,0.0,3.943003645335911e-6,0.0,4.101161269253498e-6,1.9131333077703186e-6,2.0776163381440045e-6,4.126805074453936e-6,3.8679426397037345e-6,2.0957122449509347e-6,5.91574246734792e-6,2.210840283504172e-6,5.940895788597816e-6,3.84656635560519e-6,3.5632685099285695e-6,4.106453027116247e-6,1.762350956175112,26.630970098941326,1.7623470987083634,4.107618953926476e-6,5.918886423201886e-6,38.086199954989446,4.140631249447638e-6,4.127178426567332e-6,5.868880983323347e-6,5.995955667964814e-6,5.091217011588085,3.7135763260226283e-6,73.33339376115237
t6,7.872032871391312e-6,9.967365062262622e-6,7.780530777850347e-6,4.1777520252290445e-6,5.596973467330996e-6,4.218205333397701e-6,9.747315443286995e-6,7.881150306764947e-6,5.986997533207615e-6,5.982555971742635e-6,6.006652475799165e-6,6.044850227435062e-6,5.984807314308596e-6,9.709649143591402e-6,7.909462695169456e-6,7.791505248459494e-6,8.027297484497647e-6,7.978711308093366e-6,9.665832431691247e-6,5.910678129805336e-6,4.100035978118256e-6,7.794373114055406e-6,7.703241860276917e-6,7.828790989435091e-6,6.049497332902393e-6,4.111009519090199e-6,5.970383384459873e-6,5.962620125912551e-6,0.0,5.787709251905802e-6,4.090571085418049e-6,0.0,2.1694854599352904e-6,0.0,0.0,1.7967692001160526e-6,1.7698961042568139e-6,0.0,0.0,0.0,0.0,3.564834881886494e-6,2.2165720575869073e-6,4.000194597522793e-6,0.0,0.0,4.0310292604950195e-6,0.0,3.933955355688643e-6,0.0,3.943958927224887e-6,0.0,4.10235884031486e-6,1.9132473168240045e-6,2.0777527344679574e-6,4.12724741374413e-6,3.868081920705498e-6,2.09595147903965e-6,5.9170927658821725e-6,2.2114250512774787e-6,5.941585494594605e-6,3.846538114323044e-6,3.5630159845613554e-6,4.103919915654028e-6,1.7623509541478974,26.630970098510645,1.7623470966683454,4.105818116037559e-6,5.917847152011794e-6,38.08619995452062,4.139010062672649e-6,4.123709855723034e-6,5.86588467653361e-6,5.990251509889252e-6,5.091217011450995,3.7136173209767336e-6,73.33339380490796
t7,7.877500797297177e-6,9.972355916950379e-6,7.789124740835789e-6,4.181662458980582e-6,5.600613255760995e-6,4.223324692991012e-6,9.75349409245293e-6,7.892271201387709e-6,5.9987662368574e-6,5.992288258597226e-6,6.017541470186632e-6,6.049881648086235e-6,5.993150451779719e-6,9.717729227660663e-6,7.913611275351016e-6,7.801824728699628e-6,8.032223006679409e-6,7.986759012671471e-6,9.675216914073712e-6,5.920918127763992e-6,4.0589968446024145e-6,7.78593829015675e-6,7.697666630736977e-6,7.827093707372999e-6,6.0528245220435e-6,4.107297669155982e-6,5.96712168416355e-6,5.9580905553378386e-6,0.0,5.773907455645858e-6,4.100602702827484e-6,0.0,2.1700142271831802e-6,0.0,0.0,1.789433407403226e-6,1.7569580309276367e-6,0.0,0.0,0.0,0.0,3.5457850510785543e-6,2.217123809505589e-6,4.0006688436132834e-6,0.0,0.0,4.03139751187341e-6,0.0,3.936472813853851e-6,0.0,3.94482428135973e-6,0.0,4.103227737706943e-6,1.9122116625074056e-6,2.0772877238056618e-6,4.127894136822605e-6,3.868764292013714e-6,2.0954618899901826e-6,5.921525177667839e-6,2.2121246692335172e-6,5.943789727311894e-6,3.8467854494365026e-6,3.561667094655245e-6,4.099825758850552e-6,1.7623509490054596,26.630970094395554,1.7623470918355324,4.10638870797819e-6,5.913985690863665e-6,38.08619995065113,4.134941505343691e-6,4.120460127713813e-6,5.8626728408624874e-6,5.982351345358331e-6,5.0912170138767605,3.7129754569938917e-6,73.33339381658098
t8,7.892521431625847e-6,9.989845572787178e-6,7.807746696034377e-6,4.189858849096776e-6,5.705706921233029e-6,4.234965212428653e-6,9.770399076548933e-6,7.910074017471972e-6,6.01607692621316e-6,6.013646796443171e-6,6.09178633720371e-6,6.0620226777386565e-6,6.009099516247733e-6,9.744685687844358e-6,7.9272730410464e-6,7.821274312825474e-6,8.049024545979719e-6,8.004847896236173e-6,9.694821137197414e-6,5.937217724853399e-6,4.119856645765144e-6,7.785066436591985e-6,7.686623159874352e-6,7.824197678112259e-6,6.081163320907319e-6,4.097325097229217e-6,5.958346736714533e-6,5.947393868647125e-6,0.0,5.762585111200601e-6,4.104795426450624e-6,0.0,2.1705307537538452e-6,0.0,0.0,1.795400712653002e-6,1.769932493159245e-6,0.0,0.0,0.0,0.0,3.563995064923912e-6,2.2169144013766437e-6,3.999751360578505e-6,0.0,0.0,4.0311029358184985e-6,0.0,3.940542730263177e-6,0.0,3.944830293612013e-6,0.0,4.102643546182528e-6,1.9104928414073046e-6,2.0767021596957383e-6,4.12832221672741e-6,3.8689372471785076e-6,2.0943535041437124e-6,5.917201670155216e-6,2.2120532079610247e-6,5.943632413985627e-6,3.84696641297952e-6,3.561040579731706e-6,4.092571073326495e-6,1.7623509418984447,26.63097008620444,1.7623470810324864,4.110017636597247e-6,5.906836112333333e-6,38.08619994299236,4.12923721138707e-6,4.115264424755232e-6,5.857490706138659e-6,5.968919045201411e-6,5.091217015702949,3.712478468215947e-6,73.33339429623977
