Line,New_Trans_Capacity,Cost_Trans_Capacity
1,2.7789568e-9,2.5457386e-8
2,8.005139e-9,5.345408e-8
3,3.4608972,26.818588
4,5.976965e-9,3.3475782e-8
5,0.58872706,4.9409184
6,4.7795052e-9,3.9236745e-8
7,1.247617e-8,9.897823e-8
8,5.6166645e-9,4.3042764e-8
9,0.64210546,3.3952584
10,2.3211088,14.277646
11,3.2736053,25.593187
12,6.2025657,47.702805
13,10.0,43.466427
14,7.059128e-9,7.487425e-8
15,0.08233089,0.6586284
16,5.427066e-10,8.798228e-9
17,2.2136636e-10,2.3025726e-9
18,3.3092165e-9,1.8856984e-8
19,6.7613606,58.983807
20,2.0314076e-8,3.4918358e-7
21,9.789693e-9,9.6443856e-8
22,5.6501617e-9,6.427507e-8
23,1.1103495e-8,8.7097845e-8
24,6.4216704,67.97228
25,5.3625917,36.449932
26,8.589535,74.58822
27,2.654536,27.817606
28,8.735341,61.59331
29,5.6104584,50.09527
30,2.8230088,32.72467
31,3.8566346,28.418966
32,4.91759e-8,4.600709e-7
33,10.0,72.49161
34,2.8906832e-9,3.0290682e-8
35,1.3496252e-9,1.2206741e-8
36,0.84569186,8.061238
37,4.636457e-9,1.8897026e-8
38,4.6298005e-9,2.7028797e-8
39,1.0956614e-8,1.0079878e-7
40,8.615521e-9,1.0520565e-7
41,3.1934912e-9,4.076687e-8
42,5.741861e-9,8.691278e-8
43,4.8319874,67.53507
44,10.0,125.06093
45,3.366429e-9,5.667262e-8
46,2.5035687e-9,3.9076003e-8
47,4.078238,47.774445
48,2.061882,33.941597
49,1.1878294e-8,2.089604e-7
50,9.44642,171.12134
51,2.6002809e-9,6.083171e-8
52,5.881195e-9,1.2420885e-7
53,8.427928e-9,1.3142859e-7
54,1.8444183e-8,3.1507187e-7
55,10.0,120.384636
56,4.1254538e-9,7.39218e-8
57,8.13712e-9,1.09859606e-7
58,7.2349443,93.509895
59,0.46254146,5.819125
60,1.9689337e-9,1.8939158e-8
61,2.768754,32.505302
62,6.682565e-10,8.132385e-9
63,0.7085943,11.213123
64,1.2030827,22.555494
65,2.8650646e-8,1.8817073e-7
66,3.2908194,56.378796
67,0.4593052,5.298775
68,10.0,82.4684
69,2.6010762e-9,3.3031327e-8
70,10.0,82.64922
71,10.0,104.35718
72,1.5956596e-8,1.5011994e-7
73,10.0,141.29056
74,8.6757723e-10,1.3916632e-8
75,10.0,133.0959
76,1.4144319e-9,1.2280011e-8
77,4.8311357,54.13945
78,8.942862,89.79172
79,8.8820095,107.828384
80,5.896034e-9,7.847268e-8
81,10.0,79.35919
82,9.277526,121.06423
83,1.8331728,21.193
84,5.97567e-8,5.165171e-7
85,10.0,163.93231
86,9.999998,152.05537
87,1.3230792e-9,1.9916943e-8
88,1.0060234e-9,7.480287e-9
89,5.3128166,53.731834
90,1.6896085,10.445465
91,10.0,113.609665
92,9.999999,57.81126
93,10.0,115.54203
94,1.1677796,12.069283
95,5.6801017e-9,4.9380603e-8
96,9.646615,69.88571
97,9.999999,84.81722
98,3.8037165e-10,3.0664902e-9
99,5.343739e-10,5.9253185e-9
100,1.0810455,13.154311
101,8.973338,121.04044
102,2.3529445e-9,1.37520315e-8
103,2.2026923,12.833949
104,2.633439,17.024563
105,5.600237,47.84063
106,10.0,66.37384
107,3.4083555,37.171284
108,3.7860755e-9,1.4216285e-8
109,10.0,53.884037
110,10.0,156.27272
111,3.339512e-10,2.0304585e-9
112,10.0,137.64137
113,6.8940125,54.354004
114,1.313525e-8,2.2085244e-7
115,0.6013617,6.666522
116,2.6746066,36.594063
117,3.0147893,35.793846
118,10.0,66.95375
119,0.19300596,1.527856
120,3.640734e-10,2.9083715e-9
121,1.0964357,15.770666
122,8.829901e-9,1.0261261e-7
123,2.1946776,33.696835
124,5.9794365e-9,5.3968062e-8
125,8.2907353e-10,7.049177e-9
126,8.215105e-10,5.8148966e-9
127,3.491359,36.421093
128,9.0023167e-10,8.364573e-9
129,1.8041283,21.316439
130,8.431219,113.74849
131,0.5603366,40.686607
132,1.0360597e-9,1.3991705e-7
133,6.757859e-9,1.6430502e-7
134,10.0,321.14584
135,3.4940253e-10,1.1718659e-8
136,3.4145273e-9,1.0696787e-7
137,1.6466586e-7,1.3230201e-5
138,2.371657e-6,0.00015845888
139,1.9165142e-7,7.802401e-6
140,3.133162e-7,9.443697e-6
141,9.435328,577.019
142,2.2959945e-7,1.0549324e-5
143,0.37696728,24.503523
144,3.2815973e-7,9.5717e-6
145,10.0,433.71515
146,10.0,1248.5742
147,3.5334077,29.506117
