Time,Weight
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,5.0
26,5.0
27,5.0
28,5.0
29,5.0
30,5.0
31,5.0
32,5.0
33,5.0
34,5.0
35,5.0
36,5.0
37,5.0
38,5.0
39,5.0
40,5.0
41,5.0
42,5.0
43,5.0
44,5.0
45,5.0
46,5.0
47,5.0
48,5.0
49,7.0
50,7.0
51,7.0
52,7.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,7.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,7.0
65,7.0
66,7.0
67,7.0
68,7.0
69,7.0
70,7.0
71,7.0
72,7.0
73,5.0
74,5.0
75,5.0
76,5.0
77,5.0
78,5.0
79,5.0
80,5.0
81,5.0
82,5.0
83,5.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,5.0
90,5.0
91,5.0
92,5.0
93,5.0
94,5.0
95,5.0
96,5.0
97,4.0
98,4.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,9.0
122,9.0
123,9.0
124,9.0
125,9.0
126,9.0
127,9.0
128,9.0
129,9.0
130,9.0
131,9.0
132,9.0
133,9.0
134,9.0
135,9.0
136,9.0
137,9.0
138,9.0
139,9.0
140,9.0
141,9.0
142,9.0
143,9.0
144,9.0
145,7.0
146,7.0
147,7.0
148,7.0
149,7.0
150,7.0
151,7.0
152,7.0
153,7.0
154,7.0
155,7.0
156,7.0
157,7.0
158,7.0
159,7.0
160,7.0
161,7.0
162,7.0
163,7.0
164,7.0
165,7.0
166,7.0
167,7.0
168,7.0
169,21.0
170,21.0
171,21.0
172,21.0
173,21.0
174,21.0
175,21.0
176,21.0
177,21.0
178,21.0
179,21.0
180,21.0
181,21.0
182,21.0
183,21.0
184,21.0
185,21.0
186,21.0
187,21.0
188,21.0
189,21.0
190,21.0
191,21.0
192,21.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,4.0
205,4.0
206,4.0
207,4.0
208,4.0
209,4.0
210,4.0
211,4.0
212,4.0
213,4.0
214,4.0
215,4.0
216,4.0
217,8.0
218,8.0
219,8.0
220,8.0
221,8.0
222,8.0
223,8.0
224,8.0
225,8.0
226,8.0
227,8.0
228,8.0
229,8.0
230,8.0
231,8.0
232,8.0
233,8.0
234,8.0
235,8.0
236,8.0
237,8.0
238,8.0
239,8.0
240,8.0
241,11.0
242,11.0
243,11.0
244,11.0
245,11.0
246,11.0
247,11.0
248,11.0
249,11.0
250,11.0
251,11.0
252,11.0
253,11.0
254,11.0
255,11.0
256,11.0
257,11.0
258,11.0
259,11.0
260,11.0
261,11.0
262,11.0
263,11.0
264,11.0
265,2.0
266,2.0
267,2.0
268,2.0
269,2.0
270,2.0
271,2.0
272,2.0
273,2.0
274,2.0
275,2.0
276,2.0
277,2.0
278,2.0
279,2.0
280,2.0
281,2.0
282,2.0
283,2.0
284,2.0
285,2.0
286,2.0
287,2.0
288,2.0
289,2.0
290,2.0
291,2.0
292,2.0
293,2.0
294,2.0
295,2.0
296,2.0
297,2.0
298,2.0
299,2.0
300,2.0
301,2.0
302,2.0
303,2.0
304,2.0
305,2.0
306,2.0
307,2.0
308,2.0
309,2.0
310,2.0
311,2.0
312,2.0
313,8.0
314,8.0
315,8.0
316,8.0
317,8.0
318,8.0
319,8.0
320,8.0
321,8.0
322,8.0
323,8.0
324,8.0
325,8.0
326,8.0
327,8.0
328,8.0
329,8.0
330,8.0
331,8.0
332,8.0
333,8.0
334,8.0
335,8.0
336,8.0
337,11.0
338,11.0
339,11.0
340,11.0
341,11.0
342,11.0
343,11.0
344,11.0
345,11.0
346,11.0
347,11.0
348,11.0
349,11.0
350,11.0
351,11.0
352,11.0
353,11.0
354,11.0
355,11.0
356,11.0
357,11.0
358,11.0
359,11.0
360,11.0
361,5.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,5.0
368,5.0
369,5.0
370,5.0
371,5.0
372,5.0
373,5.0
374,5.0
375,5.0
376,5.0
377,5.0
378,5.0
379,5.0
380,5.0
381,5.0
382,5.0
383,5.0
384,5.0
385,5.0
386,5.0
387,5.0
388,5.0
389,5.0
390,5.0
391,5.0
392,5.0
393,5.0
394,5.0
395,5.0
396,5.0
397,5.0
398,5.0
399,5.0
400,5.0
401,5.0
402,5.0
403,5.0
404,5.0
405,5.0
406,5.0
407,5.0
408,5.0
409,13.0
410,13.0
411,13.0
412,13.0
413,13.0
414,13.0
415,13.0
416,13.0
417,13.0
418,13.0
419,13.0
420,13.0
421,13.0
422,13.0
423,13.0
424,13.0
425,13.0
426,13.0
427,13.0
428,13.0
429,13.0
430,13.0
431,13.0
432,13.0
433,13.0
434,13.0
435,13.0
436,13.0
437,13.0
438,13.0
439,13.0
440,13.0
441,13.0
442,13.0
443,13.0
444,13.0
445,13.0
446,13.0
447,13.0
448,13.0
449,13.0
450,13.0
451,13.0
452,13.0
453,13.0
454,13.0
455,13.0
456,13.0
457,5.0
458,5.0
459,5.0
460,5.0
461,5.0
462,5.0
463,5.0
464,5.0
465,5.0
466,5.0
467,5.0
468,5.0
469,5.0
470,5.0
471,5.0
472,5.0
473,5.0
474,5.0
475,5.0
476,5.0
477,5.0
478,5.0
479,5.0
480,5.0
481,14.0
482,14.0
483,14.0
484,14.0
485,14.0
486,14.0
487,14.0
488,14.0
489,14.0
490,14.0
491,14.0
492,14.0
493,14.0
494,14.0
495,14.0
496,14.0
497,14.0
498,14.0
499,14.0
500,14.0
501,14.0
502,14.0
503,14.0
504,14.0
505,5.0
506,5.0
507,5.0
508,5.0
509,5.0
510,5.0
511,5.0
512,5.0
513,5.0
514,5.0
515,5.0
516,5.0
517,5.0
518,5.0
519,5.0
520,5.0
521,5.0
522,5.0
523,5.0
524,5.0
525,5.0
526,5.0
527,5.0
528,5.0
529,4.0
530,4.0
531,4.0
532,4.0
533,4.0
534,4.0
535,4.0
536,4.0
537,4.0
538,4.0
539,4.0
540,4.0
541,4.0
542,4.0
543,4.0
544,4.0
545,4.0
546,4.0
547,4.0
548,4.0
549,4.0
550,4.0
551,4.0
552,4.0
553,11.0
554,11.0
555,11.0
556,11.0
557,11.0
558,11.0
559,11.0
560,11.0
561,11.0
562,11.0
563,11.0
564,11.0
565,11.0
566,11.0
567,11.0
568,11.0
569,11.0
570,11.0
571,11.0
572,11.0
573,11.0
574,11.0
575,11.0
576,11.0
577,7.0
578,7.0
579,7.0
580,7.0
581,7.0
582,7.0
583,7.0
584,7.0
585,7.0
586,7.0
587,7.0
588,7.0
589,7.0
590,7.0
591,7.0
592,7.0
593,7.0
594,7.0
595,7.0
596,7.0
597,7.0
598,7.0
599,7.0
600,7.0
601,11.0
602,11.0
603,11.0
604,11.0
605,11.0
606,11.0
607,11.0
608,11.0
609,11.0
610,11.0
611,11.0
612,11.0
613,11.0
614,11.0
615,11.0
616,11.0
617,11.0
618,11.0
619,11.0
620,11.0
621,11.0
622,11.0
623,11.0
624,11.0
625,3.0
626,3.0
627,3.0
628,3.0
629,3.0
630,3.0
631,3.0
632,3.0
633,3.0
634,3.0
635,3.0
636,3.0
637,3.0
638,3.0
639,3.0
640,3.0
641,3.0
642,3.0
643,3.0
644,3.0
645,3.0
646,3.0
647,3.0
648,3.0
649,11.0
650,11.0
651,11.0
652,11.0
653,11.0
654,11.0
655,11.0
656,11.0
657,11.0
658,11.0
659,11.0
660,11.0
661,11.0
662,11.0
663,11.0
664,11.0
665,11.0
666,11.0
667,11.0
668,11.0
669,11.0
670,11.0
671,11.0
672,11.0
673,18.0
674,18.0
675,18.0
676,18.0
677,18.0
678,18.0
679,18.0
680,18.0
681,18.0
682,18.0
683,18.0
684,18.0
685,18.0
686,18.0
687,18.0
688,18.0
689,18.0
690,18.0
691,18.0
692,18.0
693,18.0
694,18.0
695,18.0
696,18.0
697,10.0
698,10.0
699,10.0
700,10.0
701,10.0
702,10.0
703,10.0
704,10.0
705,10.0
706,10.0
707,10.0
708,10.0
709,10.0
710,10.0
711,10.0
712,10.0
713,10.0
714,10.0
715,10.0
716,10.0
717,10.0
718,10.0
719,10.0
720,10.0
721,5.0
722,5.0
723,5.0
724,5.0
725,5.0
726,5.0
727,5.0
728,5.0
729,5.0
730,5.0
731,5.0
732,5.0
733,5.0
734,5.0
735,5.0
736,5.0
737,5.0
738,5.0
739,5.0
740,5.0
741,5.0
742,5.0
743,5.0
744,5.0
745,21.0
746,21.0
747,21.0
748,21.0
749,21.0
750,21.0
751,21.0
752,21.0
753,21.0
754,21.0
755,21.0
756,21.0
757,21.0
758,21.0
759,21.0
760,21.0
761,21.0
762,21.0
763,21.0
764,21.0
765,21.0
766,21.0
767,21.0
768,21.0
769,14.0
770,14.0
771,14.0
772,14.0
773,14.0
774,14.0
775,14.0
776,14.0
777,14.0
778,14.0
779,14.0
780,14.0
781,14.0
782,14.0
783,14.0
784,14.0
785,14.0
786,14.0
787,14.0
788,14.0
789,14.0
790,14.0
791,14.0
792,14.0
793,8.0
794,8.0
795,8.0
796,8.0
797,8.0
798,8.0
799,8.0
800,8.0
801,8.0
802,8.0
803,8.0
804,8.0
805,8.0
806,8.0
807,8.0
808,8.0
809,8.0
810,8.0
811,8.0
812,8.0
813,8.0
814,8.0
815,8.0
816,8.0
817,6.0
818,6.0
819,6.0
820,6.0
821,6.0
822,6.0
823,6.0
824,6.0
825,6.0
826,6.0
827,6.0
828,6.0
829,6.0
830,6.0
831,6.0
832,6.0
833,6.0
834,6.0
835,6.0
836,6.0
837,6.0
838,6.0
839,6.0
840,6.0
841,2.0
842,2.0
843,2.0
844,2.0
845,2.0
846,2.0
847,2.0
848,2.0
849,2.0
850,2.0
851,2.0
852,2.0
853,2.0
854,2.0
855,2.0
856,2.0
857,2.0
858,2.0
859,2.0
860,2.0
861,2.0
862,2.0
863,2.0
864,2.0
865,5.0
866,5.0
867,5.0
868,5.0
869,5.0
870,5.0
871,5.0
872,5.0
873,5.0
874,5.0
875,5.0
876,5.0
877,5.0
878,5.0
879,5.0
880,5.0
881,5.0
882,5.0
883,5.0
884,5.0
885,5.0
886,5.0
887,5.0
888,5.0
889,2.0
890,2.0
891,2.0
892,2.0
893,2.0
894,2.0
895,2.0
896,2.0
897,2.0
898,2.0
899,2.0
900,2.0
901,2.0
902,2.0
903,2.0
904,2.0
905,2.0
906,2.0
907,2.0
908,2.0
909,2.0
910,2.0
911,2.0
912,2.0
913,1.0
914,1.0
915,1.0
916,1.0
917,1.0
918,1.0
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,1.0
925,1.0
926,1.0
927,1.0
928,1.0
929,1.0
930,1.0
931,1.0
932,1.0
933,1.0
934,1.0
935,1.0
936,1.0
937,6.0
938,6.0
939,6.0
940,6.0
941,6.0
942,6.0
943,6.0
944,6.0
945,6.0
946,6.0
947,6.0
948,6.0
949,6.0
950,6.0
951,6.0
952,6.0
953,6.0
954,6.0
955,6.0
956,6.0
957,6.0
958,6.0
959,6.0
960,6.0
961,3.0
962,3.0
963,3.0
964,3.0
965,3.0
966,3.0
967,3.0
968,3.0
969,3.0
970,3.0
971,3.0
972,3.0
973,3.0
974,3.0
975,3.0
976,3.0
977,3.0
978,3.0
979,3.0
980,3.0
981,3.0
982,3.0
983,3.0
984,3.0
985,7.0
986,7.0
987,7.0
988,7.0
989,7.0
990,7.0
991,7.0
992,7.0
993,7.0
994,7.0
995,7.0
996,7.0
997,7.0
998,7.0
999,7.0
1000,7.0
1001,7.0
1002,7.0
1003,7.0
1004,7.0
1005,7.0
1006,7.0
1007,7.0
1008,7.0
1009,7.0
1010,7.0
1011,7.0
1012,7.0
1013,7.0
1014,7.0
1015,7.0
1016,7.0
1017,7.0
1018,7.0
1019,7.0
1020,7.0
1021,7.0
1022,7.0
1023,7.0
1024,7.0
1025,7.0
1026,7.0
1027,7.0
1028,7.0
1029,7.0
1030,7.0
1031,7.0
1032,7.0
1033,3.0
1034,3.0
1035,3.0
1036,3.0
1037,3.0
1038,3.0
1039,3.0
1040,3.0
1041,3.0
1042,3.0
1043,3.0
1044,3.0
1045,3.0
1046,3.0
1047,3.0
1048,3.0
1049,3.0
1050,3.0
1051,3.0
1052,3.0
1053,3.0
1054,3.0
1055,3.0
1056,3.0
1057,3.0
1058,3.0
1059,3.0
1060,3.0
1061,3.0
1062,3.0
1063,3.0
1064,3.0
1065,3.0
1066,3.0
1067,3.0
1068,3.0
1069,3.0
1070,3.0
1071,3.0
1072,3.0
1073,3.0
1074,3.0
1075,3.0
1076,3.0
1077,3.0
1078,3.0
1079,3.0
1080,3.0
1081,8.0
1082,8.0
1083,8.0
1084,8.0
1085,8.0
1086,8.0
1087,8.0
1088,8.0
1089,8.0
1090,8.0
1091,8.0
1092,8.0
1093,8.0
1094,8.0
1095,8.0
1096,8.0
1097,8.0
1098,8.0
1099,8.0
1100,8.0
1101,8.0
1102,8.0
1103,8.0
1104,8.0
1105,12.0
1106,12.0
1107,12.0
1108,12.0
1109,12.0
1110,12.0
1111,12.0
1112,12.0
1113,12.0
1114,12.0
1115,12.0
1116,12.0
1117,12.0
1118,12.0
1119,12.0
1120,12.0
1121,12.0
1122,12.0
1123,12.0
1124,12.0
1125,12.0
1126,12.0
1127,12.0
1128,12.0
1129,1.0
1130,1.0
1131,1.0
1132,1.0
1133,1.0
