Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
1,2.7789568e-06,2.5457386e-08,4362.853663,DE1 0,8.585665972,49.23105928,DE1 11,8.059747295,47.88802187
2,8.005138999999999e-06,5.345408e-08,15060.90012,DE1 0,8.585665972,49.23105928,DE1 12,9.580929922,48.46048444
3,3460.8972,26.818588,3566.015485,DE1 0,8.585665972,49.23105928,DE1 18,6.961294781,49.74481059
4,5.976965e-06,3.3475782e-08,9117.540976,DE1 0,8.585665972,49.23105928,DE1 7,8.614807726,50.07909121
5,588.7270599999999,4.9409184,2377.343656,DE1 1,9.745630895,51.04223934,DE1 14,11.75030038,51.22456746
6,4.7795052e-06,3.9236745e-08,2377.343656,DE1 1,9.745630895,51.04223934,DE1 15,10.35871363,52.2258987
7,1.247617e-05,9.897823e-08,2377.343656,DE1 1,9.745630895,51.04223934,DE1 7,8.614807726,50.07909121
8,5.6166644999999995e-06,4.3042764e-08,4754.687313,DE1 1,9.745630895,51.04223934,DE1 9,8.718996773,52.01133541
9,642.10546,3.3952584,2377.343656,DE1 10,8.442956595,53.18344976,DE1 16,7.383087925,52.70033778
10,2321.1088,14.277646,3971.020013,DE1 10,8.442956595,53.18344976,DE1 5,9.656115621,53.77222271
11,3273.6052999999997,25.593187,1593.676357,DE1 10,8.442956595,53.18344976,DE1 9,8.718996773,52.01133541
12,6202.5657,47.702805,4754.687313,DE1 11,8.059747295,47.88802187,DE1 12,9.580929922,48.46048444
13,10000.0,43.466427,3964.434574,DE1 11,8.059747295,47.88802187,FR1 17,7.098681163,48.02632462
14,7.059128e-06,7.487425e-08,2377.343656,DE1 12,9.580929922,48.46048444,DE1 19,10.72308407,49.88281742
15,82.33089000000001,0.6586284,5551.525491,DE1 12,9.580929922,48.46048444,DE1 4,11.39973609,48.35883243
16,5.427066e-07,8.798228e-09,2377.343656,DE1 13,12.50484475,48.81759488,DE1 14,11.75030038,51.22456746
17,2.2136636e-07,2.3025726e-09,796.8381785,DE1 13,12.50484475,48.81759488,DE1 19,10.72308407,49.88281742
18,3.3092165e-06,1.8856984e-08,4362.853663,DE1 13,12.50484475,48.81759488,DE1 4,11.39973609,48.35883243
19,6761.3606,58.983807,2377.343656,DE1 14,11.75030038,51.22456746,DE1 15,10.35871363,52.2258987
20,2.0314076e-05,3.4918358e-07,3174.181835,DE1 14,11.75030038,51.22456746,DE1 17,12.62697015,53.77264365
21,9.789693e-06,9.6443856e-08,10698.04645,DE1 14,11.75030038,51.22456746,DE1 19,10.72308407,49.88281742
22,5.6501617e-06,6.427507e-08,7132.030969,DE1 14,11.75030038,51.22456746,DE1 3,13.55352574,52.53973418
23,1.1103495e-05,8.7097845e-08,6348.36367,DE1 14,11.75030038,51.22456746,DE1 6,13.6417236,51.1474873
24,6421.6704,67.97228,2377.343656,DE1 15,10.35871363,52.2258987,DE1 5,9.656115621,53.77222271
25,5362.5917,36.449932,796.8381785,DE1 15,10.35871363,52.2258987,DE1 9,8.718996773,52.01133541
26,8589.535,74.58822,7132.030969,DE1 16,7.383087925,52.70033778,DE1 2,7.69004145,51.39881774
27,2654.5359999999996,27.817606,0.0,DE1 16,7.383087925,52.70033778,DE1 8,6.782045751,51.15711695
28,8735.341,61.59331,4754.687313,DE1 16,7.383087925,52.70033778,DE1 9,8.718996773,52.01133541
29,5610.4583999999995,50.09527,3174.181835,DE1 17,12.62697015,53.77264365,DE1 3,13.55352574,52.53973418
30,2823.0088,32.72467,2377.343656,DE1 17,12.62697015,53.77264365,DE1 5,9.656115621,53.77222271
31,3856.6346,28.418966,4754.687313,DE1 18,6.961294781,49.74481059,DE1 7,8.614807726,50.07909121
32,4.91759e-05,4.600709e-07,7132.030969,DE1 18,6.961294781,49.74481059,DE1 8,6.782045751,51.15711695
33,10000.0,72.49161,2775.762746,DE1 18,6.961294781,49.74481059,FR1 4,5.960518626,48.861879
34,2.8906832e-06,3.0290682e-08,4362.853663,DE1 19,10.72308407,49.88281742,DE1 4,11.39973609,48.35883243
35,1.3496252e-06,1.2206741e-08,5551.525491,DE1 19,10.72308407,49.88281742,DE1 7,8.614807726,50.07909121
36,845.6918599999999,8.061238,4754.687313,DE1 2,7.69004145,51.39881774,DE1 7,8.614807726,50.07909121
37,4.636457e-06,1.8897026e-08,20220.59196,DE1 2,7.69004145,51.39881774,DE1 8,6.782045751,51.15711695
38,4.6298005e-06,2.7028797e-08,4754.687313,DE1 2,7.69004145,51.39881774,DE1 9,8.718996773,52.01133541
39,1.0956614e-05,1.0079878e-07,7132.030969,DE1 3,13.55352574,52.53973418,DE1 6,13.6417236,51.1474873
40,8.615521e-06,1.0520565e-07,2377.343656,DE1 5,9.656115621,53.77222271,DE1 9,8.718996773,52.01133541
41,3.1934912e-06,4.076687e-08,3566.015485,DE1 7,8.614807726,50.07909121,DE1 9,8.718996773,52.01133541
42,5.741861e-06,8.691278e-08,7132.030969,ES1 0,-5.521155106,41.91726953,ES1 5,-3.650686811,40.1106101
43,4831.9874,67.53507,9920.964594,ES1 0,-5.521155106,41.91726953,ES1 6,-2.896801354,42.76489618
44,10000.0,125.06093,13486.98008,ES1 0,-5.521155106,41.91726953,ES1 7,-7.87453434,42.66362337
45,3.366429e-06,5.667262e-08,2377.343656,ES1 0,-5.521155106,41.91726953,ES1 8,-6.151081793,39.41281179
46,2.5035687e-06,3.9076003e-08,10306.2128,ES1 1,-0.498247314,40.7899949,ES1 3,-1.068553391,38.46729399
