Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,Zone27,Zone28,Zone29,Zone30,Zone31,Zone32,Zone33,Zone34,Zone35,Zone36,Zone37,Zone38,Zone39,Zone40,Zone41,Zone42,Zone43,Zone44,Zone45,Zone46,Zone47,Zone48,Zone49,Zone50,Zone51,Zone52,Zone53,Zone54,Zone55,Zone56,Zone57,Zone58,Zone59,Zone60,Zone61,Zone62,Zone63,Zone64,Zone65,Zone66,Zone67,Zone68,Zone69,Zone70,Zone71,Zone72,Zone73,Zone74,Zone75,Zone76
cH2Total,1.6523481282592253e10,1.9763500722369716e8,6.819489151938537e7,1.1130955454436174e8,8.576744519440947e7,3.2350358384418124e8,1.678112316771711e8,2.7477821727732944e8,2.3648976440619037e8,4.24924165049202e7,7.781384527632791e7,1.772591494200021e8,3.0659646600268584e8,2.094309673580597e8,5.68868363686915e8,5.11447272824885e8,2.7632397924183255e8,1.4639569213089395e8,6.186983873028039e8,6.088988735943613e8,1.103545798403831e8,5.6847505398646854e7,8.955052499070027e7,2.693871817559258e8,2.5337076969220516e8,4.447028121191349e8,4.435640512442385e8,1.5870260330864447e8,7.868852867944409e7,2.0010056072088063e7,3.9962448855567944e8,3.0258948231722437e7,6.6766938806556836e7,2.2410671724700615e7,1.2121373039037609e8,3.201414592379296e7,4.31170913840239e7,4.826311456298441e7,2.796606441149981e7,1.4688701570813116e8,4.997622126475937e7,4.4957354515997775e7,8.839588559450786e7,7.507010806343266e7,1.4679950071983438e7,1.8534133741898128e8,1.2880961965797596e8,7.010808117216249e8,4.5222621057770014e7,1.0687255094150458e8,2.9020298332709426e8,8.698903201426725e7,1.9351073291219767e7,2.4985560347331073e7,3.996912435861333e7,4.925036753314072e7,1.60734313175227e9,4.069064799061306e8,2.4984098587863645e8,1.6595451298774895e8,1.432349336955705e8,1.6611981295512995e8,2.0894857265414822e8,4.363361920629592e7,8.448994497567695e7,5.675295945283606e8,3.379897324256393e8,2.1150954703058985e8,1.368426373360971e8,2.616266067964658e8,5.327070312374094e8,7.967721008940202e7,2.850098437730214e8,1.4891574568561563e8,2.6959906606871897e8,2.169410503403734e8,1.6519613824410364e8
cH2Fix_Gen,7.223085071987668e9,1.3607240510908744e8,4.281541184000405e7,6.21362449634847e7,5.307616956648508e7,1.725887256849831e8,1.0883848974520987e8,1.4344030306209037e8,1.2310559940296224e8,2.552976541499507e7,4.344861333827743e7,1.019087117629223e8,1.6572589820397767e8,1.2290767082019895e8,2.0205059717920423e8,2.0381535218235853e8,1.3179995952477202e8,7.326481054450831e7,2.5194310919331196e8,2.671515403748599e8,7.170399700179984e7,3.404891467656203e7,7.68384799508817e7,1.0538497320612545e8,1.0559901420712775e8,1.4377123556386194e8,1.6936164360538432e8,8.268726640549618e7,3.781387865227449e7,1.5318098729726847e7,5.331230819688768e7,1.7633862317835703e7,4.955202271109725e7,1.3303379637764072e7,4.9243412529241465e7,1.6647285029545756e7,2.2585814402420416e7,2.950078711839609e7,1.7326090584788196e7,5.3430793650112994e7,2.525760848130026e7,1.8116520889926746e7,2.8906666535449367e7,3.9937555760879666e7,1.0530043295374041e7,1.0309030009014738e8,4.434776607360303e7,1.9867136532732844e8,1.7005261416198056e7,3.64582680452647e7,1.3237249185195953e8,5.6920004330670506e7,9.867546566705337e6,1.6047030858050324e7,2.4344204883958694e7,2.382348356047369e7,6.168413113394283e8,1.8589620567682078e8,1.1017236902416614e8,8.228573102907635e7,1.0856068546594012e8,1.0292540133098648e8,1.1212581205615076e8,2.9071567391947538e7,3.347250429649168e7,1.7169026449232936e8,1.7872501616853002e8,9.231747956515077e7,7.176313691413046e7,1.1961611713985747e8,2.1585366383674097e8,5.337247352178777e7,1.4055088365756068e8,8.039868024561292e7,1.4218256514158136e8,1.2063302398676077e8,7.225142564830305e7
cH2Fix_Liq,5.006868924232186e9,798731.0177673167,162079.09770622017,1.3297421034443915e7,4.261610232618006e6,7.294906295914517e7,1.678565210763001,1.0646718042067382e7,2.9011156200767647e7,4.366150631577597e6,1.36467921516317e6,1.0368275595145255e7,2.3016633712975543e7,1.6470447065498874e7,1.764430633507643e8,2.185600749042872e8,8.076000112637141e7,8.200064030657249e6,2.284212044548756e8,1.5617973002885124e8,3.4480412909468566e6,8.720390295640636e6,2.732783976794626e6,1.3909854808684596e8,1.2737620605794571e8,2.3947250670572218e8,2.1998258429627696e8,3.840932254973362e7,2.6281263524864953e7,1.1161978618846699e6,3.1492607537455356e8,2.109294506997743e6,1.719888968675633e7,1.6799049507962183,4.7061650657526545e7,5.919210888491393e6,1.7872663090692975e7,6.0429233047254635e6,1.668957029037325,6.172514814994924e7,1.1375236904405365e7,1.8587844196351334e7,4.665914785204246e7,1.5758650767198069e7,2.3572576634577652e6,8.172003851273459e7,5.8576665754787415e7,3.689062614086586e8,1.509493042086441e7,5.81554030097198e7,7.563611655295296e7,880523.6775357354,3.2172451387546873e6,3.902730165975998e6,5.108471054421541e6,1.2872094415980967e7,5.810706904467825e8,1.0580297454495879e8,8.491083514121342e7,4.836809319392655e7,1.6706618505022667e7,1.2230401893668802e7,3.565828233701896e7,181008.26393093157,2.8863392168993313e7,2.4312000158456206e8,5.787069727838495e7,5.190266021498627e7,5.882415595553788e6,8.448057415909088e7,2.0695230979190847e8,2.6126725321185566e7,5.718281026295167e7,4.594202891526536e7,9.937719256698121e7,2.374673713377799e7,7.691304938172089e7
cH2Fix_G2P,324.5345418835475,4.128325876557741,3.969474268975096,4.089147791413143,4.01273545934189,4.14169574448902,4.005845418722184,4.058834572727611,4.089103594172702,4.1494928726078735,4.06685674769296,4.0305263847136255,4.022343671546003,4.040312274954926,4.475535794405445,4.1502541809893625,4.163874748958248,4.118751210195871,4.131041620176004,4.136419498380258,4.147279644533303,4.263033240072243,4.547931619322852,4.159500705042574,4.403739503930991,4.372270018548576,4.3353988398701215,4.0879377555565055,4.405054439709445,4.645946896556316,4.195321195115123,4.265264428357038,4.243465888489259,4.24777636174315,4.528544340187589,4.24029104610465,4.307263433296522,4.269329414561115,4.093076657215452,4.624518697226416,4.1493589041916685,4.202000955056904,4.230170156253175,4.428922448724186,4.199274990227446,4.20458915855342,4.3892039245193315,4.559307214510621,4.290090487522285,4.23103543614519,4.326186562464686,4.232821687487912,4.25817687334348,4.259464328151762,4.370597331847308,4.245549049731058,4.245502600273074,4.417161267893737,4.461203351357206,4.349769885713515,4.343561161621442,4.211930877002555,4.34026087534668,4.262520842605911,4.083513612448337,5.9397685596924354,4.261979202742611,4.291467915061268,4.124473700993893,4.211185004826762,4.24958844677015,4.001807867445732,4.0017374405031845,4.219157400350698,4.668235118129676,4.5521845558244936,4.357266831754372
cH2Fix_Stor,3.7431557267247206e8,4.1490458027380263e6,565085.3962427118,1.29730565154637e6,1.0711728732239802e6,4.47179021314871e6,3.4285388783313273e6,1.5670615680372433e6,505716.91895393323,497760.86029832315,36831.85069526153,87399.91187128163,2.0127571515042563e6,960679.2667753357,2.4481746039973698e6,5.970556011671321e6,1.9829947710755507e6,318468.1732346687,4.243898950795113e6,2.644307675395493e6,677842.2660864884,2.708323562168742e6,9.97924471184154e6,1.919058049604116e7,2.0395492524458762e7,1.7623126880851585e7,2.3541133426012143e7,6.260459063224503e6,4.0510224817123986e6,2.691015830414478e6,6.734861646040314e6,27107.940723833697,15945.168129502676,8.446471009091473,966003.354710708,231209.8427535702,2.658589227099286e6,473401.07561283384,12.139330422572343,1.332986723781573e6,307975.50513179996,1.404837711247239e6,448840.5627377483,151820.5087126352,117271.47104583254,530960.5542604383,1.126908905853401e6,1.6337421469109517e6,225402.7161109776,3.3686091247641784e6,2.7414452900413643e6,4.727970143898251e6,234109.5427973676,2.1331070324013773e6,2.184189841633183e6,1.2853500450464396e6,2.309461194037899e7,4.364604052220518e6,6.810118403620483e6,7.9295898724539215e6,4.709001903352209e6,5.383589185096121e6,5.408314188011481e6,2.2312509402155313e6,338080.2544627363,1.270403321361989e6,1.3391342981706997e7,5.065380221216528e6,4.339157914482814e6,1.3776670915529499e7,2.5321993804886017e7,177897.82205379085,1.5174954428624446e7,1.3080069355082415e7,2.8039249957132317e7,247766.11717080517,1.3721070653818052e7
cH2Var,3.5103168317015214e9,5.6614821119131885e7,2.4652311161876548e7,3.457857874570111e7,2.735848845124047e7,7.34940007981844e7,5.554419731039044e7,1.191241304924864e8,8.386728773784572e7,1.20987353995483e7,3.296371675175813e7,6.489475806322021e7,1.1584117285724996e8,6.90921661077404e7,1.8792652401982036e8,8.310128553047015e7,6.178101960660576e7,6.461234520799195e7,1.3409017051656704e8,1.8292329132026374e8,3.452469508639991e7,1.1369872524827225e7,11.72812120494085,5.713075725053317e6,52.41908070079792,4.383593853794801e7,3.0678685521206062e7,3.1345551138582297e7,1.0542359509273723e7,884738.9336507285,2.4651239051686622e7,1.048867915089556e7,76.93188590701989,9.107277659028139e6,2.3942659264577698e7,9.216435859064545e6,20.257887096467456,1.2245998724190876e7,1.0639955862647766e7,3.0398082504878752e7,1.3035396173797637e7,6.848147452793557e6,1.2381226352371946e7,1.922207649883167e7,1.675373394036769e6,33.99725214707562,2.4758274481862053e7,1.3186943822086994e8,1.2897022151980013e7,8.890266476925883e6,7.945292519598313e7,2.446052951803847e7,6.032167680893585e6,2.9026879137183926e6,8.332254079293902e6,1.126943514089789e7,3.8633651369256395e8,1.1084269111864442e8,4.794765872986386e7,2.7371094445403863e7,1.3258623385864275e7,4.558041622864127e7,5.5756159633488216e7,1.21497882104078e7,2.1815964089243267e7,1.514489190594227e8,8.800267169049056e7,6.222402269604774e7,5.485792273866639e7,4.3753240324696325e7,8.457905950797896e7,109.37267312932585,7.210119137489e7,9.494962859736321e6,53.602085661075094,7.23135184873628e7,2.3105881348277624e6
cH2Var_G2P,5.45050832118616,0.04664662811658964,0.054081566940597924,0.06003785196717378,0.058106486183952075,0.04702406905306465,0.05882883395132857,0.05381348322122012,0.05655721922034123,0.04900803259741411,0.05357716537360861,0.05631668839984464,0.05463483301158628,0.057533872697773665,0.05759293471374682,0.04584372048255672,0.049133026899658705,0.055750547139701165,0.05621266128616352,0.05857150986434601,0.04787034771060777,0.07641498221682372,0.07512956607328476,0.0823591459845722,0.07985272925669164,0.058481146705379676,0.05996006338165401,0.06367012361431465,0.10626408646703124,0.07046444336610996,0.09119003310418759,0.05000516635099321,0.06522197334180546,0.05375608257181134,0.055775306657937083,0.06364664719241127,0.09866069419226851,0.07072972128783127,0.06269973287010888,0.054889901846989865,0.050765396575659746,0.06367794131514584,0.06173616954987855,0.09888817668862784,0.0487940383736173,0.05999760880712297,0.052666137354676984,0.058549681559566885,0.062526073733859,0.05379459076432004,0.109970694893374,0.11130259972538292,0.10389191551310935,0.11772065292051632,0.1287086768435657,0.12519267865994435,0.08761352819795433,0.09632478811371276,0.11856919725182545,0.09711838052466341,0.09183005583407551,0.10480641138759215,0.09921791297001356,0.13727329032996752,0.08297234994244944,0.13091592321757162,0.04454751618060847,0.04172067110081029,0.048789913589069527,0.046106599829935146,0.04630656683895835,0.04989390226447279,0.04725709238473582,0.0907612494827324,0.13270330634518487,0.06311651025129111,0.06816709655670561
cH2NSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cH2Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cNetworkExp,4.088945520133555e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
