Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,9.296806309712728e-9,2.662721332434898e-5,2.6617916518039267e-5
OCGT-H2_1.0,1.0,0,1.0948620941849331e-8,3.36809404231258e-5,3.366999180218395e-5
CCGT-H2_2.0,2.0,0,9.312738960691242e-9,2.6532467019002364e-5,2.6523154280041674e-5
OCGT-H2_2.0,2.0,0,1.0841521452072325e-8,3.124375006438116e-5,3.123290854292909e-5
CCGT-H2_3.0,3.0,0,9.264060845037919e-9,2.733719118279933e-5,2.7327927121954293e-5
OCGT-H2_3.0,3.0,0,1.0780984792529941e-8,3.217954854864617e-5,3.216876756385364e-5
CCGT-H2_4.0,4.0,0,9.261166997688907e-9,2.686660718988147e-5,2.685734602288378e-5
OCGT-H2_4.0,4.0,0,1.0776847998522304e-8,3.152893093391798e-5,3.151815408591946e-5
CCGT-H2_5.0,5.0,0,9.319342358568706e-9,2.674137609870713e-5,2.673205675634856e-5
OCGT-H2_5.0,5.0,0,1.1447335217041933e-8,3.3755868577786644e-5,3.37444212425696e-5
CCGT-H2_6.0,6.0,0,9.270987026552246e-9,2.6836181283563622e-5,2.682691029653707e-5
OCGT-H2_6.0,6.0,0,1.079985244566045e-8,3.1455537487624317e-5,3.144473763517866e-5
CCGT-H2_7.0,7.0,0,9.273106329745573e-9,2.716379862662645e-5,2.7154525520296704e-5
OCGT-H2_7.0,7.0,0,1.080956197715124e-8,3.190514213263742e-5,3.189433257066027e-5
CCGT-H2_8.0,8.0,0,9.27088609284844e-9,2.727314200985363e-5,2.726387112376078e-5
OCGT-H2_8.0,8.0,0,1.0802074915507839e-8,3.225747282572743e-5,3.2246670750811924e-5
CCGT-H2_9.0,9.0,0,9.296054713596934e-9,2.6873593483210975e-5,2.6864297428497378e-5
OCGT-H2_9.0,9.0,0,1.0945997448594646e-8,3.3718737705130684e-5,3.370779170768209e-5
CCGT-H2_10.0,10.0,0,9.279875292672332e-9,2.70830589043141e-5,2.7073779029021426e-5
OCGT-H2_10.0,10.0,0,1.0810904781489203e-8,3.2133213152533464e-5,3.2122402247751975e-5
CCGT-H2_11.0,11.0,0,9.30471616024764e-9,2.7039685741270466e-5,2.7030381025110216e-5
OCGT-H2_11.0,11.0,0,1.0843378715772076e-8,3.160248133907976e-5,3.159163796036399e-5
CCGT-H2_12.0,12.0,0,9.27203109323081e-9,2.695018465360957e-5,2.694091262251634e-5
OCGT-H2_12.0,12.0,0,1.0800306762272818e-8,3.158079191078478e-5,3.15699916040225e-5
CCGT-H2_13.0,13.0,0,9.270543093328334e-9,2.692186713585322e-5,2.691259659275989e-5
OCGT-H2_13.0,13.0,0,1.079617514382886e-8,3.19043900833151e-5,3.1893593908171274e-5
CCGT-H2_14.0,14.0,0,9.276727287056807e-9,2.9175029633845258e-5,2.91657529065582e-5
OCGT-H2_14.0,14.0,0,1.0812067390348223e-8,3.613448898955711e-5,3.612367692216676e-5
CCGT-H2_15.0,15.0,0,9.325955313630576e-9,2.6689339065438007e-5,2.6680013110124377e-5
OCGT-H2_15.0,15.0,0,1.096200284568662e-8,3.395717983345052e-5,3.3946217830604835e-5
CCGT-H2_16.0,16.0,0,9.290416353613357e-9,2.697308962481697e-5,2.6963799208463358e-5
OCGT-H2_16.0,16.0,0,1.0933903276620408e-8,3.382777470394406e-5,3.381684080066744e-5
CCGT-H2_17.0,17.0,0,9.276944705417613e-9,2.7584243124880477e-5,2.7574966180175058e-5
OCGT-H2_17.0,17.0,0,1.0816796802748097e-8,3.2352150022986565e-5,3.2341333226183816e-5
CCGT-H2_18.0,18.0,0,9.268175048044803e-9,2.7656943445497226e-5,2.764767527044918e-5
OCGT-H2_18.0,18.0,0,1.079839843064581e-8,3.246045856590398e-5,3.2449660167473334e-5
CCGT-H2_19.0,19.0,0,9.262681934490723e-9,2.7719864422845817e-5,2.7710601740911325e-5
OCGT-H2_19.0,19.0,0,1.0791424312534195e-8,3.2469660689849534e-5,3.2458869265537e-5
CCGT-H2_20.0,20.0,0,9.319462227824163e-9,2.6799670931151096e-5,2.6790351468923273e-5
OCGT-H2_20.0,20.0,0,1.0955193020754613e-8,3.377391915336591e-5,3.376296396034515e-5
CCGT-H2_21.0,21.0,0,7.991898312364901e-9,2.8334968648546437e-5,2.8326976750234072e-5
OCGT-H2_21.0,21.0,0,1.1372606513989552e-8,3.374950059064518e-5,3.373812798413119e-5
CCGT-H2_22.0,22.0,0,9.43980345795816e-9,3.0130515906057567e-5,3.012107610259961e-5
OCGT-H2_22.0,22.0,0,1.1012532653962403e-8,3.612540670184657e-5,3.6114394169192607e-5
CCGT-H2_23.0,23.0,0,9.27120691234287e-9,2.825843466734578e-5,2.8249163460433438e-5
OCGT-H2_23.0,23.0,0,1.0783872585850508e-8,3.217954245968655e-5,3.21687585871007e-5
CCGT-H2_24.0,24.0,0,9.314574447004776e-9,2.9134314771714193e-5,2.9125000197267187e-5
OCGT-H2_24.0,24.0,0,1.0946977165280536e-8,3.503042945162435e-5,3.501948247445907e-5
CCGT-H2_25.0,25.0,0,9.328310499518158e-9,2.855259090901751e-5,2.8543262598517995e-5
OCGT-H2_25.0,25.0,0,1.0976906477659448e-8,3.5238699766445334e-5,3.522772285996768e-5
CCGT-H2_26.0,26.0,0,9.31846808732468e-9,2.8199220335583927e-5,2.81899018674966e-5
OCGT-H2_26.0,26.0,0,1.0967605611245048e-8,3.5079796211830145e-5,3.50688286062189e-5
CCGT-H2_27.0,27.0,0,9.274657838982928e-9,2.7557694161606164e-5,2.754841950376718e-5
OCGT-H2_27.0,27.0,0,1.0792773699891563e-8,3.1889419514617915e-5,3.187862674091802e-5
CCGT-H2_28.0,28.0,0,9.745517627194775e-9,2.956410205240495e-5,2.9554356534777754e-5
OCGT-H2_28.0,28.0,0,1.0989196665311463e-8,3.4524150190081987e-5,3.451316099341668e-5
CCGT-H2_29.0,29.0,0,8.040042981858626e-9,3.128366807152307e-5,3.127562802854121e-5
OCGT-H2_29.0,29.0,0,1.1324774113239515e-8,3.6284907792514744e-5,3.6273583018401504e-5
CCGT-H2_30.0,30.0,0,9.247374647024596e-9,2.976717921154191e-5,2.9757931836894884e-5
OCGT-H2_30.0,30.0,0,1.0772980379503747e-8,3.0903218657826754e-5,3.089244567744725e-5
CCGT-H2_31.0,31.0,0,9.4155954105599e-9,2.7821617724052506e-5,2.7812202128641946e-5
OCGT-H2_31.0,31.0,0,1.100428646131241e-8,3.441600298376358e-5,3.440499869730227e-5
CCGT-H2_32.0,32.0,0,9.76093736252281e-9,2.8369922040042562e-5,2.836016110268004e-5
OCGT-H2_32.0,32.0,0,1.099308810761709e-8,3.3392644659143824e-5,3.3381651571036205e-5
CCGT-H2_33.0,33.0,0,9.296979508147144e-9,2.7660837611581206e-5,2.765154063207306e-5
OCGT-H2_33.0,33.0,0,1.0926068891141751e-8,3.4332190256260666e-5,3.432126418736952e-5
CCGT-H2_34.0,34.0,0,9.274268118864291e-9,2.8854879741605697e-5,2.8845605473486834e-5
