Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,0.01054879,0.00052221736,7460.8774
2,0.0,1.0081577e-5,4.99088e-7,5.1975145
3,0.0,2.124601e-5,1.0517828e-6,12.711004
4,0.0,7.54452e-5,3.734911e-6,32.623974
5,0.0,3.6320747e-5,1.7980568e-6,23.534431
6,0.0,9.227938e-6,4.5682862e-7,5.8488426
7,0.0,2.9381825e-5,1.4545458e-6,17.996681
8,0.0,0.009008286,0.00044595473,5329.9004
9,0.0,1.9903727,0.0985333,812561.25
10,0.0,4.378724,0.21676853,2.079524e6
11,0.0,4.6339407,0.229403,2.797073e6
12,0.0,0.00010561262,5.2283476e-6,62.71098
13,0.0,0.23668948,0.011717301,79430.66
14,0.0,5.794647e-5,2.868637e-6,47.453
15,0.0,7.3385972e-6,3.632969e-7,4.532585
16,0.0,6.577034e-6,3.2559575e-7,8.23219
17,0.0,9.524242e-6,4.7149712e-7,7.648696
18,0.0,5.34304e-5,2.6450693e-6,23.506647
19,0.0,0.06501326,0.003218478,43788.08
20,0.0,5.2333576e-6,2.590771e-7,6.9453225
21,0.0,1.0974725e-5,5.433032e-7,8.347461
22,0.0,1.5611984e-5,7.728705e-7,13.71182
23,0.0,1.7199462e-5,8.514585e-7,10.416404
24,0.0,6.4607295e-5,3.198381e-6,52.79838
25,0.0,1.7628195,0.08726829,925092.3
26,0.0,0.46921486,0.023228459,314577.5
27,0.0,0.2988338,0.014793753,241777.62
28,0.0,1.0844877e-5,5.3687506e-7,5.9038267
29,0.0,0.0027137983,0.00013434645,1870.8165
30,0.0,0.90907365,0.045003645,813612.1
31,0.0,0.7816878,0.038697418,444721.75
32,0.0,0.00018935195,9.373859e-6,136.77211
33,0.0,5.677691,0.2810738,3.1777135e6
34,0.0,5.0673167e-5,2.5085726e-6,40.996033
35,0.0,0.15176527,0.007513132,105977.63
36,0.0,1.38655505e-5,6.864134e-7,10.20427
37,0.0,0.07774967,0.0038489935,24465.89
38,0.0,0.91529095,0.045311432,412552.2
39,0.0,3.4732973e-5,1.7194541e-6,24.670395
40,0.0,7.220019e-6,3.574267e-7,6.8069277
41,0.0,1.2250684e-5,6.0646954e-7,12.07417
42,0.0,7.878073e-6,3.900036e-7,9.206747
43,0.0,1.5048937e-5,7.4499684e-7,16.2392
44,0.0,0.2391954,0.011841357,230956.25
45,0.0,6.8397117e-6,3.385996e-7,8.8899
46,0.0,1.028293,0.050905593,1.2391468e6
47,0.0,6.728108e-5,3.3307465e-6,60.8515
48,0.0,2.9211922,0.14461347,3.7126485e6
49,0.0,1.3254685,0.065617256,1.8002572e6
50,0.0,1.3702168,0.067832515,1.9163794e6
