Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DE1 0 CCGT,1,1163.16,1163.158379725511,4.666220922462929e-7,0.0016207411110968906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 OCGT,1,359.04,359.0379811995159,2.1474253253935216e-6,0.00202094790946461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 biomass,1,148.2,4.911132286780777e-7,0.0,148.19999950888678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 coal,1,5874.248611,5874.2485429521585,0.0,6.804784113967344e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 nuclear,1,2722.0,1.9493825828479296e-9,17801.477163612966,20523.477163611016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 oil,1,70.0,0.0005975458414716386,0.0,69.99940245415853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 onwind,1,590.61855,3.985463038964706e-8,6.520835356107205e-7,590.6185506122289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 ror,1,177.68803,8.65729205825012e-8,0.0,177.68802991342707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 0 solar,1,2040.925306,2.0405905772985506e-8,1.0383227462926444e-6,2040.925307017917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 CCGT,2,3351.0,3350.997414574253,8.317448721517532e-6,0.0025937431953337864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 OCGT,2,175.61,175.6077139159413,3.54733145946532e-7,0.0022864387918819506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 biomass,2,18.1,8.430990434768577e-7,0.0,18.09999915690096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 coal,2,1064.7,1064.6999514757774,0.0,4.852422264001177e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 lignite,2,35.04131532,35.041291877699216,0.0,2.3442300788045767e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 oil,2,24.8,0.00039836008978631093,0.0,24.79960163991021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 onwind,2,855.7914,1.992693002655086e-8,5.409287555268856e-7,855.7914005210018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 ror,2,4.782,2.731875246852793e-8,0.0,4.781999972681247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 1 solar,2,859.184064,2.3578841400782845e-8,3.918572912205255e-7,859.1840643682785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 CCGT,3,961.8,961.794674543071,2.549622150136457e-6,0.005328006551175157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 OCGT,3,543.58,543.5777292194659,1.807237054015898e-6,0.0022725877711904374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 biomass,3,45.92,4.888876423507998e-7,0.0,45.91999951111236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 coal,3,2229.243561,2229.2435060333264,0.0,5.496667387916432e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 offwind-ac,3,0.0,0.0,1.0797117835702752e-5,1.0797117835702752e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 oil,3,142.0,0.00017279152931594822,0.0,141.9998272084707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 onwind,3,2510.3313,1.1511149188642422e-8,2.8371751626535634e-6,2510.331302825664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 ror,3,9.9,5.0221380943839296e-8,0.0,9.89999994977862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE1 10 solar,3,1417.558037,2.3950981257696157e-8,1.2318713202475343e-6,1417.5580382079202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
