Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,Total
CO2_Price_1,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,-377.7189558039794,0.0
AnnualSum,992.1718157504869,351.73842734083615,2012.8504579597682,0.22715976275884178,7108.915294612882,0.34307475656781355,105103.9995734173,123.07419375650258,0.23474527320294733,16382.189764313867,0.42716835680721205,14975.699581512205,0.4207598481286,94407.71048095063,11336.307005593666,3911.5597944026085,35862.549068082015,7.436088406594131,232432.73746621358,0.20349030294032946,0.2757307440147144,28332.98290328391,503775.81385465706,107303.5369423104,456.0877684323238,141270.70233949664,142729.10452290456,1009.2891436359972,0.0,16714.836887937592,3113.695738601164,0.0,81499.8115500981,0.0,0.0,5809.892086813735,0.008533024011740494,0.0,0.0,0.0,0.0,29521.00407607187,65416.68816751829,9.504961249713253,0.0,0.0,56378.15849106673,0.0,0.06291684104459357,0.0,987234.6199892174,0.0,0.5030393162368765,0.025089954692171897,113171.84692373937,406924.09422370873,353720.93182946893,112834.42820943793,302936.24447453674,402282.19812045485,107334.23384617556,19326.406565744674,0.04247769968838774,266479.3362773149,223092.94776989953,284392.2732143464,423104.30779966264,136041.41093622244,266771.73548495944,1.6709745800019233e6,14580.943576623209,220918.31442280408,10.685555128162573,21881.730136476017,538633.3620575524,3845.6160467288355,8.584845070094395e6
t1,2.893338229514297e-6,3.644501210421528e-6,2.3831927984417974e-6,1.6948911150111075e-6,1.9779560342043365e-6,1.6426565090155958e-6,3.6758247492349368e-6,2.9740975092175356e-6,1.9052526210894447e-6,2.3279022857757474e-6,2.416796768394699e-6,2.3110893498771894e-6,2.3267385753675716e-6,3.6702716246587822e-6,2.946865677822788e-6,2.4017269635392397e-6,2.9093831802098342e-6,3.1455458283924727e-6,3.6544515288644287e-6,1.8473271967185487e-6,1.8317078551938644e-6,3.266300201882964e-6,3.1757852706822786e-6,3.1645047593658657e-6,2.2738920112099764e-6,1.6211150435444582e-6,2.3816872750418092e-6,2.368629193849585e-6,0.0,2.345123376256416e-6,1.5577851818129853e-6,0.0,9.403350495096723e-7,0.0,0.0,6.066510502990262e-7,6.796637641737702e-7,0.0,0.0,0.0,0.0,1.2955352088142318e-6,9.843386900346445e-7,1.6372545865740372e-6,0.0,0.0,1.6139924824820333e-6,0.0,1.626383364990737e-6,0.0,1.6337572601775532e-6,0.0,1.655082834080767e-6,7.66557563305793e-7,9.395739957099446e-7,1.6597623803643293e-6,1.5819874644314838e-6,9.299096254028322e-7,2.3292677375132592e-6,9.915095071424843e-7,2.286982090590878e-6,1.6402038128570248e-6,1.3473018116773571e-6,1.7537803673402708e-6,1.7623459800794192,26.630965053088833,1.7623449003604303,1.7461166882766237e-6,2.450202925373625e-6,38.08619514169357,1.6644368555468427,1.7594402431769098e-6,2.3472880581736977e-6,2.3819838480643047e-6,5.091215113691499,1.356912003609152e-6,74.99762072257494
t2,2.8917284594136098e-6,3.642693440707181e-6,2.372157820724567e-6,1.6872657227687248e-6,1.9788449178136795e-6,1.639486540154237e-6,3.6452649267342265e-6,2.804921158887014e-6,1.8956721234145018e-6,2.323007726551192e-6,2.420922592929146e-6,2.3077158263768e-6,2.325965269093587e-6,3.674964228962905e-6,2.9448252208116394e-6,2.392920490467487e-6,2.906567518845006e-6,3.1418345967228514e-6,3.6539328963419974e-6,1.8391487506818381e-6,1.7855976513130087e-6,3.26237500610667e-6,3.159586656504004e-6,3.159778413014648e-6,2.2712220315852777e-6,1.6082509349093337e-6,2.36699821345962e-6,2.3568203701548097e-6,0.0,2.3419160802940478e-6,1.5616387855848034e-6,0.0,9.383609283405128e-7,0.0,0.0,6.169840026267091e-7,6.688152854275528e-7,0.0,0.0,0.0,0.0,1.2982014357531742e-6,9.827236414892088e-7,1.6329790911100882e-6,0.0,0.0,1.611679994961061e-6,0.0,1.6253546227926124e-6,0.0,1.6380607207485747e-6,0.0,1.6531368997258605e-6,7.667115273907084e-7,9.421368140119286e-7,1.6614949423467528e-6,1.583977044927164e-6,9.32489088390173e-7,2.3224088738766544e-6,9.913586440833267e-7,2.286564660335671e-6,1.6438935438253648e-6,1.3496066009259743e-6,1.7571159196244557e-6,1.762345978300149,26.630965050343285,1.7623448977583873,1.7486164976788926e-6,2.4497866308970704e-6,38.08619514293665,1.6644368541982753,1.7619237609369589e-6,2.387310202003222e-6,2.385496833919816e-6,5.091215114908367,1.357704234302223e-6,74.99762039736191
t3,2.884748910435652e-6,3.6355715688108987e-6,2.4360621090484536e-6,1.6721211299384828e-6,2.017357330467509e-6,1.6330525428829229e-6,3.608161183627239e-6,3.0124809619965154e-6,1.953515453019843e-6,2.315371394391137e-6,2.463222860558858e-6,2.30011160016492e-6,2.3197829463124505e-6,3.6682274586416467e-6,2.935966260979346e-6,2.454642856138005e-6,2.8998767642005007e-6,3.1363869217864405e-6,3.647431087141519e-6,1.8962560673215432e-6,1.867106508666957e-6,3.259007140691121e-6,3.157588255483896e-6,3.158986631678766e-6,2.2693305998758246e-6,1.6055153443303273e-6,2.3642631633121785e-6,2.356111323550585e-6,0.0,2.344590494184549e-6,1.6086250472687187e-6,0.0,9.37057925799464e-7,0.0,0.0,6.068253813352593e-7,6.789677903494628e-7,0.0,0.0,0.0,0.0,1.2945433000282996e-6,9.81658280167507e-7,1.619608406476767e-6,0.0,0.0,1.609710835240089e-6,0.0,1.6207516333160994e-6,0.0,1.6393877225121945e-6,0.0,1.6560286889772132e-6,7.661216404253603e-7,9.444600482860881e-7,1.6628231378753289e-6,1.5890594703323172e-6,9.34904746806693e-7,2.331605031861696e-6,9.915763991256612e-7,2.2868284894723375e-6,1.6456960537552967e-6,1.3525064487596192e-6,1.758767202796121e-6,1.7623459776218091,26.630965048826294,1.762344898847554,1.7506837999338706e-6,2.450771738110398e-6,38.086195143799586,1.6644368540265115,1.763945581249671e-6,2.4069080637625714e-6,2.3885381633724723e-6,5.091215117516034,1.3585180051890385e-6,74.99762095036368
t4,2.8689759227508275e-6,3.620873504211748e-6,2.790656333866572e-6,1.6705866071802636e-6,1.9710351959657465e-6,1.6220105285825469e-6,3.61319432611452e-6,3.014529417435147e-6,2.2584505356722844e-6,2.3028434232906275e-6,2.389937421867574e-6,2.2868131538385546e-6,2.3063667211230717e-6,3.650840845327505e-6,2.923184175295196e-6,2.811960317687167e-6,2.885118508272092e-6,3.123259669596248e-6,3.6303799786142175e-6,2.191517654312033e-6,1.8305941447755072e-6,3.263424130920772e-6,3.1570063284842205e-6,3.161662628709079e-6,2.2744216990652358e-6,1.6058320210563492e-6,2.365365709681846e-6,2.361941160899116e-6,0.0,2.3430981114883417e-6,1.5566547494999675e-6,0.0,9.368199608379082e-7,0.0,0.0,6.07916307105009e-7,6.826470557651248e-7,0.0,0.0,0.0,0.0,1.2991259624088324e-6,9.81108478956388e-7,1.6176509976142334e-6,0.0,0.0,1.6098389891875417e-6,0.0,1.6243881990606303e-6,0.0,1.6398054042716251e-6,0.0,1.6538521240773287e-6,7.677516889974638e-7,9.452941652621829e-7,1.6624261820195024e-6,1.5870907722503332e-6,9.353402192405386e-7,2.3269910275535696e-6,9.913180662189295e-7,2.2857796861692702e-6,1.646221265542951e-6,1.3522266684604493e-6,1.7598597572996505e-6,1.7623459770178136,26.63096504872853,1.7623448976868,1.7535217661099675e-6,2.4520953441793506e-6,38.0861951459227,1.664436852932828,1.7654688459549685e-6,2.420769877056016e-6,2.39068628776437e-6,5.0912151143707325,1.3586082647042633e-6,74.99762194379768
t5,2.8721681291971974e-6,3.6236054551721555e-6,2.8269239371421723e-6,1.6705655273201271e-6,1.9703497261942426e-6,1.6261186378948163e-6,3.6201834871406824e-6,3.024734809362471e-6,2.295409053163339e-6,2.3050870430814806e-6,2.385725083008354e-6,2.2890417021593268e-6,2.3052930262774284e-6,3.6535115698948863e-6,2.9260673061152363e-6,2.8487090439585137e-6,2.8885203109858343e-6,3.127935191523119e-6,3.62862568387606e-6,2.2237422026717856e-6,1.827365903427364e-6,3.263584025114089e-6,3.1568723399862144e-6,3.161328587357357e-6,2.275439109115019e-6,1.606096276741115e-6,2.3676064867347554e-6,2.3721508939136576e-6,0.0,2.3426357103753194e-6,1.5583114623073512e-6,0.0,9.381451585455264e-7,0.0,0.0,6.087040665666766e-7,6.829075776043668e-7,0.0,0.0,0.0,0.0,1.3003994263376565e-6,9.81912723914163e-7,1.6183238563375515e-6,0.0,0.0,1.6107002414085782e-6,0.0,1.6241388402251563e-6,0.0,1.6412735033981046e-6,0.0,1.6553246998167259e-6,7.681578710151108e-7,9.459680608089845e-7,1.6643399505652236e-6,1.5880772222020765e-6,9.360708578161697e-7,2.3284551191560694e-6,9.92032789027261e-7,2.28747496693465e-6,1.6474041848007437e-6,1.3530378397781636e-6,1.7590220727677113e-6,1.7623459783371878,26.63096504959659,1.7623448978149567,1.7533398340115714e-6,2.453110039438843e-6,38.08619514668369,1.6644368536306529,1.7662275543299654e-6,2.4259053747930204e-6,2.3920296585370116e-6,5.0912151146793985,1.3589039467247423e-6,74.99762216583763
t6,2.895537689180068e-6,3.6487104798686576e-6,2.8699649818199948e-6,1.6796867833124118e-6,1.9803343073217547e-6,1.6491739168476882e-6,3.6477562956658217e-6,3.0532226075983337e-6,2.336662220389934e-6,2.3267295532883567e-6,2.3962589435504347e-6,2.3105630854759247e-6,2.3149428925374723e-6,3.6803027741392482e-6,2.950378726196229e-6,2.8910866542360865e-6,2.9131455891489107e-6,3.1536573718573926e-6,3.639644024585672e-6,2.2621885719894737e-6,1.817090341586501e-6,3.258477614405134e-6,3.154399956136884e-6,3.1568749498825756e-6,2.2711579111648973e-6,1.6041875924588468e-6,2.3658989468307672e-6,2.366554071772701e-6,0.0,2.3363436060713515e-6,1.5568718897084586e-6,0.0,9.391977757404445e-7,0.0,0.0,6.077044790586141e-7,6.795248736535567e-7,0.0,0.0,0.0,0.0,1.29607011045827e-6,9.82036386730614e-7,1.6275216465634735e-6,0.0,0.0,1.6096796227795032e-6,0.0,1.620379389698952e-6,0.0,1.6414448914169344e-6,0.0,1.6546314857882008e-6,7.676884856002754e-7,9.460432930958605e-7,1.6621301935118337e-6,1.5875831536976801e-6,9.360793197666827e-7,2.327318938469934e-6,9.922087726850848e-7,2.286294737700319e-6,1.647710803084565e-6,1.3521061017064853e-6,1.751027137298816e-6,1.7623459767690384,26.630965047919577,1.7623448943377735,1.7481716828313226e-6,2.4499908347936193e-6,38.08619514211512,1.6644368517254362,1.759476120968924e-6,2.420967267228269e-6,2.382369865081757e-6,5.091215112549913,1.3586601195291246e-6,74.9976225472387
t7,2.91097261868437e-6,3.6629861848228334e-6,2.8925507566529618e-6,1.6862611956882503e-6,1.9855281669612466e-6,1.6648889911742894e-6,3.6674965362869394e-6,3.0704972084483054e-6,2.3563904180533755e-6,2.3422008656028086e-6,2.4136844864271813e-6,2.3271792632654485e-6,2.3287383696161555e-6,3.698782386264162e-6,2.9654145982907066e-6,2.9137282600993173e-6,2.930163935361343e-6,3.1713988836852294e-6,3.656574802522679e-6,2.2816371623564935e-6,1.7853817465091085e-6,3.249486402254313e-6,3.1561440231134413e-6,3.146708052636133e-6,2.261478539502679e-6,1.6071136056144902e-6,2.3711204088429295e-6,2.361679358444334e-6,0.0,2.3264894944941885e-6,1.5634049368036785e-6,0.0,9.463495998138811e-7,0.0,0.0,6.188775129087654e-7,6.691231868247556e-7,0.0,0.0,0.0,0.0,1.3007256375721488e-6,9.882331275145582e-7,1.638591176090201e-6,0.0,0.0,1.617758588547595e-6,0.0,1.615425758068838e-6,0.0,1.6489811003144674e-6,0.0,1.6613727174215176e-6,7.696841848361111e-7,9.509015008642114e-7,1.67191859528342e-6,1.594133605513342e-6,9.414746767468689e-7,2.3329294313089687e-6,9.980325821214775e-7,2.30085668596457e-6,1.6552393092613027e-6,1.3546627340205154e-6,1.740459664860387e-6,1.7623459741549863,26.63096504609747,1.7623448889211901,1.7491325745300354e-6,2.4458311859004196e-6,38.086195145329896,1.664436848824444,1.7609405283103266e-6,2.4232295757515336e-6,2.371553541698708e-6,5.091215110540679,1.3577377900542673e-6,74.9976228941069
t8,2.9295763850874744e-6,3.6840332521646934e-6,2.9216922224346103e-6,1.6955643719970054e-6,2.0397961358946934e-6,1.6891727233777256e-6,3.6990843236923858e-6,3.0897761278321103e-6,2.374814777970399e-6,2.368782511662183e-6,2.49835352082651e-6,2.350948296665981e-6,2.3446907532102243e-6,3.7315055812421222e-6,2.995318842844869e-6,2.943430819778289e-6,2.9610727170449325e-6,3.1912922159539697e-6,3.6756260067419396e-6,2.2997811399358993e-6,1.8639163392950937e-6,3.2349609955716583e-6,3.1486529554904098e-6,3.1336602321082202e-6,2.2501628478835054e-6,1.5988303441312107e-6,2.3632193038255093e-6,2.353130050127151e-6,0.0,2.314026891802071e-6,1.6134758962092367e-6,0.0,9.54278097005628e-7,0.0,0.0,6.100098455530257e-7,6.796271227021023e-7,0.0,0.0,0.0,0.0,1.2990197264969135e-6,9.90547918990763e-7,1.645546112890637e-6,0.0,0.0,1.6201470990136205e-6,0.0,1.5985275844401058e-6,0.0,1.6478053239343555e-6,0.0,1.6632382789592489e-6,7.685941376482566e-7,9.510974378110954e-7,1.6717780237369797e-6,1.5967226781261183e-6,9.413377659736584e-7,2.3403445668120564e-6,9.978564589396903e-7,2.2982838933881016e-6,1.6546273377819179e-6,1.3551335822564386e-6,1.7159989067120102e-6,1.762345964738222,26.630965035820875,1.7623448738034997,1.7247794911718253e-6,2.438798130075133e-6,38.08619511765111,1.6644368403393721,1.738006441996174e-6,2.3991916516002505e-6,2.3481890806892773e-6,5.091215103335748,1.3579372295830096e-6,74.99762330146135
